Region Code,TEA Region,County Number,County Name,ethnicity,enrolled_8th,enrolled_9th,enrolled_9th_percent,enrolled_10th,enrolled_10th_percent,lessthan_10th_enrolled,lessthan_10th_enrolled_percent,graduated,graduated_percent,enrolled_4yr,enrolled_4yr_percent,enrolled_2yr,enrolled_2yr_percent,enrolled_out_of_state,enrolled_out_of_state_percent,total_enrolled,total_enrolled_percent,enrolled_wo_record,enrolled_wo_record_percent,total_degrees,total_degrees_percent
01,Edinburg,031,CAMERON,African American,15,14,0.93,13,0.87,1,0.07,11,0.73,7,0.47,1,0.07,0,0.00,8,0.53,1,0.07,2,0.13
01,Edinburg,031,CAMERON,Hispanic,5444,4947,0.91,3673,0.68,1177,0.22,3670,0.67,571,0.11,2175,0.40,62,0.01,2808,0.52,248,0.05,837,0.15
01,Edinburg,031,CAMERON,White,395,357,0.90,304,0.77,42,0.11,287,0.73,123,0.31,124,0.31,13,0.03,260,0.66,28,0.07,122,0.31
01,Edinburg,031,CAMERON,Others,25,23,0.92,22,0.88,1,0.04,20,0.80,10,0.40,9,0.36,0,0.00,19,0.76,1,0.04,12,0.48
01,Edinburg,108,HIDALGO,Hispanic,9251,8459,0.91,6424,0.69,1858,0.20,6566,0.71,2252,0.24,2350,0.25,109,0.01,4711,0.51,286,0.03,1538,0.17
01,Edinburg,108,HIDALGO,White,473,431,0.91,361,0.76,57,0.12,364,0.77,230,0.49,84,0.18,21,0.04,335,0.71,22,0.05,146,0.31
01,Edinburg,108,HIDALGO,Others,47,42,0.89,38,0.81,2,0.04,37,0.79,23,0.49,9,0.19,2,0.04,34,0.72,2,0.04,19,0.40
01,Edinburg,108,HIDALGO,Other Ethnicities,7,7,1.00,7,1.00,0,0.00,6,0.86,3,0.43,1,0.14,2,0.29,6,0.86,0,0.00,4,0.57
01,Edinburg,124,JIM HOGG,All Ethnicities,95,93,0.98,89,0.94,1,0.01,79,0.83,36,0.38,24,0.25,0,0.00,60,0.63,4,0.04,17,0.18
01,Edinburg,214,STARR,Hispanic,1082,1020,0.94,761,0.70,225,0.21,701,0.65,148,0.14,361,0.33,7,0.01,516,0.48,27,0.03,204,0.19
01,Edinburg,214,STARR,Other Ethnicities,8,5,0.63,5,0.63,1,0.13,5,0.63,2,0.25,2,0.25,1,0.13,5,0.63,0,0.00,2,0.25
01,Edinburg,240,WEBB,Hispanic,3343,3037,0.91,2604,0.78,395,0.12,2470,0.74,478,0.14,1441,0.43,15,0.00,1934,0.58,95,0.03,602,0.18
01,Edinburg,240,WEBB,White,98,96,0.98,79,0.81,12,0.12,79,0.81,31,0.32,31,0.32,2,0.02,64,0.65,4,0.04,17,0.17
01,Edinburg,240,WEBB,Other Ethnicities,13,13,1.00,10,0.77,1,0.08,10,0.77,5,0.39,2,0.15,2,0.15,9,0.69,0,0.00,4,0.31
01,Edinburg,245,WILLACY,Hispanic,344,320,0.93,258,0.75,49,0.14,254,0.74,69,0.20,106,0.31,1,0.00,176,0.51,8,0.02,44,0.13
01,Edinburg,245,WILLACY,White,28,26,0.93,25,0.89,1,0.04,23,0.82,14,0.50,8,0.29,0,0.00,22,0.79,2,0.07,10,0.36
01,Edinburg,253,ZAPATA,All Ethnicities,197,191,0.97,172,0.87,12,0.06,155,0.79,32,0.16,59,0.30,1,0.01,92,0.47,2,0.01,33,0.17
02,Corpus Christi,004,ARANSAS,Hispanic,90,83,0.92,72,0.80,10,0.11,64,0.71,3,0.03,21,0.23,0,0.00,24,0.27,3,0.03,4,0.04
02,Corpus Christi,004,ARANSAS,White,157,137,0.87,125,0.80,14,0.09,120,0.76,52,0.33,36,0.23,5,0.03,93,0.59,6,0.04,32,0.20
02,Corpus Christi,004,ARANSAS,Other Ethnicities,19,17,0.90,16,0.84,1,0.05,17,0.90,5,0.26,11,0.58,0,0.00,16,0.84,0,0.00,7,0.37
02,Corpus Christi,013,BEE,Hispanic,276,247,0.90,202,0.73,50,0.18,193,0.70,12,0.04,116,0.42,3,0.01,131,0.48,6,0.02,33,0.12
02,Corpus Christi,013,BEE,White,145,137,0.95,122,0.84,9,0.06,114,0.79,36,0.25,58,0.40,1,0.01,95,0.66,3,0.02,52,0.36
02,Corpus Christi,013,BEE,Other Ethnicities,14,14,1.00,11,0.79,2,0.14,12,0.86,2,0.14,8,0.57,0,0.00,10,0.71,0,0.00,0,0.00
02,Corpus Christi,024,BROOKS,All Ethnicities,152,134,0.88,114,0.75,18,0.12,108,0.71,38,0.25,35,0.23,0,0.00,73,0.48,6,0.04,24,0.16
02,Corpus Christi,066,DUVAL,Hispanic,250,228,0.91,213,0.85,12,0.05,186,0.74,47,0.19,84,0.34,1,0.00,132,0.53,9,0.04,29,0.12
02,Corpus Christi,066,DUVAL,White,19,19,1.00,16,0.84,0,0.00,15,0.79,9,0.47,4,0.21,0,0.00,13,0.68,1,0.05,8,0.42
02,Corpus Christi,125,JIM WELLS,Hispanic,587,563,0.96,445,0.76,108,0.18,400,0.68,137,0.23,159,0.27,6,0.01,302,0.51,24,0.04,81,0.14
02,Corpus Christi,125,JIM WELLS,White,107,100,0.94,89,0.83,9,0.08,86,0.80,38,0.36,30,0.28,1,0.01,69,0.65,1,0.01,23,0.22
02,Corpus Christi,125,JIM WELLS,Other Ethnicities,9,9,1.00,8,0.89,1,0.11,8,0.89,5,0.56,0,0.00,1,0.11,6,0.67,0,0.00,5,0.56
02,Corpus Christi,137,KLEBERG,Hispanic,353,318,0.90,278,0.79,43,0.12,263,0.75,139,0.39,66,0.19,3,0.01,208,0.59,8,0.02,74,0.21
02,Corpus Christi,137,KLEBERG,White,90,80,0.89,76,0.84,5,0.06,72,0.80,44,0.49,18,0.20,3,0.03,65,0.72,3,0.03,26,0.29
02,Corpus Christi,137,KLEBERG,Other Ethnicities,25,22,0.88,20,0.80,2,0.08,18,0.72,12,0.48,3,0.12,0,0.00,15,0.60,1,0.04,1,0.04
02,Corpus Christi,149,LIVE OAK,White,80,73,0.91,68,0.85,4,0.05,60,0.75,24,0.30,23,0.29,0,0.00,47,0.59,4,0.05,28,0.35
02,Corpus Christi,149,LIVE OAK,Other Ethnicities,78,72,0.92,66,0.85,7,0.09,55,0.71,10,0.13,27,0.35,0,0.00,37,0.47,2,0.03,9,0.12
02,Corpus Christi,162,MCMULLEN,All Ethnicities,14,14,1.00,13,0.93,1,0.07,12,0.86,3,0.21,8,0.57,0,0.00,11,0.79,0,0.00,4,0.29
