Region Code,TEA Region,gender,ethnicity,economic_status,enrolled_8th,enrolled_9th,enrolled_9th_percent,enrolled_10th,enrolled_10th_percent,lessthan_10th_enrolled,lessthan_10th_enrolled_percent,graduated,graduated_percent,enrolled_4yr,enrolled_4yr_percent,enrolled_2yr,enrolled_2yr_percent,enrolled_out_of_state,enrolled_out_of_state_percent,total_enrolled,total_enrolled_percent,enrolled_wo_record,enrolled_wo_record_percent,total_degrees,total_degrees_percent
,,Female,Am. Indian,,408,349,0.86,283,0.69,53,0.13,265,0.65,56,0.14,134,0.33,18,0.04,208,0.51,17,0.04,65,0.16
,,Female,Asian,,3653,3378,0.93,3185,0.87,130,0.04,3065,0.84,1613,0.44,964,0.26,194,0.05,2771,0.76,170,0.05,1608,0.44
,,Female,African American,,20740,18812,0.91,15440,0.74,3115,0.15,15178,0.73,4621,0.22,6151,0.30,700,0.03,11472,0.55,937,0.05,2854,0.14
,,Female,Hispanic,,54468,49372,0.91,39222,0.72,8806,0.16,37701,0.69,6939,0.13,17353,0.32,729,0.01,25021,0.46,1922,0.04,7485,0.14
,,Female,White,,67133,62098,0.93,56333,0.84,4006,0.06,52270,0.78,18287,0.27,23801,0.36,2903,0.04,44991,0.67,3352,0.05,20892,0.31
,,Male,Am. Indian,,438,366,0.84,289,0.66,62,0.14,254,0.58,51,0.12,115,0.26,16,0.04,182,0.42,16,0.04,49,0.11
,,Male,Asian,,3982,3651,0.92,3352,0.84,224,0.06,3166,0.80,1522,0.38,1161,0.29,150,0.04,2833,0.71,222,0.06,1332,0.34
,,Male,African American,,21557,19194,0.89,14165,0.66,4763,0.22,13561,0.63,3360,0.16,5199,0.24,818,0.04,9377,0.44,917,0.04,1634,0.08
,,Male,Hispanic,,57777,51679,0.89,38111,0.66,12887,0.22,35316,0.61,5750,0.10,15271,0.26,653,0.01,21674,0.38,2081,0.04,4889,0.08
,,Male,White,,70773,64931,0.92,56903,0.80,6584,0.09,52356,0.74,15540,0.22,22922,0.32,2734,0.04,41196,0.58,3564,0.05,15468,0.22
,,,,Not Economically Disadvantaged,166698,153934,0.92,137069,0.82,13809,0.08,129365,0.78,44473,0.27,57154,0.34,7162,0.04,108789,0.65,8155,0.05,44704,0.27
,,,,Economically Disadvantaged,134231,119896,0.89,90214,0.67,26821,0.20,83767,0.62,13266,0.10,35917,0.27,1753,0.01,50936,0.38,5043,0.04,11572,0.09
01,Edinburg,,,,20865,19081,0.91,14845,0.71,3835,0.18,14737,0.71,4031,0.19,6789,0.33,238,0.01,11058,0.53,729,0.03,3610,0.17
02,Corpus Christi,,,,8456,7556,0.89,6226,0.74,1284,0.15,5918,0.70,1794,0.21,2547,0.30,115,0.01,4456,0.53,360,0.04,1418,0.17
03,Victoria,,,,4345,4105,0.95,3374,0.78,649,0.15,3344,0.77,658,0.15,1581,0.36,66,0.02,2305,0.53,115,0.03,992,0.23
04,Houston,,,,62839,56927,0.91,45487,0.72,10326,0.16,43472,0.69,13237,0.21,18433,0.29,2031,0.03,33701,0.54,3197,0.05,12355,0.20
05,Beaumont,,,,6552,6081,0.93,5140,0.78,808,0.12,4737,0.72,1664,0.25,1533,0.23,167,0.03,3364,0.51,239,0.04,1237,0.19
06,Huntsville,,,,10460,9554,0.91,7879,0.75,1368,0.13,7427,0.71,1965,0.19,3114,0.30,256,0.02,5335,0.51,438,0.04,2099,0.20
07,Kilgore,,,,12254,11360,0.93,9795,0.80,1296,0.11,9018,0.74,1686,0.14,4683,0.38,296,0.02,6665,0.54,532,0.04,2457,0.20
08,Mt. Pleasant,,,,4215,3906,0.93,3477,0.83,297,0.07,3223,0.77,472,0.11,1617,0.38,265,0.06,2354,0.56,156,0.04,802,0.19
09,Wichita Falls,,,,3248,2998,0.92,2593,0.80,304,0.09,2410,0.74,777,0.24,743,0.23,104,0.03,1624,0.50,86,0.03,595,0.18
10,Richardson,,,,43423,38858,0.90,32126,0.74,6069,0.14,30220,0.70,7296,0.17,13345,0.31,1802,0.04,22443,0.52,2011,0.05,7685,0.18
11,Fort Worth,,,,31087,28103,0.90,23606,0.76,3887,0.13,22184,0.71,6139,0.20,9742,0.31,1139,0.04,17020,0.55,1428,0.05,6104,0.20
12,Waco,,,,10301,9221,0.90,7735,0.75,1214,0.12,7287,0.71,1461,0.14,4227,0.41,138,0.01,5826,0.57,553,0.05,1975,0.19
13,Austin,,,,20157,18399,0.91,15864,0.79,2142,0.11,14750,0.73,4965,0.25,5074,0.25,714,0.04,10753,0.53,799,0.04,4149,0.21
14,Abilene,,,,3743,3496,0.93,3039,0.81,366,0.10,2774,0.74,858,0.23,1150,0.31,51,0.01,2059,0.55,131,0.04,884,0.24
15,San Angelo,,,,4000,3757,0.94,3355,0.84,307,0.08,2884,0.72,1066,0.27,891,0.22,61,0.02,2018,0.51,126,0.03,782,0.20
16,Amarillo,,,,6144,5730,0.93,5052,0.82,477,0.08,4549,0.74,1142,0.19,2118,0.35,213,0.03,3473,0.57,288,0.05,1257,0.21
17,Lubbock,,,,6174,5798,0.94,5423,0.88,304,0.05,4788,0.78,1116,0.18,1884,0.31,156,0.03,3156,0.51,139,0.02,1162,0.19
18,Midland,,,,6323,5827,0.92,5080,0.80,631,0.10,4425,0.70,921,0.15,1916,0.30,105,0.02,2942,0.47,207,0.03,1044,0.17
19,El Paso,,,,11600,10589,0.91,8485,0.73,1810,0.16,7991,0.69,2144,0.19,3702,0.32,510,0.04,6356,0.55,595,0.05,1699,0.15
20,San Antonio,,,,24743,22484,0.91,18702,0.76,3256,0.13,16994,0.69,4347,0.18,7982,0.32,488,0.02,12817,0.52,1069,0.04,3970,0.16
,,,,,300929,273830,0.91,227283,0.76,40630,0.14,213132,0.71,57739,0.19,93071,0.31,8915,0.03,159725,0.53,13198,0.04,56276,0.19
,,Female,,,146402,134009,0.92,114463,0.78,16110,0.11,108479,0.74,31516,0.22,48403,0.33,4544,0.03,84463,0.58,6398,0.04,32904,0.23
,,Male,,,154527,139821,0.91,112820,0.73,24520,0.16,104653,0.68,26223,0.17,44668,0.29,4371,0.03,75262,0.49,6800,0.04,23372,0.15
1,Edinburg,,,Not Economically Disadvantaged,3727,3425,0.92,2983,0.80,413,0.11,2985,0.80,1439,0.39,1174,0.32,76,0.02,2689,0.72,166,0.04,1142,0.31
