Region Code,TEA Region,County Number,County Name,economic-status,enrolled_8th,enrolled_9th,enrolled_9th_percent,enrolled_10th,enrolled_10th_percent,lessthan_10th_enrolled,lessthan_10th_enrolled_percent,graduated,graduated_percent,enrolled_4yr,enrolled_4yr_percent,enrolled_2yr,enrolled_2yr_percent,enrolled_out_of_state,enrolled_out_of_state_percent,total_enrolled,total_enrolled_percent,enrolled_wo_record,enrolled_wo_record_percent,total_degrees,total_degrees_percent
01,Edinburg,031,CAMERON,Not Economically Disadvantaged,965,916,0.95,781,0.81,117,0.12,782,0.81,342,0.35,391,0.41,18,0.02,751,0.78,50,0.05,358,0.37
01,Edinburg,031,CAMERON,Economically Disadvantaged,4852,4475,0.92,3281,0.68,1109,0.23,3044,0.63,471,0.10,1885,0.39,31,0.01,2387,0.49,270,0.06,663,0.14
01,Edinburg,108,HIDALGO,Not Economically Disadvantaged,1868,1739,0.93,1469,0.79,246,0.13,1457,0.78,825,0.44,462,0.25,34,0.02,1321,0.71,75,0.04,609,0.33
01,Edinburg,108,HIDALGO,Economically Disadvantaged,8098,7488,0.93,5617,0.69,1755,0.22,5314,0.66,1483,0.18,2123,0.26,50,0.01,3656,0.45,267,0.03,1131,0.14
01,Edinburg,124,JIM HOGG,Not Economically Disadvantaged,26,24,0.92,24,0.92,0,0.00,22,0.85,13,0.50,9,0.35,0,0.00,22,0.85,1,0.04,11,0.42
01,Edinburg,124,JIM HOGG,Economically Disadvantaged,57,55,0.97,51,0.90,4,0.07,47,0.83,11,0.19,13,0.23,0,0.00,24,0.42,0,0.00,7,0.12
01,Edinburg,214,STARR,Not Economically Disadvantaged,116,111,0.96,81,0.70,16,0.14,72,0.62,29,0.25,21,0.18,2,0.02,52,0.45,2,0.02,30,0.26
01,Edinburg,214,STARR,Economically Disadvantaged,951,918,0.97,698,0.73,191,0.20,640,0.67,126,0.13,341,0.36,7,0.01,474,0.50,32,0.03,199,0.21
01,Edinburg,240,WEBB,Not Economically Disadvantaged,698,660,0.95,611,0.88,41,0.06,581,0.83,206,0.30,296,0.42,9,0.01,511,0.73,23,0.03,216,0.31
01,Edinburg,240,WEBB,Economically Disadvantaged,2714,2554,0.94,2059,0.76,437,0.16,1907,0.70,316,0.12,1185,0.44,7,0.00,1508,0.56,114,0.04,448,0.17
01,Edinburg,245,WILLACY,Not Economically Disadvantaged,60,59,0.98,56,0.93,1,0.02,54,0.90,23,0.38,19,0.32,2,0.03,44,0.73,1,0.02,18,0.30
01,Edinburg,245,WILLACY,Economically Disadvantaged,278,266,0.96,212,0.76,46,0.17,199,0.72,55,0.20,81,0.29,0,0.00,136,0.49,11,0.04,32,0.12
01,Edinburg,253,ZAPATA,Not Economically Disadvantaged,29,27,0.93,26,0.90,2,0.07,26,0.90,14,0.48,7,0.24,0,0.00,21,0.72,0,0.00,12,0.41
01,Edinburg,253,ZAPATA,Economically Disadvantaged,162,159,0.98,151,0.93,3,0.02,132,0.82,14,0.09,66,0.41,0,0.00,80,0.49,5,0.03,31,0.19
02,Corpus Christi,004,ARANSAS,Not Economically Disadvantaged,187,161,0.86,153,0.82,8,0.04,138,0.74,50,0.27,51,0.27,2,0.01,103,0.55,7,0.04,44,0.24
02,Corpus Christi,004,ARANSAS,Economically Disadvantaged,109,99,0.91,82,0.75,12,0.11,76,0.70,10,0.09,21,0.19,4,0.04,35,0.32,3,0.03,8,0.07
02,Corpus Christi,013,BEE,Not Economically Disadvantaged,188,181,0.96,171,0.91,10,0.05,163,0.87,37,0.20,101,0.54,0,0.00,138,0.73,5,0.03,66,0.35
02,Corpus Christi,013,BEE,Economically Disadvantaged,265,243,0.92,191,0.72,51,0.19,170,0.64,13,0.05,98,0.37,1,0.00,112,0.42,9,0.03,22,0.08
02,Corpus Christi,024,BROOKS,Not Economically Disadvantaged,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
02,Corpus Christi,024,BROOKS,Economically Disadvantaged,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
02,Corpus Christi,066,DUVAL,Not Economically Disadvantaged,51,45,0.88,42,0.82,2,0.04,38,0.75,16,0.31,14,0.28,0,0.00,30,0.59,0,0.00,14,0.28
02,Corpus Christi,066,DUVAL,Economically Disadvantaged,171,163,0.95,148,0.87,12,0.07,117,0.68,25,0.15,46,0.27,2,0.01,73,0.43,3,0.02,18,0.11
02,Corpus Christi,125,JIM WELLS,Not Economically Disadvantaged,236,222,0.94,204,0.86,18,0.08,182,0.77,88,0.37,60,0.25,2,0.01,150,0.64,5,0.02,66,0.28
02,Corpus Christi,125,JIM WELLS,Economically Disadvantaged,439,423,0.96,342,0.78,70,0.16,261,0.60,64,0.15,102,0.23,3,0.01,169,0.39,22,0.05,32,0.07
02,Corpus Christi,137,KLEBERG,Not Economically Disadvantaged,172,166,0.97,156,0.91,9,0.05,144,0.84,89,0.52,37,0.22,4,0.02,130,0.76,7,0.04,52,0.30
02,Corpus Christi,137,KLEBERG,Economically Disadvantaged,276,259,0.94,202,0.73,39,0.14,172,0.62,69,0.25,46,0.17,2,0.01,117,0.42,16,0.06,20,0.07
02,Corpus Christi,149,LIVE OAK,Not Economically Disadvantaged,79,77,0.98,74,0.94,2,0.03,69,0.87,20,0.25,36,0.46,0,0.00,56,0.71,3,0.04,32,0.41
02,Corpus Christi,149,LIVE OAK,Economically Disadvantaged,65,64,0.99,49,0.75,12,0.19,44,0.68,7,0.11,16,0.25,0,0.00,23,0.35,1,0.02,6,0.09
02,Corpus Christi,162,MCMULLEN,Not Economically Disadvantaged,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
02,Corpus Christi,162,MCMULLEN,Economically Disadvantaged,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
02,Corpus Christi,178,NUECES,Not Economically Disadvantaged,2486,2295,0.92,1957,0.79,291,0.12,1894,0.76,687,0.28,917,0.37,40,0.02,1644,0.66,122,0.05,645,0.26
