Region Code,TEA Region,County Number,County Name,economic_status,enrolled_8th,enrolled_9th,enrolled_9th_percent,enrolled_10th,enrolled_10th_percent,lessthan_10th_enrolled,lessthan_10th_enrolled_percent,graduated,graduated_percent,enrolled_4yr,enrolled_4yr_percent,enrolled_2yr,enrolled_2yr_percent,enrolled_out_of_state,enrolled_out_of_state_percent,total_enrolled,total_enrolled_percent,enrolled_wo_record,enrolled_wo_record_percent,total_degrees,total_degrees_percent
1,Edinburg,31,CAMERON,Not Economically Disadvantaged,980,937,0.96,797,0.81,120,0.12,784,0.8,335,0.34,390,0.4, -   ,0,725,0.74,59,0.06,319,0.33
1,Edinburg,31,CAMERON,Economically Disadvantaged,5457,5037,0.92,3773,0.69,1253,0.23,3333,0.61,586,0.11,2064,0.38, -   ,0,2650,0.49,307,0.06,788,0.14
1,Edinburg,108,HIDALGO,Not Economically Disadvantaged,1809,1709,0.95,1485,0.82,187,0.1,1400,0.77,785,0.43,493,0.27, -   ,0,1278,0.71,94,0.05,618,0.34
1,Edinburg,108,HIDALGO,Economically Disadvantaged,9250,8665,0.94,6668,0.72,1817,0.2,5654,0.61,1783,0.19,2534,0.27, -   ,0,4317,0.47,490,0.05,1420,0.15
1,Edinburg,124,JIM HOGG,Not Economically Disadvantaged,19,19,1,19,1, -   ,0,16,0.84,8,0.42,6,0.32, -   ,0,14,0.74,1,0.05,8,0.42
1,Edinburg,124,JIM HOGG,Economically Disadvantaged,72,71,0.99,68,0.94,4,0.06,59,0.82,20,0.28,16,0.22, -   ,0,36,0.5, -   ,0,12,0.17
1,Edinburg,214,STARR,Not Economically Disadvantaged,133,127,0.96,107,0.81,16,0.12,81,0.61,30,0.23,33,0.25, -   ,0,63,0.47,3,0.02,37,0.28
1,Edinburg,214,STARR,Economically Disadvantaged,949,902,0.95,709,0.75,175,0.18,577,0.61,141,0.15,298,0.31, -   ,0,439,0.46,34,0.04,204,0.22
1,Edinburg,240,WEBB,Not Economically Disadvantaged,695,661,0.95,600,0.86,53,0.08,572,0.82,229,0.33,309,0.45, -   ,0,538,0.77,34,0.05,236,0.34
1,Edinburg,240,WEBB,Economically Disadvantaged,3135,2919,0.93,2397,0.77,462,0.15,2142,0.68,453,0.14,1283,0.41, -   ,0,1736,0.55,151,0.05,537,0.17
1,Edinburg,245,WILLACY,Not Economically Disadvantaged,40,38,0.95,36,0.9,2,0.05,36,0.9,18,0.45,13,0.33, -   ,0,31,0.78,1,0.03,15,0.38
1,Edinburg,245,WILLACY,Economically Disadvantaged,288,265,0.92,217,0.75,32,0.11,187,0.65,44,0.15,78,0.27, -   ,0,122,0.42,11,0.04,26,0.09
1,Edinburg,253,ZAPATA,Not Economically Disadvantaged,40,37,0.93,35,0.88, -   ,0,24,0.6,11,0.28,11,0.28, -   ,0,22,0.55,2,0.05,8,0.2
1,Edinburg,253,ZAPATA,Economically Disadvantaged,184,173,0.94,173,0.94,3,0.02,137,0.75,31,0.17,46,0.25, -   ,0,77,0.42,7,0.04,28,0.15
2,Corpus Christi,4,ARANSAS,Not Economically Disadvantaged,122,110,0.9,102,0.84,6,0.05,94,0.77,38,0.31,26,0.21, -   ,0,64,0.53,3,0.02,27,0.22
