Region Code,TEA Region,County Number,County Name,gender,enrolled_8th,enrolled_9th,enrolled_9th_percent,enrolled_10th,enrolled_10th_percent,lessthan_10th_enrolled,lessthan_10th_enrolled_percent,graduated,graduated_percent,enrolled_4yr,enrolled_4yr_percent,enrolled_2yr,enrolled_2yr_percent,enrolled_out_of_state,enrolled_out_of_state_percent,total_enrolled,total_enrolled_percent,enrolled_wo_record,enrolled_wo_record_percent,total_degrees,total_degrees_percent
1,Edinburg,31,CAMERON,Female,3279,3039,0.93,2278,0.7,723,0.22,2221,0.68,535,0.16,1240,0.38,0,0,1775,0.54,160,0.05,646,0.2
1,Edinburg,31,CAMERON,Male,3442,3208,0.93,2260,0.66,924,0.27,2262,0.66,501,0.15,1226,0.36,0,0,1727,0.5,166,0.05,487,0.14
1,Edinburg,108,HIDALGO,Female,5720,5343,0.93,4417,0.77,825,0.14,3921,0.69,1481,0.26,1656,0.29,0,0,3137,0.55,259,0.05,1339,0.23
1,Edinburg,108,HIDALGO,Male,5951,5539,0.93,4173,0.7,1255,0.21,3872,0.65,1250,0.21,1560,0.26,0,0,2810,0.47,223,0.04,885,0.15
1,Edinburg,124,JIM HOGG,Female,46,45,0.98,44,0.96,0,0,40,0.87,15,0.33,19,0.41,0,0,34,0.74,2,0.04,8,0.17
1,Edinburg,124,JIM HOGG,Male,33,33,1,31,0.94,1,0.03,24,0.73,10,0.3,7,0.21,0,0,17,0.52,0,0,7,0.21
1,Edinburg,214,STARR,Female,558,525,0.94,424,0.76,81,0.15,392,0.7,111,0.2,217,0.39,0,0,328,0.59,24,0.04,156,0.28
1,Edinburg,214,STARR,Male,598,566,0.95,428,0.72,122,0.2,402,0.67,105,0.18,182,0.3,0,0,287,0.48,16,0.03,102,0.17
1,Edinburg,240,WEBB,Female,1931,1814,0.94,1562,0.81,219,0.11,1432,0.74,385,0.2,843,0.44,0,0,1228,0.64,89,0.05,515,0.27
1,Edinburg,240,WEBB,Male,1960,1835,0.94,1464,0.75,333,0.17,1422,0.73,303,0.16,820,0.42,0,0,1123,0.57,72,0.04,366,0.19
1,Edinburg,245,WILLACY,Female,171,157,0.92,128,0.75,25,0.15,105,0.61,34,0.2,48,0.28,0,0,82,0.48,9,0.05,31,0.18
1,Edinburg,245,WILLACY,Male,174,162,0.93,123,0.71,40,0.23,126,0.72,29,0.17,46,0.26,0,0,75,0.43,2,0.01,14,0.08
1,Edinburg,253,ZAPATA,Female,97,93,0.96,84,0.87,5,0.05,65,0.67,28,0.29,28,0.29,0,0,56,0.58,3,0.03,27,0.28
1,Edinburg,253,ZAPATA,Male,118,111,0.94,104,0.88,5,0.04,87,0.74,20,0.17,40,0.34,0,0,60,0.51,1,0.01,16,0.14
2,Corpus Christi,4,ARANSAS,Female,127,119,0.94,106,0.84,9,0.07,90,0.71,23,0.18,38,0.3,0,0,61,0.48,7,0.06,28,0.22
2,Corpus Christi,4,ARANSAS,Male,120,112,0.93,99,0.83,11,0.09,80,0.67,18,0.15,30,0.25,0,0,48,0.4,3,0.03,17,0.14
2,Corpus Christi,13,BEE,Female,202,193,0.96,172,0.85,19,0.09,138,0.68,25,0.12,101,0.5,0,0,126,0.62,17,0.08,54,0.27
2,Corpus Christi,13,BEE,Male,205,193,0.94,165,0.81,27,0.13,134,0.65,21,0.1,81,0.4,0,0,102,0.5,15,0.07,41,0.2
2,Corpus Christi,24,BROOKS,Female,80,78,0.98,64,0.8,12,0.15,59,0.74,17,0.21,23,0.29,0,0,40,0.5,0,0,17,0.21
2,Corpus Christi,24,BROOKS,Male,86,83,0.97,61,0.71,16,0.19,53,0.62,14,0.16,17,0.2,0,0,31,0.36,4,0.05,7,0.08
2,Corpus Christi,66,DUVAL,Female,121,116,0.96,104,0.86,10,0.08,85,0.7,19,0.16,47,0.39,0,0,66,0.55,3,0.02,26,0.22
2,Corpus Christi,66,DUVAL,Male,96,91,0.95,78,0.81,12,0.13,65,0.68,7,0.07,28,0.29,0,0,35,0.37,3,0.03,9,0.09
2,Corpus Christi,125,JIM WELLS,Female,370,345,0.93,294,0.8,52,0.14,235,0.64,92,0.25,109,0.3,0,0,201,0.54,22,0.06,76,0.21
2,Corpus Christi,125,JIM WELLS,Male,330,320,0.97,252,0.76,69,0.21,194,0.59,69,0.21,90,0.27,0,0,159,0.48,14,0.04,54,0.16
2,Corpus Christi,137,KLEBERG,Female,215,192,0.89,153,0.71,35,0.16,139,0.65,71,0.33,58,0.27,0,0,129,0.6,22,0.1,45,0.21
2,Corpus Christi,137,KLEBERG,Male,212,192,0.91,133,0.63,60,0.28,124,0.59,68,0.32,36,0.17,0,0,104,0.49,13,0.06,43,0.2
