Region Code,TEA Region,County Number,County Name,ethnicity,enrolled_8th,enrolled_9th,enrolled_9th_percent,enrolled_10th,enrolled_10th_percent,lessthan_10th_enrolled,lessthan_10th_enrolled_percent,graduated,graduated_percent,enrolled_4yr,enrolled_4yr_percent,enrolled_2yr,enrolled_2yr_percent,total_enrolled,total_enrolled_percent,enrolled_wo_record,enrolled_wo_record_percent,total_degrees,total_degrees_percent
01,Edinburg,031,CAMERON,African American,26,22,0.85,20,0.77,1,0.04,14,0.54,6,0.23,8,0.31,14,0.54,3,0.12,3,0.12
01,Edinburg,031,CAMERON,Hispanic,6599,6095,0.92,4313,0.65,1739,0.26,4227,0.64,1029,0.16,2456,0.37,3485,0.53,417,0.06,1100,0.17
01,Edinburg,031,CAMERON,White,357,342,0.96,291,0.82,47,0.13,271,0.76,117,0.33,116,0.32,233,0.65,19,0.05,110,0.31
01,Edinburg,031,CAMERON,Others,44,41,0.93,39,0.89,1,0.02,37,0.84,23,0.52,7,0.16,30,0.68,3,0.07,22,0.50
01,Edinburg,108,HIDALGO,Hispanic,11781,11136,0.95,8549,0.73,2343,0.20,7592,0.64,2603,0.22,3519,0.30,6122,0.52,700,0.06,2243,0.19
01,Edinburg,108,HIDALGO,White,428,398,0.93,352,0.82,41,0.10,329,0.77,179,0.42,120,0.28,299,0.70,25,0.06,132,0.31
01,Edinburg,108,HIDALGO,Others,58,55,0.95,54,0.93,0,0.00,48,0.83,33,0.57,7,0.12,40,0.69,3,0.05,30,0.52
01,Edinburg,108,HIDALGO,Other Ethnicities,24,20,0.83,18,0.75,2,0.08,15,0.63,7,0.29,8,0.33,15,0.63,3,0.13,5,0.21
01,Edinburg,124,JIM HOGG,All Ethnicities,82,80,0.98,70,0.85,9,0.11,62,0.76,25,0.30,27,0.33,52,0.63,1,0.01,20,0.24
01,Edinburg,214,STARR,All Ethnicities,1232,1182,0.96,938,0.76,221,0.18,856,0.69,203,0.16,458,0.37,661,0.54,47,0.04,289,0.23
01,Edinburg,240,WEBB,Hispanic,4179,3906,0.93,3262,0.78,600,0.14,2940,0.70,746,0.18,1851,0.44,2597,0.62,257,0.06,934,0.22
01,Edinburg,240,WEBB,White,87,83,0.95,76,0.87,2,0.02,70,0.80,32,0.37,35,0.40,67,0.77,6,0.07,28,0.32
01,Edinburg,240,WEBB,Other Ethnicities,21,18,0.86,18,0.86,1,0.05,16,0.76,12,0.57,6,0.29,18,0.86,2,0.10,11,0.52
01,Edinburg,245,WILLACY,Hispanic,324,304,0.94,260,0.80,42,0.13,211,0.65,56,0.17,97,0.30,153,0.47,17,0.05,40,0.12
01,Edinburg,245,WILLACY,White,11,11,1.00,11,1.00,0,0.00,9,0.82,2,0.18,6,0.55,8,0.73,2,0.18,1,0.09
01,Edinburg,253,ZAPATA,All Ethnicities,244,233,0.95,213,0.87,17,0.07,182,0.75,45,0.18,78,0.32,123,0.50,4,0.02,53,0.22
02,Corpus Christi,004,ARANSAS,Hispanic,93,91,0.98,85,0.91,4,0.04,68,0.73,21,0.23,22,0.24,43,0.46,1,0.01,11,0.12
02,Corpus Christi,004,ARANSAS,White,158,142,0.90,124,0.78,9,0.06,108,0.68,44,0.28,34,0.22,78,0.49,1,0.01,27,0.17
02,Corpus Christi,004,ARANSAS,Other Ethnicities,20,20,1.00,20,1.00,0,0.00,17,0.85,5,0.25,9,0.45,14,0.70,0,0.00,5,0.25
02,Corpus Christi,013,BEE,Hispanic,284,273,0.96,214,0.75,57,0.20,184,0.65,24,0.08,126,0.44,150,0.53,15,0.05,55,0.19
02,Corpus Christi,013,BEE,White,113,108,0.96,97,0.86,12,0.11,89,0.79,26,0.23,53,0.47,79,0.70,7,0.06,43,0.38
02,Corpus Christi,013,BEE,Other Ethnicities,15,13,0.87,13,0.87,2,0.13,12,0.80,5,0.33,6,0.40,11,0.73,1,0.07,5,0.33
02,Corpus Christi,066,DUVAL,Hispanic,209,196,0.94,176,0.84,21,0.10,139,0.67,32,0.15,62,0.30,94,0.45,8,0.04,31,0.15
02,Corpus Christi,066,DUVAL,White,10,10,1.00,9,0.90,1,0.10,8,0.80,4,0.40,5,0.50,9,0.90,1,0.10,5,0.50
02,Corpus Christi,125,JIM WELLS,Hispanic,567,538,0.95,434,0.77,95,0.17,331,0.58,117,0.21,185,0.33,302,0.53,69,0.12,91,0.16
02,Corpus Christi,125,JIM WELLS,White,110,106,0.96,98,0.89,5,0.05,82,0.75,34,0.31,34,0.31,68,0.62,4,0.04,29,0.26
02,Corpus Christi,125,JIM WELLS,Other Ethnicities,7,7,1.00,7,1.00,0,0.00,7,1.00,5,0.71,1,0.14,6,0.86,0,0.00,4,0.57
02,Corpus Christi,137,KLEBERG,Hispanic,347,329,0.95,218,0.63,102,0.29,205,0.59,109,0.31,76,0.22,185,0.53,26,0.07,62,0.18
02,Corpus Christi,137,KLEBERG,White,80,75,0.94,64,0.80,9,0.11,63,0.79,44,0.55,12,0.15,56,0.70,2,0.03,22,0.28
02,Corpus Christi,137,KLEBERG,Other Ethnicities,23,23,1.00,11,0.48,10,0.43,10,0.43,6,0.26,3,0.13,9,0.39,1,0.04,2,0.09
02,Corpus Christi,149,LIVE OAK,Hispanic,87,82,0.94,73,0.84,11,0.13,57,0.66,14,0.16,30,0.34,44,0.51,4,0.05,12,0.14
02,Corpus Christi,149,LIVE OAK,Other Ethnicities,76,73,0.96,64,0.84,7,0.09,61,0.80,29,0.38,21,0.28,50,0.66,4,0.05,26,0.34
02,Corpus Christi,178,NUECES,African American,211,197,0.93,163,0.77,23,0.11,135,0.64,52,0.25,55,0.26,107,0.51,11,0.05,28,0.13
02,Corpus Christi,178,NUECES,Hispanic,3217,2961,0.92,2429,0.76,537,0.17,2043,0.64,468,0.15,1122,0.35,1590,0.49,198,0.06,406,0.13
02,Corpus Christi,178,NUECES,White,1274,1193,0.94,1042,0.82,118,0.09,941,0.74,387,0.30,413,0.32,800,0.63,71,0.06,333,0.26
02,Corpus Christi,178,NUECES,Others,78,70,0.90,65,0.83,3,0.04,56,0.72,25,0.32,23,0.29,48,0.62,7,0.09,24,0.31
02,Corpus Christi,205,SAN PATRICIO,African American,24,21,0.88,15,0.63,2,0.08,11,0.46,3,0.13,3,0.13,6,0.25,0,0.00,1,0.04
02,Corpus Christi,205,SAN PATRICIO,Hispanic,740,699,0.94,601,0.81,92,0.12,529,0.71,140,0.19,202,0.27,342,0.46,26,0.04,85,0.11
02,Corpus Christi,205,SAN PATRICIO,White,451,411,0.91,365,0.81,27,0.06,342,0.76,118,0.26,130,0.29,248,0.55,8,0.02,100,0.22
02,Corpus Christi,205,SAN PATRICIO,Others,15,14,0.93,13,0.87,1,0.07,12,0.80,8,0.53,3,0.20,11,0.73,0,0.00,7,0.47
02,Others,999,Other Counties,All Ethnicities,151,147,0.97,115,0.76,27,0.18,87,0.58,18,0.12,31,0.21,49,0.32,1,0.01,18,0.12
03,Victoria,029,CALHOUN,African American,11,10,0.91,10,0.91,1,0.09,7,0.64,2,0.18,5,0.45,7,0.64,2,0.18,2,0.18
03,Victoria,029,CALHOUN,Hispanic,158,152,0.96,128,0.81,16,0.10,115,0.73,15,0.09,61,0.39,76,0.48,2,0.01,18,0.11
03,Victoria,029,CALHOUN,White,120,119,0.99,116,0.97,2,0.02,102,0.85,21,0.18,54,0.45,75,0.63,1,0.01,26,0.22
03,Victoria,029,CALHOUN,Others,13,12,0.92,12,0.92,0,0.00,12,0.92,12,0.92,0,0.00,12,0.92,1,0.08,10,0.77
03,Victoria,045,COLORADO,Hispanic,72,66,0.92,51,0.71,9,0.13,41,0.57,3,0.04,22,0.31,25,0.35,5,0.07,5,0.07
03,Victoria,045,COLORADO,White,137,134,0.98,125,0.91,5,0.04,113,0.82,26,0.19,66,0.48,92,0.67,5,0.04,48,0.35
03,Victoria,045,COLORADO,Other Ethnicities,43,40,0.93,36,0.84,3,0.07,31,0.72,4,0.09,18,0.42,22,0.51,1,0.02,4,0.09
03,Victoria,062,DE WITT,African American,34,33,0.97,27,0.79,5,0.15,25,0.74,5,0.15,8,0.24,13,0.38,0,0.00,3,0.09
03,Victoria,062,DE WITT,Hispanic,129,122,0.95,93,0.72,27,0.21,82,0.64,5,0.04,40,0.31,45,0.35,6,0.05,12,0.09
03,Victoria,062,DE WITT,White,188,186,0.99,170,0.90,10,0.05,159,0.85,58,0.31,76,0.40,134,0.71,7,0.04,74,0.39
03,Victoria,088,GOLIAD,All Ethnicities,91,91,1.00,73,0.80,15,0.16,74,0.81,14,0.15,41,0.45,55,0.60,3,0.03,22,0.24
03,Victoria,120,JACKSON,Hispanic,85,81,0.95,76,0.89,3,0.04,69,0.81,4,0.05,39,0.46,43,0.51,0,0.00,18,0.21
03,Victoria,120,JACKSON,White,136,134,0.99,127,0.93,3,0.02,116,0.85,28,0.21,69,0.51,97,0.71,4,0.03,53,0.39
03,Victoria,120,JACKSON,Other Ethnicities,24,24,1.00,19,0.79,4,0.17,19,0.79,3,0.13,9,0.38,12,0.50,0,0.00,2,0.08
03,Victoria,128,KARNES,Hispanic,106,103,0.97,96,0.91,6,0.06,72,0.68,9,0.08,35,0.33,44,0.42,3,0.03,13,0.12
03,Victoria,128,KARNES,Other Ethnicities,64,64,1.00,62,0.97,2,0.03,58,0.91,30,0.47,20,0.31,50,0.78,2,0.03,26,0.41
03,Victoria,143,LAVACA,African American,17,17,1.00,15,0.88,2,0.12,12,0.71,2,0.12,7,0.41,9,0.53,0,0.00,2,0.12
03,Victoria,143,LAVACA,Hispanic,20,19,0.95,18,0.90,2,0.10,15,0.75,1,0.05,6,0.30,7,0.35,0,0.00,0,0.00
03,Victoria,143,LAVACA,White,133,126,0.95,123,0.92,2,0.02,111,0.83,33,0.25,65,0.49,98,0.74,9,0.07,61,0.46
03,Victoria,158,MATAGORDA,African American,95,92,0.97,74,0.78,10,0.11,61,0.64,24,0.25,24,0.25,48,0.51,4,0.04,12,0.13
03,Victoria,158,MATAGORDA,Hispanic,273,262,0.96,213,0.78,38,0.14,181,0.66,24,0.09,88,0.32,112,0.41,11,0.04,50,0.18
03,Victoria,158,MATAGORDA,White,236,221,0.94,202,0.86,13,0.06,187,0.79,46,0.19,98,0.42,144,0.61,3,0.01,79,0.33
03,Victoria,158,MATAGORDA,Others,18,18,1.00,18,1.00,0,0.00,16,0.89,5,0.28,8,0.44,13,0.72,1,0.06,4,0.22
03,Victoria,196,REFUGIO,Hispanic,71,37,0.52,56,0.79,9,0.13,57,0.80,1,0.01,30,0.42,31,0.44,0,0.00,13,0.18
03,Victoria,196,REFUGIO,Other Ethnicities,58,30,0.52,51,0.88,5,0.09,47,0.81,15,0.26,21,0.36,36,0.62,1,0.02,14,0.24
03,Victoria,235,VICTORIA,African American,92,82,0.89,55,0.60,28,0.30,49,0.53,15,0.16,30,0.33,45,0.49,11,0.12,11,0.12
03,Victoria,235,VICTORIA,Hispanic,609,545,0.89,343,0.56,200,0.33,286,0.47,29,0.05,206,0.34,235,0.39,49,0.08,53,0.09
03,Victoria,235,VICTORIA,White,419,367,0.88,310,0.74,61,0.15,281,0.67,70,0.17,196,0.47,266,0.63,46,0.11,107,0.26
03,Victoria,235,VICTORIA,Others,14,14,1.00,11,0.79,3,0.21,11,0.79,7,0.50,4,0.29,11,0.79,1,0.07,7,0.50
03,Victoria,241,WHARTON,Hispanic,273,259,0.95,203,0.74,38,0.14,163,0.60,8,0.03,104,0.38,112,0.41,12,0.04,38,0.14
03,Victoria,241,WHARTON,White,248,238,0.96,226,0.91,9,0.04,201,0.81,47,0.19,144,0.58,191,0.77,16,0.06,106,0.43
03,Victoria,241,WHARTON,Other Ethnicities,126,119,0.94,105,0.83,17,0.13,91,0.72,21,0.17,55,0.44,76,0.60,11,0.09,12,0.10
04,Houston,020,BRAZORIA,African American,459,441,0.96,394,0.86,39,0.08,322,0.70,112,0.24,157,0.34,269,0.59,38,0.08,89,0.19
04,Houston,020,BRAZORIA,Hispanic,1214,1165,0.96,908,0.75,232,0.19,818,0.67,92,0.08,511,0.42,603,0.50,65,0.05,196,0.16
04,Houston,020,BRAZORIA,White,2179,2082,0.96,1861,0.85,164,0.08,1668,0.77,409,0.19,1021,0.47,1430,0.66,128,0.06,657,0.30
04,Houston,020,BRAZORIA,Others,112,109,0.97,102,0.91,5,0.04,95,0.85,40,0.36,40,0.36,80,0.71,2,0.02,46,0.41
04,Houston,036,CHAMBERS,Hispanic,69,62,0.90,56,0.81,7,0.10,49,0.71,9,0.13,22,0.32,31,0.45,2,0.03,16,0.23
04,Houston,036,CHAMBERS,White,353,340,0.96,315,0.89,17,0.05,270,0.76,79,0.22,143,0.41,222,0.63,16,0.05,95,0.27
04,Houston,036,CHAMBERS,Other Ethnicities,47,47,1.00,40,0.85,5,0.11,31,0.66,17,0.36,8,0.17,25,0.53,1,0.02,7,0.15
04,Houston,079,FORT BEND,African American,2059,1921,0.93,1641,0.80,287,0.14,1417,0.69,634,0.31,704,0.34,1338,0.65,207,0.10,400,0.19
04,Houston,079,FORT BEND,Hispanic,1777,1663,0.94,1273,0.72,360,0.20,1055,0.59,177,0.10,618,0.35,795,0.45,126,0.07,259,0.15
04,Houston,079,FORT BEND,White,2217,2086,0.94,1923,0.87,125,0.06,1754,0.79,819,0.37,828,0.37,1647,0.74,186,0.08,920,0.41
04,Houston,079,FORT BEND,Others,972,935,0.96,900,0.93,29,0.03,868,0.89,515,0.53,237,0.24,752,0.77,35,0.04,509,0.52
04,Houston,084,GALVESTON,African American,888,844,0.95,686,0.77,146,0.16,556,0.63,177,0.20,344,0.39,521,0.59,72,0.08,141,0.16
04,Houston,084,GALVESTON,Hispanic,1211,1146,0.95,909,0.75,204,0.17,760,0.63,107,0.09,513,0.42,620,0.51,93,0.08,217,0.18
04,Houston,084,GALVESTON,White,3346,3181,0.95,2788,0.83,331,0.10,2486,0.74,831,0.25,1445,0.43,2276,0.68,264,0.08,1131,0.34
04,Houston,084,GALVESTON,Others,290,277,0.96,265,0.91,10,0.03,241,0.83,122,0.42,87,0.30,209,0.72,15,0.05,136,0.47
04,Houston,101,HARRIS,African American,11988,11067,0.92,8740,0.73,2221,0.19,7217,0.60,2656,0.22,3834,0.32,6490,0.54,1261,0.11,1472,0.12
04,Houston,101,HARRIS,Hispanic,22869,21174,0.93,16254,0.71,4429,0.19,13427,0.59,2146,0.09,7127,0.31,9273,0.41,1401,0.06,2849,0.12
