"Region Code","TEA Region","County Code","County Name","Gender","8th Grade (FY 2006)","Enrolled in 9th Grade (FY 2007)","% Enrolled in 9th Grade (FY 2007)","Enrolled in 10th Grade(FY 2008)","% Enrolled in 10th Grade (FY 2008)","Enrolled in <10th Grade (FY 2008)","% Enrolled in <10th Grade (FY 2008)","High School Graduate FY 2009-2011","% High School Graduate FY 2009-2011","Enrolled TX 4-year","% Enrolled TX 4-year","Enrolled TX 2-year","% Enrolled TX 2-year","Enrolled in Higher Education","% Enrolled in Higher Education","No Public HS Grad Record Enrolled in Higher Ed","% No Public HS Grad Record Enrolled in Higher Ed","Higher Ed Degree or Certificate Texas","% Higher Ed Degree or Certificate Texas"
01,Edinburg,031,CAMERON,Female,3457,3260,94.30%,2493,72.11%,702,20.31%,2611,75.53%,715,20.68%,1325,38.33%,2040,59.01%,111,3.21%,773,22.36%
01,Edinburg,031,CAMERON,Male,3513,3275,93.23%,2332,66.38%,907,25.82%,2571,73.19%,625,17.79%,1211,34.47%,1836,52.26%,100,2.85%,518,14.75%
01,Edinburg,108,HIDALGO,Female,6289,5943,94.50%,4877,77.55%,952,15.14%,4823,76.69%,1647,26.19%,2003,31.85%,3650,58.04%,168,2.67%,1578,25.09%
01,Edinburg,108,HIDALGO,Male,6350,5949,93.69%,4465,70.31%,1409,22.19%,4639,73.06%,1376,21.67%,1882,29.64%,3258,51.31%,177,2.79%,1017,16.02%
01,Edinburg,124,JIM HOGG,Female,36,35,97.22%,35,97.22%,0,0.00%,26,72.22%,8,22.22%,15,41.67%,23,63.89%,1,2.78%,8,22.22%
01,Edinburg,124,JIM HOGG,Male,39,38,97.44%,37,94.87%,1,2.56%,32,82.05%,11,28.21%,10,25.64%,21,53.85%,0,0.00%,6,15.38%
01,Edinburg,214,STARR,Female,635,605,95.28%,482,75.91%,99,15.59%,481,75.75%,116,18.27%,257,40.47%,373,58.74%,16,2.52%,170,26.77%
01,Edinburg,214,STARR,Male,564,541,95.92%,411,72.87%,125,22.16%,409,72.52%,89,15.78%,203,35.99%,292,51.77%,13,2.30%,113,20.04%
01,Edinburg,240,WEBB,Female,2118,2005,94.66%,1779,83.99%,201,9.49%,1740,82.15%,477,22.52%,978,46.18%,1455,68.70%,60,2.83%,592,27.95%
01,Edinburg,240,WEBB,Male,2246,2094,93.23%,1795,79.92%,292,13.00%,1750,77.92%,407,18.12%,959,42.70%,1366,60.82%,66,2.94%,442,19.68%
01,Edinburg,245,WILLACY,Female,166,149,89.76%,142,85.54%,15,9.04%,127,76.51%,33,19.88%,57,34.34%,90,54.22%,3,1.81%,25,15.06%
