Region Code,TEA Region,County Number,County Name,economic_status,enrolled_8th,enrolled_9th,enrolled_9th_percent,enrolled_10th,enrolled_10th_percent,lessthan_10th_enrolled,lessthan_10th_enrolled_percent,graduated,graduated_percent,enrolled_4yr,enrolled_4yr_percent,enrolled_2yr,enrolled_2yr_percent,total_enrolled,total_enrolled_percent,enrolled_wo_record,enrolled_wo_record_percent,total_degrees,total_degrees_percent
1,Edinburg,31,CAMERON,Not Economically Disadvantaged,905,870,0.96,752,0.83,104,0.11,770,0.85,362,0.4,315,0.35,677,0.75,25,0.03,295,0.33
1,Edinburg,31,CAMERON,Economically Disadvantaged,6065,5665,0.93,4073,0.67,1505,0.25,4412,0.73,978,0.16,2221,0.37,3199,0.53,186,0.03,996,0.16
1,Edinburg,108,HIDALGO,Not Economically Disadvantaged,1854,1747,0.94,1573,0.85,172,0.09,1591,0.86,853,0.46,522,0.28,1375,0.74,50,0.03,661,0.36
1,Edinburg,108,HIDALGO,Economically Disadvantaged,10785,10145,0.94,7769,0.72,2189,0.2,7871,0.73,2170,0.2,3363,0.31,5533,0.51,295,0.03,1934,0.18
1,Edinburg,124,JIM HOGG,Not Economically Disadvantaged,17,17,1,17,1, -   ,0,16,0.94,7,0.41,8,0.47,15,0.88, -   ,0,5,0.29
1,Edinburg,124,JIM HOGG,Economically Disadvantaged,58,56,0.97,55,0.95,1,0.02,42,0.72,12,0.21,17,0.29,29,0.5,1,0.02,9,0.16
1,Edinburg,214,STARR,Not Economically Disadvantaged,98,96,0.98,83,0.85,12,0.12,83,0.85,29,0.3,37,0.38,66,0.67,2,0.02,34,0.35
1,Edinburg,214,STARR,Economically Disadvantaged,1101,1050,0.95,810,0.74,212,0.19,807,0.73,176,0.16,423,0.38,599,0.54,27,0.02,249,0.23
1,Edinburg,240,WEBB,Not Economically Disadvantaged,763,720,0.94,675,0.88,42,0.06,667,0.87,249,0.33,344,0.45,593,0.78,27,0.04,274,0.36
1,Edinburg,240,WEBB,Economically Disadvantaged,3601,3379,0.94,2899,0.81,451,0.13,2823,0.78,635,0.18,1593,0.44,2228,0.62,99,0.03,760,0.21
1,Edinburg,245,WILLACY,Not Economically Disadvantaged,38,37,0.97,36,0.95,1,0.03,34,0.89,18,0.47,14,0.37,32,0.84,1,0.03,12,0.32
1,Edinburg,245,WILLACY,Economically Disadvantaged,306,281,0.92,255,0.83,34,0.11,232,0.76,48,0.16,101,0.33,149,0.49,4,0.01,37,0.12
1,Edinburg,253,ZAPATA,Not Economically Disadvantaged,49,46,0.94,42,0.86,3,0.06,37,0.76,19,0.39,14,0.29,33,0.67,2,0.04,20,0.41
1,Edinburg,253,ZAPATA,Economically Disadvantaged,212,209,0.99,180,0.85,20,0.09,160,0.75,46,0.22,53,0.25,99,0.47,4,0.02,36,0.17
2,Corpus Christi,4,ARANSAS,Not Economically Disadvantaged,123,115,0.94,109,0.89,3,0.02,101,0.82,43,0.35,40,0.33,83,0.67,4,0.03,33,0.27
2,Corpus Christi,4,ARANSAS,Economically Disadvantaged,173,160,0.92,133,0.77,17,0.1,114,0.66,25,0.14,48,0.28,73,0.42,4,0.02,20,0.12
2,Corpus Christi,13,BEE,Not Economically Disadvantaged,148,137,0.93,123,0.83,15,0.1,121,0.82,26,0.18,80,0.54,106,0.72,7,0.05,49,0.33
2,Corpus Christi,13,BEE,Economically Disadvantaged,263,252,0.96,194,0.74,50,0.19,192,0.73,19,0.07,108,0.41,127,0.48,10,0.04,31,0.12
2,Corpus Christi,24,BROOKS,Not Economically Disadvantaged, . , . ,., . ,., . ,., . ,., . ,., . ,., . ,., . ,., . ,.
2,Corpus Christi,24,BROOKS,Economically Disadvantaged, . , . ,., . ,., . ,., . ,., . ,., . ,., . ,., . ,., . ,.
