Region Code,TEA Region,County Code,County Name,Economic Status,8th Grade (FY 2006),Enrolled in 9th Grade (FY 2007),% Enrolled in 9th Grade (FY 2007),Enrolled in 10th Grade(FY 2008),% Enrolled in 10th Grade (FY 2008),Enrolled in <10th Grade (FY 2008),% Enrolled in <10th Grade (FY 2008),High School Graduate FY 2009-2011,% High School Graduate FY 2009-2011,Enrolled TX 4-year,% Enrolled TX 4-year,Enrolled TX 2-year,% Enrolled TX 2-year,Enrolled in Higher Education,% Enrolled in Higher Education,No Public HS Grad Record Enrolled in Higher Ed,% No Public HS Grad Record Enrolled in Higher Ed,Higher Ed Degree or Certificate Texas,% Higher Ed Degree or Certificate Texas
1,Edinburg,31,CAMERON,Not Economically Disadvantaged,905,870,0.96,752.00,0.83,104.00,0.11,770.00,0.85,362.00,0.40,315.00,0.35,677.00,0.75,25.00,0.03,295.00,0.33
1,Edinburg,31,CAMERON,Economically Disadvantaged,6065,5665,0.93,4073.00,0.67,1505.00,0.25,4412.00,0.73,978.00,0.16,2221.00,0.37,3199.00,0.53,186.00,0.03,996.00,0.16
1,Edinburg,108,HIDALGO,Not Economically Disadvantaged,1854,1747,0.94,1573.00,0.85,172.00,0.09,1591.00,0.86,853.00,0.46,522.00,0.28,1375.00,0.74,50.00,0.03,661.00,0.36
1,Edinburg,108,HIDALGO,Economically Disadvantaged,10785,10145,0.94,7769.00,0.72,2189.00,0.20,7871.00,0.73,2170.00,0.20,3363.00,0.31,5533.00,0.51,295.00,0.03,1934.00,0.18
1,Edinburg,124,JIM HOGG,Not Economically Disadvantaged,17,17,1.00,17.00,1.00,0.00,0.00,16.00,0.94,7.00,0.41,8.00,0.47,15.00,0.88,0.00,0.00,5.00,0.29
1,Edinburg,124,JIM HOGG,Economically Disadvantaged,58,56,0.97,55.00,0.95,1.00,0.02,42.00,0.72,12.00,0.21,17.00,0.29,29.00,0.50,1.00,0.02,9.00,0.16
1,Edinburg,214,STARR,Not Economically Disadvantaged,98,96,0.98,83.00,0.85,12.00,0.12,83.00,0.85,29.00,0.30,37.00,0.38,66.00,0.67,2.00,0.02,34.00,0.35
1,Edinburg,214,STARR,Economically Disadvantaged,1101,1050,0.95,810.00,0.74,212.00,0.19,807.00,0.73,176.00,0.16,423.00,0.38,599.00,0.54,27.00,0.02,249.00,0.23
1,Edinburg,240,WEBB,Not Economically Disadvantaged,763,720,0.94,675.00,0.88,42.00,0.06,667.00,0.87,249.00,0.33,344.00,0.45,593.00,0.78,27.00,0.04,274.00,0.36
1,Edinburg,240,WEBB,Economically Disadvantaged,3601,3379,0.94,2899.00,0.81,451.00,0.13,2823.00,0.78,635.00,0.18,1593.00,0.44,2228.00,0.62,99.00,0.03,760.00,0.21
1,Edinburg,245,WILLACY,Not Economically Disadvantaged,38,37,0.97,36.00,0.95,1.00,0.03,34.00,0.89,18.00,0.47,14.00,0.37,32.00,0.84,1.00,0.03,12.00,0.32
1,Edinburg,245,WILLACY,Economically Disadvantaged,306,281,0.92,255.00,0.83,34.00,0.11,232.00,0.76,48.00,0.16,101.00,0.33,149.00,0.49,4.00,0.01,37.00,0.12
1,Edinburg,253,ZAPATA,Not Economically Disadvantaged,49,46,0.94,42.00,0.86,3.00,0.06,37.00,0.76,19.00,0.39,14.00,0.29,33.00,0.67,2.00,0.04,20.00,0.41
1,Edinburg,253,ZAPATA,Economically Disadvantaged,212,209,0.99,180.00,0.85,20.00,0.09,160.00,0.75,46.00,0.22,53.00,0.25,99.00,0.47,4.00,0.02,36.00,0.17
2,Corpus Christi,4,ARANSAS,Not Economically Disadvantaged,123,115,0.94,109.00,0.89,3.00,0.02,101.00,0.82,43.00,0.35,40.00,0.33,83.00,0.67,4.00,0.03,33.00,0.27
2,Corpus Christi,4,ARANSAS,Economically Disadvantaged,173,160,0.92,133.00,0.77,17.00,0.10,114.00,0.66,25.00,0.14,48.00,0.28,73.00,0.42,4.00,0.02,20.00,0.12
2,Corpus Christi,13,BEE,Not Economically Disadvantaged,148,137,0.93,123.00,0.83,15.00,0.10,121.00,0.82,26.00,0.18,80.00,0.54,106.00,0.72,7.00,0.05,49.00,0.33
2,Corpus Christi,13,BEE,Economically Disadvantaged,263,252,0.96,194.00,0.74,50.00,0.19,192.00,0.73,19.00,0.07,108.00,0.41,127.00,0.48,10.00,0.04,31.00,0.12
2,Corpus Christi,24,BROOKS,Not Economically Disadvantaged,,,,,,,,,,,,,,,,,,,
2,Corpus Christi,24,BROOKS,Economically Disadvantaged,,,,,,,,,,,,,,,,,,,
2,Corpus Christi,66,DUVAL,Not Economically Disadvantaged,71,69,0.97,60.00,0.85,2.00,0.03,57.00,0.80,16.00,0.23,25.00,0.35,41.00,0.58,2.00,0.03,16.00,0.23
2,Corpus Christi,66,DUVAL,Economically Disadvantaged,137,128,0.93,115.00,0.84,13.00,0.09,98.00,0.72,26.00,0.19,39.00,0.28,65.00,0.47,3.00,0.02,23.00,0.17
2,Corpus Christi,125,JIM WELLS,Not Economically Disadvantaged,242,236,0.98,218.00,0.90,19.00,0.08,198.00,0.82,85.00,0.35,82.00,0.34,167.00,0.69,10.00,0.04,61.00,0.25
2,Corpus Christi,125,JIM WELLS,Economically Disadvantaged,431,413,0.96,306.00,0.71,104.00,0.24,276.00,0.64,67.00,0.16,115.00,0.27,182.00,0.42,13.00,0.03,40.00,0.09
2,Corpus Christi,137,KLEBERG,Not Economically Disadvantaged,153,147,0.96,123.00,0.80,19.00,0.12,127.00,0.83,74.00,0.48,41.00,0.27,115.00,0.75,7.00,0.05,50.00,0.33
2,Corpus Christi,137,KLEBERG,Economically Disadvantaged,280,258,0.92,177.00,0.63,78.00,0.28,179.00,0.64,65.00,0.23,56.00,0.20,121.00,0.43,10.00,0.04,37.00,0.13
2,Corpus Christi,149,LIVE OAK,Not Economically Disadvantaged,85,82,0.96,79.00,0.93,3.00,0.04,75.00,0.88,26.00,0.31,28.00,0.33,54.00,0.64,3.00,0.04,22.00,0.26
2,Corpus Christi,149,LIVE OAK,Economically Disadvantaged,70,69,0.99,60.00,0.86,3.00,0.04,47.00,0.67,5.00,0.07,27.00,0.39,32.00,0.46,2.00,0.03,9.00,0.13
2,Corpus Christi,162,MCMULLEN,Not Economically Disadvantaged,,,,,,,,,,,,,,,,,,,
2,Corpus Christi,162,MCMULLEN,Economically Disadvantaged,,,,,,,,,,,,,,,,,,,
2,Corpus Christi,178,NUECES,Not Economically Disadvantaged,2039,1895,0.93,1709.00,0.84,160.00,0.08,1646.00,0.81,650.00,0.32,723.00,0.35,1373.00,0.67,105.00,0.05,594.00,0.29
2,Corpus Christi,178,NUECES,Economically Disadvantaged,2604,2380,0.91,1856.00,0.71,471.00,0.18,1641.00,0.63,309.00,0.12,755.00,0.29,1064.00,0.41,107.00,0.04,206.00,0.08
2,Corpus Christi,205,SAN PATRICIO,Not Economically Disadvantaged,550,515,0.94,466.00,0.85,36.00,0.07,438.00,0.80,164.00,0.30,169.00,0.31,333.00,0.61,19.00,0.03,149.00,0.27
2,Corpus Christi,205,SAN PATRICIO,Economically Disadvantaged,651,589,0.90,473.00,0.73,105.00,0.16,451.00,0.69,92.00,0.14,146.00,0.22,238.00,0.37,11.00,0.02,44.00,0.07
3,Victoria,29,CALHOUN,Not Economically Disadvantaged,160,158,0.99,147.00,0.92,4.00,0.03,140.00,0.88,31.00,0.19,71.00,0.44,102.00,0.64,5.00,0.03,44.00,0.28
3,Victoria,29,CALHOUN,Economically Disadvantaged,182,169,0.93,149.00,0.82,19.00,0.10,134.00,0.74,13.00,0.07,55.00,0.30,68.00,0.37,1.00,0.01,20.00,0.11
3,Victoria,45,COLORADO,Not Economically Disadvantaged,158,154,0.97,141.00,0.89,9.00,0.06,141.00,0.89,33.00,0.21,76.00,0.48,109.00,0.69,2.00,0.01,67.00,0.42
3,Victoria,45,COLORADO,Economically Disadvantaged,128,117,0.91,99.00,0.77,17.00,0.13,90.00,0.70,12.00,0.09,33.00,0.26,45.00,0.35,2.00,0.02,17.00,0.13
3,Victoria,62,DE WITT,Not Economically Disadvantaged,170,168,0.99,149.00,0.88,8.00,0.05,141.00,0.83,59.00,0.35,70.00,0.41,129.00,0.76,11.00,0.06,70.00,0.41
3,Victoria,62,DE WITT,Economically Disadvantaged,179,173,0.97,124.00,0.69,34.00,0.19,116.00,0.65,13.00,0.07,41.00,0.23,54.00,0.30,2.00,0.01,15.00,0.08
3,Victoria,88,GOLIAD,Not Economically Disadvantaged,76,74,0.97,71.00,0.93,4.00,0.05,70.00,0.92,22.00,0.29,30.00,0.39,52.00,0.68,2.00,0.03,27.00,0.36
3,Victoria,88,GOLIAD,Economically Disadvantaged,39,37,0.95,30.00,0.77,6.00,0.15,27.00,0.69,1.00,0.03,14.00,0.36,15.00,0.38,1.00,0.03,4.00,0.10
3,Victoria,120,JACKSON,Not Economically Disadvantaged,141,138,0.98,133.00,0.94,2.00,0.01,123.00,0.87,38.00,0.27,61.00,0.43,99.00,0.70,4.00,0.03,52.00,0.37
3,Victoria,120,JACKSON,Economically Disadvantaged,109,103,0.95,89.00,0.82,4.00,0.04,76.00,0.70,8.00,0.07,33.00,0.30,41.00,0.38,1.00,0.01,11.00,0.10
3,Victoria,128,KARNES,Not Economically Disadvantaged,70,70,1.00,68.00,0.97,2.00,0.03,63.00,0.90,20.00,0.29,30.00,0.43,50.00,0.71,2.00,0.03,27.00,0.39
3,Victoria,128,KARNES,Economically Disadvantaged,90,87,0.97,74.00,0.82,11.00,0.12,63.00,0.70,6.00,0.07,27.00,0.30,33.00,0.37,1.00,0.01,6.00,0.07
3,Victoria,143,LAVACA,Not Economically Disadvantaged,109,103,0.95,101.00,0.93,1.00,0.01,90.00,0.83,30.00,0.28,49.00,0.45,79.00,0.72,11.00,0.10,51.00,0.47
3,Victoria,143,LAVACA,Economically Disadvantaged,56,53,0.95,49.00,0.88,5.00,0.09,44.00,0.79,11.00,0.20,19.00,0.34,30.00,0.54,3.00,0.05,16.00,0.29
3,Victoria,158,MATAGORDA,Not Economically Disadvantaged,268,256,0.96,236.00,0.88,9.00,0.03,225.00,0.84,63.00,0.24,112.00,0.42,175.00,0.65,4.00,0.01,101.00,0.38
3,Victoria,158,MATAGORDA,Economically Disadvantaged,316,300,0.95,260.00,0.82,35.00,0.11,238.00,0.75,31.00,0.10,103.00,0.33,134.00,0.42,2.00,0.01,50.00,0.16
3,Victoria,196,REFUGIO,Not Economically Disadvantaged,59,57,0.97,56.00,0.95,1.00,0.02,54.00,0.92,11.00,0.19,30.00,0.51,41.00,0.69,1.00,0.02,23.00,0.39
3,Victoria,196,REFUGIO,Economically Disadvantaged,59,55,0.93,51.00,0.86,5.00,0.08,47.00,0.80,2.00,0.03,26.00,0.44,28.00,0.47,2.00,0.03,3.00,0.05
3,Victoria,235,VICTORIA,Not Economically Disadvantaged,391,363,0.93,329.00,0.84,24.00,0.06,306.00,0.78,71.00,0.18,202.00,0.52,273.00,0.70,33.00,0.08,123.00,0.31
3,Victoria,235,VICTORIA,Economically Disadvantaged,705,637,0.90,489.00,0.69,126.00,0.18,392.00,0.56,28.00,0.04,193.00,0.27,221.00,0.31,23.00,0.03,36.00,0.05
3,Victoria,241,WHARTON,Not Economically Disadvantaged,257,251,0.98,238.00,0.93,12.00,0.05,233.00,0.91,43.00,0.17,163.00,0.63,206.00,0.80,5.00,0.02,113.00,0.44
3,Victoria,241,WHARTON,Economically Disadvantaged,346,328,0.95,290.00,0.84,28.00,0.08,252.00,0.73,27.00,0.08,125.00,0.36,152.00,0.44,7.00,0.02,53.00,0.15
4,Houston,20,BRAZORIA,Not Economically Disadvantaged,2571,2464,0.96,2286.00,0.89,137.00,0.05,2160.00,0.84,656.00,0.26,1167.00,0.45,1823.00,0.71,105.00,0.04,902.00,0.35
4,Houston,20,BRAZORIA,Economically Disadvantaged,1575,1483,0.94,1196.00,0.76,249.00,0.16,1082.00,0.69,119.00,0.08,528.00,0.34,647.00,0.41,58.00,0.04,177.00,0.11
4,Houston,36,CHAMBERS,Not Economically Disadvantaged,348,328,0.94,317.00,0.91,13.00,0.04,307.00,0.88,98.00,0.28,177.00,0.51,275.00,0.79,11.00,0.03,140.00,0.40
4,Houston,36,CHAMBERS,Economically Disadvantaged,160,145,0.91,124.00,0.78,13.00,0.08,109.00,0.68,19.00,0.12,43.00,0.27,62.00,0.39,3.00,0.02,16.00,0.10
4,Houston,79,FORT BEND,Not Economically Disadvantaged,4800,4533,0.94,4138.00,0.86,379.00,0.08,4019.00,0.84,1926.00,0.40,1573.00,0.33,3499.00,0.73,249.00,0.05,1895.00,0.39
4,Houston,79,FORT BEND,Economically Disadvantaged,2353,2154,0.92,1709.00,0.73,445.00,0.19,1620.00,0.69,400.00,0.17,771.00,0.33,1171.00,0.50,112.00,0.05,361.00,0.15
4,Houston,84,GALVESTON,Not Economically Disadvantaged,3937,3758,0.95,3411.00,0.87,261.00,0.07,3288.00,0.84,1202.00,0.31,1678.00,0.43,2880.00,0.73,207.00,0.05,1510.00,0.38
4,Houston,84,GALVESTON,Economically Disadvantaged,1772,1587,0.90,1193.00,0.67,344.00,0.19,1134.00,0.64,149.00,0.08,691.00,0.39,840.00,0.47,103.00,0.06,220.00,0.12
4,Houston,101,HARRIS,Not Economically Disadvantaged,23519,22149,0.94,20069.00,0.85,1688.00,0.07,19158.00,0.81,6777.00,0.29,8844.00,0.38,15621.00,0.66,1128.00,0.05,7186.00,0.31
4,Houston,101,HARRIS,Economically Disadvantaged,31268,28161,0.90,21045.00,0.67,6411.00,0.21,19770.00,0.63,3691.00,0.12,9302.00,0.30,12993.00,0.42,1450.00,0.05,3440.00,0.11
