Region Code,TEA Region,County Code,County Name,Gender,8th Grade (FY 2006),Enrolled in 9th Grade (FY 2007),% Enrolled in 9th Grade (FY 2007),Enrolled in 10th Grade(FY 2008),% Enrolled in 10th Grade (FY 2008),Enrolled in <10th Grade (FY 2008),% Enrolled in <10th Grade (FY 2008),High School Graduate FY 2009-2011,% High School Graduate FY 2009-2011,Enrolled TX 4-year,% Enrolled TX 4-year,Enrolled TX 2-year,% Enrolled TX 2-year,Enrolled in Higher Education,% Enrolled in Higher Education,No Public HS Grad Record Enrolled in Higher Ed,% No Public HS Grad Record Enrolled in Higher Ed,Higher Ed Degree or Certificate Texas,% Higher Ed Degree or Certificate Texas
1,Edinburg,31,CAMERON,Female,3457,3260,0.94,2493,0.72,702,0.20,2611,0.76,715,0.21,1325,0.38,2040,0.59,111,0.03,773,0.22
1,Edinburg,31,CAMERON,Male,3513,3275,0.93,2332,0.66,907,0.26,2571,0.73,625,0.18,1211,0.34,1836,0.52,100,0.03,518,0.15
1,Edinburg,108,HIDALGO,Female,6289,5943,0.95,4877,0.78,952,0.15,4823,0.77,1647,0.26,2003,0.32,3650,0.58,168,0.03,1578,0.25
1,Edinburg,108,HIDALGO,Male,6350,5949,0.94,4465,0.70,1409,0.22,4639,0.73,1376,0.22,1882,0.30,3258,0.51,177,0.03,1017,0.16
1,Edinburg,124,JIM HOGG,Female,36,35,0.97,35,0.97,0,0.00,26,0.72,8,0.22,15,0.42,23,0.64,1,0.03,8,0.22
1,Edinburg,124,JIM HOGG,Male,39,38,0.97,37,0.95,1,0.03,32,0.82,11,0.28,10,0.26,21,0.54,0,0.00,6,0.15
1,Edinburg,214,STARR,Female,635,605,0.95,482,0.76,99,0.16,481,0.76,116,0.18,257,0.40,373,0.59,16,0.03,170,0.27
1,Edinburg,214,STARR,Male,564,541,0.96,411,0.73,125,0.22,409,0.73,89,0.16,203,0.36,292,0.52,13,0.02,113,0.20
1,Edinburg,240,WEBB,Female,2118,2005,0.95,1779,0.84,201,0.09,1740,0.82,477,0.23,978,0.46,1455,0.69,60,0.03,592,0.28
1,Edinburg,240,WEBB,Male,2246,2094,0.93,1795,0.80,292,0.13,1750,0.78,407,0.18,959,0.43,1366,0.61,66,0.03,442,0.20
1,Edinburg,245,WILLACY,Female,166,149,0.90,142,0.86,15,0.09,127,0.77,33,0.20,57,0.34,90,0.54,3,0.02,25,0.15
1,Edinburg,245,WILLACY,Male,178,169,0.95,149,0.84,20,0.11,139,0.78,33,0.19,58,0.33,91,0.51,2,0.01,24,0.13
