Region Code,TEA Region,County Number,County Name,economic_status,enrolled_8th,enrolled_9th,enrolled_9th_percent,enrolled_10th,enrolled_10th_percent,lessthan_10th_enrolled,lessthan_10th_enrolled_percent,graduated,graduated_percent,enrolled_4yr,enrolled_4yr_percent,enrolled_2yr,enrolled_2yr_percent,total_enrolled,total_enrolled_percent,enrolled_wo_record,enrolled_wo_record_per,total_degrees,total_degrees_percent,,
01,Edinburg,031,CAMERON,Not Economically Disadvantaged, 864 , 828 ,96%, 740 ,86%, 72 ,8%, 733 ,85%, 356 ,41%, 288 ,33%, 644 ,75%, 38 ,4%, 293 ,34%,,
01,Edinburg,031,CAMERON,Economically Disadvantaged," 6,126 "," 5,780 ",94%," 4,422 ",72%," 1,289 ",21%," 4,676 ",76%," 1,200 ",20%," 2,046 ",33%," 3,246 ",53%, 134 ,2%," 1,038 ",17%,,
01,Edinburg,108,HIDALGO,Not Economically Disadvantaged," 1,995 "," 1,898 ",95%," 1,669 ",84%, 200 ,10%," 1,711 ",86%, 874 ,44%, 553 ,28%," 1,427 ",72%, 50 ,3%, 708 ,35%,,
01,Edinburg,108,HIDALGO,Economically Disadvantaged," 11,296 "," 10,721 ",95%," 8,275 ",73%," 2,151 ",19%," 8,554 ",76%," 2,338 ",21%," 3,508 ",31%," 5,846 ",52%, 253 ,2%," 2,181 ",19%,,
01,Edinburg,124,JIM HOGG,Not Economically Disadvantaged, 18 , 17 ,94%, 17 ,94%, 1 ,6%, 17 ,94%, 6 ,33%, 10 ,56%, 16 ,89%, -   ,0%, 7 ,39%,,
01,Edinburg,124,JIM HOGG,Economically Disadvantaged, 68 , 66 ,97%, 57 ,84%, 9 ,13%, 54 ,79%, 19 ,28%, 19 ,28%, 38 ,56%, 1 ,1%, 11 ,16%,,
01,Edinburg,214,STARR,Not Economically Disadvantaged, 101 , 99 ,98%, 79 ,78%, 13 ,13%, 81 ,80%, 33 ,33%, 31 ,31%, 64 ,63%, 2 ,2%, 36 ,36%,,
01,Edinburg,214,STARR,Economically Disadvantaged," 1,136 "," 1,072 ",94%, 877 ,77%, 170 ,15%, 874 ,77%, 198 ,17%, 437 ,38%, 635 ,56%, 21 ,2%, 301 ,27%,,
01,Edinburg,240,WEBB,Not Economically Disadvantaged, 765 , 722 ,94%, 697 ,91%, 16 ,2%, 622 ,81%, 279 ,36%, 324 ,42%, 603 ,79%, 72 ,9%, 304 ,40%,,
01,Edinburg,240,WEBB,Economically Disadvantaged," 3,634 "," 3,443 ",95%," 3,056 ",84%, 324 ,9%," 2,770 ",76%, 593 ,16%," 1,622 ",45%," 2,215 ",61%, 115 ,3%, 770 ,21%,,
01,Edinburg,245,WILLACY,Not Economically Disadvantaged, 40 , 39 ,98%, 36 ,90%, 1 ,3%, 39 ,98%, 19 ,48%, 14 ,35%, 33 ,83%, 1 ,3%, 15 ,38%,,
01,Edinburg,245,WILLACY,Economically Disadvantaged, 291 , 271 ,93%, 227 ,78%, 41 ,14%, 227 ,78%, 42 ,14%, 98 ,34%, 140 ,48%, 2 ,1%, 38 ,13%,,
01,Edinburg,253,ZAPATA,Not Economically Disadvantaged, 46 , 45 ,98%, 44 ,96%, 1 ,2%, 41 ,89%, 20 ,43%, 13 ,28%, 33 ,72%, 1 ,2%, 14 ,30%,,
01,Edinburg,253,ZAPATA,Economically Disadvantaged, 201 , 198 ,99%, 180 ,90%, 12 ,6%, 170 ,85%, 43 ,21%, 59 ,29%, 102 ,51%, 2 ,1%, 38 ,19%,,
02,Corpus Christi,004,ARANSAS,Not Economically Disadvantaged, 118 , 111 ,94%, 104 ,88%, 5 ,4%, 99 ,84%, 43 ,36%, 28 ,24%, 71 ,60%, 2 ,2%, 33 ,28%,,
02,Corpus Christi,004,ARANSAS,Economically Disadvantaged, 155 , 140 ,90%, 118 ,76%, 10 ,6%, 91 ,59%, 21 ,14%, 24 ,15%, 45 ,29%, 3 ,2%, 16 ,10%,,
02,Corpus Christi,013,BEE,Not Economically Disadvantaged, 172 , 154 ,90%, 138 ,80%, 17 ,10%, 129 ,75%, 26 ,15%, 89 ,52%, 115 ,67%, 16 ,9%, 46 ,27%,,
02,Corpus Christi,013,BEE,Economically Disadvantaged, 253 , 241 ,95%, 174 ,69%, 60 ,24%, 172 ,68%, 10 ,4%, 91 ,36%, 101 ,40%, 7 ,3%, 25 ,10%,,
