Region Code,TEA Region,County Number,County Name,gender,enrolled_8th,enrolled_9th,enrolled_9th_percent,enrolled_10th,enrolled_10th_percent,lessthan_10th_enrolled,lessthan_10th_enrolled_percent,graduated,graduated_percent,enrolled_4yr,enrolled_4yr_percent,enrolled_2yr,enrolled_2yr_percent,total_enrolled,total_enrolled_percent,enrolled_wo_record,enrolled_wo_record_percent,total_degrees,total_degrees_percent
1,Edinburg,31,CAMERON,Female,3442,3193,0.93,2711,0.79,496,0.14,2746,0.80,1008,0.29,987,0.29,1995,0.58,83,0.02,835,0.24
1,Edinburg,31,CAMERON,Male,3623,3356,0.93,2629,0.73,753,0.21,2778,0.77,846,0.23,1008,0.28,1854,0.51,84,0.02,582,0.16
1,Edinburg,108,HIDALGO,Female,6582,6226,0.95,5254,0.80,838,0.13,5371,0.82,1822,0.28,1986,0.30,3808,0.58,111,0.02,1765,0.27
1,Edinburg,108,HIDALGO,Male,6618,6249,0.94,4917,0.74,1246,0.19,5122,0.77,1428,0.22,1861,0.28,3289,0.50,117,0.02,1175,0.18
1,Edinburg,124,JIM HOGG,Female,34,30,0.88,25,0.74,6,0.18,24,0.71,5,0.15,10,0.29,15,0.44, -   ,0.00,6,0.18
1,Edinburg,124,JIM HOGG,Male,41,36,0.88,33,0.80,5,0.12,32,0.78,8,0.20,10,0.24,18,0.44, -   ,0.00,4,0.10
1,Edinburg,214,STARR,Female,612,587,0.96,520,0.85,48,0.08,508,0.83,150,0.25,226,0.37,376,0.61,14,0.02,194,0.32
1,Edinburg,214,STARR,Male,613,586,0.96,509,0.83,73,0.12,474,0.77,117,0.19,191,0.31,308,0.50,7,0.01,126,0.21
1,Edinburg,240,WEBB,Female,2196,2065,0.94,1847,0.84,185,0.08,1782,0.81,486,0.22,972,0.44,1458,0.66,44,0.02,638,0.29
1,Edinburg,240,WEBB,Male,2365,2243,0.95,1910,0.81,280,0.12,1853,0.78,434,0.18,965,0.41,1399,0.59,52,0.02,494,0.21
1,Edinburg,245,WILLACY,Female,151,145,0.96,133,0.88,8,0.05,128,0.85,40,0.26,56,0.37,96,0.64,2,0.01,38,0.25
1,Edinburg,245,WILLACY,Male,185,178,0.96,159,0.86,15,0.08,156,0.84,37,0.20,64,0.35,101,0.55,2,0.01,26,0.14
1,Edinburg,253,ZAPATA,Female,103,100,0.97,95,0.92,2,0.02,92,0.89,25,0.24,33,0.32,58,0.56, -   ,0.00,22,0.21
1,Edinburg,253,ZAPATA,Male,103,98,0.95,91,0.88,5,0.05,83,0.81,25,0.24,22,0.21,47,0.46, -   ,0.00,21,0.20
2,Corpus Christi,4,ARANSAS,Female,114,107,0.94,100,0.88,7,0.06,85,0.75,30,0.26,19,0.17,49,0.43,3,0.03,20,0.18
2,Corpus Christi,4,ARANSAS,Male,137,128,0.93,112,0.82,12,0.09,98,0.72,23,0.17,30,0.22,53,0.39,2,0.01,21,0.15
2,Corpus Christi,13,BEE,Female,191,183,0.96,143,0.75,37,0.19,152,0.80,26,0.14,88,0.46,114,0.60,3,0.02,55,0.29
2,Corpus Christi,13,BEE,Male,197,190,0.96,143,0.73,47,0.24,161,0.82,31,0.16,66,0.34,97,0.49,3,0.02,38,0.19
2,Corpus Christi,24,BROOKS,Female, . , . ,., . ,., . ,., . ,., . ,., . ,., . ,., . ,., . ,.
2,Corpus Christi,24,BROOKS,Male, . , . ,., . ,., . ,., . ,., . ,., . ,., . ,., . ,., . ,.
2,Corpus Christi,66,DUVAL,Female,105,97,0.92,90,0.86,11,0.10,83,0.79,29,0.28,28,0.27,57,0.54,3,0.03,22,0.21
2,Corpus Christi,66,DUVAL,Male,89,86,0.97,81,0.91,4,0.04,72,0.81,19,0.21,25,0.28,44,0.49,2,0.02,19,0.21
2,Corpus Christi,125,JIM WELLS,Female,290,274,0.94,241,0.83,32,0.11,216,0.74,65,0.22,93,0.32,158,0.54,9,0.03,66,0.23
2,Corpus Christi,125,JIM WELLS,Male,273,259,0.95,201,0.74,49,0.18,199,0.73,72,0.26,54,0.20,126,0.46,4,0.01,51,0.19
2,Corpus Christi,137,KLEBERG,Female,163,145,0.89,123,0.75,23,0.14,115,0.71,51,0.31,43,0.26,94,0.58,11,0.07,47,0.29
2,Corpus Christi,137,KLEBERG,Male,199,187,0.94,151,0.76,34,0.17,144,0.72,65,0.33,33,0.17,98,0.49,9,0.05,30,0.15
2,Corpus Christi,149,LIVE OAK,Female,78,75,0.96,66,0.85,6,0.08,55,0.71,13,0.17,23,0.29,36,0.46,5,0.06,15,0.19
2,Corpus Christi,149,LIVE OAK,Male,70,63,0.90,57,0.81,9,0.13,49,0.70,12,0.17,22,0.31,34,0.49,2,0.03,16,0.23
2,Corpus Christi,162,MCMULLEN,Female, . , . ,., . ,., . ,., . ,., . ,., . ,., . ,., . ,., . ,.
2,Corpus Christi,162,MCMULLEN,Male, . , . ,., . ,., . ,., . ,., . ,., . ,., . ,., . ,., . ,.
2,Corpus Christi,178,NUECES,Female,2141,1982,0.93,1783,0.83,199,0.09,1682,0.79,574,0.27,696,0.33,1270,0.59,79,0.04,479,0.22
2,Corpus Christi,178,NUECES,Male,2317,2101,0.91,1809,0.78,328,0.14,1732,0.75,477,0.21,646,0.28,1123,0.48,94,0.04,365,0.16
2,Corpus Christi,205,SAN PATRICIO,Female,516,477,0.92,425,0.82,41,0.08,402,0.78,135,0.26,137,0.27,272,0.53,11,0.02,122,0.24
2,Corpus Christi,205,SAN PATRICIO,Male,571,532,0.93,460,0.81,50,0.09,438,0.77,113,0.20,127,0.22,240,0.42,6,0.01,100,0.18
3,Victoria,29,CALHOUN,Female,167,155,0.93,141,0.84,15,0.09,134,0.80,19,0.11,64,0.38,83,0.50,4,0.02,38,0.23
3,Victoria,29,CALHOUN,Male,149,144,0.97,135,0.91,6,0.04,121,0.81,11,0.07,43,0.29,54,0.36,1,0.01,18,0.12
3,Victoria,45,COLORADO,Female,114,102,0.89,91,0.80,18,0.16,98,0.86,26,0.23,46,0.40,72,0.63,2,0.02,34,0.30
3,Victoria,45,COLORADO,Male,138,133,0.96,123,0.89,10,0.07,111,0.80,19,0.14,57,0.41,76,0.55,5,0.04,31,0.22
3,Victoria,62,DE WITT,Female,134,130,0.97,120,0.90,6,0.04,109,0.81,26,0.19,64,0.48,90,0.67,4,0.03,41,0.31
3,Victoria,62,DE WITT,Male,164,153,0.93,139,0.85,13,0.08,126,0.77,9,0.05,49,0.30,58,0.35,3,0.02,29,0.18
3,Victoria,88,GOLIAD,Female,57,54,0.95,51,0.89,4,0.07,47,0.82,11,0.19,26,0.46,37,0.65,4,0.07,14,0.25
3,Victoria,88,GOLIAD,Male,62,60,0.97,57,0.92,2,0.03,57,0.92,13,0.21,23,0.37,36,0.58, -   ,0.00,20,0.32
3,Victoria,120,JACKSON,Female,106,103,0.97,97,0.92,7,0.07,94,0.89,17,0.16,59,0.56,76,0.72,2,0.02,42,0.40
3,Victoria,120,JACKSON,Male,115,111,0.97,103,0.90,7,0.06,100,0.87,22,0.19,46,0.40,68,0.59,4,0.03,39,0.34
3,Victoria,128,KARNES,Female,76,75,0.99,73,0.96,1,0.01,69,0.91,19,0.25,23,0.30,42,0.55,1,0.01,22,0.29
3,Victoria,128,KARNES,Male,73,73,1.00,68,0.93,2,0.03,62,0.85,12,0.16,22,0.30,34,0.47,1,0.01,17,0.23
3,Victoria,143,LAVACA,Female,89,86,0.97,82,0.92,4,0.04,77,0.87,22,0.25,42,0.47,64,0.72,4,0.04,36,0.40
3,Victoria,143,LAVACA,Male,76,70,0.92,67,0.88,5,0.07,66,0.87,12,0.16,33,0.43,45,0.59,2,0.03,27,0.36
3,Victoria,158,MATAGORDA,Female,290,285,0.98,265,0.91,8,0.03,233,0.80,45,0.16,119,0.41,164,0.57,5,0.02,67,0.23
3,Victoria,158,MATAGORDA,Male,283,271,0.96,243,0.86,21,0.07,219,0.77,33,0.12,102,0.36,135,0.48,6,0.02,55,0.19
3,Victoria,196,REFUGIO,Female,51,47,0.92,45,0.88,4,0.08,43,0.84,6,0.12,23,0.45,29,0.57,2,0.04,6,0.12
3,Victoria,196,REFUGIO,Male,46,45,0.98,41,0.89,3,0.07,39,0.85,8,0.17,15,0.33,23,0.50, -   ,0.00,10,0.22
3,Victoria,235,VICTORIA,Female,479,415,0.87,391,0.82,38,0.08,336,0.70,61,0.13,211,0.44,272,0.57,24,0.05,111,0.23
3,Victoria,235,VICTORIA,Male,565,482,0.85,404,0.72,89,0.16,357,0.63,53,0.09,184,0.33,237,0.42,34,0.06,83,0.15
3,Victoria,241,WHARTON,Female,274,258,0.94,243,0.89,15,0.05,234,0.85,41,0.15,124,0.45,165,0.60,6,0.02,80,0.29
3,Victoria,241,WHARTON,Male,342,322,0.94,285,0.83,39,0.11,279,0.82,34,0.10,153,0.45,187,0.55,3,0.01,90,0.26
4,Houston,20,BRAZORIA,Female,1990,1910,0.96,1759,0.88,124,0.06,1662,0.84,428,0.22,843,0.42,1271,0.64,62,0.03,651,0.33
4,Houston,20,BRAZORIA,Male,2185,2072,0.95,1811,0.83,251,0.11,1730,0.79,348,0.16,840,0.38,1188,0.54,63,0.03,500,0.23
4,Houston,36,CHAMBERS,Female,233,221,0.95,210,0.90,13,0.06,191,0.82,59,0.25,101,0.43,160,0.69,10,0.04,90,0.39
