Region Code,TEA Region,County Number,County Name,gender,enrolled_8th,enrolled_9th,enrolled_9th_percent,enrolled_10th,enrolled_10th_percent,lessthan_10th_enrolled,lessthan_10th_enrolled_percent,graduated,graduated_percent,enrolled_4yr,enrolled_4yr_percent,enrolled_2yr,enrolled_2yr_percent,total_enrolled,total_enrolled_percent,enrolled_wo_record,enrolled_wo_record_percent,total_degrees,total_degrees_percent
1,Edinburg,31,CAMERON,Female,3498,3303,94%,2825,81%,440,13%,2838,81%,1021,29%,953,27%,1974,56%,80,2%,925,26%
1,Edinburg,31,CAMERON,Male,3673,3458,94%,2770,75%,647,18%,2859,78%,828,23%,969,26%,1797,49%,71,2%,639,17%
1,Edinburg,108,HIDALGO,Female,6751,6386,95%,5472,81%,828,12%,5501,81%,1914,28%,1992,30%,3906,58%,114,2%,1828,27%
1,Edinburg,108,HIDALGO,Male,6984,6640,95%,5373,77%,1231,18%,5532,79%,1608,23%,1953,28%,3561,51%,92,1%,1337,19%
1,Edinburg,124,JIM HOGG,Female,33,33,100%,30,91%,2,6%,27,82%,9,27%,15,45%,24,73%,2,6%,14,42%
1,Edinburg,124,JIM HOGG,Male,48,47,98%,41,85%,7,15%,42,88%,10,21%,14,29%,24,50%,,0%,8,17%
1,Edinburg,214,STARR,Female,598,571,95%,519,87%,46,8%,494,83%,141,24%,216,36%,357,60%,5,1%,180,30%
1,Edinburg,214,STARR,Male,649,625,96%,556,86%,64,10%,535,82%,136,21%,201,31%,337,52%,2,0%,161,25%
1,Edinburg,240,WEBB,Female,2221,2093,94%,1880,85%,200,9%,1846,83%,528,24%,949,43%,1477,67%,32,1%,701,32%
1,Edinburg,240,WEBB,Male,2389,2241,94%,1909,80%,364,15%,1894,79%,438,18%,917,38%,1355,57%,33,1%,517,22%
1,Edinburg,245,WILLACY,Female,170,164,96%,148,87%,16,9%,142,84%,34,20%,51,30%,85,50%,1,1%,37,22%
1,Edinburg,245,WILLACY,Male,152,148,97%,126,83%,14,9%,122,80%,21,14%,48,32%,69,45%,3,2%,24,16%
1,Edinburg,253,ZAPATA,Female,118,113,96%,112,95%,2,2%,108,92%,40,34%,29,25%,69,58%,,0%,31,26%
1,Edinburg,253,ZAPATA,Male,132,127,96%,122,92%,3,2%,100,76%,32,24%,38,29%,70,53%,4,3%,41,31%
2,Corpus Christi,4,ARANSAS,Female,109,98,90%,96,88%,3,3%,77,71%,31,28%,19,17%,50,46%,1,1%,22,20%
2,Corpus Christi,4,ARANSAS,Male,140,129,92%,120,86%,6,4%,107,76%,26,19%,28,20%,54,39%,2,1%,20,14%
2,Corpus Christi,13,BEE,Female,196,189,96%,167,85%,22,11%,155,79%,38,19%,74,38%,112,57%,6,3%,58,30%
2,Corpus Christi,13,BEE,Male,204,200,98%,164,80%,33,16%,159,78%,16,8%,70,34%,86,42%,1,0%,44,22%
2,Corpus Christi,24,BROOKS,Female,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
2,Corpus Christi,24,BROOKS,Male,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
2,Corpus Christi,66,DUVAL,Female,113,111,98%,100,89%,6,5%,83,73%,24,21%,29,26%,53,47%,3,3%,28,25%
