Region Code,TEA Region,County Number,County Name,economic_status,enrolled_8th,enrolled_9th,enrolled_9th_percent,enrolled_10th,enrolled_10th_percent,lessthan_10th_enrolled,lessthan_10th_enrolled_percent,graduated,graduated_percent,enrolled_4yr,enrolled_4yr_percent,enrolled_2yr,enrolled_2yr_percent,total_enrolled,total_enrolled_percent,enrolled_wo_record,enrolled_wo_record_per,total_degrees,total_degrees_percent
01,Edinburg,031,CAMERON,Not Economically Disadvantaged,941,911,97%,859,91%,40,4%,833,89%,433,46%,252,27%,685,73%,23,2%,377,40%
01,Edinburg,031,CAMERON,Economically Disadvantaged,6193,5928,96%,5076,82%,757,12%,4976,80%,1361,22%,1775,29%,3136,51%,74,1%,1296,21%
01,Edinburg,108,HIDALGO,Not Economically Disadvantaged,2238,2137,95%,1980,88%,131,6%,1981,89%,1018,45%,641,29%,1659,74%,34,2%,925,41%
01,Edinburg,108,HIDALGO,Economically Disadvantaged,11926,11379,95%,9476,79%,1702,14%,9492,80%,2723,23%,3401,29%,6124,51%,150,1%,2539,21%
01,Edinburg,124,JIM HOGG,Not Economically Disadvantaged,18,18,100%,18,100%,*,*,16,89%,7,39%,7,39%,14,78%,*,*,10,56%
01,Edinburg,124,JIM HOGG,Economically Disadvantaged,49,49,100%,45,92%,*,*,40,82%,17,35%,14,29%,31,63%,*,*,11,22%
01,Edinburg,214,STARR,Not Economically Disadvantaged,48,47,98%,43,90%,*,*,42,88%,17,35%,16,33%,33,69%,*,*,20,42%
01,Edinburg,214,STARR,Economically Disadvantaged,1184,1146,97%,1048,89%,67,6%,971,82%,219,19%,449,38%,668,56%,14,1%,341,29%
01,Edinburg,240,WEBB,Not Economically Disadvantaged,843,818,97%,798,95%,18,2%,775,92%,317,38%,365,43%,682,81%,10,1%,376,45%
01,Edinburg,240,WEBB,Economically Disadvantaged,3949,3717,94%,3235,82%,452,11%,3092,78%,691,18%,1523,39%,2214,56%,66,2%,932,24%
01,Edinburg,245,WILLACY,Not Economically Disadvantaged,45,44,98%,43,96%,*,*,44,98%,20,44%,10,22%,30,67%,*,*,10,22%
01,Edinburg,245,WILLACY,Economically Disadvantaged,281,275,98%,253,90%,20,7%,242,86%,62,22%,87,31%,149,53%,*,*,55,20%
01,Edinburg,253,ZAPATA,Not Economically Disadvantaged,86,84,98%,82,95%,*,*,78,91%,28,33%,34,40%,62,72%,*,*,31,36%
01,Edinburg,253,ZAPATA,Economically Disadvantaged,150,145,97%,141,94%,*,*,120,80%,29,19%,32,21%,61,41%,*,*,32,21%
02,Corpus Christi,004,ARANSAS,Not Economically Disadvantaged,74,72,97%,69,93%,*,*,61,82%,21,28%,21,28%,42,57%,*,*,23,31%
02,Corpus Christi,004,ARANSAS,Economically Disadvantaged,157,148,94%,134,85%,12,8%,103,66%,25,16%,23,15%,48,31%,*,*,16,10%
02,Corpus Christi,013,BEE,Not Economically Disadvantaged,120,118,98%,107,89%,11,9%,107,89%,18,15%,61,51%,79,66%,*,*,48,40%
02,Corpus Christi,013,BEE,Economically Disadvantaged,240,230,96%,200,83%,32,13%,163,68%,7,3%,79,33%,86,36%,7,3%,33,14%
02,Corpus Christi,024,BROOKS,Not Economically Disadvantaged,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
02,Corpus Christi,024,BROOKS,Economically Disadvantaged,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
02,Corpus Christi,066,DUVAL,Not Economically Disadvantaged,65,64,98%,61,94%,*,*,55,85%,18,28%,25,38%,43,66%,*,*,18,28%
02,Corpus Christi,066,DUVAL,Economically Disadvantaged,141,130,92%,121,86%,13,9%,103,73%,15,11%,37,26%,52,37%,*,*,13,9%
02,Corpus Christi,125,JIM WELLS,Not Economically Disadvantaged,196,192,98%,177,90%,10,5%,160,82%,65,33%,65,33%,130,66%,5,3%,75,38%
02,Corpus Christi,125,JIM WELLS,Economically Disadvantaged,463,443,96%,348,75%,80,17%,322,70%,69,15%,124,27%,193,42%,7,2%,72,16%
02,Corpus Christi,137,KLEBERG,Not Economically Disadvantaged,114,106,93%,96,84%,8,7%,102,89%,56,49%,26,23%,82,72%,*,*,53,46%
02,Corpus Christi,137,KLEBERG,Economically Disadvantaged,273,255,93%,184,67%,51,19%,175,64%,52,19%,64,23%,116,42%,9,3%,36,13%
02,Corpus Christi,149,LIVE OAK,Not Economically Disadvantaged,77,77,100%,76,99%,*,*,72,94%,38,49%,25,32%,63,82%,*,*,42,55%
02,Corpus Christi,149,LIVE OAK,Economically Disadvantaged,53,48,91%,41,77%,6,11%,40,75%,5,9%,15,28%,20,38%,*,*,9,17%
02,Corpus Christi,162,MCMULLEN,Not Economically Disadvantaged,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
02,Corpus Christi,162,MCMULLEN,Economically Disadvantaged,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
02,Corpus Christi,178,NUECES,Not Economically Disadvantaged,1721,1612,94%,1515,88%,73,4%,1467,85%,605,35%,557,32%,1162,68%,44,3%,556,32%
