Region Code,TEA Region,County Number,County Name,sy_end,demo_cat_type,economic_status,enrolled_8th,graduated,total_enrolled,total_degrees,graduated_percent,total_enrolled_percent,total_degrees_percent
1,EDINBURG,31,CAMERON,2013,econ_status,Economically Disadvantaged,6648,5491,3432,1486,82%,51%,22%
1,EDINBURG,31,CAMERON,2013,econ_status,Not Economically Disadvantaged,1065,971,754,452,91%,70%,42%
1,EDINBURG,108,HIDALGO,2013,econ_status,Economically Disadvantaged,12583,10577,6504,2734,84%,51%,21%
1,EDINBURG,108,HIDALGO,2013,econ_status,Not Economically Disadvantaged,2492,2266,1847,1077,90%,74%,43%
1,EDINBURG,124,JIM HOGG,2013,econ_status,Economically Disadvantaged,57,49,30,15,85%,52%,26%
1,EDINBURG,124,JIM HOGG,2013,econ_status,Not Economically Disadvantaged,17,17,15,6,100%,88%,35%
1,EDINBURG,214,STARR,2013,econ_status,Economically Disadvantaged,1152,942,654,367,81%,56%,31%
1,EDINBURG,214,STARR,2013,econ_status,Not Economically Disadvantaged,83,78,67,38,93%,80%,45%
1,EDINBURG,240,WEBB,2013,econ_status,Economically Disadvantaged,4036,3383,2242,977,83%,55%,24%
1,EDINBURG,240,WEBB,2013,econ_status,Not Economically Disadvantaged,837,741,642,375,88%,76%,44%
1,EDINBURG,245,WILLACY,2013,econ_status,Economically Disadvantaged,291,248,135,54,85%,46%,18%
1,EDINBURG,245,WILLACY,2013,econ_status,Not Economically Disadvantaged,29,27,24,13,93%,82%,44%
1,EDINBURG,253,ZAPATA,2013,econ_status,Economically Disadvantaged,189,162,93,43,85%,49%,22%
1,EDINBURG,253,ZAPATA,2013,econ_status,Not Economically Disadvantaged,70,64,48,34,91%,68%,48%
2,CORPUS CHRISTI,4,ARANSAS,2013,econ_status,Economically Disadvantaged,135,96,36,15,71%,26%,11%
2,CORPUS CHRISTI,4,ARANSAS,2013,econ_status,Not Economically Disadvantaged,100,83,57,25,83%,56%,25%
2,CORPUS CHRISTI,13,BEE,2013,econ_status,Economically Disadvantaged,220,176,105,38,80%,47%,17%
2,CORPUS CHRISTI,13,BEE,2013,econ_status,Not Economically Disadvantaged,129,113,86,53,87%,66%,41%
2,CORPUS CHRISTI,24,BROOKS,2013,econ_status,Economically Disadvantaged,96,75,43,17,78%,44%,17%
