Region Code,TEA Region,County Number,County Name,sy_end,demo_cat_type,ethnicity,enrolled_8th,graduated,total_enrolled,total_degrees,graduated_percent,total_enrolled_percent,total_degrees_percent
1,EDINBURG,31,CAMERON,2013,ethnicity,Hispanic,7449,6245,4014,1826,83%,53%,24%
1,EDINBURG,31,CAMERON,2013,ethnicity,Others,67,62,50,41,92%,74%,61%
1,EDINBURG,31,CAMERON,2013,ethnicity,White,182,147,115,68,80%,63%,37%
1,EDINBURG,108,HIDALGO,2013,ethnicity,Hispanic,14760,12585,8163,3703,85%,55%,25%
1,EDINBURG,108,HIDALGO,2013,ethnicity,Others,57,48,36,21,84%,63%,36%
1,EDINBURG,108,HIDALGO,2013,ethnicity,White,170,146,107,70,85%,62%,41%
1,EDINBURG,124,JIM HOGG,2013,ethnicity,Hispanic,72,64,44,21,88%,61%,29%
1,EDINBURG,214,STARR,2013,ethnicity,Hispanic,1234,1020,722,406,82%,58%,32%
1,EDINBURG,240,WEBB,2013,ethnicity,Hispanic,4813,4076,2848,1339,84%,59%,27%
1,EDINBURG,240,WEBB,2013,ethnicity,Others,16,13,10,6,81%,62%,37%
1,EDINBURG,240,WEBB,2013,ethnicity,White,31,24,22,6,77%,70%,19%
1,EDINBURG,245,WILLACY,2013,ethnicity,Hispanic,329,286,167,70,86%,50%,21%
1,EDINBURG,253,ZAPATA,2013,ethnicity,Hispanic,254,223,138,76,87%,54%,29%
2,CORPUS CHRISTI,4,ARANSAS,2013,ethnicity,Hispanic,100,82,32,13,82%,32%,13%
2,CORPUS CHRISTI,4,ARANSAS,2013,ethnicity,Others,10,9,8,5,90%,80%,50%
2,CORPUS CHRISTI,4,ARANSAS,2013,ethnicity,White,121,86,52,22,71%,42%,18%
2,CORPUS CHRISTI,13,BEE,2013,ethnicity,Hispanic,274,225,139,58,82%,50%,21%
2,CORPUS CHRISTI,13,BEE,2013,ethnicity,White,75,63,50,30,84%,66%,40%
2,CORPUS CHRISTI,24,BROOKS,2013,ethnicity,Hispanic,114,93,58,26,81%,50%,22%
2,CORPUS CHRISTI,66,DUVAL,2013,ethnicity,Hispanic,187,151,86,29,80%,45%,15%
