Region Code,TEA Region,County Number,County Name,sy_end,demo_cat_type,gender,enrolled_8th,graduated,total_enrolled,total_degrees,graduated_percent,total_enrolled_percent,total_degrees_percent
1,EDINBURG,31,CAMERON,2013,gender,Female,3798,3239,2255,1147,85%,59%,30%
1,EDINBURG,31,CAMERON,2013,gender,Male,3923,3229,1937,796,82%,49%,20%
1,EDINBURG,108,HIDALGO,2013,gender,Female,7267,6322,4349,2197,86%,59%,30%
1,EDINBURG,108,HIDALGO,2013,gender,Male,7773,6494,3981,1609,83%,51%,20%
1,EDINBURG,124,JIM HOGG,2013,gender,Female,34,29,20,7,85%,58%,20%
1,EDINBURG,124,JIM HOGG,2013,gender,Male,40,37,25,14,92%,62%,35%
1,EDINBURG,214,STARR,2013,gender,Female,616,529,404,261,85%,65%,42%
1,EDINBURG,214,STARR,2013,gender,Male,613,486,314,143,79%,51%,23%
1,EDINBURG,240,WEBB,2013,gender,Female,2388,2075,1568,799,86%,65%,33%
1,EDINBURG,240,WEBB,2013,gender,Male,2481,2044,1316,553,82%,53%,22%
1,EDINBURG,245,WILLACY,2013,gender,Female,157,139,90,41,88%,57%,26%
1,EDINBURG,245,WILLACY,2013,gender,Male,146,121,65,25,82%,44%,17%
1,EDINBURG,253,ZAPATA,2013,gender,Female,136,124,80,52,91%,58%,38%
1,EDINBURG,253,ZAPATA,2013,gender,Male,123,102,61,25,82%,49%,20%
2,CORPUS CHRISTI,4,ARANSAS,2013,gender,Female,103,83,53,26,80%,51%,25%
2,CORPUS CHRISTI,4,ARANSAS,2013,gender,Male,132,96,40,14,72%,30%,10%
2,CORPUS CHRISTI,13,BEE,2013,gender,Female,186,152,120,61,81%,64%,32%
2,CORPUS CHRISTI,13,BEE,2013,gender,Male,167,139,71,30,83%,42%,17%
2,CORPUS CHRISTI,24,BROOKS,2013,gender,Female,51,41,31,15,80%,60%,29%
2,CORPUS CHRISTI,24,BROOKS,2013,gender,Male,65,54,29,12,83%,44%,18%
2,CORPUS CHRISTI,66,DUVAL,2013,gender,Female,77,65,38,15,84%,49%,19%
2,CORPUS CHRISTI,66,DUVAL,2013,gender,Male,54,37,21,7,68%,38%,12%
2,CORPUS CHRISTI,125,JIM WELLS,2013,gender,Female,308,251,182,90,81%,59%,29%
2,CORPUS CHRISTI,125,JIM WELLS,2013,gender,Male,326,251,137,60,76%,42%,18%
2,CORPUS CHRISTI,137,KLEBERG,2013,gender,Female,160,129,97,44,80%,60%,27%
2,CORPUS CHRISTI,137,KLEBERG,2013,gender,Male,175,136,79,33,77%,45%,18%
2,CORPUS CHRISTI,149,LIVE OAK,2013,gender,Female,64,50,33,21,78%,51%,32%
2,CORPUS CHRISTI,149,LIVE OAK,2013,gender,Male,76,65,32,14,85%,42%,18%
2,CORPUS CHRISTI,178,NUECES,2013,gender,Female,2242,1849,1261,565,82%,56%,25%
2,CORPUS CHRISTI,178,NUECES,2013,gender,Male,2379,1911,1087,416,80%,45%,17%
2,CORPUS CHRISTI,205,SAN PATRICIO,2013,gender,Female,538,454,297,149,84%,55%,27%
2,CORPUS CHRISTI,205,SAN PATRICIO,2013,gender,Male,451,352,193,65,78%,42%,14%
3,VICTORIA,29,CALHOUN,2013,gender,Female,159,140,90,35,88%,56%,22%
3,VICTORIA,29,CALHOUN,2013,gender,Male,191,155,77,27,81%,40%,14%
3,VICTORIA,45,COLORADO,2013,gender,Female,118,97,54,27,82%,45%,22%
3,VICTORIA,45,COLORADO,2013,gender,Male,142,124,65,33,87%,45%,23%
3,VICTORIA,62,DE WITT,2013,gender,Female,108,94,57,34,87%,52%,31%
3,VICTORIA,62,DE WITT,2013,gender,Male,143,113,52,26,79%,36%,18%
3,VICTORIA,88,GOLIAD,2013,gender,Female,61,55,41,23,90%,67%,37%
3,VICTORIA,88,GOLIAD,2013,gender,Male,51,43,24,11,84%,47%,21%
3,VICTORIA,120,JACKSON,2013,gender,Female,113,96,67,41,84%,59%,36%
3,VICTORIA,120,JACKSON,2013,gender,Male,135,107,78,37,79%,57%,27%
3,VICTORIA,128,KARNES,2013,gender,Female,25,19,12,7,76%,48%,28%
3,VICTORIA,128,KARNES,2013,gender,Male,41,37,11,5,90%,26%,12%
3,VICTORIA,143,LAVACA,2013,gender,Female,52,50,36,23,96%,69%,44%
3,VICTORIA,143,LAVACA,2013,gender,Male,62,55,35,22,88%,56%,35%
3,VICTORIA,158,MATAGORDA,2013,gender,Female,253,206,136,85,81%,53%,33%
3,VICTORIA,158,MATAGORDA,2013,gender,Male,247,208,118,62,84%,47%,25%
3,VICTORIA,196,REFUGIO,2013,gender,Female,45,42,31,16,93%,68%,35%
3,VICTORIA,196,REFUGIO,2013,gender,Male,27,22,15,6,81%,55%,22%
3,VICTORIA,235,VICTORIA,2013,gender,Female,510,400,285,102,78%,55%,20%
3,VICTORIA,235,VICTORIA,2013,gender,Male,551,398,216,83,72%,39%,15%
3,VICTORIA,241,WHARTON,2013,gender,Female,316,288,209,112,91%,66%,35%
3,VICTORIA,241,WHARTON,2013,gender,Male,285,243,147,83,85%,51%,29%
4,HOUSTON,20,BRAZORIA,2013,gender,Female,2283,1994,1460,848,87%,63%,37%
4,HOUSTON,20,BRAZORIA,2013,gender,Male,2406,2011,1322,631,83%,54%,26%
4,HOUSTON,36,CHAMBERS,2013,gender,Female,225,197,166,104,87%,73%,46%
4,HOUSTON,36,CHAMBERS,2013,gender,Male,234,214,158,89,91%,67%,38%
4,HOUSTON,79,FORT BEND,2013,gender,Female,3833,3362,2512,1477,87%,65%,38%
4,HOUSTON,79,FORT BEND,2013,gender,Male,3883,3290,2274,1134,84%,58%,29%
4,HOUSTON,84,GALVESTON,2013,gender,Female,2905,2505,1951,1224,86%,67%,42%
4,HOUSTON,84,GALVESTON,2013,gender,Male,2988,2494,1740,897,83%,58%,30%
4,HOUSTON,101,HARRIS,2013,gender,Female,28935,24401,16244,8046,84%,56%,27%
4,HOUSTON,101,HARRIS,2013,gender,Male,29976,23920,13653,5446,79%,45%,18%
4,HOUSTON,146,LIBERTY,2013,gender,Female,539,423,256,121,78%,47%,22%
4,HOUSTON,146,LIBERTY,2013,gender,Male,551,419,187,66,76%,33%,11%
4,HOUSTON,237,WALLER,2013,gender,Female,306,262,148,67,85%,48%,21%
4,HOUSTON,237,WALLER,2013,gender,Male,357,304,138,53,85%,38%,14%
5,BEAUMONT,36,CHAMBERS,2013,gender,Female,37,29,17,7,78%,45%,18%
5,BEAUMONT,36,CHAMBERS,2013,gender,Male,50,43,19,7,86%,38%,14%
5,BEAUMONT,100,HARDIN,2013,gender,Female,387,314,234,129,81%,60%,33%
5,BEAUMONT,100,HARDIN,2013,gender,Male,411,312,195,101,75%,47%,24%
5,BEAUMONT,121,JASPER,2013,gender,Female,203,163,96,52,80%,47%,25%
5,BEAUMONT,121,JASPER,2013,gender,Male,223,179,97,47,80%,43%,21%
5,BEAUMONT,123,JEFFERSON,2013,gender,Female,1458,1192,873,415,81%,59%,28%
5,BEAUMONT,123,JEFFERSON,2013,gender,Male,1457,1146,670,301,78%,45%,20%
5,BEAUMONT,176,NEWTON,2013,gender,Female,58,50,32,11,86%,55%,18%
5,BEAUMONT,181,ORANGE,2013,gender,Female,517,422,300,146,81%,58%,28%
5,BEAUMONT,181,ORANGE,2013,gender,Male,613,489,268,116,79%,43%,18%
5,BEAUMONT,229,TYLER,2013,gender,Female,104,92,59,21,88%,56%,20%
