sy_end,Region Code,TEA Region,County Number,County Name,district_id,district_name,demo_cat_type,enrolled_8th,graduated,total_enrolled,total_degrees,has_any_masked,gender,economic_status,ethnicity,graduated_percent,total_enrolled_percent,total_degrees_percent
2013,,,999.0,STATEWIDE,999999,STATEWIDE,gender,179448,151074,103408,53555,False,Female,,,84.19%,57.63%,29.84%
2013,,,999.0,STATEWIDE,999999,STATEWIDE,gender,187338,149663,87234,37231,False,Male,,,79.89%,46.57%,19.87%
2013,,,999.0,STATEWIDE,999999,STATEWIDE,ethnicity,47322,37416,24401,8013,False,,,African American,79.07%,51.56%,16.93%
2013,,,999.0,STATEWIDE,999999,STATEWIDE,ethnicity,182300,149287,86652,36804,False,,,Hispanic,81.89%,47.53%,20.19%
2013,,,999.0,STATEWIDE,999999,STATEWIDE,ethnicity,21117,18048,13211,8628,False,,,Others,85.47%,62.56%,40.86%
2013,,,999.0,STATEWIDE,999999,STATEWIDE,ethnicity,116047,95986,66378,37341,False,,,White,82.71%,57.2%,32.18%
2013,,,999.0,STATEWIDE,999999,STATEWIDE,econ_status,211814,166032,91453,34189,False,,Economically Disadvantaged,,78.39%,43.18%,16.14%
2013,,,999.0,STATEWIDE,999999,STATEWIDE,econ_status,154972,134705,99189,56597,False,,Not Economically Disadvantaged,,86.92%,64.0%,36.52%
2013,,,999.0,STATEWIDE,999999,STATEWIDE,total,366786,300737,190642,90786,False,,,,81.99%,51.98%,24.75%
2013,1.0,EDINBURG,,,,,econ_status,24956,20852,13090,5676,,,Economically Disadvantaged,,83.55505690014425%,52.45231607629428%,22.744029491905753%
2013,1.0,EDINBURG,,,,,econ_status,4593,4164,3397,1995,,,Not Economically Disadvantaged,,90.65969954278249%,73.96037448290878%,43.43566296538211%
2013,1.0,EDINBURG,,,,,ethnicity,28911,24499,16096,7441,,,,Hispanic,84.73937255715818%,55.67431081595241%,25.73760852270762%
2013,1.0,EDINBURG,,,,,ethnicity,140,123,96,68,,,,Others,87.85714285714286%,68.57142857142857%,48.57142857142857%
2013,1.0,EDINBURG,,,,,ethnicity,383,317,244,144,,,,White,82.76762402088774%,63.70757180156657%,37.59791122715404%
2013,1.0,EDINBURG,,,,,gender,14396,12457,8766,4504,,Female,,,86.53098082800777%,60.89191442067241%,31.286468463462075%
2013,1.0,EDINBURG,,,,,gender,15099,12513,7699,3165,,Male,,,82.87303794953309%,50.99013179680774%,20.961653089608586%
2013,1.0,EDINBURG,,,,,total,29495,24970,16465,7669,,,,,84.65841668079335%,55.82302085099169%,26.001017121546028%
2013,2.0,CORPUS CHRISTI,,,,,econ_status,2967,2602,1961,1048,,,Not Economically Disadvantaged,,87.69801145938658%,66.09369733737782%,35.32187394674756%
2013,2.0,CORPUS CHRISTI,,,,,ethnicity,133,109,72,17,,,,African American,81.95488721804512%,54.13533834586466%,12.781954887218044%
2013,2.0,CORPUS CHRISTI,,,,,ethnicity,5691,4619,2755,1067,,,,Hispanic,81.16324020383061%,48.409769811983836%,18.748901774732033%
2013,2.0,CORPUS CHRISTI,,,,,ethnicity,128,112,72,45,,,,Others,87.5%,56.25%,35.15625%
2013,2.0,CORPUS CHRISTI,,,,,ethnicity,1564,1244,856,481,,,,White,79.53964194373401%,54.73145780051151%,30.754475703324808%
2013,2.0,CORPUS CHRISTI,,,,,gender,3729,3074,2112,986,,Female,,,82.43496916063287%,56.63716814159292%,26.44140520246715%
2013,2.0,CORPUS CHRISTI,,,,,gender,3825,3041,1689,651,,Male,,,79.50326797385621%,44.15686274509804%,17.019607843137255%
2013,2.0,CORPUS CHRISTI,,,,,econ_status,4554,3492,1825,582,,,Economically Disadvantaged,,76.6798418972332%,40.074659639877034%,12.779973649538867%
2013,2.0,CORPUS CHRISTI,,,,,total,7554,6115,3801,1637,,,,,80.95048980672492%,50.31771247021446%,21.67063807254435%
2013,3.0,VICTORIA,,,,,ethnicity,213,177,118,37,,,,African American,83.09859154929578%,55.39906103286385%,17.370892018779344%
2013,3.0,VICTORIA,,,,,econ_status,1530,1363,1069,634,,,Not Economically Disadvantaged,,89.08496732026144%,69.86928104575163%,41.43790849673203%
2013,3.0,VICTORIA,,,,,ethnicity,67,52,37,24,,,,Others,77.61194029850746%,55.223880597014926%,35.82089552238806%
2013,3.0,VICTORIA,,,,,ethnicity,1325,1107,830,507,,,,White,83.54716981132076%,62.64150943396226%,38.264150943396224%
2013,3.0,VICTORIA,,,,,gender,1760,1487,1018,505,,Female,,,84.48863636363636%,57.840909090909086%,28.693181818181817%
2013,3.0,VICTORIA,,,,,ethnicity,1823,1472,772,302,,,,Hispanic,80.74602303894679%,42.34777838727373%,16.566099835436095%
2013,3.0,VICTORIA,,,,,econ_status,1946,1507,728,258,,,Economically Disadvantaged,,77.44090441932168%,37.410071942446045%,13.257965056526208%
2013,3.0,VICTORIA,,,,,gender,1875,1505,838,395,,Male,,,80.26666666666667%,44.693333333333335%,21.066666666666666%
2013,3.0,VICTORIA,,,,,total,3635,2992,1856,900,,,,,82.31086657496562%,51.059147180192575%,24.759284731774414%
2013,4.0,HOUSTON,,,,,econ_status,33772,29421,21623,12570,,,Not Economically Disadvantaged,,87.11654625133247%,64.02641241264953%,37.22018239962099%
2013,4.0,HOUSTON,,,,,ethnicity,6498,5813,4395,3058,,,,Others,89.45829485995691%,67.63619575253924%,47.06063404124346%
2013,4.0,HOUSTON,,,,,ethnicity,19918,16661,11883,7032,,,,White,83.64795662215082%,59.65960437794959%,35.30474947283864%
2013,4.0,HOUSTON,,,,,ethnicity,15451,12291,8218,2632,,,,African American,79.54824930425215%,53.187495954954365%,17.034496149116563%
2013,4.0,HOUSTON,,,,,ethnicity,37226,30750,17535,7402,,,,Hispanic,82.60355665395154%,47.10417450169236%,19.88395207650567%
2013,4.0,HOUSTON,,,,,econ_status,45782,36460,20641,7649,,,Economically Disadvantaged,,79.63828578917479%,45.085404744222615%,16.707439605084968%
2013,4.0,HOUSTON,,,,,total,79421,65796,42209,20203,,,,,82.84458770350412%,53.14589340350789%,25.43785648631974%
2013,4.0,HOUSTON,,,,,gender,39026,33144,22737,11887,,Female,,,84.9279967201353%,58.26115922718188%,30.459181058781326%
2013,4.0,HOUSTON,,,,,gender,40395,32652,19472,8316,,Male,,,80.8317861121426%,48.20398564178735%,20.58670627552915%
2013,5.0,BEAUMONT,,,,,ethnicity,175,151,129,82,,,,Others,86.28571428571429%,73.71428571428571%,46.85714285714286%
2013,5.0,BEAUMONT,,,,,econ_status,2618,2250,1705,973,,,Not Economically Disadvantaged,,85.94346829640948%,65.12605042016807%,37.16577540106952%
2013,5.0,BEAUMONT,,,,,ethnicity,1325,1059,624,199,,,,African American,79.9245283018868%,47.094339622641506%,15.018867924528301%
2013,5.0,BEAUMONT,,,,,ethnicity,822,642,382,172,,,,Hispanic,78.1021897810219%,46.47201946472019%,20.92457420924574%
2013,5.0,BEAUMONT,,,,,econ_status,2702,2055,1125,395,,,Economically Disadvantaged,,76.05477424130274%,41.635825314581794%,14.61880088823094%
2013,5.0,BEAUMONT,,,,,ethnicity,3088,2496,1677,901,,,,White,80.82901554404145%,54.30699481865285%,29.177461139896373%
2013,5.0,BEAUMONT,,,,,gender,2764,2262,1611,781,,Female,,,81.83791606367583%,58.28509406657019%,28.256150506512302%
2013,5.0,BEAUMONT,,,,,gender,2874,2270,1306,605,,Male,,,78.9839944328462%,45.44189283228949%,21.05080027835769%
2013,5.0,BEAUMONT,,,,,total,5638,4532,2917,1386,,,,,80.38311457963817%,51.738205037247255%,24.583185526782547%
2013,6.0,HUNTSVILLE,,,,,econ_status,6622,5725,4172,2434,,,Not Economically Disadvantaged,,86.45424343098762%,63.00211416490487%,36.756266988825125%
2013,6.0,HUNTSVILLE,,,,,ethnicity,873,690,416,137,,,,African American,79.03780068728523%,47.65177548682703%,15.693012600229094%
2013,6.0,HUNTSVILLE,,,,,ethnicity,3583,2920,1459,594,,,,Hispanic,81.49595311191739%,40.72006698297516%,16.57828635221881%
2013,6.0,HUNTSVILLE,,,,,econ_status,5527,4222,2005,675,,,Economically Disadvantaged,,76.38863759724987%,36.27646100958929%,12.212773656594898%
2013,6.0,HUNTSVILLE,,,,,ethnicity,7093,5802,3923,2152,,,,White,81.79895671789087%,55.308050190328494%,30.33977160580854%
2013,6.0,HUNTSVILLE,,,,,gender,6094,5145,3432,1857,,Female,,,84.42730554643913%,56.317689530685925%,30.472595996061703%
2013,6.0,HUNTSVILLE,,,,,total,12257,10030,6218,3120,,,,,81.83079056865465%,50.730194990617605%,25.454842131027167%
2013,6.0,HUNTSVILLE,,,,,ethnicity,448,377,273,179,,,,Others,84.15178571428571%,60.9375%,39.955357142857146%
2013,6.0,HUNTSVILLE,,,,,gender,6163,4885,2786,1263,,Male,,,79.26334577316241%,45.20525717994483%,20.493266266428687%
2013,7.0,KILGORE,,,,,ethnicity,1666,1350,885,318,,,,African American,81.03241296518607%,53.12124849939976%,19.08763505402161%
2013,7.0,KILGORE,,,,,econ_status,4963,4346,3246,1836,,,Not Economically Disadvantaged,,87.56800322385654%,65.40398952246626%,36.99375377795688%
2013,7.0,KILGORE,,,,,econ_status,6639,5112,2749,1076,,,Economically Disadvantaged,,76.99954812471758%,41.406838379273985%,16.20726012953758%
2013,7.0,KILGORE,,,,,ethnicity,6629,5355,3557,1883,,,,White,80.78141499472017%,53.658168652888826%,28.405491024287223%
2013,7.0,KILGORE,,,,,total,11552,9427,5969,2891,,,,,81.60491689750693%,51.67070637119113%,25.025969529085874%
2013,7.0,KILGORE,,,,,ethnicity,2556,2090,1100,522,,,,Hispanic,81.76838810641628%,43.03599374021909%,20.422535211267608%
2013,7.0,KILGORE,,,,,ethnicity,119,95,71,39,,,,Others,79.83193277310924%,59.66386554621849%,32.773109243697476%
2013,7.0,KILGORE,,,,,gender,5622,4479,2494,1098,,Male,,,79.66915688367129%,44.36143721095696%,19.530416221985057%
2013,7.0,KILGORE,,,,,gender,5930,4948,3475,1793,,Female,,,83.44013490725126%,58.600337268128165%,30.23608768971332%
2013,8.0,MT PLEASANT,,,,,econ_status,1590,1401,1023,606,,,Not Economically Disadvantaged,,88.11320754716981%,64.33962264150944%,38.113207547169814%
2013,8.0,MT PLEASANT,,,,,econ_status,2223,1739,921,354,,,Economically Disadvantaged,,78.22762033288349%,41.43049932523617%,15.92442645074224%
2013,8.0,MT PLEASANT,,,,,total,3627,2987,1884,937,,,,,82.3545629997243%,51.943755169561626%,25.834022608216156%
2013,8.0,MT PLEASANT,,,,,ethnicity,654,534,311,92,,,,African American,81.65137614678899%,47.55351681957187%,14.067278287461773%
2013,8.0,MT PLEASANT,,,,,ethnicity,489,423,230,113,,,,Hispanic,86.50306748466258%,47.034764826175866%,23.108384458077712%
2013,8.0,MT PLEASANT,,,,,ethnicity,39,32,24,12,,,,Others,82.05128205128204%,61.53846153846154%,30.76923076923077%
2013,8.0,MT PLEASANT,,,,,ethnicity,2325,1880,1222,683,,,,White,80.86021505376344%,52.55913978494624%,29.376344086021504%
2013,8.0,MT PLEASANT,,,,,gender,1905,1586,1118,583,,Female,,,83.25459317585302%,58.68766404199475%,30.603674540682412%
2013,8.0,MT PLEASANT,,,,,gender,1722,1401,766,354,,Male,,,81.3588850174216%,44.48315911730546%,20.557491289198605%
2013,9.0,WICHITA FALLS,,,,,total,2452,2041,1184,606,,,,,83.23817292006525%,48.28711256117455%,24.71451876019576%
2013,9.0,WICHITA FALLS,,,,,econ_status,1259,1094,756,436,,,Not Economically Disadvantaged,,86.8943606036537%,60.04765687053217%,34.6306592533757%
2013,9.0,WICHITA FALLS,,,,,ethnicity,120,97,52,15,,,,African American,80.83333333333333%,43.333333333333336%,12.5%
2013,9.0,WICHITA FALLS,,,,,ethnicity,470,393,191,73,,,,Hispanic,83.61702127659575%,40.638297872340424%,15.53191489361702%
2013,9.0,WICHITA FALLS,,,,,ethnicity,61,51,41,23,,,,Others,83.60655737704919%,67.21311475409836%,37.704918032786885%
2013,9.0,WICHITA FALLS,,,,,ethnicity,1632,1355,842,469,,,,White,83.02696078431373%,51.59313725490197%,28.737745098039213%
2013,9.0,WICHITA FALLS,,,,,gender,1232,1034,661,357,,Female,,,83.92857142857143%,53.6525974025974%,28.97727272727273%
2013,9.0,WICHITA FALLS,,,,,gender,1220,1007,523,249,,Male,,,82.54098360655738%,42.868852459016395%,20.40983606557377%
2013,9.0,WICHITA FALLS,,,,,econ_status,1125,897,428,178,,,Economically Disadvantaged,,79.73333333333333%,38.044444444444444%,15.822222222222221%
2013,10.0,RICHARDSON,,,,,econ_status,24803,21723,15760,8985,,,Not Economically Disadvantaged,,87.58214732088861%,63.540700721686896%,36.22545659799218%
