County Code,THECB County Name,thecb-name-short,TEA County Name,FIPS,tea-name-short,
1,ANDERSON,anderson,Anderson,1,anderson,
2,ANDREWS,andrews,Andrews,3,andrews,
3,ANGELINA,angelina,Angelina,5,angelina,
4,ARANSAS,aransas,Aransas,7,aransas,
5,ARCHER,archer,Archer,9,archer,
6,ARMSTRONG,armstrong,Armstrong,11,armstrong,
7,ATASCOSA,atascosa,Atascosa,13,atascosa,
8,AUSTIN,austin,Austin,15,austin,
9,BAILEY,bailey,Bailey,17,bailey,
10,BANDERA,bandera,Bandera,19,bandera,
11,BASTROP,bastrop,Bastrop,21,bastrop,
12,BAYLOR,baylor,Baylor,23,baylor,
13,BEE,bee,Bee,25,bee,
14,BELL,bell,Bell,27,bell,
15,BEXAR,bexar,Bexar,29,bexar,
16,BLANCO,blanco,Blanco,31,blanco,
17,BORDEN,borden,Borden,33,borden,
18,BOSQUE,bosque,Bosque,35,bosque,
19,BOWIE,bowie,Bowie,37,bowie,
20,BRAZORIA,brazoria,Brazoria,39,brazoria,
21,BRAZOS,brazos,Brazos,41,brazos,
22,BREWSTER,brewster,Brewster,43,brewster,
23,BRISCOE,briscoe,Briscoe,45,briscoe,
24,BROOKS,brooks,Brooks,47,brooks,
25,BROWN,brown,Brown,49,brown,
26,BURLESON,burleson,Burleson,51,burleson,
27,BURNET,burnet,Burnet,53,burnet,
28,CALDWELL,caldwell,Caldwell,55,caldwell,
29,CALHOUN,calhoun,Calhoun,57,calhoun,
30,CALLAHAN,callahan,Callahan,59,callahan,
31,CAMERON,cameron,Cameron,61,cameron,
32,CAMP,camp,Camp,63,camp,
33,CARSON,carson,Carson,65,carson,
34,CASS,cass,Cass,67,cass,
35,CASTRO,castro,Castro,69,castro,
36,CHAMBERS,chambers,Chambers,71,chambers,
37,CHEROKEE,cherokee,Cherokee,73,cherokee,
38,CHILDRESS,childress,Childress,75,childress,
39,CLAY,clay,Clay,77,clay,
40,COCHRAN,cochran,Cochran,79,cochran,
41,COKE,coke,Coke,81,coke,
42,COLEMAN,coleman,Coleman,83,coleman,
43,COLLIN,collin,Collin,85,collin,
44,COLLINGSWORTH,collingsworth,Collingsworth,87,collingsworth,
45,COLORADO,colorado,Colorado,89,colorado,
46,COMAL,comal,Comal,91,comal,
47,COMANCHE,comanche,Comanche,93,comanche,
48,CONCHO,concho,Concho,95,concho,
49,COOKE,cooke,Cooke,97,cooke,
50,CORYELL,coryell,Coryell,99,coryell,
51,COTTLE,cottle,Cottle,101,cottle,
52,CRANE,crane,Crane,103,crane,
53,CROCKETT,crockett,Crockett,105,crockett,
54,CROSBY,crosby,Crosby,107,crosby,
55,CULBERSON,culberson,Culberson,109,culberson,
56,DALLAM,dallam,Dallam,111,dallam,
57,DALLAS,dallas,Dallas,113,dallas,
58,DAWSON,dawson,Dawson,115,dawson,
59,DEAF SMITH,deafsmith,Deaf Smith,117,deafsmith,
60,DELTA,delta,Delta,119,delta,
61,DENTON,denton,Denton,121,denton,
62,DE WITT,dewitt,DeWitt,123,dewitt,
63,DICKENS,dickens,Dickens,125,dickens,
64,DIMMIT,dimmit,Dimmit,127,dimmit,
65,DONLEY,donley,Donley,129,donley,
66,DUVAL,duval,Duval,131,duval,
67,EASTLAND,eastland,Eastland,133,eastland,
68,ECTOR,ector,Ector,135,ector,
69,EDWARDS,edwards,Edwards,137,edwards,
70,ELLIS,ellis,Ellis,139,ellis,
999,El Paso&Hudsp,elpaso&hudsp,El Paso,141,elpaso,FALSE
72,ERATH,erath,Erath,143,erath,
73,FALLS,falls,Falls,145,falls,
74,FANNIN,fannin,Fannin,147,fannin,
75,FAYETTE,fayette,Fayette,149,fayette,
76,FISHER,fisher,Fisher,151,fisher,
77,FLOYD,floyd,Floyd,153,floyd,
78,FOARD,foard,Foard,155,foard,
79,FORT BEND,fortbend,Fort Bend,157,fortbend,
80,FRANKLIN,franklin,Franklin,159,franklin,
81,FREESTONE,freestone,Freestone,161,freestone,
82,FRIO,frio,Frio,163,frio,
83,GAINES,gaines,Gaines,165,gaines,
84,GALVESTON,galveston,Galveston,167,galveston,
85,GARZA,garza,Garza,169,garza,
86,GILLESPIE,gillespie,Gillespie,171,gillespie,
87,GLASSCOCK,glasscock,Glasscock,173,glasscock,
88,GOLIAD,goliad,Goliad,175,goliad,
89,GONZALES,gonzales,Gonzales,177,gonzales,
90,GRAY,gray,Gray,179,gray,
91,GRAYSON,grayson,Grayson,181,grayson,
92,GREGG,gregg,Gregg,183,gregg,
93,GRIMES,grimes,Grimes,185,grimes,
94,GUADALUPE,guadalupe,Guadalupe,187,guadalupe,
95,HALE,hale,Hale,189,hale,
96,HALL,hall,Hall,191,hall,
97,HAMILTON,hamilton,Hamilton,193,hamilton,
98,HANSFORD,hansford,Hansford,195,hansford,
99,HARDEMAN,hardeman,Hardeman,197,hardeman,
100,HARDIN,hardin,Hardin,199,hardin,
101,HARRIS,harris,Harris,201,harris,
102,HARRISON,harrison,Harrison,203,harrison,
103,HARTLEY,hartley,Hartley,205,hartley,
104,HASKELL,haskell,Haskell,207,haskell,
105,HAYS,hays,Hays,209,hays,
106,HEMPHILL,hemphill,Hemphill,211,hemphill,
107,HENDERSON,henderson,Henderson,213,henderson,
108,HIDALGO,hidalgo,Hidalgo,215,hidalgo,
109,HILL,hill,Hill,217,hill,
110,HOCKLEY,hockley,Hockley,219,hockley,
111,HOOD,hood,Hood,221,hood,
112,HOPKINS,hopkins,Hopkins,223,hopkins,
113,HOUSTON,houston,Houston,225,houston,
114,HOWARD,howard,Howard,227,howard,
,,,Hudspeth,229,hudspeth,FALSE
116,HUNT,hunt,Hunt,231,hunt,
117,HUTCHINSON,hutchinson,Hutchinson,233,hutchinson,
118,IRION,irion,Irion,235,irion,
119,JACK,jack,Jack,237,jack,
120,JACKSON,jackson,Jackson,239,jackson,
121,JASPER,jasper,Jasper,241,jasper,
122,JEFF DAVIS,jeffdavis,Jeff Davis,243,jeffdavis,
123,JEFFERSON,jefferson,Jefferson,245,jefferson,
124,JIM HOGG,jimhogg,Jim Hogg,247,jimhogg,
125,JIM WELLS,jimwells,Jim Wells,249,jimwells,
126,JOHNSON,johnson,Johnson,251,johnson,
127,JONES,jones,Jones,253,jones,
128,KARNES,karnes,Karnes,255,karnes,
129,KAUFMAN,kaufman,Kaufman,257,kaufman,
130,KENDALL,kendall,Kendall,259,kendall,
,,,Kenedy,261,kenedy,FALSE
132,KENT,kent,Kent,263,kent,
133,KERR,kerr,Kerr,265,kerr,
134,KIMBLE,kimble,Kimble,267,kimble,
135,KING,king,King,269,king,
136,KINNEY,kinney,Kinney,271,kinney,
137,KLEBERG,kleberg,Kleberg,273,kleberg,
138,KNOX,knox,Knox,275,knox,
139,LAMAR,lamar,Lamar,277,lamar,
140,LAMB,lamb,Lamb,279,lamb,
141,LAMPASAS,lampasas,Lampasas,281,lampasas,
142,LA SALLE,lasalle,La Salle,283,lasalle,
143,LAVACA,lavaca,Lavaca,285,lavaca,
144,LEE,lee,Lee,287,lee,
145,LEON,leon,Leon,289,leon,
146,LIBERTY,liberty,Liberty,291,liberty,
147,LIMESTONE,limestone,Limestone,293,limestone,
148,LIPSCOMB,lipscomb,Lipscomb,295,lipscomb,
