id,name,Campus Number,Campus Name
1902001,CAYUGA H S,1902001,Cayuga High School
1902041,CAYUGA MIDDLE,1902041,Cayuga Middle School
1902103,CAYUGA EL,1902103,Cayuga Elementary School
1903001,ELKHART H S,1903001,Elkhart High School
1903041,ELKHART MIDDLE,1903041,Elkhart Middle School
1903101,ELKHART EL,1903101,Elkhart Elementary School
1903102,ELKHART INT,1903102,Elkhart Int
1904001,FRANKSTON H S,1904001,Frankston High School
1904041,FRANKSTON MIDDLE,1904041,Frankston Middle School
1904102,FRANKSTON EL,1904102,Frankston Elementary School
1906002,NECHES H S,1906002,Neches High School
1906102,NECHES EL,1906102,Neches Elementary School
1907001,PALESTINE H S,1907001,Palestine High School
1907041,PALESTINE MIDDLE,1907041,Palestine Middle School
1907101,NORTHSIDE PRI,1907101,Northside Primary School
1907102,WASHINGTON EARLY CHILDHOOD CENTER,1907102,Washington Early Childhood Center
1907107,SOUTHSIDE EL,1907107,Southside Elementary School
1907110,STORY INT,1907110,Story Intermediate School
1908002,WESTWOOD H S,1908002,Westwood High School
1908041,WESTWOOD J H,1908041,Westwood Junior High School
1908101,WESTWOOD EL,1908101,Westwood Elementary School
1908102,WESTWOOD PRI,1908102,Westwood Primary School
1909001,SLOCUM H S,1909001,Slocum High School
1909101,SLOCUM EL,1909101,Slocum Elementary School
2901001,ANDREWS H S,2901001,Andrews High School
2901002,ANDREWS EDUCATION CENTER,2901002,Andrews Education Center
2901041,ANDREWS MIDDLE,2901041,Andrews Middle School
2901101,DEVONIAN EL,2901101,Devonian Elementary School
2901104,UNDERWOOD EL,2901104,Underwood Elementary School
2901105,CLEARFORK EL,2901105,Clearfork Elementary School
3801001,PINEYWOODS COMMUNITY ACADEMY H S,3801001,Pineywoods Community Academy High School (C)
3801103,PINEYWOODS COMMUNITY ACADEMY EL,3801103,Pineywoods Community Academy Elementary School (C)
3902001,HUDSON H S,3902001,Hudson High School
3902004,STUBBLEFIELD LRN CTR,3902004,Stubblefield Learning Center
3902041,HUDSON MIDDLE,3902041,Hudson Middle School
3902101,W F PEAVY PRIMARY,3902101,WF Peavy Primary School
3902102,W H BONNER EL,3902102,WH Bonner Elementary
3903001,LUFKIN H S,3903001,Lufkin High School
3903004,STUBBLEFIELD LRN CTR,3903004,Stubblefield Learning Center
3903044,LUFKIN MIDDLE,3903044,Lufkin Middle School
3903120,ANDERSON EL,3903120,Anderson Elementary School
3903121,BRANDON EL,3903121,Brandon Elementary School
3903122,BROOKHOLLOW EL,3903122,Brookhollow Elementary School
3903123,COSTON EL,3903123,Coston Elementary School
3903124,DUNBAR PRI,3903124,Dunbar Primary School
3903125,GARRETT PRI,3903125,Garrett Primary School
3903126,HACKNEY PRI,3903126,Hackney Primary School
3903127,HERTY PRI,3903127,Herty Primary School
3903128,KURTH PRI,3903128,Kurth Primary School
3903129,SLACK EL,3903129,Slack Elementary School
3903130,TROUT PRI,3903130,Trout Primary School
3903131,BURLEY PRI,3903131,Burley Primary School
3903201,JUVENILE DETENT CTR,3903201,Juvenile Detention Center
3904001,HUNTINGTON H S,3904001,Huntington High School
3904005,PRIDE ALTER SCH,3904005,Huntington Pride School
3904041,HUNTINGTON MIDDLE,3904041,Huntington Middle School
3904101,HUNTINGTON EL,3904101,Huntington Elementary School
3904102,HUNTINGTON INT,3904102,Huntington Intermediate School
3905001,DIBOLL H S,3905001,Diboll High School
3905004,STUBBLEFIELD LRN CTR,3905004,Stubblefield Learning Center
3905041,DIBOLL J H,3905041,Diboll Junior High School
3905101,H G TEMPLE EL,3905101,Temple Elementary School
3905102,DIBOLL PRI,3905102,Diboll Primary School
3905103,H G TEMPLE INT,3905103,H G Temple Int
3906001,ZAVALLA H S,3906001,Zavalla High School
3906101,ZAVALLA EL,3906101,Zavalla Elementary School
3907001,CENTRAL H S,3907001,Central High School
3907004,STUBBLEFIELD LRN CTR,3907004,Stubblefield Learning Center
3907041,CENTRAL J H,3907041,Central Junior High
3907102,CENTRAL EL,3907102,Central Elementary School
4901001,ROCKPORT-FULTON H S,4901001,Rockport-Fulton High School
4901041,ROCKPORT-FULTON MIDDLE,4901041,Rockport-Fulton Middle School
4901101,FULTON 4-5 LEARNING CENTER,4901101,Fulton 45 Learning Center
4901102,LITTLE BAY PRI,4901102,Little Bay Primary School
4901103,LIVE OAK 1-3 LEARNING CENTER,4901103,Live Oak 13 Learning Center
5901001,ARCHER CITY H S,5901001,Archer City High School
5901101,ARCHER CITY EL,5901101,Archer City Elementary School
5902001,HOLLIDAY H S,5902001,Holliday High School
5902041,HOLLIDAY MIDDLE,5902041,Holliday Middle School
5902101,HOLLIDAY EL,5902101,Holliday Elementary School
5904001,WINDTHORST H S,5904001,Windthorst High School
5904041,WINDTHORST JH,5904041,Windthorst Junior High School
5904101,WINDTHORST EL,5904101,Windthorst Elementary School
6902001,CLAUDE H S,6902001,Claude High School
6902101,CLAUDE EL,6902101,Claude Elementary School
7901001,CHARLOTTE H S,7901001,Charlotte High School
7901041,CHARLOTTE MIDDLE,7901041,Charlotte Junior High School
7901101,CHARLOTTE EL,7901101,Charlotte Elementary School
7902001,JOURDANTON H S,7902001,Jourdanton High School
7902005,ATASCOSA COUNTY JUVENILE JUSTICE,7902005,Atascosa County Juvenile Justice Center School
7902006,REASSIGNMENT AND OPPORTUNITY CENTE,7902006,Reassignment And Opportunity Cente
7902041,JOURDANTON J H,7902041,Jourdanton Junior High School
7902101,JOURDANTON EL,7902101,Jourdanton Elementary School
7904001,LYTLE H S,7904001,Lytle High School
7904002,LYTLE DAEP,7904002,Bigfoot Alternative Center
7904041,LYTLE JUNIOR HIGH SCHOOL,7904041,Lytle Junior High School
7904101,LYTLE EL,7904101,Lytle Elementary School
7904103,LYTLE PRIMARY SCHOOL,7904103,Lytle Primary School
