DISTRICT,DISTNAME,District Number,District Name
100903,KOUNTZE ISD,100903,Kountze ISD
100904,SILSBEE ISD,100904,Silsbee ISD
100905,HARDIN-JEFFERSON ISD,100905,Hardin-Jefferson ISD
100907,LUMBERTON ISD,100907,Lumberton ISD
100908,WEST HARDIN COUNTY CISD,100908,West Hardin County CISD
101801,MEDICAL CENTER CHARTER SCHOOL,101801,Medical Center Charter School (C)
101802,SER-NINOS CHARTER SCHOOL,101802,Ser-Ninos Charter School (C)
101803,ARISTOI CLASSICAL ACADEMY,101803,West Houston Charter School (C)
101804,GEORGE I SANCHEZ CHARTER,101804,George I Sanchez Charter (C)
101805,GIRLS & BOYS PREPARATORY ACADEMY,101805,Girls & Boys Prep Academy (C)
101806,RAUL YZAGUIRRE SCHOOL FOR SUCCESS,101806,Raul Yzaguirre School For Success (C)
101807,UNIVERSITY OF HOUSTON CHARTER SCHO,101807,University Of Houston Charter School (C)
101809,BAY AREA CHARTER INC,101809,Bay Area Charter Inc (C)
101810,ACADEMY OF ACCELERATED LEARNING IN,101810,Academy Of Accelerated Learning Inc (C)
101811,EXCEL ACADEMY,101811,Excel Academy (C)
101813,KIPP INC CHARTER,101813,KIPP Inc Charter (C)
101814,THE VARNETT PUBLIC SCHOOL,101814,The Varnett Public School (C)
101815,ALIEF MONTESSORI COMMUNITY SCHOOL,101815,Alief Montessori Community School (C)
101819,AMIGOS POR VIDA-FRIENDS FOR LIFE P,101819,Amigos Por Vida-Friends For Life Public Charter School (C)
101821,HOUSTON HEIGHTS HIGH SCHOOL,101821,Houston Heights High School (C)
101822,JAMIE'S HOUSE CHARTER SCHOOL,101822,Jamie's House Charter School (C)
101828,HOUSTON GATEWAY ACADEMY INC,101828,Houston Gateway Academy Inc (C)
101829,HOUSTON HEIGHTS LEARNING ACADEMY I,101829,Houston Heights Learning Academy Inc (C)
101833,LA AMISTAD LOVE & LEARNING ACADEMY,101833,La Amistad Love & Learning Academy (C)
101837,CALVIN NELMS CHARTER SCHOOLS,101837,Calvin Nelms Charter Schools (C)
101838,SOUTHWEST SCHOOL,101838,Southwest School (C)
101840,TWO DIMENSIONS PREPARATORY ACADEMY,101840,Two Dimensions Preparatory Academy (C)
101842,COMQUEST ACADEMY,101842,Comquest Academy (C)
101845,YES PREP PUBLIC SCHOOLS INC,101845,Yes Preparatory Public Schools (C)
101846,HARMONY SCIENCE ACADEMY,101846,Harmony Science Academy (Houston) (C)
101847,BEATRICE MAYES INSTITUTE CHARTER S,101847,Beatrice Mayes Institute Charter School (C)
101848,NORTHWEST PREPARATORY,101848,Northwest Preparatory (C)
101849,ACCELERATED INTERMEDIATE ACADEMY,101849,Accelerated Intermediate Academy (C)
101850,ZOE LEARNING ACADEMY,101850,Zoe Learning Academy (C)
101853,PROMISE COMMUNITY SCHOOL,101853,Ripley House Charter School (C)
101854,RICHARD MILBURN ACADEMY (SUBURBAN,101854,Richard Milburn Academy (Suburban Houston) (C)
101855,MEYERPARK ELEMENTARY,101855,Meyerpark Elementary (C)
101856,DRAW ACADEMY,101856,Draw Academy (C)
101858,HARMONY SCHOOL OF EXCELLENCE,101858,Harmony School Of Excellence (C)
101859,STEPPING STONES CHARTER EL,101859,Stepping Stones Charter Elementary (C)
101861,THE RHODES SCHOOL,101861,The Rhodes School (C)
101862,HARMONY SCHOOL OF SCIENCE - HOUSTO,101862,Harmony School Of Science (Houston) (C)
101863,KOINONIA COMMUNITY LEARNING ACADEM,101863,Koinonia Community Learning Academy (C)
101864,WALIPP-TSU PREPARATORY ACADEMY,101864,Walipp-Tsu Preparatory Academy
101865,VICTORY PREP,101865,Victory Prep
101866,GLOBAL LEARNING VILLAGE,101866,Global Learning Village
101867,FALLBROOK COLLEGE PREPARATORY ACAD,101867,Fallbrook College Preparatory Acad
101868,THE PRO-VISION ACADEMY,101868,The Pro-Vision Academy
101869,C O R E ACADEMY,101869,C O R E Academy
101902,ALDINE ISD,101902,Aldine ISD
101903,ALIEF ISD,101903,Alief ISD
101905,CHANNELVIEW ISD,101905,Channelview ISD
101906,CROSBY ISD,101906,Crosby ISD
101907,CYPRESS-FAIRBANKS ISD,101907,Cypress-Fairbanks ISD
101908,DEER PARK ISD,101908,Deer Park ISD
101910,GALENA PARK ISD,101910,Galena Park ISD
101911,GOOSE CREEK CISD,101911,Goose Creek CISD
101912,HOUSTON ISD,101912,Houston ISD
101913,HUMBLE ISD,101913,Humble ISD
101914,KATY ISD,101914,Katy ISD
101915,KLEIN ISD,101915,Klein ISD
101916,LA PORTE ISD,101916,La Porte ISD
101917,PASADENA ISD,101917,Pasadena ISD
101919,SPRING ISD,101919,Spring ISD
101920,SPRING BRANCH ISD,101920,Spring Branch ISD
101921,TOMBALL ISD,101921,Tomball ISD
