CAMPUS,CAMPNAME,DISTRICT,COUNTY,DISTNAME,REGION,CNTYNAME,GRDTYPE,GRDSPAN,CFLALTED,CFLCHART,PAIRCAMP,PAIRNAME,C_RATING,CAD_PROGRESS,CAD_READ,CAD_MATH
"001902001","CAYUGA H S","001902","001","CAYUGA ISD","07","ANDERSON","S","09 - 12","N","N"," "," ","M","1","0","0"
"001902041","CAYUGA MIDDLE","001902","001","CAYUGA ISD","07","ANDERSON","M","06 - 08","N","N"," "," ","M","0","0","0"
"001902103","CAYUGA EL","001902","001","CAYUGA ISD","07","ANDERSON","E","EE - 05","N","N"," "," ","M","0","1","0"
"001903001","ELKHART H S","001903","001","ELKHART ISD","07","ANDERSON","S","09 - 12","N","N"," "," ","M","1","0","0"
"001903041","ELKHART MIDDLE","001903","001","ELKHART ISD","07","ANDERSON","M","06 - 08","N","N"," "," ","M","0","0","0"
"001903101","ELKHART EL","001903","001","ELKHART ISD","07","ANDERSON","E","EE - 02","N","N","001903102","ELKHART INT","M"," "," "," "
"001903102","ELKHART INT","001903","001","ELKHART ISD","07","ANDERSON","E","03 - 05","N","N"," "," ","M","1","0","1"
"001904001","FRANKSTON H S","001904","001","FRANKSTON ISD","07","ANDERSON","S","09 - 12","N","N"," "," ","M","0","0","1"
"001904041","FRANKSTON MIDDLE","001904","001","FRANKSTON ISD","07","ANDERSON","M","06 - 08","N","N"," "," ","M","0","0","0"
"001904102","FRANKSTON EL","001904","001","FRANKSTON ISD","07","ANDERSON","E","EE - 05","N","N"," "," ","M","1","1","1"
"001906002","NECHES H S","001906","001","NECHES ISD","07","ANDERSON","S","09 - 12","N","N"," "," ","M","0","0","0"
"001906102","NECHES EL","001906","001","NECHES ISD","07","ANDERSON","E","EE - 08","N","N"," "," ","M","0","1","1"
"001907001","PALESTINE H S","001907","001","PALESTINE ISD","07","ANDERSON","S","09 - 12","N","N"," "," ","M","0","0","1"
"001907041","PALESTINE MIDDLE","001907","001","PALESTINE ISD","07","ANDERSON","M","07 - 08","N","N"," "," ","M","1","1","0"
"001907101","NORTHSIDE PRI","001907","001","PALESTINE ISD","07","ANDERSON","E","KG - 01","N","N","001907107","SOUTHSIDE EL","M"," "," "," "
"001907102","WASHINGTON EARLY CHILDHOOD CENTER","001907","001","PALESTINE ISD","07","ANDERSON","E","EE - PK","N","N","001907107","SOUTHSIDE EL","M"," "," "," "
"001907107","SOUTHSIDE EL","001907","001","PALESTINE ISD","07","ANDERSON","E","02 - 03","N","N"," "," ","M"," ","0","0"
"001907110","STORY INT","001907","001","PALESTINE ISD","07","ANDERSON","E","04 - 06","N","N"," "," ","M","0","0","0"
"001908002","WESTWOOD H S","001908","001","WESTWOOD ISD","07","ANDERSON","S","09 - 12","N","N"," "," ","M","0","0","1"
