DISTRICT,DISTNAME,COUNTY,CNTYNAME,REGION,DFLCHART,DFLALTED,D_RATING,SECS
"001902","CAYUGA ISD","001","ANDERSON","07","N","N","M"," "
"001903","ELKHART ISD","001","ANDERSON","07","N","N","M"," "
"001904","FRANKSTON ISD","001","ANDERSON","07","N","N","M","D"
"001906","NECHES ISD","001","ANDERSON","07","N","N","M"," "
"001907","PALESTINE ISD","001","ANDERSON","07","N","N","M"," "
"001908","WESTWOOD ISD","001","ANDERSON","07","N","N","M"," "
"001909","SLOCUM ISD","001","ANDERSON","07","N","N","M","D"
"002901","ANDREWS ISD","002","ANDREWS","18","N","N","M"," "
"003801","PINEYWOODS COMMUNITY ACADEMY","003","ANGELINA","07","Y","N","M","D"
"003902","HUDSON ISD","003","ANGELINA","07","N","N","M","B"
"003903","LUFKIN ISD","003","ANGELINA","07","N","N","M","L"
"003904","HUNTINGTON ISD","003","ANGELINA","07","N","N","M"," "
"003905","DIBOLL ISD","003","ANGELINA","07","N","N","M","D"
"003906","ZAVALLA ISD","003","ANGELINA","07","N","N","M"," "
"003907","CENTRAL ISD","003","ANGELINA","07","N","N","M"," "
"004901","ARANSAS COUNTY ISD","004","ARANSAS","02","N","N","M","B"
"005901","ARCHER CITY ISD","005","ARCHER","09","N","N","I","D"
"005902","HOLLIDAY ISD","005","ARCHER","09","N","N","M"," "
"005904","WINDTHORST ISD","005","ARCHER","09","N","N","M","D"
"006902","CLAUDE ISD","006","ARMSTRONG","16","N","N","M"," "
"007901","CHARLOTTE ISD","007","ATASCOSA","20","N","N","I"," "
"007902","JOURDANTON ISD","007","ATASCOSA","20","N","N","M"," "
"007904","LYTLE ISD","007","ATASCOSA","20","N","N","M"," "
"007905","PLEASANTON ISD","007","ATASCOSA","20","N","N","M"," "
"007906","POTEET ISD","007","ATASCOSA","20","N","N","M","B"
"008901","BELLVILLE ISD","008","AUSTIN","06","N","N","M","B"
"008902","SEALY ISD","008","AUSTIN","06","N","N","M"," "
"008903","BRAZOS ISD","008","AUSTIN","06","N","N","M","D"
"009901","MULESHOE ISD","009","BAILEY","17","N","N","M"," "
"010901","MEDINA ISD","010","BANDERA","20","N","N","M","D"
"010902","BANDERA ISD","010","BANDERA","20","N","N","M","B"
"011901","BASTROP ISD","011","BASTROP","13","N","N","M"," "
"011902","ELGIN ISD","011","BASTROP","13","N","N","M","L"
"011904","SMITHVILLE ISD","011","BASTROP","13","N","N","M"," "
"011905","MCDADE ISD","011","BASTROP","13","N","N","M"," "
"012901","SEYMOUR ISD","012","BAYLOR","09","N","N","M"," "
"013801","ST MARY'S ACADEMY CHARTER SCHOOL","013","BEE","02","Y","N","M","D"
"013901","BEEVILLE ISD","013","BEE","02","N","N","M"," "
"013902","PAWNEE ISD","013","BEE","02","N","N","M"," "
"013903","PETTUS ISD","013","BEE","02","N","N","I"," "
"013905","SKIDMORE-TYNAN ISD","013","BEE","02","N","N","M","D"
"014801","RICHARD MILBURN ALTER HIGH SCHOOL","014","BELL","12","Y","Y","A","B"
"014802","TRANSFORMATIVE CHARTER ACADEMY","014","BELL","12","Y","Y","A"," "
"014803","PRIORITY CHARTER SCHOOLS","014","BELL","12","Y","N","M"," "
"014804","ORENDA CHARTER SCHOOL","014","BELL","12","Y","N","I"," "
"014901","ACADEMY ISD","014","BELL","12","N","N","M"," "
"014902","BARTLETT ISD","014","BELL","13","N","N","M","D"
"014903","BELTON ISD","014","BELL","12","N","N","M"," "
"014905","HOLLAND ISD","014","BELL","12","N","N","M"," "
"014906","KILLEEN ISD","014","BELL","12","N","N","M"," "
"014907","ROGERS ISD","014","BELL","12","N","N","M"," "
"014908","SALADO ISD","014","BELL","12","N","N","M"," "
"014909","TEMPLE ISD","014","BELL","12","N","N","M","B"
"014910","TROY ISD","014","BELL","12","N","N","M","D"
