DISTRICT,DPETGEEC,DPETGPKC,DPETGKNC,DPETG01C,DPETG02C,DPETG03C,DPETG04C,DPETG05C,DPETG06C,DPETG07C,DPETG08C,DPETG09C,DPETG10C,DPETG11C,DPETG12C,DPETALLC,DPETSPEC,DPETBILC,DPETVOCC,DPETGIFC,DPETLEPC,DPETECOC,DPETNEDC,DPETRSKC,DPETINDC,DPETASIC,DPETPCIC,DPETTWOC,DPETBLAC,DPETHISC,DPETWHIC,DAPID13D,DAPID13N,DAPID13R,DPETDISD,DPETDISC,DPETDISP,DA0GH12N,DA0GR12N,DA0GM12N,DB0GR12N,DH0GR12N,DW0GR12N,DI0GR12N,D30GR12N,D40GR12N,D20GR12N,DS0GR12N,DA0GR12R,DB0GR12R,DH0GR12R,DW0GR12R,DI0GR12R,D30GR12R,D40GR12R,D20GR12R,DS0GR12R,DA0GH12R,DA0GM12R,DPERRAKR,DPERRA1R,DPERRA2R,DPERRA3R,DPERRA4R,DPERRA5R,DPERRA6R,DPERRA7R,DPERRA8R,DPERSAKR,DPERSA1R,DPERSA2R,DPERSA3R,DPERSA4R,DPERSA5R,DPERSA6R,DPERSA7R,DPERSA8R,DAUND12C,DAUND12D,DAUND12R,DPEMALLC,DPEMALLT,DPEMALLP,DPETWHIP,DPETBLAP,DPETHISP,DPETINDP,DPETASIP,DPETPCIP,DPETTWOP,DPETECOP,DPETNEDP,DPETRSKP,DPETLEPP,DPETSPEP,DPETVOCP,DPETBILP,DPETGIFP,DPETGEEP,DPETGPKP,DPETGKNP,DPETG01P,DPETG02P,DPETG03P,DPETG04P,DPETG05P,DPETG06P,DPETG07P,DPETG08P,DPETG09P,DPETG10P,DPETG11P,DPETG12P,DPSTTOFC,DPSUTOFC,DPSSTOFC,DPSCTOFC,DPSETOFC,DPSTTOST,DPSUTOST,DPSSTOST,DPSCTOST,DPST00FC,DPST01FC,DPST06FC,DPST11FC,DPST20FC,DPST00ST,DPST01ST,DPST06ST,DPST11ST,DPST20ST,DPSTNOFC,DPSTBAFC,DPSTMSFC,DPSTPHFC,DPSPCOFC,DPSECOFC,DPSPTOFC,DPSXTOFC,DPSATOFC,DPSOTOFC,DPSTINFC,DPSTPIFC,DPSTASFC,DPSTBLFC,DPSTHIFC,DPSTWHFC,DPSTTWFC,DPSTMAFC,DPSTFEFC,DPSXCOFC,DPSTREFC,DPSTVOFC,DPSTBIFC,DPSTCOFC,DPSTGIFC,DPSTSPFC,DPSTOPFC,DPSTURNN,DPSTURND,DPSTURNR,DPSTTENA,DPSTEXPA,DPSAMIFC,DPCTSOCS,DPCTSOCC,DPCTSCIS,DPCTSCIC,DPCTMATS,DPCTMATC,DPCTG06S,DPCTG06C,DPCTG05S,DPCTG05C,DPCTG04S,DPCTG04C,DPCTG03S,DPCTG03C,DPCTG02S,DPCTG02C,DPCTG01S,DPCTG01C,DPCTGMES,DPCTGMEC,DPCTGKGS,DPCTGKGC,DPCTFLAS,DPCTFLAC,DPCTENGS,DPCTENGC,DPCTSOCA,DPCTSCIA,DPCTMATA,DPCTGMEA,DPCTGKGA,DPCTG06A,DPCTG05A,DPCTG04A,DPCTG03A,DPCTG02A,DPCTG01A,DPCTFLAA,DPCTENGA,DPSPTOFP,DPSTTOFP,DPSUTOFP,DPSSTOFP,DPSCTOFP,DPSETOFP,DPSXTOFP,DPSAMIFP,DPSTNOFP,DPSTBAFP,DPSTMSFP,DPSTPHFP,DPST00FP,DPST01FP,DPST06FP,DPST11FP,DPST20FP,DPSTREFP,DPSTVOFP,DPSTBIFP,DPSTCOFP,DPSTGIFP,DPSTSPFP,DPSTOPFP,DPSTBLFP,DPSTWHFP,DPSTHIFP,DPSTPIFP,DPSTINFP,DPSTASFP,DPSTTWFP,DPSTMAFP,DPSTFEFP,DPSTKIDR,DPST00SA,DPST01SA,DPST06SA,DPST11SA,DPST20SA,DPSTTOSA,DPSUTOSA,DPSSTOSA,DPSCTOSA,DPSAINHP,DPFEIERP
"001902",4,11,40,42,39,36,42,29,43,50,53,51,66,39,50,595,73,5,180,53,5,227,368,162,0,4,0,30,34,45,482,653,0,0,664,5,0.8,30,37,7,5,1,31,0,0,0,0,3,100,13.5,2.7,83.8,0,0,0,0,8.1,81.1,18.9,2.9,3.1,5.4,10,0,0,0,0,2.4,0,50,0,0,0,0,0,0,0,0,329,0,93,598,15.6,81,5.7,7.6,0,0.7,0,5,38.2,61.8,27.2,0.8,12.3,30.3,0.8,8.9,0.7,1.8,6.7,7.1,6.6,6.1,7.1,4.9,7.2,8.4,8.9,8.6,11.1,6.6,8.4,54.2,7,3,1.6,11.6,2444371.4,371739.2,197454,115098,1,6,11.8,20,15.4,30872,232733,475936,929229.6,775601,0,47.4,6.8,0,14.8,22.8,65.8,28.8,106,2,0,0,0,2,3,49.2,0,12.8,41.4,3,45.4,3.2,0.4,0,0,5.4,0,5.4,54.2,9.8,7.2,15,14,289,22,286,22,293,25,36,2.6,25.6,2.6,36.2,2.6,36,3,39,2,42,2,0,0,40,3,117,13,353,25,13.2,13,11.8,.,13.4,13.6,9.6,13.6,12,19.6,21,9,14.2,62,51.2,6.6,2.8,1.4,10.8,27.2,13.2,0,87.4,12.6,0,1.8,11,22,36.8,28.2,83.8,5.8,0.6,0,0,9.8,0,3.6,90.8,5.6,0,0,0,0,23.8,76.2,11,30875,38785.6,40045.4,46458.6,50580.4,45082,53006.4,65818,76732,77.6,60.4
"001903",1,105,59,80,82,80,91,105,92,91,101,98,76,96,79,1236,113,16,315,52,16,636,600,344,2,10,2,47,54,112,1009,1360,1,0.1,1415,5,0.4,54,74,20,3,3,68,0,0,0,0,10,100,4.1,4.1,91.9,0,0,0,0,13.5,73,27,6.2,4.2,1.3,0,0,0,7.8,2.2,0,20,0,11.1,0,0,0,0,0,0,5,595,0.8,179,1208,14.8,81.6,4.4,9.1,0.2,0.8,0.2,3.8,51.5,48.5,27.8,1.3,9.1,25.5,1.3,4.2,0.1,8.5,4.8,6.5,6.6,6.5,7.4,8.5,7.4,7.4,8.2,7.9,6.1,7.8,6.4,96.6,7.6,5,3,15.6,3915026.2,347667.8,300835,234805,14.2,9,21,33,19.4,514659.4,274061.2,752868.2,1439600,933837.4,2,81.2,13.4,0,0,0,112.2,28,155.8,0,0,0,0,1,3,91.6,1,15,81.6,0.6,77.2,5.4,0,0.6,2,11.6,0,19,96.4,19.6,9.4,12.6,7,539,42,472,31,529,36,74,5,103,5,89.6,5,78.6,5,70.4,3.4,59.8,3,0,0,50.6,3.4,112,6,636,53,12.8,15.2,14.8,.,14.8,14.8,20.6,18,15.8,20.6,20,18.8,12,72,62,5,3.2,2,10,18,4.4,2,84,14,0,14.6,9.4,21.8,34,20,79.8,5.6,0,0.6,2,12,0,1,94.8,3.2,0,0,0,1,15.6,84.4,12.8,36340.8,30191,35850,43717.8,48106.2,40536,45384.4,60167,78268.4,73,60.2
"001904",2,37,55,58,64,53,53,50,52,58,59,54,46,61,49,751,81,14,264,26,14,443,308,238,2,2,0,32,79,79,557,829,0,0,841,1,0.1,50,56,6,9,4,41,0,1,0,1,6,100,16.1,7.1,73.2,0,1.8,0,1.8,10.7,89.3,10.7,3.6,1.7,0,4.3,0,0,0,0,2,0,0,0,0,0,0,0,0,0,7,353,2,132,739,17.9,74.2,10.5,10.5,0.3,0.3,0,4.3,59,41,31.7,1.9,10.8,35.2,1.9,3.5,0.3,4.9,7.3,7.7,8.5,7.1,7.1,6.7,6.9,7.7,7.9,7.2,6.1,8.1,6.5,55.8,5.2,3,2,10,2370621.4,258715.4,209220,162650,2,11,7,22.8,13,59451,352978.4,262398.8,1058773.4,637019.6,0,49.8,6,0,0,0,66,28.6,104.6,1,1,0,0,1,1,52.8,0,13,42.8,1.2,42.4,8,0,0.6,0,4,0.8,20.4,65.8,31,8.2,14.2,8.4,335,22,153,10,284,20,29.2,1.6,53.8,3.2,51.4,3,50.8,3,59,3,59.6,3,0,0,55,3,130,8,321,23,15.2,15.4,14.2,.,18.4,18,17,17.8,16.8,19.8,19.4,16.4,14,63,53.4,4.8,2.8,2,9.6,27.4,8,0,89.2,10.8,0,3.6,19.6,12.6,41,23.2,75.8,14.4,0,1.2,0,7,1.6,1.8,94.6,1.8,0,1.8,0,0,23.2,76.8,13.4,29730,32090.2,37487.2,46285.6,48996.6,42427.2,50489,69740,81325,61.2,60.4
"001906",1,0,27,31,31,33,26,38,37,33,25,29,36,39,20,406,45,4,155,27,4,170,236,168,0,2,0,6,24,39,335,431,0,0,433,0,0,14,18,4,4,2,12,0,0,0,0,1,100,22.2,11.1,66.7,0,0,0,0,5.6,77.8,22.2,7.1,0,0,0,0,0,7.1,0,0,0,0,0,0,33.3,0,0,0,0,0,178,0,52,395,13.2,82.5,5.9,9.6,0,0.5,0,1.5,41.9,58.1,41.4,1,11.1,38.2,1,6.7,0.2,0,6.7,7.6,7.6,8.1,6.4,9.4,9.1,8.1,6.2,7.1,8.9,9.6,4.9,34,2,2,1,6,1417515,88239,130000,87150,2,8,5,13,6,58793,256896.8,196655.6,586946.6,318223,0,33,1,0,0,0,39,14.8,59.8,0,0,0,0,1,0,33,0,9,25,2.2,27.2,2.8,0,0.4,0.6,3,0,4,33,12.2,4.8,12,4.8,170,16,163,12,169,15,22.6,1.2,33.6,1.8,20.2,1.6,28.6,1.8,31,2,29,2,9.8,1,27,2,79,5,185,19,10.6,13.6,11.4,9.8,13.6,18.4,18.2,12.2,16.2,15.6,14.6,15.8,9.8,65.2,57,3.4,3.4,1.6,10,24.8,8,0,97,3,0,5.8,23.6,14.8,38.2,17.6,80.2,8.2,0,1.4,1.6,8.6,0,3,97,0,0,0,0,0,26.4,73.6,12,29398,32110.4,39327.2,45152.2,53036.2,41691.4,44119.6,65000,87150,64.2,56.2
"001907",37,160,303,272,267,248,236,235,237,208,235,237,213,200,200,3288,252,400,1086,109,434,2502,786,1938,15,33,2,64,924,1272,978,3572,6,0.2,3662,135,3.7,124,139,15,35,62,37,0,2,1,2,13,100,25.2,44.6,26.6,0,1.4,0.7,1.4,9.4,89.2,10.8,3.7,3.8,5.2,4.1,2.6,0.9,3.6,0.5,1.1,5.3,13.6,3.8,0,0,0,0,9.1,0,2,1484,0.1,625,3140,19.9,29.7,28.1,38.7,0.5,1,0.1,1.9,76.1,23.9,58.9,13.2,7.7,33,12.2,3.3,1.1,4.9,9.2,8.3,8.1,7.5,7.2,7.1,7.2,6.3,7.1,7.2,6.5,6.1,6.1,252.8,27.8,16.4,8,70,10729855.2,1352453.8,1103779,685299,24.8,77,50,50.2,50.6,798104.4,2746109.6,2073067.6,2394626,2717947.4,3,206.4,41.4,2,0,0,304.8,89,464,0,0,0,1,21,17,208.8,5,60.8,192,0,172.6,13.8,4.6,26,0.6,22.6,12.4,59.4,234.6,25.4,6.2,11.2,109.2,1421,84,1463,79,1421,82,231.8,12.6,188.8,9.6,193.4,9.8,202.4,11.2,212.4,10.8,202,11.2,0,0,299,16.8,569,31,1531,88,17,18.6,17.4,.,17.8,18.6,19.6,19.6,18.2,19.6,18,18.4,17.4,65.8,54.4,6,3.6,1.8,15,19.2,23.6,1.2,81.6,16.4,0.8,9.8,30.4,19.8,19.8,20,68.4,5.4,1.8,10.2,0.2,9,5,8.4,82.6,6.8,0,0,0.4,2,24,76,13,32068.8,35663,41460.2,47740.8,53622.6,42454.8,48718.4,67405.2,85662.4,70.6,58.8
"001908",6,46,115,137,130,134,126,138,117,130,111,131,130,82,86,1619,151,73,302,44,80,1002,617,718,6,10,2,74,268,341,918,1799,1,0.1,1931,39,2,78,102,24,20,13,67,0,0,0,2,25,100,19.6,12.7,65.7,0,0,0,2,24.5,76.5,23.5,5.5,9,4.8,0,0,1.8,0.9,0,3.5,0,0,7.7,0,0,5.9,0,0,0,0,776,0,313,1698,18.4,56.7,16.6,21.1,0.4,0.6,0.1,4.6,61.9,38.1,44.3,4.9,9.3,18.7,4.5,2.7,0.4,2.8,7.1,8.5,8,8.3,7.8,8.5,7.2,8,6.9,8.1,8,5.1,5.3,123.2,12.8,6.6,4,24.2,4946572.8,579834,391276,328359.8,17,32.6,15,33.6,25,531477,1102872.6,574805.2,1509698.6,1227719.2,0,105.2,17,1,0,0,146.6,46.2,217,0,1,0,1,9,4,106.2,2,27.6,95.6,0,94,7,0.4,6.6,1.8,13.4,0.2,30,120.8,24.8,6.4,11.2,39.4,607,38,686,48,680,53,108.4,5.8,145.8,7.6,123.8,7.4,135.6,6.4,136.2,7.6,142.8,7.6,0,0,120.4,7.6,313,23,683,47,16,14.4,12.8,.,16,18.8,19,16.6,21.2,17.8,18.6,13.6,14.6,67.6,56.8,6,3,1.8,11.2,21.2,18.2,0,85.4,13.8,0.8,13.8,26.4,12.2,27.2,20.2,76.4,5.6,0.2,5.4,1.4,10.8,0,7.4,86.2,3.2,0,0.8,0.8,1.6,22.4,77.6,13.2,31294,33789.6,38322.6,44946.8,49110.8,40147.6,45018.2,60196.4,83938.6,66.2,61.4
"001909",1,28,34,27,33,32,32,39,30,33,28,34,32,29,27,439,48,2,167,21,2,198,241,76,1,0,0,18,5,23,392,491,1,0.2,486,3,0.6,20,28,8,0,1,25,1,0,0,1,6,100,0,3.6,89.3,3.6,0,0,3.6,21.4,71.4,28.6,0,5.9,4,9.5,0,6.7,0,3.8,0,50,33.3,50,20,0,0,0,0,0,0,200,0,73,414,17.6,89.3,1.1,5.2,0.2,0,0,4.1,45.1,54.9,17.3,0.5,10.9,38,0.5,4.8,0.2,6.4,7.7,6.2,7.5,7.3,7.3,8.9,6.8,7.5,6.4,7.7,7.3,6.6,6.2,37.2,2,2,2,0,1608996.2,87453,129005,141885,2,8.2,6,14,7,56923,317865.4,238181.4,645382.8,350643.4,0,36.2,1,0,0,0,43.2,15.8,59,0,0,0,0,0,0,37.2,0,8.6,28.8,0,29.6,3.4,0.2,0.2,0,3.8,0,6.4,37.4,17.4,9.2,13,0,157,13,176,12,173,13,25,1.8,35.6,2,27.8,1.8,29,2,30.4,2,25,1.8,0,0,55,3,62,4,218,17,12.2,14.8,13.4,.,18.4,14.2,18.2,15.4,15,16,13.6,15.6,12.8,73.2,63,3.4,3.4,3.4,0,26.8,0,0,97.4,2.6,0,5.4,22.2,16.2,37.6,18.8,79.4,9.4,0.4,0.8,0,10,0,0,100,0,0,0,0,0,23,77,11.8,28463,38464.8,39697,46100.4,50089.8,43178.8,43726.6,64502.6,70942.6,71.6,67.2
"002901",4,117,308,307,289,297,308,271,294,246,237,270,252,242,175,3617,250,486,554,132,398,1489,2128,1198,11,13,0,53,65,2363,1112,4009,2,0,3792,31,0.8,160,237,77,2,130,99,0,2,0,4,22,100,0.8,54.9,41.8,0,0.8,0,1.7,9.3,67.5,32.5,1.2,4.5,0.4,1.2,0,0,0.9,0.5,0.4,15.8,0,5.9,0,0,0,11.1,0,0,6,1523,0.4,639,3356,19,30.7,1.8,65.3,0.3,0.4,0,1.5,41.2,58.8,33.1,11,6.9,15.3,13.4,3.6,0.1,3.2,8.5,8.5,8,8.2,8.5,7.5,8.1,6.8,6.6,7.5,7,6.7,4.8,240,22.2,7.4,7,51.8,13351942.2,1509255.2,629969.6,715619.2,10,52,48,74.8,55.4,442846,2503495,2529112.8,4202185.2,3674303.4,0,196.4,43.6,0,0,0,276.8,125.8,454.6,0,4,0,3,1,46.6,178.6,7,57.6,182.6,0,170.2,7.6,4,26,3.6,15.4,13.2,31.6,234.4,13.4,8.6,13.2,150.8,1356,77,1314,66,1503,92,195.2,9,331.2,18.2,254.8,12.6,245.6,13.2,225.6,13,308.4,12.2,0,0,302.2,13,520,26,1675,114,17.6,20,16.4,.,23.2,21.6,18.4,20.2,18.8,17.4,25.2,20,14.8,61,52.8,5,1.6,1.6,11.4,27.6,33.2,0,81.8,18.2,0,4.2,21.6,20,31.2,23,71,3.2,1.6,10.8,1.6,6.4,5.4,0.4,74.4,19.4,0,1.6,1.2,3,24,76,15,44355.2,48169,52719.2,56217,66312.6,55612.6,67713.6,84479.2,102232.8,64.2,61.8
"003801",0,41,51,54,55,57,60,61,61,35,38,37,39,26,20,635,45,0,83,40,0,320,315,49,0,15,2,10,109,98,401,646,0,0,598,0,0,0,0,0,0,0,0,0,0,0,0,0,.,.,.,.,.,.,.,.,.,.,.,6.7,4.8,0,0,0,0,0,0,0,33.3,16.7,0,0,0,0,0,0,0,4,174,2.3,47,497,9.5,63.1,17.2,15.4,0,2.4,0.3,1.6,50.4,49.6,7.7,0,7.1,13.1,0,6.3,0,6.5,8,8.5,8.7,9,9.4,9.6,9.6,5.5,6,5.8,6.1,4.1,3.1,44.2,8,2,4,0.8,1909125.6,355067,99235.8,301383,4.2,14,14,9,3,141279.6,559688,584082,446491,177585,2,31.2,11,0,0,0,58.2,17.2,76.2,0,0,0,0,2,2,40.2,0,7,37.2,0,42.4,0.2,0,0,0,1.6,0,3.4,40.4,8.6,2.6,9,12,311,31,419,30,455,45,58.4,2.8,63.2,3.2,59,3,76.4,4.2,56.8,3.2,40.8,2.4,0,0,49.6,3,284,21,508,40,10,14,10.2,.,16.6,20.4,20.2,19.8,18.6,18.4,16.6,13.6,12.8,76.4,58,10.6,2.6,5.2,1,22.8,15.8,4.6,70.4,24.8,0.2,9.4,31.6,31.6,20.4,7,95.8,0.6,0,0,0.2,3.6,0,4.6,90.8,4.6,0,0,0,0,15.8,84.2,14.4,34241.4,39975.8,41723.4,49610.2,57973.6,43203.8,44383.4,51239.6,75345.8,68.6,64.8
"003902",4,93,217,199,199,199,187,202,238,208,218,207,194,196,165,2726,196,169,599,161,177,1490,1236,904,11,29,1,41,156,629,1859,2951,1,0,2941,57,1.9,122,154,32,6,27,113,1,0,0,7,12,100,3.9,17.5,73.4,0.6,0,0,4.5,7.8,79.2,20.8,6.8,7,3.9,2.8,3.3,1,1.5,1.5,0.6,42.1,14.3,6.7,0,7.1,0,0,0,4.8,1,1234,0.1,363,2604,13.9,68.2,5.7,23.1,0.4,1.1,0,1.5,54.7,45.3,33.2,6.5,7.2,22,6.2,5.9,0.1,3.4,8,7.3,7.3,7.3,6.9,7.4,8.7,7.6,8,7.6,7.1,7.2,6.1,182.6,28.2,15.2,2,24,8014426.4,1416550.6,1010330.8,228505,8,38,39,55.4,42.2,267839.2,1380012.8,1570905,2562770.4,2232899,2,146.8,33.8,0,0,0,228,124.4,376.4,3,1,0,0,2,5,169.8,4.8,36.2,146.4,2.6,129.6,9.6,18.4,5.6,13.4,6,0,15,175.6,8.6,8.6,13.4,57,1287,71,1089,58,1609,84,243,10.2,146.4,7.4,133.6,7,123.6,6.4,141.4,7.2,164.2,9,0,0,151,7,423,23,1693,87,18.2,18.8,19.2,.,21.6,23.6,20,19,19.6,19.8,18.4,18.4,19.6,60.6,48.4,7.6,4,0.6,6.4,33,15.2,1,80.4,18.6,0,4.4,20.8,21.4,30.4,23,71,5.2,10,3,7.4,3.4,0,1,93,2.8,0,0.6,0,2.6,19.8,80.2,15,33480,36315.2,40278.6,46284.4,52964.6,43907.4,50080.2,66521.6,114252.6,57.8,62.2
