REGION,RPETALLC,RPETSPEC,RPETLEPC,RPETECOC,RPETNEDC,RPETGIFC,RPETVOCC,RPETBILC,RPETRSKC,RPETGEEC,RPETGPKC,RPETGKNC,RPETG01C,RPETG02C,RPETG03C,RPETG04C,RPETG05C,RPETG06C,RPETG07C,RPETG08C,RPETG09C,RPETG10C,RPETG11C,RPETG12C,RPETHISC,RPETBLAC,RPETWHIC,RPETINDC,RPETASIC,RPETPCIC,RPETTWOC,RAPID13D,RAPID13N,RAUND12C,RAUND12D,RAUND12R,RPETDISD,RPETDISC,RPETDISP,RA0GH12N,RA0GR12N,RA0GM12N,RB0GR12N,RH0GR12N,RW0GR12N,RI0GR12N,R30GR12N,R40GR12N,R20GR12N,RS0GR12N,RA0GR12R,RB0GR12R,RH0GR12R,RW0GR12R,RI0GR12R,R30GR12R,R40GR12R,R20GR12R,RS0GR12R,RA0GH12R,RA0GM12R,RPERRAKR,RPERRA1R,RPERRA2R,RPERRA3R,RPERRA4R,RPERRA5R,RPERRA6R,RPERRA7R,RPERRA8R,RPERSAKR,RPERSA1R,RPERSA2R,RPERSA3R,RPERSA4R,RPERSA5R,RPERSA6R,RPERSA7R,RPERSA8R,RPETWHIP,RPETBLAP,RPETHISP,RPETINDP,RPETASIP,RPETPCIP,RPETTWOP,RPETECOP,RPETNEDP,RPETRSKP,RPETLEPP,RPETSPEP,RPETVOCP,RPETBILP,RPETGIFP,RPETGEEP,RPETGPKP,RPETGKNP,RPETG01P,RPETG02P,RPETG03P,RPETG04P,RPETG05P,RPETG06P,RPETG07P,RPETG08P,RPETG09P,RPETG10P,RPETG11P,RPETG12P,RAPID13R,RPSTTOFC,RPSUTOFC,RPSSTOFC,RPSCTOFC,RPSETOFC,RPSTTOST,RPSUTOST,RPSSTOST,RPSCTOST,RPST00FC,RPST01FC,RPST06FC,RPST11FC,RPST20FC,RPST00ST,RPST01ST,RPST06ST,RPST11ST,RPST20ST,RPSTNOFC,RPSTBAFC,RPSTMSFC,RPSTPHFC,RPSPCOFC,RPSECOFC,RPSPTOFC,RPSXTOFC,RPSATOFC,RPSOTOFC,RPSTINFC,RPSTPIFC,RPSTASFC,RPSTBLFC,RPSTHIFC,RPSTWHFC,RPSTTWFC,RPSTMAFC,RPSTFEFC,RPSXCOFC,RPSTREFC,RPSTVOFC,RPSTBIFC,RPSTCOFC,RPSTGIFC,RPSTSPFC,RPSTOPFC,RPSTURNN,RPSTURND,RPSTURNR,RPSTTENA,RPSTEXPA,RPSAMIFC,RPCTSOCS,RPCTSOCC,RPCTSCIS,RPCTSCIC,RPCTMATS,RPCTMATC,RPCTG06S,RPCTG06C,RPCTG05S,RPCTG05C,RPCTG04S,RPCTG04C,RPCTG03S,RPCTG03C,RPCTG02S,RPCTG02C,RPCTG01S,RPCTG01C,RPCTGMES,RPCTGMEC,RPCTGKGS,RPCTGKGC,RPCTFLAS,RPCTFLAC,RPCTENGS,RPCTENGC,RPCTSOCA,RPCTSCIA,RPCTMATA,RPCTGMEA,RPCTGKGA,RPCTG06A,RPCTG05A,RPCTG04A,RPCTG03A,RPCTG02A,RPCTG01A,RPCTFLAA,RPCTENGA,RPSPTOFP,RPSTTOFP,RPSUTOFP,RPSSTOFP,RPSCTOFP,RPSETOFP,RPSXTOFP,RPSAMIFP,RPSTNOFP,RPSTBAFP,RPSTMSFP,RPSTPHFP,RPST00FP,RPST01FP,RPST06FP,RPST11FP,RPST20FP,RPSTREFP,RPSTVOFP,RPSTBIFP,RPSTCOFP,RPSTGIFP,RPSTSPFP,RPSTOPFP,RPSTBLFP,RPSTWHFP,RPSTHIFP,RPSTPIFP,RPSTINFP,RPSTASFP,RPSTTWFP,RPSTMAFP,RPSTFEFP,RPSTKIDR,RPST00SA,RPST01SA,RPST06SA,RPST11SA,RPST20SA,RPSTTOSA,RPSUTOSA,RPSSTOSA,RPSCTOSA,RPSAINHP,RPFEIERP
"01",416353,30362,145591,354341,62012,35610,103495,145196,256071,751,23887,30492,32255,31855,30967,30670,30919,31367,30756,29620,34870,27044,26492,24408,406169,733,6900,245,1955,45,306,455054,354,889,183401,0.5,429657,8190,1.9,21048,23375,2327,46,22619,523,25,138,0,24,1993,100,0.2,96.8,2.2,0.1,0.6,0,0.1,8.5,90,10,1.6,6.4,4.7,2.6,1.2,0.4,0.5,0.8,0.8,6.3,10,5,1.9,0.9,0.7,1,1.2,2.3,1.7,0.2,97.6,0.1,0.5,0,0.1,85.1,14.9,61.5,35,7.3,24.9,34.9,8.6,0.2,5.7,7.3,7.7,7.7,7.4,7.4,7.4,7.5,7.4,7.1,8.4,6.5,6.4,5.9,0.1,26371.6,5138.8,1452.6,479.6,5544.2,1279572183.8,294976650.4,101820298.4,42479171,1622.6,6525.6,6812.2,6733.6,4677.6,66328262.8,282505109.6,312145058.8,340025377.2,278568375.4,302,21852.4,4153.6,63.6,44.8,4.2,33443,19565.2,58552.2,80,37.6,17,245.2,87.4,23282.4,2627,75,7749.2,18622.6,120.4,17689,1305.4,3352.8,395,1034.6,2265.4,329.6,2860.8,26098.6,11,9.4,11.8,54275.2,164285,8595,158585,8512,174787,9781,24669.2,1175,21167.2,929,18989.6,932,18097.6,926.8,17896.2,904.2,18612.6,923.8,1088,63.4,18115.8,891.4,76616,3981,213985,12383,19.2,18.6,18,17.2,20.4,21,22.8,20.4,19.6,19.8,20.2,19.2,17.4,57.2,45,8.8,2.4,0.8,9.4,33.4,92.6,1.2,82.8,15.8,0.2,6.2,24.8,25.8,25.6,17.8,67,5,12.8,1.4,4,8.6,1.2,0.4,10,88.2,0,0.2,1,0.2,29.4,70.6,15.8,40876.4,43291.6,45821.2,50496.6,59554.4,48520.6,57400.8,70090.6,88555.8,60.2,62.6
"02",105522,9743,4318,67839,37683,5883,24293,4014,48496,168,3861,7987,8376,8157,7934,7668,7949,8139,8241,7885,8519,7349,6788,6501,78031,2758,22199,266,1185,89,994,116344,31,54,47511,0.1,111084,2852,2.6,4785,6179,1394,185,4183,1593,30,88,7,93,706,100,3,67.7,25.8,0.5,1.4,0.1,1.5,11.4,77.4,22.6,2.2,6.4,4.2,3.2,1.7,1,1.5,1.6,1.3,10.1,11.4,4.6,2.3,0.9,0.8,2.1,2.6,1.8,21,2.6,73.9,0.3,1.1,0.1,0.9,64.3,35.7,46,4.1,9.2,23,3.8,5.6,0.2,3.7,7.6,7.9,7.7,7.5,7.3,7.5,7.7,7.8,7.5,8.1,7,6.4,6.2,0,6818.8,1134,394.4,247.6,1516.6,317198575.8,60383400,26496225.2,20148969.8,537.6,1429.8,1368.8,1884.2,1598.2,20415655.8,57637263,59699870,91249502.8,88196284,52.6,4791.4,1936.8,37.8,9.2,1,8594.8,3934.2,14045.6,23,24,6,42.4,142.6,3267.8,3279,57,1550.6,5268.2,20.2,5286.8,279.4,46.6,253.6,99.8,672,180.4,1129.8,6720.8,16.8,9.2,13,8703.2,43407,2387,42007,2278,44979,2565,6065.8,287.8,6964.4,343.8,6998.4,366.6,7254.4,382.6,7474,381.2,7664,388,124.8,9.4,7203.2,363.6,19260,990,50762,2950,18.2,18.4,17.6,13.2,19.8,21.2,20.4,19.2,19,19.6,19.8,19.6,17.2,61.2,48.6,8,2.8,1.8,10.8,28,62,0.8,70.2,28.4,0.6,7.8,21,20,27.6,23.4,77.6,4,0.6,3.8,1.4,9.8,2.6,2,48,48,0,0.4,0.6,0.8,22.8,77.2,15.4,37974.8,40308.8,43612.4,48430.6,55182,46518.2,53243.6,67188.2,81366.6,62.2,60
"03",53312,4797,3537,33140,20172,3185,13332,3421,21287,114,2599,4220,4136,4101,3895,3952,3931,4047,3940,3888,4222,3656,3434,3177,29080,4933,17892,119,604,23,661,58714,11,142,27045,0.5,56391,1312,2.3,2409,3265,856,299,1489,1392,9,43,2,31,351,100,9.2,45.6,42.6,0.3,1.3,0.1,0.9,10.8,73.8,26.2,3.6,5.3,3.8,2.3,1.1,0.6,1.4,1.5,1.1,13.8,7.6,6.2,2.1,1.4,1.2,0.8,1,1.4,33.6,9.3,54.5,0.2,1.1,0,1.2,62.2,37.8,39.9,6.6,9,25,6.4,6,0.2,4.9,7.9,7.8,7.7,7.3,7.4,7.4,7.6,7.4,7.3,7.9,6.9,6.4,6,0,3861.8,519.2,232.6,112.4,1026.6,174189385.6,26080599.6,15518748.6,8989331.2,287,798.6,736.6,1092.6,947,10386027.2,31193299.8,30885814.4,51372641.4,50351602.8,27.4,3296.6,525.4,12.4,81.2,4.6,4726.2,2118.4,7871.2,11.2,9,3,48.2,131.4,554.2,3094.2,22,808.8,3053,36.8,2960.6,198.8,66.2,173.2,44,319,100.2,750.2,3867.6,19.4,9,13.4,2600.8,22397,1386,21672,1366,23199,1533,2848.6,152,3425.4,171.6,3391.2,182,3418.6,176.6,3536.4,182,3349.6,176.2,66.6,4.6,3529.6,191,8444,497,29716,1968,16.2,16,15.2,14.4,18.6,18.8,20,18.6,19.4,19.4,19,17,15.2,60,49,6.6,3,1.4,13,27,33,0.8,85.4,13.6,0.4,7.4,20.6,19,28.2,24.6,76.6,5.2,1.8,4.4,1.2,8.2,2.6,3.4,80.2,14.4,0,0.2,1.2,0.6,21,79,13.8,36177,39061.2,41931.6,47018.6,53167.2,45104.8,50228,66711.2,80003,64.2,61.2
"04",1119584,86763,226829,676563,443021,86290,228831,215281,510435,3148,55466,85792,87461,85521,84797,84215,82989,83300,83399,80077,89045,77497,71756,65121,549594,216789,259886,4516,69879,1129,17791,1227838,657,1280,492357,0.3,1144128,16163,1.4,49720,63182,13462,12850,25612,18801,285,4440,103,1091,4557,100,20.3,40.5,29.8,0.5,7,0.2,1.7,7.2,78.7,21.3,1.3,4.6,3,2.3,1.1,0.5,0.7,1,0.6,7.3,8.2,3.5,1.6,0.9,0.5,1,1.1,1,23.2,19.4,49.1,0.4,6.2,0.1,1.6,60.4,39.6,45.6,20.3,7.7,20.4,19.2,7.7,0.3,5,7.7,7.8,7.6,7.6,7.5,7.4,7.4,7.4,7.2,8,6.9,6.4,5.8,0.1,67108.2,12835.2,3683.6,1107.4,11029.8,3420373237.4,763611061.8,274286491.2,107968225.2,4837.2,19061.4,15997,17038.8,10173.8,214606404.2,891613261.8,782387900.2,900319737.8,631445933.4,416.2,49744.2,16369.6,578.2,56.4,4.8,84734.6,38389.4,134153.8,601.8,219.8,66.4,1889.2,13046,12373.2,38661,852.6,14631.4,52476.8,16.8,49323.4,2341.4,3857.8,1306.8,1816.6,5948.6,2513.8,10569.2,65904,16,7.8,10.8,66099.8,462121,22167,443614,21952,466914,24228,61123.4,2769.2,67898.4,3094.8,68939.2,3415.6,67553.4,3340.6,66513.6,3346,67692.2,3386.6,5294.8,219,59050.8,2875.4,191562,9300,552376,29463,20.8,20.2,19.4,24.2,20.6,22.2,22,20.2,20.2,20,20,20.6,18.8,63.2,50,9.6,2.8,0.8,8.2,28.6,49.2,0.6,74.2,24.4,0.8,7.2,28.4,23.8,25.4,15.2,73.4,3.4,5.8,2,2.8,8.8,3.8,19.4,57.6,18.4,0,0.4,2.8,1.2,21.8,78.2,16.6,44365.4,46775.8,48908.6,52839.6,62066,50968,59493.2,74460.4,97489,63,65.2
"05",81731,7463,5298,47959,33772,4665,19629,4290,30785,280,4029,6418,6327,6072,5995,5896,5906,6058,6039,5973,6321,5864,5415,5138,13950,22327,41511,501,1914,70,1458,90310,19,263,37026,0.7,84227,1729,2.1,3794,4946,1152,1387,584,2758,27,139,1,50,552,100,28,11.8,55.8,0.5,2.8,0,1,11.2,76.7,23.3,3.1,4.6,2.9,2,1,0.5,0.6,0.9,0.6,10.5,10.2,4.1,2.2,1.2,0.9,0.5,0.5,2.3,50.8,27.3,17.1,0.6,2.3,0.1,1.8,58.7,41.3,37.7,6.5,9.1,24,5.2,5.7,0.3,4.9,7.9,7.7,7.4,7.3,7.2,7.2,7.4,7.4,7.3,7.7,7.2,6.6,6.3,0,5745.4,802.4,326,132.4,1242.4,262282538.8,42959783.6,22295964,11853554.6,342,1237.2,1118.8,1619.2,1428.2,12354322.8,48497068.6,46928584.6,76006918.2,78495644.8,45.4,4673.8,1015,11,23.4,10,7006.4,3286.6,11535.4,24.8,16,1,24.2,1026.4,246,4393.2,38.6,1174.4,4571,10.2,4374.2,311.8,74.2,213.6,79.2,506,186.4,839.4,5732,14.6,9.6,13.4,3675.4,33381,1823,33159,1863,35711,2134,4689,240.4,4981,247.2,4907.2,258.8,5087.8,256.2,4912,259,5051,257.6,69.2,5,4526,229.4,11698,658,42606,2629,18.4,17.8,16.8,14,19.8,19.6,20.2,19,20,19,19.6,17.8,16.2,60.8,49.8,7,2.8,1.2,10.8,28.4,31.8,0.8,81.4,17.6,0.2,6,21.6,19.4,28.2,24.8,76.2,5.4,1.2,3.8,1.4,8.8,3.2,17.8,76.4,4.2,0,0.2,0.4,0.6,20.4,79.6,14.2,36120.2,39200.6,41945.4,46941.6,54958.6,45650.6,53538.6,68378.2,89478.6,62.6,58.8
"06",176700,14447,20560,91184,85516,12183,41733,21104,69509,415,6707,13554,13922,13637,13289,13321,13269,13469,13509,12970,14114,12293,11478,10753,57669,19517,91529,785,3412,168,3620,194255,75,169,79768,0.2,185032,3268,1.8,8564,10614,2050,1187,2665,6254,58,208,13,229,939,100,11.2,25.1,58.9,0.5,2,0.1,2.2,8.8,80.7,19.3,2.5,5.5,3.3,2.7,1,0.6,0.7,0.9,0.7,12.3,11.3,4.5,2.4,2,0.6,0.9,1.3,1.9,51.8,11,32.6,0.4,1.9,0.1,2,51.6,48.4,39.3,11.6,8.2,23.6,11.9,6.9,0.2,3.8,7.7,7.9,7.7,7.5,7.5,7.5,7.6,7.6,7.3,8,7,6.5,6.1,0,11792.6,1862.8,653.6,240.6,2271.6,555314097.4,103245910,46079373,22100159.2,735.8,3091.6,2506,3210,2249,28402100.6,129626537,113272203,157410518.2,126602738.6,66.4,9230.8,2429.6,66,54.4,2.6,14549.8,6437,23258.4,45.2,29.8,3.8,70.6,589,964.6,10036.4,98.2,2407.4,9385.4,20,8695.8,592.4,533.2,318.2,100.4,1110.8,442,2027.4,11678.8,17.4,7.4,12,5295.8,75988,3729,70648,3693,78440,4213,11686.4,521.8,11511,551,11744.6,624.2,11578.8,616.4,11465,611.6,11631.2,607.8,220.2,16,10826.6,573.4,30704,1618,87767,4876,20.4,19.2,18.6,13.8,19,22.4,21,18.8,18.8,18.8,19.2,19,18,62.6,50.8,8,2.8,1,9.8,27.6,22.8,0.6,78.2,20.6,0.6,6.2,26.2,21.2,27.2,19,73.8,5,4.6,2.6,0.8,9.4,3.8,5,85.2,8.2,0,0.2,0.6,0.8,20.4,79.6,15,38596,41927.6,45198.8,49036.8,56293.6,47089.8,55423.2,70491.8,91864.6,63,62.8
"07",169964,14807,19119,105036,64928,11456,42942,18826,77326,333,7974,13347,13538,13101,12720,12567,12703,12690,12678,12443,12970,11673,11004,10223,43883,30128,89554,726,1583,125,3965,186931,127,225,77407,0.3,178763,3065,1.7,7771,10071,2300,1838,1924,5985,53,103,7,161,1180,100,18.3,19.1,59.4,0.5,1,0.1,1.6,11.7,77.2,22.8,3.1,4.9,3.7,2.4,1.2,0.7,0.6,0.9,0.9,11.2,10.1,6.6,1.8,1.7,0.8,1.8,2.2,1.4,52.7,17.7,25.8,0.4,0.9,0.1,2.3,61.8,38.2,45.5,11.2,8.7,25.3,11.1,6.7,0.2,4.7,7.9,8,7.7,7.5,7.4,7.5,7.5,7.5,7.3,7.6,6.9,6.5,6,0.1,12288.8,1784.8,743.4,357.2,2526.6,533821132,89190790.4,49383171.8,30778015.2,900.8,2828.2,2340.4,3459.2,2760.2,32050922,104858678.4,93926034.8,159032364.6,143953132.4,81.6,9916.6,2255,35.6,134.6,68.8,15174,6062.2,23763,29,45,3,36.8,1051.2,590.6,10453,109,2592.4,9696.4,51.4,9027.4,679.2,542.6,612.4,150.2,963,313.8,2094.4,12203,17.2,8,12.8,5307.2,70351,4160,66323,4082,72442,4722,10598.2,570.4,10970.4,563.2,10607.2,577.4,10794.2,579.4,10823.6,571.4,11470,594,1260,54.8,11182.8,582.6,26064,1647,84404,5620,17,16.2,15.4,23,19.2,18.6,19.6,18.4,18.6,19,19.4,15.8,15,63.8,51.8,7.6,3.2,1.6,10.6,25.6,22.4,0.6,80.6,18.4,0.2,7.4,23,19,28.2,22.4,73.4,5.6,4.4,5,1.2,7.8,2.6,8.6,85,4.8,0,0.4,0.4,0.8,21,79,13.8,35581,37076,40133.6,45973.6,52152.8,43439.8,49974.8,66434.6,86152.6,65.6,61.6
"08",56741,5768,4769,36431,20310,3940,14593,4417,23768,222,3483,4416,4268,4159,4071,3989,4122,4198,4106,4163,4248,3964,3711,3621,10869,11623,31626,391,410,41,1781,62653,12,121,26048,0.5,60078,1219,2,2551,3529,978,765,497,2164,21,23,1,58,493,100,21.7,14.1,61.3,0.6,0.7,0,1.6,14,72.3,27.7,4.8,4.7,2.7,2.3,0.6,0.5,0.7,0.9,0.5,12.8,8.5,3.6,1.8,0.2,1.2,0.9,1.4,0.8,55.7,20.5,19.2,0.7,0.7,0.1,3.1,64.2,35.8,41.9,8.4,10.2,25.7,7.8,6.9,0.4,6.1,7.8,7.5,7.3,7.2,7,7.3,7.4,7.2,7.3,7.5,7,6.5,6.4,0,4466.8,589.6,264.4,139.6,1122.2,189604048.6,28992045.6,17085078,11130484.6,226.6,995.4,827.4,1325,1092.4,7391860.6,34945820.2,32278798.8,60042079,54945490,16.2,3562,877.6,11.2,33.4,14,5460.2,1969,8551.4,22.4,23.4,3,14,317.8,146,3918.4,44.2,941.2,3525.8,25,3177,263.6,119.2,308.6,35.6,398.4,164.6,621.6,4535.8,13.8,9,13.6,1729.4,23462,1486,21932,1434,24717,1733,3324.6,188.2,3796.4,202,3720.6,208.8,3706.4,206.6,3629.8,201.2,3678.4,203.2,88.2,6.4,3924.2,205.8,9547,605,28350,2059,15.8,15.4,14.4,13.8,19.2,17.8,18.8,17.8,18,18,18.2,15.8,13.8,63.8,52.2,6.8,3,1.6,13.2,23,20.2,0.4,79.8,19.6,0.2,5,22.2,18.6,29.6,24.4,71.2,6,2.6,7,0.8,9,3.6,7.2,87.8,3.2,0,0.6,0.4,1,21,79,12.8,32615.2,35106,39010.6,45315,50299.2,42446.6,49179.4,64631,79782.4,66.4,63.2
"09",38391,4255,1833,21281,17110,1863,8692,1718,15826,141,2164,2987,2964,2849,2867,2720,2895,2793,2779,2742,2858,2689,2591,2352,9934,2974,23362,368,492,45,1216,42403,78,122,17648,0.7,40792,717,1.8,1820,2436,616,167,465,1668,33,42,3,58,329,100,6.9,19.1,68.5,1.4,1.7,0.1,2.4,13.5,74.7,25.3,3.7,3.2,1.8,1,0.6,0.7,0.3,0.7,0.6,11.4,3.5,3.7,2.4,2,1.8,0.6,0.3,2.4,60.9,7.7,25.9,1,1.3,0.1,3.2,55.4,44.6,41.2,4.8,11.1,22.6,4.5,4.9,0.4,5.6,7.8,7.7,7.4,7.5,7.1,7.5,7.3,7.2,7.1,7.4,7,6.7,6.1,0.2,3007.2,360,162.4,72.6,622.4,133326549,17715403.8,10651101.2,6306045.6,148.4,638.6,548.2,918.8,753.4,4914714.8,23904937.6,22168423.8,42635514.2,39702958.8,15.4,2455.8,527.4,8.6,56.8,3.4,3602.2,1302.8,5527.4,3.8,17,0,9,50.2,148.2,2744.4,38.4,686.2,2321,21.4,2284.8,145.4,28.6,205.8,10.4,249.8,82.6,421.4,2975.2,14.2,9.8,13.6,670.6,16511,1100,15748,1048,17290,1260,2330.4,131.8,2721.4,138.8,2524,149.2,2669.2,155.4,2637.6,150.4,2730.8,150.6,981.2,31.6,2871.8,155.2,6899,440,20258,1486,15,15,13.8,31,18.6,17.8,19.6,17,17.2,17.6,18.2,15.8,13.6,65.2,54.4,6.6,3,1.4,11.2,23.6,12.2,0.6,81.6,17.6,0.2,5,21.2,18.2,30.6,25,76,4.8,1,6.8,0.4,8.4,2.8,1.6,91.2,5,0,0.6,0.2,1.2,22.8,77.2,12.8,33127.2,37434.8,40445.4,46407.6,52694,44335.4,49220.2,65567,86871,68.4,62.6
"10",774761,67839,156957,446273,328488,71413,165897,152188,330038,2177,30221,60880,61511,60617,59518,58751,58180,58576,57422,55632,60121,53527,50876,46752,328123,143851,237180,4712,45197,939,14759,851255,891,1074,346662,0.3,796123,11287,1.4,35846,44460,8614,8447,15449,16868,307,2485,57,847,3663,100,19,34.7,37.9,0.7,5.6,0.1,1.9,8.2,80.6,19.4,1.9,3,2.1,1.5,0.8,0.5,0.8,1.3,1,10.4,5.8,2.4,1.6,0.7,0.8,1,2.3,1.6,30.6,18.6,42.4,0.6,5.8,0.1,1.9,57.6,42.4,42.6,20.3,8.8,21.4,19.6,9.2,0.3,3.9,7.9,7.9,7.8,7.7,7.6,7.5,7.6,7.4,7.2,7.8,6.9,6.6,6,0.1,49904.8,9035,2859.6,1037.6,7826.4,2507621686.2,532068039.4,211605146.6,99013778.6,3958.2,14058,12125,12752.4,7011.2,175732081.2,655448936,589379038.2,663667382.8,423394248.2,974,34549.4,13986,395.4,46.8,9,62836.8,21020.4,91683.6,276.6,267.2,53.6,910.2,7787.6,6800.6,33283.2,802.4,11632.6,38272.2,44,36621,1826.6,2595.6,1046.6,781.4,5092,1941.4,8108.8,49578.2,16.4,7.2,10.6,34819.2,322148,15850,304386,15557,320511,17436,45921,2185,51037.6,2353,50207,2580.2,50453.8,2594.4,50926.6,2583.6,47793,2412.8,4332.6,146,48718.8,2472,136178,7161,377738,21371,20.4,19.6,18.4,29.8,19.8,21,21.8,19.6,19.4,19.8,19.8,19,17.8,68.6,54.4,9.8,3.2,1.2,8.6,23,38,2,69.2,28,0.8,8,28.2,24.2,25.6,14,73.4,3.6,5.2,2,1.6,10.2,3.8,15.6,66.6,13.6,0.2,0.6,1.8,1.6,23.4,76.6,15.6,44397.2,46625,48608.2,52042.8,60387.8,50248.2,58889.8,73999.6,95427.4,67.8,65.6
