REGION,RA0GH13N,RA0GR13N,RA0GM13N,RB0GR13N,RH0GR13N,RW0GR13N,RI0GR13N,R30GR13N,R40GR13N,R20GR13N,RS0GR13N,RA0GR13R,RA0GH13R,RA0GM13R,RB0GR13R,RH0GR13R,RW0GR13R,RI0GR13R,R30GR13R,R40GR13R,R20GR13R,RS0GR13R,RPETALLC,RPETSPEC,RPETLEPC,RPETECOC,RPETNEDC,RPETGIFC,RPETVOCC,RPETBILC,RPETRSKC,RPETGEEC,RPETGPKC,RPETGKNC,RPETG01C,RPETG02C,RPETG03C,RPETG04C,RPETG05C,RPETG06C,RPETG07C,RPETG08C,RPETG09C,RPETG10C,RPETG11C,RPETG12C,RPETHISC,RPETBLAC,RPETWHIC,RPETINDC,RPETASIC,RPETPCIC,RPETTWOC,RAPID14D,RAPID14N,RAUND13C,RAUND13D,RAUND13R,RPETDISD,RPETDISC,RPETDISP,RPERRAKR,RPERRA1R,RPERRA2R,RPERRA3R,RPERRA4R,RPERRA5R,RPERRA6R,RPERRA7R,RPERRA8R,RPERSAKR,RPERSA1R,RPERSA2R,RPERSA3R,RPERSA4R,RPERSA5R,RPERSA6R,RPERSA7R,RPERSA8R,RPETWHIP,RPETBLAP,RPETHISP,RPETINDP,RPETASIP,RPETPCIP,RPETTWOP,RPETECOP,RPETNEDP,RPETRSKP,RPETLEPP,RPETSPEP,RPETVOCP,RPETBILP,RPETGIFP,RPETGEEP,RPETGPKP,RPETGKNP,RPETG01P,RPETG02P,RPETG03P,RPETG04P,RPETG05P,RPETG06P,RPETG07P,RPETG08P,RPETG09P,RPETG10P,RPETG11P,RPETG12P,RAPID14R,RPSTTOFC,RPSUTOFC,RPSSTOFC,RPSCTOFC,RPSETOFC,RPSTTOST,RPSUTOST,RPSSTOST,RPSCTOST,RPST00FC,RPST01FC,RPST06FC,RPST11FC,RPST20FC,RPST00ST,RPST01ST,RPST06ST,RPST11ST,RPST20ST,RPSTNOFC,RPSTBAFC,RPSTMSFC,RPSTPHFC,RPSPCOFC,RPSECOFC,RPSPTOFC,RPSXTOFC,RPSATOFC,RPSOTOFC,RPSTINFC,RPSTPIFC,RPSTASFC,RPSTBLFC,RPSTHIFC,RPSTWHFC,RPSTTWFC,RPSTMAFC,RPSTFEFC,RPSXCOFC,RPSTREFC,RPSTVOFC,RPSTBIFC,RPSTCOFC,RPSTGIFC,RPSTSPFC,RPSTOPFC,RPSTURNN,RPSTURND,RPSTURNR,RPSTTENA,RPSTEXPA,RPSAMIFC,RPCTSOCS,RPCTSOCC,RPCTSCIS,RPCTSCIC,RPCTMATS,RPCTMATC,RPCTG06S,RPCTG06C,RPCTG05S,RPCTG05C,RPCTG04S,RPCTG04C,RPCTG03S,RPCTG03C,RPCTG02S,RPCTG02C,RPCTG01S,RPCTG01C,RPCTGMES,RPCTGMEC,RPCTGKGS,RPCTGKGC,RPCTFLAS,RPCTFLAC,RPCTENGS,RPCTENGC,RPCTSOCA,RPCTSCIA,RPCTMATA,RPCTGMEA,RPCTGKGA,RPCTG06A,RPCTG05A,RPCTG04A,RPCTG03A,RPCTG02A,RPCTG01A,RPCTFLAA,RPCTENGA,RPSPTOFP,RPSTTOFP,RPSUTOFP,RPSSTOFP,RPSCTOFP,RPSETOFP,RPSXTOFP,RPSAMIFP,RPSTNOFP,RPSTBAFP,RPSTMSFP,RPSTPHFP,RPST00FP,RPST01FP,RPST06FP,RPST11FP,RPST20FP,RPSTREFP,RPSTVOFP,RPSTBIFP,RPSTCOFP,RPSTGIFP,RPSTSPFP,RPSTOPFP,RPSTBLFP,RPSTWHFP,RPSTHIFP,RPSTPIFP,RPSTINFP,RPSTASFP,RPSTTWFP,RPSTMAFP,RPSTFEFP,RPSTKIDR,RPST00SA,RPST01SA,RPST06SA,RPST11SA,RPST20SA,RPSTTOSA,RPSUTOSA,RPSSTOSA,RPSCTOSA,RPFEIERP,RPSAINHP
"01",22485,24655,2170,49,23882,524,14,161,6,19,1943,100,91.2,8.8,0.2,96.9,2.1,0.1,0.7,0,0.1,7.9,421443,30471,149251,362028,59415,35621,101506,149235,274129,391,24574,30532,32735,32031,31319,30753,30650,31200,31948,30814,34785,29125,25711,24875,411212,807,6944,248,1870,42,320,460618,358,892,186402,0.5,433642,7464,1.7,1.6,6.2,4.6,2.7,1.4,1,0.8,1.2,1.5,5.4,9.2,5.2,1.8,0.7,0.9,1.7,1.2,1.8,1.6,0.2,97.6,0.1,0.4,0,0.1,85.9,14.1,65,35.4,7.2,24.1,35.4,8.5,0.1,5.8,7.2,7.8,7.6,7.4,7.3,7.3,7.4,7.6,7.3,8.3,6.9,6.1,5.9,0.1,26720.5917,5366.2343,1515.2075,508.8671,5791.684,1327021597.2,314089919.9,108455329.8,46575131.683,1847.0042,6190.9665,6836.3811,7132.8067,4713.4332,78330482.98,275545751.23,321471662,366769294.8,284904406.15,368.4588,22052.1329,4228.7661,71.2339,50.9964,4.5476,34110.9006,19679.6894,59582.274,76.33,29.6412,19.9492,233.6714,88.817,23692.7097,2575.1719,80.6313,7893.0856,18827.5061,36.843017298,17342.8749,1341.9447,4020.7661,415.9805,1067.7458,2195.4694,335.8103,2864.0178,26375.866,10.858478732,8.8397991484,11.737478454,55386.4407,163635,8705,157390,8520,180324,10236,24800.964,1190.5965,19514.4126,885.1695,17531.7235,883.2569,17077.7126,859.8603,16882.4363,840.6527,16916.8356,842.4515,867.6474,60.1973,16378.3178,812.3924,72652,4036,221357,12859,18.8,18.5,17.6,14.4,20.2,20.8,22,19.8,19.9,20.1,20.1,18,17.2,57.250081794,44.846545635,9.0064274821,2.5430508074,0.8540578696,9.7204816318,33.029436574,92.957916813,1.3789320391,82.528609948,15.825869979,0.2665880337,6.9122877994,23.169271734,25.584692049,26.694044728,17.63970369,64.904531661,5.0221369162,15.047444103,1.5567787745,3.9959661522,8.2163951482,1.2567472449,0.3323915915,9.6374059711,88.668357221,0.0746585264,0.1109301782,0.8744993473,0.3017571651,29.539336885,70.460663115,15.772218098,42409.477456,44507.711555,47023.660223,51420.052473,60445.198662,49662.882172,58530.787576,71577.872864,91527.103409,62,59.8
"02",5097,6507,1410,189,4555,1599,14,67,8,75,667,100,78.3,21.7,2.9,70,24.6,0.2,1,0.1,1.2,10.3,105841,9542,4349,66437,39404,5691,24533,4043,55418,144,3824,7977,8540,8114,8085,7884,7808,7912,8191,8224,8627,7407,6754,6350,78534,2751,21952,252,1248,88,1016,116890,33,63,47789,0.1,111542,2698,2.4,2.3,7.5,4.4,3.4,1.6,2.6,1.9,1.7,2.3,9.5,10.2,5.1,2.4,1,2.2,1.6,2.3,1.1,20.7,2.6,74.2,0.2,1.2,0.1,1,62.8,37.2,52.4,4.1,9,23.2,3.8,5.4,0.1,3.6,7.5,8.1,7.7,7.6,7.4,7.4,7.5,7.7,7.8,8.2,7,6.4,6,0,6874.5843,1178.7949,414.1966,249.5269,1521.9079,324179783.7,63681865.433,28245422.041,20795837.073,562.2271,1475.2518,1405.9874,1863.3558,1567.7622,21651540.289,60690582.533,62607608.062,91533889.527,87696163.286,67.1157,4899.4486,1867.4401,40.5799,9,0.9947,8717.1027,4152.8647,14391.8753,29.44,25.2251,4,37.9212,145.8303,3292.8504,3318.7738,49.9835,1549.4909,5325.0934,26.225860668,5348.7412,295.3746,47.8691,214.9875,94.4432,699.4312,173.7375,1204.2343,6820.591,17.655864426,8.774913368,12.710422978,9016.1486,43693,2385,42549,2364,45560,2601,6095.3584,295.7199,6890.018,337.1052,7266.0334,384.5126,7389.8867,392.8273,7520.9463,393.9165,7849.6494,409.5873,72.4996,4.4824,7237.2518,373.9192,18684,987,51474,3036,18.3,18,17.5,16.2,19.4,20.6,20.4,18.9,18.8,19.1,19.2,18.9,17,60.569609716,47.767119689,8.1906970108,2.8779890832,1.7338039331,10.574771309,28.855618976,62.647489726,0.9762873953,71.269016223,27.164407599,0.590288783,8.1783432345,21.459505559,20.451962455,27.104996007,22.805192745,77.804576489,4.2966176151,0.6963199215,3.1272800015,1.3738023403,10.174159912,2.52724372,2.1212962651,48.275992484,47.898902047,0.0581853364,0.3669327322,0.5516144445,0.7270766903,22.53941231,77.46058769,15.395985471,38510.310672,41139.134711,44529.281032,49123.140909,55937.158892,47156.274409,54022.854555,68193.273535,83341.062921,59.6,61.9
"03",2444,3149,705,316,1427,1311,7,49,1,38,292,100,77.6,22.4,10,45.3,41.6,0.2,1.6,0,1.2,9.3,53773,4718,3873,32920,20853,3007,13692,3748,24802,108,2401,4263,4377,4102,4066,3898,3989,3967,4110,3948,4306,3737,3363,3138,29752,4842,17764,95,599,24,697,58956,19,167,27316,0.6,56610,1264,2.2,2.9,5.7,4.2,2.7,1.5,1.9,1,1.4,1.1,14.6,11.1,4.9,1.9,0.2,2.1,0.8,0.5,1.6,33,9,55.3,0.2,1.1,0,1.3,61.2,38.8,46.1,7.2,8.8,25.5,7,5.6,0.2,4.5,7.9,8.1,7.6,7.6,7.2,7.4,7.4,7.6,7.3,8,6.9,6.3,5.8,0,3930.1873,530.0796,239.4809,118.0598,1013.046,180378302.19,27207961.792,16223415.498,9876672.4428,317.3601,845.0868,768.2225,1073.5693,925.9486,11971151.186,33722774.575,33032602.077,51500019.955,50151754.4,31.0993,3342.4326,543.0356,13.6198,85.3667,6.3904,4817.8076,2204.1793,8035.0329,10.47,7.0003,0,14.4498,136.9902,575.5152,3177.2703,18.9615,817.8748,3112.3125,43.180808455,3033.8757,202.4012,65.3119,170.6283,40.7196,321.7996,95.451,735.5798,3863.5081,19.039168056,8.3762771659,12.823138189,2689.7179,22710,1428,21798,1353,23844,1565,2825.3609,154.285,3482.05,178.5544,3403.2566,186.2567,3599.5649,190.1892,3587.8409,189.879,3671.0462,192.1898,115.8124,8.0556,3619.0863,197.7634,7733,491,31344,2136,15.9,16.1,15.2,14.4,18.3,18.3,19.5,18.3,18.9,18.9,19.1,15.7,14.7,59.960023312,48.913145085,6.5971055327,2.9804594826,1.4693132121,12.607863746,27.432112941,33.474883469,0.7912930765,85.045122404,13.817041239,0.3465432805,8.0749357671,21.50245613,19.546714733,27.315983134,23.559910236,77.194175962,5.149912321,1.6618012073,4.3414801122,1.0360727592,8.1878947601,2.4286628782,3.4855896054,80.842719633,14.643454779,0,0.1781161931,0.3676618669,0.4824579226,20.810071825,79.189928175,13.682045128,37721.0342,39904.509898,42998.743303,47970.838915,54162.568418,45895.599477,51328.068071,67744.089395,83658.217639,61.1,64.3
"04",51385,64889,13504,12680,27617,18405,271,4769,83,1064,4661,100,79.2,20.8,19.5,42.6,28.4,0.4,7.3,0.1,1.6,7.2,1143084,88475,237034,684937,458147,88209,237927,225774,586074,3160,54813,86724,91624,87476,86730,85232,85153,83611,84936,83931,90454,79886,73299,66055,565733,219421,261230,4775,72128,1191,18606,1248154,1506,1347,500898,0.3,1153165,14971,1.3,1.4,4.7,3.2,2.9,1.7,1.4,0.9,1.1,0.8,6.4,8.3,4,1.6,0.9,0.6,0.8,0.9,0.9,22.9,19.2,49.5,0.4,6.3,0.1,1.6,59.9,40.1,51.3,20.7,7.7,20.8,19.8,7.7,0.3,4.8,7.6,8,7.7,7.6,7.5,7.4,7.3,7.4,7.3,7.9,7,6.4,5.8,0.1,69280.131,13356.6267,3872.3584,1140.7473,11449.7671,3617974211,824334288.01,296514234.29,116022393.18,6570.0581,18654.8903,16589.8146,17529.3098,9936.0582,301579527.69,899595802.01,837127824.97,950681184.05,628989872.29,604.7699,51141.456,16927.8948,606.0103,56.5513,4,87649.8634,38878.1382,137977.7687,994.93,206.6792,62.5004,1958.5328,13775.477,12999.2696,39486.4629,791.2091,15195.5959,54084.5351,21.731216529,50474.0328,2434.6624,4616.9242,1277.2433,1732.1726,5950.2348,2794.8609,11573.3962,66610.1131,17.374833432,7.3445740832,10.435427955,69048.5298,472727,22594,454168,22316,485632,24966,60107.6874,2805.4507,68610.1585,3240.0096,70750.3843,3590.8655,70802.4073,3559.939,71230.1787,3570.9381,73009.951,3648.981,9973.0949,398.1746,69681.7151,3453.5256,195208,9370,588416,31230,20.9,20.4,19.5,25,20.2,21.4,21.2,19.7,19.9,19.9,20,20.8,18.8,63.524627355,50.211082302,9.6802744571,2.80650893,0.8267616666,8.2982695023,28.177103142,50.043228305,0.8729341173,73.818359264,24.433982089,0.8747245296,9.4833222818,26.92675379,23.945991961,25.302073693,14.341858274,72.854990416,3.5142289208,6.6641389578,1.8435925013,2.5002444063,8.5886598569,4.0341449412,19.883734054,56.995364082,18.763344428,0.0902140326,0.2983239163,2.8269761788,1.1420433082,21.93355538,78.06644462,16.499449171,45902.109707,48223.055056,50460.348422,54233.805831,63303.762884,52222.392752,61717.251408,76572.001777,101707.35725,64.9,63.3
"05",3938,5016,1078,1418,580,2812,26,126,5,49,490,100,78.5,21.5,28.3,11.6,56.1,0.5,2.5,0.1,1,9.8,81446,7329,5680,49085,32361,4496,21023,4590,34758,279,3952,6203,6576,6165,5981,5924,5811,5861,6018,5989,6309,5864,5330,5184,14513,22084,40763,499,1937,69,1581,89678,54,197,37440,0.5,85784,1685,2,2.6,4.5,3.2,2.3,1.3,1.4,0.9,1,1.1,10.5,9.4,4.2,2.4,1.5,1.5,1.5,1.1,2.4,50,27.1,17.8,0.6,2.4,0.1,1.9,60.3,39.7,42.7,7,9,25.8,5.6,5.5,0.3,4.9,7.6,8.1,7.6,7.3,7.3,7.1,7.2,7.4,7.4,7.7,7.2,6.5,6.4,0.1,5683.3334,815.2343,317.3245,137.396,1234.9565,261322859.13,44453749.132,22069492.71,12243308.329,377.0991,1226.2395,1097.121,1590.8294,1392.0444,14209698.271,48573920.116,46348647.445,75047640.301,77142953.002,71.185,4556.9619,1043.1873,11.9992,23.8139,10,6953.2882,3011.0377,11199.2824,39.2,14.2404,1,26.4647,1006.1501,233.7951,4355.8852,45.7979,1149.2168,4534.1166,12.308358988,4316.7147,324.8914,74.1317,235.9214,77.9955,490.1723,163.5064,924.791,5745.4275,16.096121655,9.4265365214,13.157465122,3426.3315,33819,1820,31590,1752,35166,2083,4390.2786,233.5545,4757.5387,242.7239,4905.0054,263.7191,5127.2585,261.0399,4930.8539,255.0681,5406.6199,277.3756,171.0571,5.0571,4140.6445,214.1264,12215,668,40747,2492,18.6,18,16.9,33.8,19.3,18.8,19.6,18.6,19.6,19.3,19.5,18.3,16.4,62.086908354,50.747299666,7.2793440765,2.8334360066,1.2268286047,11.027103844,26.885987802,30.59420575,1.2525219794,80.18114686,18.355201544,0.2111296163,6.6351747022,21.57606133,19.304181592,27.991132809,24.493449566,75.953923449,5.7165641558,1.3043700727,4.1511096287,1.3723548226,8.6247324501,2.8769454208,17.703520613,76.64314045,4.1136967259,0.0175953077,0.2505642199,0.46565454,0.805828143,20.220823223,79.779176777,14.330674319,37681.602185,39612.09871,42245.702566,47175.165546,55417.020464,45980.561185,54528.801268,69548.65669,89109.641688,59,63.8
"06",8773,10769,1996,1104,2949,6187,52,224,10,243,980,100,81.5,18.5,10.3,27.4,57.5,0.5,2.1,0.1,2.3,9.1,180519,14534,22060,92185,88334,12425,40191,22717,77182,381,6714,13643,14522,13869,13784,13391,13588,13331,13845,13723,14407,13028,11423,10870,60311,19769,91954,837,3601,175,3872,198095,102,252,81025,0.3,187903,3101,1.7,3.1,5.8,3.6,2.5,1.3,1.6,0.7,1,0.9,10.4,11.6,5,2.4,1.4,1,1.2,1.7,1.9,50.9,11,33.4,0.5,2,0.1,2.1,51.1,48.9,42.8,12.2,8.1,22.3,12.6,6.9,0.2,3.7,7.6,8,7.7,7.6,7.4,7.5,7.4,7.7,7.6,8,7.2,6.3,6,0.1,12064.5561,1952.0111,702.7633,258.643,2320.185,581039477.39,111838613.89,50804217.81,23729817.846,991.1891,3007.1648,2661.2685,3205.9439,2198.9898,40110569.419,130372663.7,123917398.02,160582721.94,126056124.31,222.8428,9325.0609,2452.3686,64.2838,69.8258,2,14977.9735,6425.8774,23724.0359,63.08,29.4799,1.0002,67.2435,604.3927,1061.8523,10211.3916,89.1959,2445.8957,9618.6604,19.122011889,8906.9428,639.418,467.1213,312.9645,106.2038,1146.1507,485.755,2128.6077,11795.6841,18.045648578,7.246049965,11.641274307,5538.339,76622,3839,71432,3720,77788,4292,11428.4069,529.2784,11799.5336,563.3234,11826.0432,634.0012,11844.3863,636.2061,11656.9072,630.0709,12334.3596,647.9665,242.392,16.197,11652.3807,626.9434,31657,1657,88539,5107,20,19.2,18.1,15,18.6,21.6,20.9,18.7,18.6,18.5,19,19.1,17.3,63.13417145,50.853725525,8.2279891509,2.962241766,1.0902150085,9.7798916246,27.085936925,23.344843278,1.8470866077,77.293029455,20.327052066,0.532831871,8.2157113099,24.925614959,22.058569565,26.573243752,18.226860415,73.827356151,5.2999712107,3.871848215,2.5940821809,0.8802959605,9.500148124,4.0262981578,5.0096555148,84.639596479,8.8014203855,0.0082904003,0.2443513027,0.5573640625,0.7393218554,20.273399864,79.726600136,14.96275524,40467.121177,43354.013623,46563.282894,50089.061738,57324.560719,48160.866639,57294.04607,72292.075881,91747.380929,62.5,63.4
"07",7877,10163,2286,1802,2098,5896,52,99,5,211,1045,100,77.5,22.5,17.7,20.6,58,0.5,1,0,2.1,10.3,170664,14726,19917,105850,64814,11269,43552,19272,84156,296,8079,13056,13792,13194,12915,12564,12690,12513,12755,12715,12990,11967,10921,10217,44973,30059,88879,739,1637,129,4248,187611,248,291,77475,0.4,178627,3021,1.7,2.8,5,3.6,2.2,1.3,2.2,0.6,0.8,1.4,14,12.2,5.2,2.2,1.2,1.9,0.5,1,1.4,52.1,17.6,26.4,0.4,1,0.1,2.5,62,38,49.3,11.7,8.6,25.5,11.3,6.6,0.2,4.7,7.7,8.1,7.7,7.6,7.4,7.4,7.3,7.5,7.5,7.6,7,6.4,6,0.1,12429.8488,1833.4826,763.7264,385.8627,2739.7566,545290908.6,93496296.946,51581001.155,33652212.124,961.5809,2915.2428,2425.8215,3460.8428,2666.3608,34845036.884,109393179.12,98790608.917,161057228.73,141204854.96,87.1224,10002.35,2313.1239,27.2525,148.2445,70.3992,15412.9205,6207.8062,24360.4833,63.49,46.7864,6,28.6741,1068.0526,608.4119,10567.9368,103.987,2632.1098,9797.739,46.006686022,9007.8006,708.649,546.4388,710.461,186.4917,977.0905,292.9172,2286.6293,12290.418,18.604975844,7.6932504288,12.562414276,5600.2204,68945,4181,65251,3982,71082,4699,10554.708,573.1326,11047.6798,567.7058,10653.1053,568.1835,10863.0818,580.6298,11034.8766,581.6728,11485.0661,598.1638,1099.4451,57.3558,10806.5254,579.4756,25044,1637,82952,5690,16.5,16.4,15.1,19.2,18.6,18.4,19.5,18.7,18.7,19,19.2,15.3,14.6,63.27017535,51.024639565,7.5264623342,3.1351036455,1.5839698057,11.246725142,25.483099508,22.98895441,0.7009127899,80.470407653,18.609429103,0.2192504546,7.7360627267,23.453566064,19.516098217,27.842999989,21.451273003,72.469108393,5.7011876122,4.3961821965,5.7157654243,1.5003537292,7.8608397875,2.356562857,8.5926435404,85.020638385,4.8947650916,0.0482709009,0.3764036132,0.2306874401,0.8365910292,21.175718565,78.824281435,13.730175061,36237.238993,37524.551684,40724.599447,46536.996343,52957.894879,43869.472379,50993.828328,67538.586011,87212.918285,61.3,65.1
"08",2707,3647,940,808,560,2164,27,26,1,61,462,100,74.2,25.8,22.2,15.4,59.3,0.7,0.7,0,1.7,12.7,56611,5671,4929,36618,19993,3817,14739,4585,27246,196,3392,4386,4442,4149,4108,4003,4040,4069,4185,4106,4384,3928,3744,3479,11198,11491,31169,385,397,43,1928,62390,10,119,25788,0.5,59968,1137,1.9,4.9,4.9,3.1,1.9,1,2.3,0.8,0.6,0.8,15.3,10.8,4.6,2.2,0.7,0.5,0.9,0.2,0.6,55.1,20.3,19.8,0.7,0.7,0.1,3.4,64.7,35.3,48.1,8.7,10,26,8.1,6.7,0.3,6,7.7,7.8,7.3,7.3,7.1,7.1,7.2,7.4,7.3,7.7,6.9,6.6,6.1,0,4491.7759,615.6862,268.5322,137.0449,1138.1746,192867608.11,30758393.672,17581469.078,11264911.273,219.9436,998.9544,860.018,1331.3951,1081.4648,7375013.7831,35498790.52,33998545.9,60757658.787,55237599.117,15.2779,3558.2312,905.1181,13.1487,33.2824,8,5513.0392,2001.2296,8652.4434,90.59,19.3382,3.9999,14.0009,309.409,151.7142,3953.2286,40.0851,931.272,3560.5039,27.685715866,3216.7531,283.6504,110.3275,304.3888,38.2694,382.923,155.4637,695.6065,4469.3774,15.563834462,8.7589049767,13.330571284,1739.5742,23459,1474,21588,1363,24202,1679,3462.1359,196.0113,3873.5702,209.6908,3813.8827,213.4353,3716.194,205.9261,3676.8444,205.6134,4050.0694,220.0826,161.3647,8.6101,3732.6055,200.9955,9241,566,28883,2099,15.9,15.8,14.4,18.7,18.6,17.7,18.5,17.9,18,17.9,18.4,16.3,13.8,63.716558955,51.913380907,7.1157495234,3.1035418273,1.5838866973,13.154372093,23.129068952,20.105005252,0.3401305038,79.216578904,20.150562275,0.2927283171,4.8965844445,22.239631323,19.146502834,29.640728515,24.076552884,71.614282894,6.3148831624,2.4562111391,6.7765802831,0.8519881858,8.5249800641,3.4610742713,6.888344541,88.010370241,3.3775994924,0.0890494114,0.430524595,0.3117007685,0.8924109504,20.732824182,79.267175818,12.603255652,33531.386151,35535.946906,39532.365486,45634.581941,51076.650037,42937.940895,49957.906596,65472.479942,82198.690162,62.2,66.5
"09",1902,2347,445,177,506,1546,25,29,2,62,270,100,81,19,7.5,21.6,65.9,1.1,1.2,0.1,2.6,11.5,38304,4223,1910,22264,16040,1770,9021,1767,18109,155,2111,2996,2958,2892,2760,2833,2772,2826,2781,2759,2813,2682,2551,2415,10113,2901,23065,331,516,51,1327,42251,62,54,17552,0.3,41000,680,1.7,3.5,3.2,1.6,0.8,0.8,2.9,0.5,0.7,1.6,11.8,7.1,2.2,1.1,1.8,0.6,0.6,0.6,1.7,60.2,7.6,26.4,0.9,1.3,0.1,3.5,58.1,41.9,47.3,5,11,23.6,4.6,4.6,0.4,5.5,7.8,7.7,7.6,7.2,7.4,7.2,7.4,7.3,7.2,7.3,7,6.7,6.3,0.1,2964.0763,383.6611,164.7586,74.1791,757.7199,132288859.08,19204432.037,10847402.533,6353361.4131,167.6185,654.5953,525.886,901.8024,714.1741,5873350.2353,24612321.321,21429590.472,42100428.722,38273168.334,26.0679,2422.6822,507.9761,7.3501,58.4803,3.9626,3586.6751,1179.6128,5524.0078,10.67,14.4999,0.9999,13.0005,60.0008,150.9495,2705.7228,18.9029,697.6996,2266.3767,14.453918555,2163.2602,143.2037,43.332,229.4824,9.9228,287.2343,87.6409,491.9145,3007.2218,16.35777248,9.2167261263,13.272706334,712.8307,16235,1022,15263,980,16504,1144,2295.6532,129.7428,2567.0199,136.7956,2602.7051,148.2872,2489.2333,144.8877,2632.1552,146.0644,2638.9358,144.4049,743.508,23.8872,2819.1766,152.0193,6775,433,20157,1382,15.9,15.6,14.4,31.1,18.5,17.7,18.8,17.6,17.2,18,18.3,15.6,14.6,64.928856545,53.658075935,6.9453395775,2.9825917335,1.3428492987,13.716850653,21.354292802,12.904230512,0.8794611664,81.734812292,17.137753843,0.2479726989,5.6549995019,22.084293174,17.741985927,30.424398994,24.094322403,72.982608444,4.8313095044,1.4619056871,7.742121888,0.3347687102,9.6905164013,2.9567693652,2.0242663794,91.283844481,5.0926320621,0.0337339494,0.4891878121,0.4386020697,0.6377332459,23.538516873,76.461483127,12.922744263,35039.98804,37599.294284,40749.497937,46684.760122,53590.809767,44630.719892,50055.718541,65838.156754,85648.941725,62.6,68.1
"10",37827,46333,8506,8935,16916,16663,302,2643,57,817,3584,100,81.6,18.4,19.3,36.5,36,0.7,5.7,0.1,1.8,7.7,793963,68663,164877,455151,338812,73614,172111,160449,371067,2029,30123,61505,63536,62177,61212,60058,59870,58371,59677,58161,61830,55758,51859,47797,341684,146832,236154,4292,48088,882,16031,872555,957,1200,351879,0.3,809727,11017,1.4,1.8,2.5,1.8,1.4,0.8,1.4,0.9,1.1,1.3,9.7,6.8,4.1,2,1,1.5,1.2,1.5,2,29.7,18.5,43,0.5,6.1,0.1,2,57.3,42.7,46.7,20.8,8.6,21.7,20.2,9.3,0.3,3.8,7.7,8,7.8,7.7,7.6,7.5,7.4,7.5,7.3,7.8,7,6.5,6,0.1,51133.8256,10026.111,2850.3384,1040.25,8042.0646,2600153098.9,599158408.88,216494050.77,103317082.93,4969.9683,13737.338,12428.786,13329.5286,6668.2047,226346719.61,650580278.17,614351021.77,703133096.74,405741982.63,525.4777,35993.9754,14195.6066,418.7659,48.623,7.5134,65050.525,21184.4791,94277.0687,254.29,277.2131,41.9053,946.5071,8054.718,7098.0628,33936.2853,779.134,11996.4708,39137.3548,19.417772575,37189.081,1972.1311,2601.47,1411.8983,826.4722,5210.8173,1921.9557,8852.5266,49866.0428,17.752615012,6.8401813186,10.321400847,36506.1163,329223,16299,309471,15847,330681,17711,44469.6933,2158.6176,51787.8002,2411.9263,51673.41,2688.0736,52347.1704,2683.7618,52128.3337,2679.3356,49876.7425,2553.6026,4441.6432,165.9465,50174.1753,2622.3416,140738,7386,387093,21909,20.2,19.5,18.7,26.8,19.1,20.6,21.5,19.2,19.5,19.5,19.5,19.1,17.7,68.999307994,54.237818703,10.634729249,3.023363411,1.1033966312,8.5302446405,22.470447366,38.722158849,1.0276518407,70.391712292,27.761675238,0.8189606295,9.7195315267,26.86546105,24.306387903,26.067927529,13.040691992,72.728923689,3.8568033525,5.0875716211,2.7611826094,1.6162925232,10.190548505,3.7586777,15.752230359,66.367585257,13.881345111,0.0819522097,0.5421325253,1.8510390899,1.5237154484,23.46092955,76.53907045,15.527158211,45542.890005,47358.54051,49429.68861,52750.034742,60847.259627,50849.9622,59759.802068,75953.806318,99319.474096,65.2,67.9
