CAMPUS,C22C4X13R,C22C4X14R,C23C4X13R,C23C4X14R,C2DC4X13R,C2DC4X14R,C2EC4X13R,C2EC4X14R,C2GC413R,C2GC414R,C2GC4X13R,C2GC4X14R,C2NC4X13R,C2NC4X14R,C32C4X13R,C32C4X14R,C33C4X13R,C33C4X14R,C3DC4X13R,C3DC4X14R,C3EC4X13R,C3EC4X14R,C3GC413R,C3GC414R,C3GC4X13R,C3GC4X14R,C3NC4X13R,C3NC4X14R,C42C4X13R,C42C4X14R,C43C4X13R,C43C4X14R,C4DC4X13R,C4DC4X14R,C4EC4X13R,C4EC4X14R,C4GC413R,C4GC414R,C4GC4X13R,C4GC4X14R,C4NC4X13R,C4NC4X14R,CA2C4X13R,CA2C4X14R,CA3C4X13R,CA3C4X14R,CADC4X13R,CADC4X14R,CAEC4X13R,CAEC4X14R,CAGC413R,CAGC414R,CAGC4X13R,CAGC4X14R,CANC4X13R,CANC4X14R,CB2C4X13R,CB2C4X14R,CB3C4X13R,CB3C4X14R,CBDC4X13R,CBDC4X14R,CBEC4X13R,CBEC4X14R,CBGC413R,CBGC414R,CBGC4X13R,CBGC4X14R,CBNC4X13R,CBNC4X14R,CE2C4X13R,CE2C4X14R,CE3C4X13R,CE3C4X14R,CEDC4X13R,CEDC4X14R,CEEC4X13R,CEEC4X14R,CEGC413R,CEGC414R,CEGC4X13R,CEGC4X14R,CENC4X13R,CENC4X14R,CF2C4X13R,CF2C4X14R,CF3C4X13R,CF3C4X14R,CFDC4X13R,CFDC4X14R,CFEC4X13R,CFEC4X14R,CFGC413R,CFGC414R,CFGC4X13R,CFGC4X14R,CFNC4X13R,CFNC4X14R,CH2C4X13R,CH2C4X14R,CH3C4X13R,CH3C4X14R,CHDC4X13R,CHDC4X14R,CHEC4X13R,CHEC4X14R,CHGC413R,CHGC414R,CHGC4X13R,CHGC4X14R,CHNC4X13R,CHNC4X14R,CI2C4X13R,CI2C4X14R,CI3C4X13R,CI3C4X14R,CIDC4X13R,CIDC4X14R,CIEC4X13R,CIEC4X14R,CIGC413R,CIGC414R,CIGC4X13R,CIGC4X14R,CINC4X13R,CINC4X14R,CL2C4X13R,CL2C4X14R,CL3C4X13R,CL3C4X14R,CLDC4X13R,CLDC4X14R,CLEC4X13R,CLEC4X14R,CLGC413R,CLGC414R,CLGC4X13R,CLGC4X14R,CLNC4X13R,CLNC4X14R,CM2C4X13R,CM2C4X14R,CM3C4X13R,CM3C4X14R,CMDC4X13R,CMDC4X14R,CMEC4X13R,CMEC4X14R,CMGC413R,CMGC414R,CMGC4X13R,CMGC4X14R,CMNC4X13R,CMNC4X14R,CR2C4X13R,CR2C4X14R,CR3C4X13R,CR3C4X14R,CRDC4X13R,CRDC4X14R,CREC4X13R,CREC4X14R,CRGC413R,CRGC414R,CRGC4X13R,CRGC4X14R,CRNC4X13R,CRNC4X14R,CS2C4X13R,CS2C4X14R,CS3C4X13R,CS3C4X14R,CSDC4X13R,CSDC4X14R,CSEC4X13R,CSEC4X14R,CSGC413R,CSGC414R,CSGC4X13R,CSGC4X14R,CSNC4X13R,CSNC4X14R,CW2C4X13R,CW2C4X14R,CW3C4X13R,CW3C4X14R,CWDC4X13R,CWDC4X14R,CWEC4X13R,CWEC4X14R,CWGC413R,CWGC414R,CWGC4X13R,CWGC4X14R,CWNC4X13R,CWNC4X14R
"001902001",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,96.1,97.3,94.1,94.6,3.9,2.7,0,8.1,94.1,86.5,94.1,86.5,2,2.7,100,-1,100,-1,0,-1,0,-1,100,-1,100,-1,0,-1,83.3,100,83.3,92.9,16.7,0,0,7.1,83.3,85.7,83.3,85.7,0,7.1,89.5,100,89.5,92.9,10.5,0,0,14.3,89.5,78.6,89.5,78.6,0,7.1,-1,100,-1,80,-1,0,-1,20,-1,60,-1,60,-1,20,.,.,.,.,.,.,.,.,.,.,.,.,.,.,-1,.,-1,.,-1,.,-1,.,-1,.,-1,.,-1,.,100,95.7,96.9,95.7,0,4.3,0,4.3,96.9,91.3,96.9,91.3,3.1,0,94.4,100,94.4,85.7,5.6,0,0,0,94.4,85.7,94.4,85.7,0,14.3,100,83.3,90,83.3,0,16.7,0,0,90,83.3,90,83.3,10,0,94.9,96.6,92.3,96.6,5.1,3.4,0,6.9,92.3,89.7,92.3,89.7,2.6,0
"001902041",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"001902103",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"001903001",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,97.6,98.7,97.6,93.6,2.4,1.3,0,0,95.3,93.6,97.6,93.6,0,5.1,100,-1,100,-1,0,-1,0,-1,100,-1,100,-1,0,-1,96.7,96.8,96.7,87.1,3.3,3.2,0,0,90.6,87.1,96.7,87.1,0,9.7,100,100,100,100,0,0,0,0,97.1,100,100,100,0,0,100,85.7,100,85.7,0,14.3,0,0,100,85.7,100,85.7,0,0,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,96,97.3,96,86.5,4,2.7,0,0,94.1,86.5,96,86.5,0,10.8,100,100,100,94.4,0,0,0,0,100,94.4,100,94.4,0,5.6,85.7,87.5,85.7,87.5,14.3,12.5,0,0,85.7,87.5,85.7,87.5,0,0,97.1,100,97.1,94,2.9,0,0,0,94.3,94,97.1,94,0,6
"001903002",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"001903041",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"001903101",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"001903102",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"001904001",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,96.2,100,94.2,100,3.8,0,0,0,94.2,100,94.2,100,1.9,0,88.9,100,88.9,100,11.1,0,0,0,88.9,100,88.9,100,0,0,92,100,92,100,8,0,0,0,92,100,92,100,0,0,100,100,100,100,0,0,0,0,100,100,100,100,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,.,-1,.,-1,.,-1,.,-1,.,-1,.,-1,.,-1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,94.3,100,91.4,100,5.7,0,0,0,91.4,100,91.4,100,2.9,0,100,100,80,100,0,0,0,0,80,100,80,100,20,0,100,100,100,100,0,0,0,0,100,100,100,100,0,0,97.2,100,94.4,100,2.8,0,0,0,94.4,100,94.4,100,2.8,0
"001904041",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
