CAMPUS,C20GP14R,C20GV14R,C2CRB13R,C2CRB14R,C2CRM13R,C2CRM14R,C2CRR13R,C2CRR14R,C30GP14R,C30GV14R,C3CRB13R,C3CRB14R,C3CRM13R,C3CRM14R,C3CRR13R,C3CRR14R,C40GP14R,C40GV14R,C4CRB13R,C4CRB14R,C4CRM13R,C4CRM14R,C4CRR13R,C4CRR14R,CA0GP14R,CA0GV14R,CACRB13R,CACRB14R,CACRM13R,CACRM14R,CACRR13R,CACRR14R,CB0GP14R,CB0GV14R,CBCRB13R,CBCRB14R,CBCRM13R,CBCRM14R,CBCRR13R,CBCRR14R,CE0GP14R,CE0GV14R,CECRB13R,CECRB14R,CECRM13R,CECRM14R,CECRR13R,CECRR14R,CF0GP14R,CF0GV14R,CFCRB13R,CFCRB14R,CFCRM13R,CFCRM14R,CFCRR13R,CFCRR14R,CH0GP14R,CH0GV14R,CHCRB13R,CHCRB14R,CHCRM13R,CHCRM14R,CHCRR13R,CHCRR14R,CI0GP14R,CI0GV14R,CICRB13R,CICRB14R,CICRM13R,CICRM14R,CICRR13R,CICRR14R,CL0GP14R,CL0GV14R,CLCRB13R,CLCRB14R,CLCRM13R,CLCRM14R,CLCRR13R,CLCRR14R,CM0GP14R,CM0GV14R,CMCRB13R,CMCRB14R,CMCRM13R,CMCRM14R,CMCRR13R,CMCRR14R,CR0GP14R,CR0GV14R,CRCRB13R,CRCRB14R,CRCRM13R,CRCRM14R,CRCRR13R,CRCRR14R,CS0GP14R,CS0GV14R,CSCRB13R,CSCRB14R,CSCRM13R,CSCRM14R,CSCRR13R,CSCRR14R,CW0GP14R,CW0GV14R,CWCRB13R,CWCRB14R,CWCRM13R,CWCRM14R,CWCRR13R,CWCRR14R
"001902001",-1,-1,-1,-1,-1,-1,-1,-1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,66.7,30.3,64,50,74,68,70,74,-1,-1,50,-1,67,-1,43,-1,33.3,6.1,63,20,75,45,70,55,63.6,3,73,60,73,60,94,100,-1,-1,.,-1,.,-1,-1,-1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,68.2,27.3,59,45,74,71,58,60,14.3,3,33,0,42,29,44,50,33.3,6.1,-1,-1,-1,40,0,-1,76.9,30.3,65,54,74,75,75,76
"001902041",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"001902103",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"001903001",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,.,.,.,.,.,.,.,.,63.9,33.3,66,49,78,56,70,74,-1,-1,-1,-1,60,-1,-1,-1,57.7,8.3,61,38,60,54,70,75,72.5,22.2,76,57,74,62,83,84,100,4.2,80,-1,80,-1,80,-1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,53.1,11.1,60,39,81,48,61,61,31.3,2.8,50,14,61,29,53,43,16.7,1.4,-1,-1,-1,-1,-1,-1,61.9,29.2,66,48,78,57,68,70
"001903002",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"001903041",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"001903101",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"001903102",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"001904001",-1,-1,-1,-1,-1,-1,-1,-1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,100,96.5,39,48,67,67,54,62,100,17.5,33,38,57,38,50,88,100,54.4,53,50,65,54,62,70,100,52.6,29,48,47,67,65,68,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,.,-1,.,-1,.,-1,.,.,.,.,.,.,.,.,100,43.9,44,48,79,67,48,55,100,33.3,33,7,50,20,83,31,100,19.3,-1,20,-1,20,-1,43,100,70.2,37,51,67,77,53,57
"001904041",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
