CAMPUS,C20708DR13R,C20708DR14R,C20912DR13R,C20912DR14R,C20AT13R,C20AT14R,C30708DR13R,C30708DR14R,C30912DR13R,C30912DR14R,C30AT13R,C30AT14R,C40708DR13R,C40708DR14R,C40912DR13R,C40912DR14R,C40AT13R,C40AT14R,CA0708DR13R,CA0708DR14R,CA0912DR13R,CA0912DR14R,CA0AT13R,CA0AT14R,CAHEC13R,CAHEC14R,CAHEE13R,CAHEE14R,CB0708DR13R,CB0708DR14R,CB0912DR13R,CB0912DR14R,CB0AT13R,CB0AT14R,CE0708DR13R,CE0708DR14R,CE0912DR13R,CE0912DR14R,CE0AT13R,CE0AT14R,CF0708DR13R,CF0708DR14R,CF0912DR13R,CF0912DR14R,CF0AT13R,CF0AT14R,CH0708DR13R,CH0708DR14R,CH0912DR13R,CH0912DR14R,CH0AT13R,CH0AT14R,CI0708DR13R,CI0708DR14R,CI0912DR13R,CI0912DR14R,CI0AT13R,CI0AT14R,CL0708DR13R,CL0708DR14R,CL0912DR13R,CL0912DR14R,CL0AT13R,CL0AT14R,CM0708DR13R,CM0708DR14R,CM0912DR13R,CM0912DR14R,CM0AT13R,CM0AT14R,CR0708DR13R,CR0708DR14R,CR0912DR13R,CR0912DR14R,CR0AT13R,CR0AT14R,CS0708DR13R,CS0708DR14R,CS0912DR13R,CS0912DR14R,CS0AT13R,CS0AT14R,CW0708DR13R,CW0708DR14R,CW0912DR13R,CW0912DR14R,CW0AT13R,CW0AT14R
"001902001",.,.,0,14.3,94.4,91.4,.,.,-1,-1,-1,-1,.,.,.,.,.,.,.,.,0,1.4,95.7,96.3,90.909090909,65.217391304,62.2,46.9,.,.,0,0,96.2,97.5,.,.,0,2.7,95.3,95,.,.,0,0,95.1,95.7,.,.,0,0,96.8,96.9,.,.,.,.,.,.,.,.,-1,-1,-1,-1,.,.,0,2.7,96.1,96.8,.,.,0,0,94.6,96.1,.,.,0,2.6,95.1,95.4,.,.,0,1.2,95.6,96.3
"001902041",0,0,.,.,95.9,97.4,-1,-1,.,.,-1,-1,.,.,.,.,.,.,0,0,.,.,96.6,96.8,.,.,.,.,0,-1,.,.,95.9,-1,0,0,.,.,96.2,96,0,0,.,.,97.1,97.2,-1,-1,.,.,-1,95.6,.,.,.,.,.,.,.,.,.,.,.,.,0,0,.,.,96.2,96.4,0,0,.,.,96.5,96.7,0,0,.,.,96.6,95.6,0,0,.,.,96.8,96.8
"001902103",.,.,.,.,97.1,98.2,.,.,.,.,-1,-1,.,.,.,.,.,.,.,.,.,.,96.2,96.7,.,.,.,.,.,.,.,.,94.8,95,.,.,.,.,95.5,96.1,.,.,.,.,96.3,96.8,.,.,.,.,95.2,96.4,.,.,.,.,.,.,.,.,.,.,-1,-1,.,.,.,.,96.2,96.6,.,.,.,.,95.1,96.6,.,.,.,.,95.5,93.7,.,.,.,.,96.4,96.7
"001903001",.,.,0,0,95.6,95.7,.,.,-1,0,-1,98,.,.,.,.,.,.,.,.,0.3,1.6,95.6,95.7,80,85.365853659,35.1,51.3,.,.,0,8.3,94.7,97,.,.,0.7,0.7,94.5,95.3,.,.,0,0.5,95.5,95.5,.,.,0,7.1,95.9,96.4,.,.,-1,-1,-1,-1,.,.,.,.,.,.,.,.,0.5,2.5,95.8,95.9,.,.,0,0,95,95.6,.,.,2.5,3.1,94.8,93.7,.,.,0.3,0.9,95.7,95.6
"001903002",.,.,.,-1,.,-1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0,.,-1,.,.,.,.,.,.,.,.,.,.,.,.,.,-1,.,-1,.,.,.,-1,.,-1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,-1,.,-1,.,.,.,.,.,-1,.,.,.,.,.,.,.,.,.,-1,.,-1
"001903041",0,0,.,.,97.5,97.6,-1,-1,.,.,-1,-1,.,.,.,.,.,-1,0,0,.,.,97.1,97.4,.,.,.,.,0,0,.,.,97.6,98,0,0,.,.,96.8,97,0,0,.,.,96.8,97.5,0,0,.,.,97.5,97.8,-1,.,.,.,-1,.,.,.,.,.,.,.,0,0,.,.,97.4,97.4,0,0,.,.,96.9,97,0,0,.,.,97,97.2,0,0,.,.,97,97.3
"001903101",.,.,.,.,95.3,-1,.,.,.,.,-1,-1,.,.,.,.,.,.,.,.,.,.,95.8,96,.,.,.,.,.,.,.,.,96.8,-1,.,.,.,.,95.6,96.1,.,.,.,.,95.5,95.9,.,.,.,.,95.7,95.2,.,.,.,.,.,.,.,.,.,.,94.5,-1,.,.,.,.,96.1,96,.,.,.,.,95.2,96,.,.,.,.,96.1,96.4,.,.,.,.,95.8,96
"001903102",.,.,.,.,96.1,97,.,.,.,.,-1,-1,.,.,.,.,-1,-1,.,.,.,.,96.1,96.7,.,.,.,.,.,.,.,.,97,97.7,.,.,.,.,95.5,96.3,.,.,.,.,96,96.5,.,.,.,.,97.1,97,.,.,.,.,.,.,.,.,.,.,-1,-1,.,.,.,.,96.3,96.9,.,.,.,.,96,96.3,.,.,.,.,96.1,95.8,.,.,.,.,95.9,96.6
"001904001",.,.,0,0,93.5,95,.,.,-1,-1,-1,-1,.,.,.,.,.,.,.,.,0.4,0.8,95.3,95.4,58.620689655,46.666666667,57.1,66,.,.,0,0,96.9,96.3,.,.,0.8,0.7,95.3,94.9,.,.,0,1.7,94.7,94.6,.,.,0,0,97.7,96.7,.,.,-1,-1,-1,-1,.,.,.,-1,.,-1,.,.,0.8,0,95.9,96,.,.,0,0,94,94.7,.,.,0,0,95.1,95.2,.,.,0.6,1.1,94.7,95
"001904041",0,-1,.,.,-1,-1,.,.,.,.,.,.,.,.,.,.,.,.,0,0,.,.,96.4,96.6,.,.,.,.,0,0,.,.,98.1,96.5,0,0,.,.,96,96.2,0,0,.,.,96.2,96.5,0,0,.,.,97.4,97.3,-1,-1,.,.,-1,-1,-1,-1,.,.,-1,-1,0,0,.,.,96.6,96.8,0,0,.,.,95.3,96.2,0,0,.,.,95.9,94.7,0,0,.,.,96.2,96.5
