CAMPUS,C20CAA13R,C20CAA14R,C20CAC13R,C20CAC14R,C20CAE13R,C20CAE14R,C20CAM13R,C20CAM14R,C20CC13R,C20CC14R,C20CSA13R,C20CSA14R,C20CSE13R,C20CSE14R,C20CSM13R,C20CSM14R,C20CT13R,C20CT14R,C30CAA13R,C30CAA14R,C30CAC13R,C30CAC14R,C30CAE13R,C30CAE14R,C30CAM13R,C30CAM14R,C30CC13R,C30CC14R,C30CSA13R,C30CSA14R,C30CSE13R,C30CSE14R,C30CSM13R,C30CSM14R,C30CT13R,C30CT14R,C40CAA13R,C40CAA14R,C40CAC13R,C40CAC14R,C40CAE13R,C40CAE14R,C40CAM13R,C40CAM14R,C40CC13R,C40CC14R,C40CSA13R,C40CSA14R,C40CSE13R,C40CSE14R,C40CSM13R,C40CSM14R,C40CT13R,C40CT14R,CA0CAA13R,CA0CAA14R,CA0CAC13R,CA0CAC14R,CA0CAE13R,CA0CAE14R,CA0CAM13R,CA0CAM14R,CA0CC13R,CA0CC14R,CA0CSA13R,CA0CSA14R,CA0CSE13R,CA0CSE14R,CA0CSM13R,CA0CSM14R,CA0CT13R,CA0CT14R,CB0CAA13R,CB0CAA14R,CB0CAC13R,CB0CAC14R,CB0CAE13R,CB0CAE14R,CB0CAM13R,CB0CAM14R,CB0CC13R,CB0CC14R,CB0CSA13R,CB0CSA14R,CB0CSE13R,CB0CSE14R,CB0CSM13R,CB0CSM14R,CB0CT13R,CB0CT14R,CE0CAA13R,CE0CAA14R,CE0CAC13R,CE0CAC14R,CE0CAE13R,CE0CAE14R,CE0CAM13R,CE0CAM14R,CE0CC13R,CE0CC14R,CE0CSA13R,CE0CSA14R,CE0CSE13R,CE0CSE14R,CE0CSM13R,CE0CSM14R,CE0CT13R,CE0CT14R,CF0CAA13R,CF0CAA14R,CF0CAC13R,CF0CAC14R,CF0CAE13R,CF0CAE14R,CF0CAM13R,CF0CAM14R,CF0CC13R,CF0CC14R,CF0CSA13R,CF0CSA14R,CF0CSE13R,CF0CSE14R,CF0CSM13R,CF0CSM14R,CF0CT13R,CF0CT14R,CH0CAA13R,CH0CAA14R,CH0CAC13R,CH0CAC14R,CH0CAE13R,CH0CAE14R,CH0CAM13R,CH0CAM14R,CH0CC13R,CH0CC14R,CH0CSA13R,CH0CSA14R,CH0CSE13R,CH0CSE14R,CH0CSM13R,CH0CSM14R,CH0CT13R,CH0CT14R,CI0CAA13R,CI0CAA14R,CI0CAC13R,CI0CAC14R,CI0CAE13R,CI0CAE14R,CI0CAM13R,CI0CAM14R,CI0CC13R,CI0CC14R,CI0CSA13R,CI0CSA14R,CI0CSE13R,CI0CSE14R,CI0CSM13R,CI0CSM14R,CI0CT13R,CI0CT14R,CM0CAA13R,CM0CAA14R,CM0CAC13R,CM0CAC14R,CM0CAE13R,CM0CAE14R,CM0CAM13R,CM0CAM14R,CM0CC13R,CM0CC14R,CM0CSA13R,CM0CSA14R,CM0CSE13R,CM0CSE14R,CM0CSM13R,CM0CSM14R,CM0CT13R,CM0CT14R,CW0CAA13R,CW0CAA14R,CW0CAC13R,CW0CAC14R,CW0CAE13R,CW0CAE14R,CW0CAM13R,CW0CAM14R,CW0CC13R,CW0CC14R,CW0CSA13R,CW0CSA14R,CW0CSE13R,CW0CSE14R,CW0CSM13R,CW0CSM14R,CW0CT13R,CW0CT14R
"001902001",-1,.,-1,.,-1,.,-1,.,-1,.,-1,.,-1,.,-1,.,-1,-1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,20.3,-1,19.4,-1,19.7,-1,22,-1,16,16.7,1324,1426,859,932,465,494,51,36.4,-1,.,-1,.,-1,.,-1,.,16.7,.,1228,.,822,.,406,.,75,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,40,15.4,20.6,-1,21.2,-1,20.2,-1,20.8,-1,10,-1,1397,-1,897,-1,500,-1,58.8,36.4,.,.,.,.,.,.,.,.,.,-1,.,-1,.,-1,.,-1,-1,-1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,20.1,-1,18.5,-1,19.4,-1,22.6,-1,20,25,1277,1428,835,917,443,512,46.9,36.4,20.8,-1,19.9,-1,20.2,-1,22.6,-1,17.6,9.1,1373,1393,878,917,495,477,47.2,42.3
"001902041",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"001902103",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"001903001",.,-1,.,-1,.,-1,.,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,.,-1,.,-1,.,-1,.,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,17.8,20.1,17.2,20.4,17.5,19.6,18.5,21.1,13.6,20.6,1445,1433,947,949,499,484,55,47.2,.,-1,.,-1,.,-1,.,-1,-1,-1,-1,-1,-1,-1,-1,-1,40,-1,.,-1,.,-1,.,-1,.,-1,9.1,0,1380,1354,902,921,478,433,37.9,30.8,-1,-1,-1,-1,-1,-1,-1,-1,14.3,13,1491,1409,982,935,509,474,63.6,57.5,.,-1,.,-1,.,-1,.,-1,-1,-1,-1,-1,-1,-1,-1,-1,28.6,40,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,17.6,21,16.8,20.8,17.1,20.5,18.4,22.8,13,36.4,1402,1484,913,977,489,506,48.9,34.4,18,-1,17.2,-1,17.8,-1,18.4,-1,13.2,21.4,1455,1437,953,947,502,490,59.4,44.4
"001903002",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"001903041",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"001903101",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"001903102",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"001904001",-1,.,-1,.,-1,.,-1,.,-1,.,-1,.,-1,.,-1,.,-1,-1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,17.2,18.1,17.4,20,16.7,16.1,17.6,20.2,13,10,1341,1339,881,875,460,464,46,52.6,-1,.,-1,.,-1,.,-1,.,-1,-1,-1,-1,-1,-1,-1,-1,37.5,40,16.9,-1,17.4,-1,16.7,-1,16.6,-1,11.1,6.3,1285,1295,833,849,452,446,37.5,48.5,16.2,17,16.5,19.2,15.8,15,16,18.2,12.5,11.1,1226,1326,836,869,390,456,47.1,58.1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,-1,17.7,-1,17.9,-1,17.1,-1,18.3,-1,13.3,8.3,1423,1359,913,883,510,476,45.5,46.2,18.1,18.6,19.2,20.3,17.2,16.8,18.1,20.6,13.3,13,1330,1385,875,903,455,482,44.1,54.8
"001904041",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
