DISTRICT,D22C4X13R,D22C4X14R,D23C4X13R,D23C4X14R,D2DC4X13R,D2DC4X14R,D2EC4X13R,D2EC4X14R,D2GC413R,D2GC414R,D2GC4X13R,D2GC4X14R,D2NC4X13R,D2NC4X14R,D32C4X13R,D32C4X14R,D33C4X13R,D33C4X14R,D3DC4X13R,D3DC4X14R,D3EC4X13R,D3EC4X14R,D3GC413R,D3GC414R,D3GC4X13R,D3GC4X14R,D3NC4X13R,D3NC4X14R,D42C4X13R,D42C4X14R,D43C4X13R,D43C4X14R,D4DC4X13R,D4DC4X14R,D4EC4X13R,D4EC4X14R,D4GC413R,D4GC414R,D4GC4X13R,D4GC4X14R,D4NC4X13R,D4NC4X14R,DA2C4X13R,DA2C4X14R,DA3C4X13R,DA3C4X14R,DADC4X13R,DADC4X14R,DAEC4X13R,DAEC4X14R,DAGC413R,DAGC414R,DAGC4X13R,DAGC4X14R,DANC4X13R,DANC4X14R,DB2C4X13R,DB2C4X14R,DB3C4X13R,DB3C4X14R,DBDC4X13R,DBDC4X14R,DBEC4X13R,DBEC4X14R,DBGC413R,DBGC414R,DBGC4X13R,DBGC4X14R,DBNC4X13R,DBNC4X14R,DE2C4X13R,DE2C4X14R,DE3C4X13R,DE3C4X14R,DEDC4X13R,DEDC4X14R,DEEC4X13R,DEEC4X14R,DEGC413R,DEGC414R,DEGC4X13R,DEGC4X14R,DENC4X13R,DENC4X14R,DF2C4X13R,DF2C4X14R,DF3C4X13R,DF3C4X14R,DFDC4X13R,DFDC4X14R,DFEC4X13R,DFEC4X14R,DFGC413R,DFGC414R,DFGC4X13R,DFGC4X14R,DFNC4X13R,DFNC4X14R,DH2C4X13R,DH2C4X14R,DH3C4X13R,DH3C4X14R,DHDC4X13R,DHDC4X14R,DHEC4X13R,DHEC4X14R,DHGC413R,DHGC414R,DHGC4X13R,DHGC4X14R,DHNC4X13R,DHNC4X14R,DI2C4X13R,DI2C4X14R,DI3C4X13R,DI3C4X14R,DIDC4X13R,DIDC4X14R,DIEC4X13R,DIEC4X14R,DIGC413R,DIGC414R,DIGC4X13R,DIGC4X14R,DINC4X13R,DINC4X14R,DL2C4X13R,DL2C4X14R,DL3C4X13R,DL3C4X14R,DLDC4X13R,DLDC4X14R,DLEC4X13R,DLEC4X14R,DLGC413R,DLGC414R,DLGC4X13R,DLGC4X14R,DLNC4X13R,DLNC4X14R,DM2C4X13R,DM2C4X14R,DM3C4X13R,DM3C4X14R,DMDC4X13R,DMDC4X14R,DMEC4X13R,DMEC4X14R,DMGC413R,DMGC414R,DMGC4X13R,DMGC4X14R,DMNC4X13R,DMNC4X14R,DR2C4X13R,DR2C4X14R,DR3C4X13R,DR3C4X14R,DRDC4X13R,DRDC4X14R,DREC4X13R,DREC4X14R,DRGC413R,DRGC414R,DRGC4X13R,DRGC4X14R,DRNC4X13R,DRNC4X14R,DS2C4X13R,DS2C4X14R,DS3C4X13R,DS3C4X14R,DSDC4X13R,DSDC4X14R,DSEC4X13R,DSEC4X14R,DSGC413R,DSGC414R,DSGC4X13R,DSGC4X14R,DSNC4X13R,DSNC4X14R,DW2C4X13R,DW2C4X14R,DW3C4X13R,DW3C4X14R,DWDC4X13R,DWDC4X14R,DWEC4X13R,DWEC4X14R,DWGC413R,DWGC414R,DWGC4X13R,DWGC4X14R,DWNC4X13R,DWNC4X14R
"001902",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,96.1,97.3,94.1,94.6,3.9,2.7,0,8.1,94.1,86.5,94.1,86.5,2,2.7,100,-1,100,-1,0,-1,0,-1,100,-1,100,-1,0,-1,83.3,100,83.3,92.9,16.7,0,0,7.1,83.3,85.7,83.3,85.7,0,7.1,89.5,100,89.5,92.9,10.5,0,0,14.3,89.5,78.6,89.5,78.6,0,7.1,-1,100,-1,80,-1,0,-1,20,-1,60,-1,60,-1,20,.,.,.,.,.,.,.,.,.,.,.,.,.,.,-1,.,-1,.,-1,.,-1,.,-1,.,-1,.,-1,.,100,95.7,96.9,95.7,0,4.3,0,4.3,96.9,91.3,96.9,91.3,3.1,0,94.4,100,94.4,85.7,5.6,0,0,0,94.4,85.7,94.4,85.7,0,14.3,100,83.3,90,83.3,0,16.7,0,0,90,83.3,90,83.3,10,0,94.9,96.6,92.3,96.6,5.1,3.4,0,6.9,92.3,89.7,92.3,89.7,2.6,0
"001903",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,97.6,98.7,97.6,93.6,2.4,1.3,0,0,95.3,93.6,97.6,93.6,0,5.1,100,-1,100,-1,0,-1,0,-1,100,-1,100,-1,0,-1,96.7,96.8,96.7,87.1,3.3,3.2,0,0,90.6,87.1,96.7,87.1,0,9.7,100,100,100,100,0,0,0,0,97.1,100,100,100,0,0,100,85.7,100,85.7,0,14.3,0,0,100,85.7,100,85.7,0,0,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,96,97.3,96,86.5,4,2.7,0,0,94.1,86.5,96,86.5,0,10.8,100,100,100,94.4,0,0,0,0,100,94.4,100,94.4,0,5.6,85.7,87.5,85.7,87.5,14.3,12.5,0,0,85.7,87.5,85.7,87.5,0,0,97.1,100,97.1,94,2.9,0,0,0,94.3,94,97.1,94,0,6
"001904",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,96.2,100,94.2,100,3.8,0,0,0,94.2,100,94.2,100,1.9,0,88.9,100,88.9,100,11.1,0,0,0,88.9,100,88.9,100,0,0,92,100,92,100,8,0,0,0,92,100,92,100,0,0,100,100,100,100,0,0,0,0,100,100,100,100,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,.,-1,.,-1,.,-1,.,-1,.,-1,.,-1,.,-1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,94.3,100,91.4,100,5.7,0,0,0,91.4,100,91.4,100,2.9,0,100,100,80,100,0,0,0,0,80,100,80,100,20,0,100,100,100,100,0,0,0,0,100,100,100,100,0,0,97.2,100,94.4,100,2.8,0,0,0,94.4,100,94.4,100,2.8,0
"001906",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,.,-1,.,-1,.,-1,.,-1,.,-1,.,-1,.,-1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,100,97.6,95,97.6,0,2.4,0,0,95,97.6,95,97.6,5,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,100,92.9,100,92.9,0,7.1,0,0,100,92.9,100,92.9,0,0,100,95.5,100,95.5,0,4.5,0,0,100,95.5,100,95.5,0,0,-1,100,-1,100,-1,0,-1,0,-1,100,-1,100,-1,0,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,-1,.,-1,.,-1,.,-1,.,-1,.,-1,.,-1,100,100,91.7,100,0,0,0,0,91.7,100,91.7,100,8.3,0,100,100,100,100,0,0,0,0,100,100,100,100,0,0,-1,80,-1,80,-1,20,-1,0,-1,80,-1,80,-1,0,100,96.9,100,96.9,0,3.1,0,0,100,96.9,100,96.9,0,0
"001907",.,-1,.,-1,.,-1,.,-1,.,-1,.,-1,.,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,94.4,97.8,91.1,94.6,5.6,2.2,0,0,91.1,93.6,91.1,94.6,3.3,3.2,92.4,100,84.8,98.1,7.6,0,0,0,84.8,94.4,84.8,98.1,7.6,1.9,93.2,97.2,89.7,93.6,6.8,2.8,0,0,89.8,91.9,89.7,93.6,3.4,3.7,93.9,97.8,90.9,96.6,6.1,2.2,0,0,90.9,95.6,90.9,96.6,3,1.1,94.9,96.7,93.6,91.8,5.1,3.3,0,0,93.7,91.8,93.6,91.8,1.3,4.9,.,.,.,.,.,.,.,.,.,.,.,.,.,.,33.3,80,33.3,80,66.7,20,0,0,33.3,80,33.3,80,0,0,94.7,97.9,91.2,92.7,5.3,2.1,0,0,91.3,91.8,91.2,92.7,3.5,5.2,90.6,96.3,89.7,91.4,9.4,3.7,0,0,89.8,90.2,89.7,91.4,0.9,4.9,100,100,93.3,85.7,0,0,0,0,93.3,85.7,93.3,85.7,6.7,14.3,96.9,97,95.4,94,3.1,3,0,0,95.4,94,95.4,94,1.5,3
"001908",-1,100,-1,83.3,-1,0,-1,0,-1,83.3,-1,83.3,-1,16.7,-1,.,-1,.,-1,.,-1,.,-1,.,-1,.,-1,.,.,-1,.,-1,.,-1,.,-1,.,-1,.,-1,.,-1,97.8,100,97.8,97.6,2.2,0,0,3.6,96.7,94,97.8,94,0,2.4,100,100,100,100,0,0,0,0,95.5,100,100,100,0,0,100,100,100,95.3,0,0,0,4.7,100,90.7,100,90.7,0,4.7,95.7,100,95.7,97.9,4.3,0,0,2.1,95.7,95.7,95.7,95.7,0,2.1,100,100,100,100,0,0,0,0,100,100,100,100,0,0,-1,.,-1,.,-1,.,-1,.,-1,.,-1,.,-1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,100,100,100,97.3,0,0,0,5.4,97.8,91.9,100,91.9,0,2.7,95.5,100,95.5,97.7,4.5,0,0,7,95.5,90.7,95.5,90.7,0,2.3,92.3,100,92.3,100,7.7,0,0,0,92.3,100,92.3,100,0,0,95.8,100,95.8,98,4.2,0,0,6,95.8,92,95.8,92,0,2
"001909",-1,.,-1,.,-1,.,-1,.,-1,.,-1,.,-1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,92.6,100,92.6,100,7.4,0,0,0,92.6,100,92.6,100,0,0,.,.,.,.,.,.,.,.,.,.,.,.,.,.,80,100,80,100,20,0,0,0,80,100,80,100,0,0,100,100,100,100,0,0,0,0,100,100,100,100,0,0,-1,.,-1,.,-1,.,-1,.,-1,.,-1,.,-1,.,.,-1,.,-1,.,-1,.,-1,.,-1,.,-1,.,-1,-1,.,-1,.,-1,.,-1,.,-1,.,-1,.,-1,.,86.7,100,86.7,100,13.3,0,0,0,86.7,100,86.7,100,0,0,-1,100,-1,100,-1,0,-1,0,-1,100,-1,100,-1,0,66.7,-1,66.7,-1,33.3,-1,0,-1,66.7,-1,66.7,-1,0,-1,92,100,92,100,8,0,0,0,92,100,92,100,0,0
"002901",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,93.7,95,92.7,94.1,6.3,5,0.5,0.4,91.8,93.7,92.2,93.7,1,0.8,100,-1,100,-1,0,-1,0,-1,100,-1,100,-1,0,-1,88.9,89.8,87,88.1,11.1,10.2,0,0,85.5,88.1,87,88.1,1.9,1.7,96,92.8,96,92.8,4,7.2,0,0,96,92.8,96,92.8,0,0,92.1,95.8,90.5,95.1,7.9,4.2,0,0,89.8,95.1,90.5,95.1,1.6,0.7,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,91.5,96.9,89.6,95.3,8.5,3.1,0.9,0.8,87.9,94.5,88.7,94.5,1.9,1.6,83.3,90.2,80,89,16.7,9.8,0,1.2,78.7,87.8,80,87.8,3.3,1.2,100,93.3,100,93.3,0,6.7,0,0,100,93.3,100,93.3,0,0,95.7,93.1,95.7,92,4.3,6.9,1.4,1.1,94.3,90.8,94.3,90.8,0,1.1
"003801",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"003902",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,94.7,98.9,94.1,97.3,5.3,1.1,0.6,1.1,90.9,92.3,93.5,96.3,0.6,1.6,100,100,100,85.7,0,0,0,0,100,75,100,85.7,0,14.3,92.1,100,92.1,96.2,7.9,0,1.6,1.3,86.4,88.2,90.5,94.9,0,3.8,92.7,100,92.7,97.9,7.3,0,1.2,0,89.3,94.8,91.5,97.9,0,2.1,96,100,92,95.8,4,0,0,0,85.2,92,92,95.8,4,4.2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,.,-1,.,-1,.,-1,.,-1,.,-1,.,-1,.,96.6,97.8,95.5,96.8,3.4,2.2,0,2.2,92.3,89.8,95.5,94.6,1.1,1.1,86,96.3,86,92.6,14,3.7,2,0,76.4,78.1,84,92.6,0,3.7,92.3,100,92.3,90.9,7.7,0,0,9.1,85.7,52.9,92.3,81.8,0,9.1,94,98.4,94,98.4,6,1.6,0.8,1.6,91.2,93,93.2,96.8,0,0
