DISTRICT,D20BKA13R,D20BKA14R,D20BKC13R,D20BKC14R,D20BKE13R,D20BKE14R,D20BKM13R,D20BKM14R,D20BKS13R,D20BKS14R,D20BTA13R,D20BTA14R,D20BTC13R,D20BTC14R,D20BTE13R,D20BTE14R,D20BTM13R,D20BTM14R,D20BTS13R,D20BTS14R,D30BKA13R,D30BKA14R,D30BKC13R,D30BKC14R,D30BKE13R,D30BKE14R,D30BKM13R,D30BKM14R,D30BKS13R,D30BKS14R,D30BTA13R,D30BTA14R,D30BTC13R,D30BTC14R,D30BTE13R,D30BTE14R,D30BTM13R,D30BTM14R,D30BTS13R,D30BTS14R,D40BKA13R,D40BKA14R,D40BKC13R,D40BKC14R,D40BKE13R,D40BKE14R,D40BKM13R,D40BKM14R,D40BKS13R,D40BKS14R,D40BTA13R,D40BTA14R,D40BTC13R,D40BTC14R,D40BTE13R,D40BTE14R,D40BTM13R,D40BTM14R,D40BTS13R,D40BTS14R,DA0BKA13R,DA0BKA14R,DA0BKC13R,DA0BKC14R,DA0BKE13R,DA0BKE14R,DA0BKM13R,DA0BKM14R,DA0BKS13R,DA0BKS14R,DA0BTA13R,DA0BTA14R,DA0BTC13R,DA0BTC14R,DA0BTE13R,DA0BTE14R,DA0BTM13R,DA0BTM14R,DA0BTS13R,DA0BTS14R,DB0BKA13R,DB0BKA14R,DB0BKC13R,DB0BKC14R,DB0BKE13R,DB0BKE14R,DB0BKM13R,DB0BKM14R,DB0BKS13R,DB0BKS14R,DB0BTA13R,DB0BTA14R,DB0BTC13R,DB0BTC14R,DB0BTE13R,DB0BTE14R,DB0BTM13R,DB0BTM14R,DB0BTS13R,DB0BTS14R,DE0BKA13R,DE0BKA14R,DE0BKC13R,DE0BKC14R,DE0BKE13R,DE0BKE14R,DE0BKM13R,DE0BKM14R,DE0BKS13R,DE0BKS14R,DE0BTA13R,DE0BTA14R,DE0BTC13R,DE0BTC14R,DE0BTE13R,DE0BTE14R,DE0BTM13R,DE0BTM14R,DE0BTS13R,DE0BTS14R,DF0BKA13R,DF0BKA14R,DF0BKC13R,DF0BKC14R,DF0BKE13R,DF0BKE14R,DF0BKM13R,DF0BKM14R,DF0BKS13R,DF0BKS14R,DF0BTA13R,DF0BTA14R,DF0BTC13R,DF0BTC14R,DF0BTE13R,DF0BTE14R,DF0BTM13R,DF0BTM14R,DF0BTS13R,DF0BTS14R,DH0BKA13R,DH0BKA14R,DH0BKC13R,DH0BKC14R,DH0BKE13R,DH0BKE14R,DH0BKM13R,DH0BKM14R,DH0BKS13R,DH0BKS14R,DH0BTA13R,DH0BTA14R,DH0BTC13R,DH0BTC14R,DH0BTE13R,DH0BTE14R,DH0BTM13R,DH0BTM14R,DH0BTS13R,DH0BTS14R,DI0BKA13R,DI0BKA14R,DI0BKC13R,DI0BKC14R,DI0BKE13R,DI0BKE14R,DI0BKM13R,DI0BKM14R,DI0BKS13R,DI0BKS14R,DI0BTA13R,DI0BTA14R,DI0BTC13R,DI0BTC14R,DI0BTE13R,DI0BTE14R,DI0BTM13R,DI0BTM14R,DI0BTS13R,DI0BTS14R,DM0BKA13R,DM0BKA14R,DM0BKC13R,DM0BKC14R,DM0BKE13R,DM0BKE14R,DM0BKM13R,DM0BKM14R,DM0BKS13R,DM0BKS14R,DM0BTA13R,DM0BTA14R,DM0BTC13R,DM0BTC14R,DM0BTE13R,DM0BTE14R,DM0BTM13R,DM0BTM14R,DM0BTS13R,DM0BTS14R,DW0BKA13R,DW0BKA14R,DW0BKC13R,DW0BKC14R,DW0BKE13R,DW0BKE14R,DW0BKM13R,DW0BKM14R,DW0BKS13R,DW0BKS14R,DW0BTA13R,DW0BTA14R,DW0BTC13R,DW0BTC14R,DW0BTE13R,DW0BTE14R,DW0BTM13R,DW0BTM14R,DW0BTS13R,DW0BTS14R
"001902",.,.,.,.,.,.,.,.,.,.,0,-1,0,-1,0,-1,0,-1,0,-1,.,.,.,.,.,.,.,.,.,.,.,-1,.,-1,.,-1,.,-1,.,-1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0,0,0,0,0,0,0,0,0,0,.,.,.,.,.,.,.,.,.,.,0,0,0,0,0,0,0,0,0,0,.,.,.,.,.,.,.,.,.,.,0,0,0,0,0,0,0,0,0,0,.,.,.,.,.,.,.,.,.,.,0,0,0,0,0,0,0,0,0,0,.,.,.,.,.,.,.,.,.,.,0,0,0,0,0,0,0,0,0,0,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0,0,0,0,0,0,0,0,0,0,.,.,.,.,.,.,.,.,.,.,0,0,0,0,0,0,0,0,0,0
"001903",.,.,.,.,.,.,.,.,.,.,0,0,0,0,0,0,0,0,0,0,-1,.,.,.,-1,.,.,.,.,.,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,77.8,55.6,.,-1,77.8,60,-1,.,-1,.,5.1,5.6,0,1.9,5.1,3.1,0.6,0,0.6,0,.,.,.,.,.,.,.,.,.,.,0,-1,0,-1,0,-1,0,-1,0,-1,-1,-1,.,.,-1,-1,.,.,.,.,2.9,5.3,0,0,2.9,3.5,0,0,0,0,71.4,-1,.,-1,71.4,-1,-1,.,-1,.,8.5,4.8,0,1.2,8.5,3.6,1.2,0,1.2,0,-1,-1,.,-1,-1,.,.,.,.,.,7.7,22.2,0,11.1,7.7,0,0,0,0,0,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,-1,60,.,-1,-1,-1,.,.,.,.,2.2,6.3,0,2.5,2.2,2.5,0,0,0,0,85.7,57.1,.,-1,85.7,60,-1,.,-1,.,4.7,4.9,0,1.4,4.7,3.5,0.7,0,0.7,0
"001904",.,.,.,.,.,.,.,.,.,.,0,-1,0,-1,0,-1,0,-1,0,-1,.,.,.,.,.,.,.,.,.,.,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0,0,0,0,0,0,0,0,0,0,.,.,.,.,.,.,.,.,.,.,0,0,0,0,0,0,0,0,0,0,.,.,.,.,.,.,.,.,.,.,0,0,0,0,0,0,0,0,0,0,.,.,.,.,.,.,.,.,.,.,0,0,0,0,0,0,0,0,0,0,.,.,.,.,.,.,.,.,.,.,0,0,0,0,0,0,0,0,0,0,.,.,.,.,.,.,.,.,.,.,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,.,.,.,.,.,.,.,.,.,.,0,0,0,0,0,0,0,0,0,0,.,.,.,.,.,.,.,.,.,.,0,0,0,0,0,0,0,0,0,0
"001906",.,.,.,.,.,.,.,.,.,.,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,.,.,.,.,.,.,.,.,.,.,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0,0,0,0,0,0,0,0,0,0,.,.,.,.,.,.,.,.,.,.,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,.,.,.,.,.,.,.,.,.,.,0,0,0,0,0,0,0,0,0,0,.,.,.,.,.,.,.,.,.,.,0,0,0,0,0,0,0,0,0,0,.,.,.,.,.,.,.,.,.,.,0,0,0,0,0,0,0,0,0,0,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0,0,0,0,0,0,0,0,0,0,.,.,.,.,.,.,.,.,.,.,0,0,0,0,0,0,0,0,0,0
"001907",.,.,.,.,.,.,.,.,.,.,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,.,.,.,.,.,.,.,.,.,14.3,0,0,0,0,0,0,0,0,0,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,52,66.7,71.4,-1,40,-1,-1,-1,55.6,-1,6.3,2.6,1.8,0.9,1.3,0.3,0.5,0.6,2.3,0.6,-1,.,-1,.,-1,.,.,.,-1,.,0.8,0,0.8,0,0.8,0,0,0,0.8,0,62.5,-1,-1,-1,.,.,.,-1,.,.,3.2,1.8,0.8,0.5,0,0,0,0.5,0,0,50,60,-1,-1,-1,-1,-1,-1,-1,-1,7.3,3,1.6,1.2,1.6,0.6,0.5,0.6,1.6,0.6,50,60,.,.,-1,-1,.,-1,.,-1,5.6,4.1,0,0,0.7,0.8,0,1.6,0,0.8,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,54.5,-1,-1,-1,-1,.,-1,-1,50,-1,5.3,2.2,1.9,0.6,1,0,0.5,0.6,2.9,0.6,46.7,-1,66.7,-1,-1,.,-1,.,50,-1,11.4,3.4,4.5,2.5,2.3,0,1.5,0,6.1,0.8
"001908",.,-1,.,-1,.,.,.,-1,.,.,0,11.1,0,11.1,0,0,0,11.1,0,0,-1,.,-1,.,.,.,-1,.,.,.,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,.,-1,.,-1,.,.,.,-1,.,.,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,33.3,31.3,38.5,33.3,.,.,12.5,14.3,.,.,8.9,9,7.7,6.7,0,0,4.8,3.9,0,0,-1,-1,-1,-1,.,.,-1,-1,.,.,10.5,5.3,7.9,2.6,0,0,2.6,2.6,0,0,-1,-1,-1,-1,.,.,-1,-1,.,.,5.7,4.5,2.9,3.4,0,0,4.3,2.2,0,0,30,30,30,33.3,.,.,-1,-1,.,.,11.5,10.1,11.5,9.1,0,0,4.6,3,0,0,-1,-1,-1,-1,.,.,-1,-1,.,.,8,11.8,4,5.9,0,0,8,11.8,0,0,.,.,.,.,.,.,.,.,.,.,-1,.,-1,.,-1,.,-1,.,-1,.,40,33.3,-1,-1,.,.,-1,-1,.,.,6.2,7.6,3.7,3.8,0,0,4.9,5.1,0,0,62.5,30,62.5,37.5,.,.,-1,-1,.,.,8.6,9.2,8.6,7.3,0,0,4.3,1.8,0,0
"001909",.,.,.,.,.,.,.,.,.,.,-1,.,-1,.,-1,.,-1,.,-1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0,0,0,0,0,0,0,0,0,0,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0,0,0,0,0,0,0,0,0,0,.,.,.,.,.,.,.,.,.,.,0,0,0,0,0,0,0,0,0,0,.,.,.,.,.,.,.,.,.,.,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,.,.,.,.,.,.,.,.,.,.,.,-1,.,-1,.,-1,.,-1,.,-1,.,.,.,.,.,.,.,.,.,.,0,0,0,0,0,0,0,0,0,0,.,.,.,.,.,.,.,.,.,.,0,0,0,0,0,0,0,0,0,0
"002901",.,-1,.,.,.,-1,.,-1,.,.,-1,33.3,-1,0,-1,33.3,-1,16.7,-1,0,-1,.,-1,.,-1,.,.,.,.,.,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,10.5,13.4,8.3,.,4.1,7.9,.,-1,0,0,20.6,25.8,2.9,0,11.8,16.5,0,0.6,4.3,4.8,-1,-1,.,.,-1,-1,.,.,.,.,10,12.5,0,0,10,12.5,0,0,0,0,18.2,28,-1,.,0,6.7,.,.,-1,-1,11.5,21.2,2.1,0,5.2,12.7,0,0,2.1,1.7,10,17.7,0,.,3.8,10.8,.,-1,0,0,25.1,28.6,2.5,0,13.1,17.1,0,0.5,5,3.7,10.6,16.9,-1,.,0,3.7,.,.,0,0,18.3,21.1,1.2,0,8.6,9.7,0,0,3.5,3.2,-1,-1,.,.,-1,-1,.,.,.,.,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,11.1,8.8,14.3,.,4.3,5.1,.,-1,0,0,16.5,23.3,3.2,0,10.6,15.9,0,0.8,3.7,5.7,8.3,8.9,0,.,8.3,11.1,.,-1,0,0,24.8,33.7,5.5,0,16.6,27.1,0,1.2,6.2,7.8
"003801",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,-1,.,-1,.,-1,.,-1,.,-1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0,0,0,0,0,0,0,0,0,0,.,.,.,.,.,.,.,.,.,.,-1,0,-1,0,-1,0,-1,0,-1,0,.,.,.,.,.,.,.,.,.,.,0,0,0,0,0,0,0,0,0,0,.,.,.,.,.,.,.,.,.,.,0,0,0,0,0,0,0,0,0,0,.,.,.,.,.,.,.,.,.,.,-1,0,-1,0,-1,0,-1,0,-1,0,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0,0,0,0,0,0,0,0,0,0,.,.,.,.,.,.,.,.,.,.,0,0,0,0,0,0,0,0,0,0
"003902",.,-1,.,.,.,-1,.,-1,.,.,0,33.3,0,0,0,16.7,0,16.7,0,0,-1,-1,.,.,-1,-1,-1,-1,.,-1,42.9,57.1,0,0,14.3,28.6,28.6,14.3,0,42.9,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,74.4,65.7,.,.,61.5,50,100,100,.,50,11.9,18.4,0,0,7.2,8.8,3,3,0,11,.,-1,.,.,.,-1,.,.,.,-1,0,14.3,0,0,0,7.1,0,0,0,14.3,77.8,77.8,.,.,-1,-1,-1,-1,.,37.5,6.1,11.5,0,0,2,2.6,1.4,1.9,0,5.1,83.3,62.5,.,.,72.7,50,-1,-1,.,45,10.4,17.1,0,0,6.4,9.6,2.3,1.6,0,10.7,80,75,.,.,-1,-1,.,-1,.,-1,14.5,13.8,0,0,5.8,2.3,0,3.4,0,2.3,.,.,.,.,.,.,.,.,.,.,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,68,68.6,.,.,53.3,50,100,100,.,55,13.3,19.7,0,0,8,7.9,3.7,4.5,0,11.2,70,61.7,.,.,57.1,50,100,100,.,51.5,11.5,18.8,0,0,8,10.4,3.4,2.4,0,13.2
