DISTRICT,D20GP14R,D20GV14R,D2CRB13R,D2CRB14R,D2CRM13R,D2CRM14R,D2CRR13R,D2CRR14R,D30GP14R,D30GV14R,D3CRB13R,D3CRB14R,D3CRM13R,D3CRM14R,D3CRR13R,D3CRR14R,D40GP14R,D40GV14R,D4CRB13R,D4CRB14R,D4CRM13R,D4CRM14R,D4CRR13R,D4CRR14R,DA0GP14R,DA0GV14R,DACRB13R,DACRB14R,DACRM13R,DACRM14R,DACRR13R,DACRR14R,DB0GP14R,DB0GV14R,DBCRB13R,DBCRB14R,DBCRM13R,DBCRM14R,DBCRR13R,DBCRR14R,DE0GP14R,DE0GV14R,DECRB13R,DECRB14R,DECRM13R,DECRM14R,DECRR13R,DECRR14R,DF0GP14R,DF0GV14R,DFCRB13R,DFCRB14R,DFCRM13R,DFCRM14R,DFCRR13R,DFCRR14R,DH0GP14R,DH0GV14R,DHCRB13R,DHCRB14R,DHCRM13R,DHCRM14R,DHCRR13R,DHCRR14R,DI0GP14R,DI0GV14R,DICRB13R,DICRB14R,DICRM13R,DICRM14R,DICRR13R,DICRR14R,DL0GP14R,DL0GV14R,DLCRB13R,DLCRB14R,DLCRM13R,DLCRM14R,DLCRR13R,DLCRR14R,DM0GP14R,DM0GV14R,DMCRB13R,DMCRB14R,DMCRM13R,DMCRM14R,DMCRR13R,DMCRR14R,DR0GP14R,DR0GV14R,DRCRB13R,DRCRB14R,DRCRM13R,DRCRM14R,DRCRR13R,DRCRR14R,DS0GP14R,DS0GV14R,DSCRB13R,DSCRB14R,DSCRM13R,DSCRM14R,DSCRR13R,DSCRR14R,DW0GP14R,DW0GV14R,DWCRB13R,DWCRB14R,DWCRM13R,DWCRM14R,DWCRR13R,DWCRR14R
"001902",-1,-1,-1,-1,-1,-1,-1,-1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,66.7,30.3,64,50,74,68,70,74,-1,-1,50,-1,67,-1,43,-1,33.3,6.1,63,20,75,45,70,55,63.6,3,73,60,73,60,94,100,-1,-1,.,-1,.,-1,-1,-1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,68.2,27.3,59,45,74,71,58,60,14.3,3,33,0,42,29,44,50,33.3,6.1,-1,-1,-1,40,0,-1,76.9,30.3,65,54,74,75,75,76
"001903",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,.,.,.,.,.,.,.,.,63.9,33.3,66,49,78,56,70,74,-1,-1,-1,-1,60,-1,-1,-1,57.7,8.3,61,38,60,54,70,75,72.5,22.2,76,57,74,62,83,84,100,4.2,80,-1,80,-1,80,-1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,53.1,11.1,60,39,81,48,61,61,31.3,2.8,50,14,61,29,53,43,16.7,1.4,-1,-1,-1,-1,-1,-1,61.9,29.2,66,48,78,57,68,70
"001904",-1,-1,-1,-1,-1,-1,-1,-1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,100,96.5,39,48,67,67,54,62,100,17.5,33,38,57,38,50,88,100,54.4,53,50,65,54,62,70,100,52.6,29,48,47,67,65,68,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,.,-1,.,-1,.,-1,.,.,.,.,.,.,.,.,100,43.9,44,48,79,67,48,55,100,33.3,33,7,50,20,83,31,100,19.3,-1,20,-1,20,-1,43,100,70.2,37,51,67,77,53,57
"001906",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,.,-1,.,-1,.,-1,.,.,.,.,.,.,.,.,87.5,72.5,47,36,56,49,75,58,-1,-1,-1,-1,-1,-1,-1,-1,76.9,22.5,38,40,56,50,56,70,95.2,40,38,40,50,50,75,70,83.3,7.5,.,40,.,40,.,60,.,.,.,.,.,.,.,.,-1,-1,.,.,.,.,.,.,78.9,32.5,57,31,63,47,75,44,81.8,20,38,0,50,22,78,22,-1,-1,.,-1,.,-1,-1,-1,86.7,55,46,33,57,46,77,56
"001907",-1,-1,.,-1,.,-1,.,-1,-1,-1,-1,-1,-1,-1,-1,-1,.,.,.,.,.,.,.,.,76.7,59.7,49,44,70,60,59,62,69.6,18.8,26,35,46,50,47,59,76.2,36.4,39,38,65,57,50,60,78.8,29,51,49,64,65,64,70,82.1,21.6,38,43,70,62,48,59,.,.,.,.,.,.,.,.,-1,-1,-1,-1,-1,-1,-1,-1,74.7,30.7,47,40,76,56,55,54,77.8,27.8,30,31,55,43,44,56,57.1,4.5,0,14,14,14,13,50,77,18.2,80,56,89,67,82,69
"001908",60,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,.,-1,.,-1,.,-1,70.9,39.2,45,54,83,79,48,58,61.1,10.1,38,40,71,73,43,40,55.6,11.4,42,45,74,75,48,52,70.5,19,51,56,85,74,56,64,75,1.3,53,63,87,88,53,63,.,.,-1,.,-1,.,-1,.,-1,-1,.,-1,.,-1,.,-1,71.4,20.3,38,50,82,84,39,50,63.2,24.1,35,34,71,75,37,38,44.4,5.1,-1,-1,-1,-1,0,-1,75.6,27.8,47,55,89,78,50,63
"001909",.,.,-1,.,-1,.,-1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,100,100,62,36,90,69,67,48,.,.,.,.,.,.,.,.,100,31,33,33,83,89,33,33,100,55.2,70,40,90,60,80,63,.,.,.,.,.,.,.,.,-1,-1,.,.,.,.,.,-1,.,.,.,.,.,.,.,.,100,44.8,55,30,91,82,55,27,100,31,-1,0,-1,13,-1,43,-1,-1,.,-1,.,-1,.,-1,100,96.6,60,36,90,69,65,50
"002901",-1,-1,-1,-1,-1,-1,-1,-1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,83.5,48.3,41,46,74,60,47,54,-1,-1,40,-1,60,-1,40,-1,76.9,12.6,19,28,66,46,33,32,81.7,16.5,33,52,69,60,42,66,83.8,33.9,31,39,69,53,39,47,-1,-1,.,-1,.,-1,.,-1,-1,-1,-1,-1,-1,-1,-1,-1,84.9,31.7,49,41,79,60,52,44,69.2,17,6,22,33,27,19,29,83.3,8.3,0,7,9,7,7,6,86,13.5,60,58,84,71,62,68
"003801",.,.,.,.,.,.,.,.,-1,-1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,85.7,9.5,63,37,88,68,69,47,-1,-1,.,-1,.,-1,.,-1,77.8,4.8,-1,25,-1,75,-1,38,83.3,9.5,83,50,100,80,83,60,-1,-1,-1,-1,-1,-1,-1,-1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,88.9,0,50,22,82,56,60,33,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,.,-1,.,-1,.,-1,93.3,9.5,60,33,88,67,67,40
"003902",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,.,.,.,.,.,.,.,.,86.7,71.3,61,45,78,74,66,51,80,2.2,20,-1,20,-1,60,-1,77.8,26.5,53,38,69,68,60,44,86.8,36.5,73,51,83,73,78,57,75,15.5,55,48,75,70,65,55,-1,-1,-1,-1,-1,-1,-1,-1,.,.,-1,.,-1,.,-1,.,86.7,34.8,51,38,74,75,55,44,64.3,9.4,29,14,35,44,50,23,87.5,3.9,-1,20,-1,60,0,20,90.8,50.3,61,42,80,75,65,48
