DISTRICT,DA0GR14N,DA0GM14N,DA0GH14N,DA0GF14N,DB0GR14N,DH0GR14N,DW0GR14N,DI0GR14N,D30GR14N,D40GR14N,D20GR14N,DS0GR14N,DA0GR14R,DA0GM14P,DA0GF14P,DB0GR14R,DH0GR14R,DW0GR14R,DI0GR14R,D30GR14R,D40GR14R,D20GR14R,DS0GR14R,DPETGEEC,DPETGPKC,DPETGKNC,DPETG01C,DPETG02C,DPETG03C,DPETG04C,DPETG05C,DPETG06C,DPETG07C,DPETG08C,DPETG09C,DPETG10C,DPETG11C,DPETG12C,DPETALLC,DPETSPEC,DPETBILC,DPETVOCC,DPETGIFC,DPETLEPC,DPETECOC,DPETNEDC,DPETRSKC,DPETINDC,DPETASIC,DPETPCIC,DPETTWOC,DPETBLAC,DPETHISC,DPETWHIC,DAPID15D,DAPID15N,DAPID15R,DPETDISD,DPETDISC,DPETDISP,DPERRAKR,DPERRA1R,DPERRA2R,DPERRA3R,DPERRA4R,DPERRA5R,DPERRA6R,DPERRA7R,DPERRA8R,DPERSAKR,DPERSA1R,DPERSA2R,DPERSA3R,DPERSA4R,DPERSA5R,DPERSA6R,DPERSA7R,DPERSA8R,DAUND14C,DAUND14D,DAUND14R,DPEMALLC,DPEMALLT,DPEMALLP,DPETWHIP,DPETBLAP,DPETHISP,DPETINDP,DPETASIP,DPETPCIP,DPETTWOP,DPETECOP,DPETNEDP,DPETRSKP,DPETLEPP,DPETSPEP,DPETVOCP,DPETBILP,DPETGIFP,DPETGEEP,DPETGPKP,DPETGKNP,DPETG01P,DPETG02P,DPETG03P,DPETG04P,DPETG05P,DPETG06P,DPETG07P,DPETG08P,DPETG09P,DPETG10P,DPETG11P,DPETG12P,DA0GH14P,DPSTTOFC,DPSUTOFC,DPSSTOFC,DPSCTOFC,DPSETOFC,DPSTTOST,DPSUTOST,DPSSTOST,DPSCTOST,DPST00FC,DPST01FC,DPST06FC,DPST11FC,DPST20FC,DPST00ST,DPST01ST,DPST06ST,DPST11ST,DPST20ST,DPSTNOFC,DPSTBAFC,DPSTMSFC,DPSTPHFC,DPSPCOFC,DPSECOFC,DPSPTOFC,DPSXTOFC,DPSATOFC,DPSOTOFC,DPSTINFC,DPSTPIFC,DPSTASFC,DPSTBLFC,DPSTHIFC,DPSTWHFC,DPSTTWFC,DPSTMAFC,DPSTFEFC,DPSXCOFC,DPSTREFC,DPSTVOFC,DPSTBIFC,DPSTCOFC,DPSTGIFC,DPSTSPFC,DPSTOPFC,DPSTURNN,DPSTURND,DPSTURNR,DPSTTENA,DPSTEXPA,DPSAMIFC,DPCTSOCS,DPCTSOCC,DPCTSCIS,DPCTSCIC,DPCTMATS,DPCTMATC,DPCTG06S,DPCTG06C,DPCTG05S,DPCTG05C,DPCTG04S,DPCTG04C,DPCTG03S,DPCTG03C,DPCTG02S,DPCTG02C,DPCTG01S,DPCTG01C,DPCTGMES,DPCTGMEC,DPCTGKGS,DPCTGKGC,DPCTFLAS,DPCTFLAC,DPCTENGS,DPCTENGC,DPCTSOCA,DPCTSCIA,DPCTMATA,DPCTGMEA,DPCTGKGA,DPCTG06A,DPCTG05A,DPCTG04A,DPCTG03A,DPCTG02A,DPCTG01A,DPCTFLAA,DPCTENGA,DPSPTOFP,DPSTTOFP,DPSUTOFP,DPSSTOFP,DPSCTOFP,DPSETOFP,DPSXTOFP,DPSAMIFP,DPSTNOFP,DPSTBAFP,DPSTMSFP,DPSTPHFP,DPST00FP,DPST01FP,DPST06FP,DPST11FP,DPST20FP,DPSTREFP,DPSTVOFP,DPSTBIFP,DPSTCOFP,DPSTGIFP,DPSTSPFP,DPSTOPFP,DPSTBLFP,DPSTWHFP,DPSTHIFP,DPSTPIFP,DPSTINFP,DPSTASFP,DPSTTWFP,DPSTMAFP,DPSTFEFP,DPSTKIDR,DPST00SA,DPST01SA,DPST06SA,DPST11SA,DPST20SA,DPSTTOSA,DPSUTOSA,DPSSTOSA,DPSCTOSA,DPFEIERP,DPSAINHP
"001902",33,3,30,0,2,3,26,0,0,0,2,6,100,9.1,0,6.1,9.1,78.8,0,0,0,6.1,18.2,1,14,44,43,35,38,35,41,39,32,49,46,54,46,60,577,76,1,181,60,1,210,367,206,0,3,0,32,27,37,478,626,0,0,617,4,0.6,2.8,10.8,0,0,0,0,0,2.4,0,20,0,0,100,0,0,0,0,0,0,313,0,73,555,13.2,82.8,4.7,6.4,0,0.5,0,5.5,36.4,63.6,35.7,0.2,13.2,31.4,0.2,10.4,0.2,2.4,7.6,7.5,6.1,6.6,6.1,7.1,6.8,5.5,8.5,8,9.4,8,10.4,90.9,54,7.1,3,1.5,13.4,2424916,371353.7,211922,116163,1,8,9,18,18,34500,278186.1,346900.9,829051.4,936277.6,0,49.5,4.5,0,15.9,24.3,65.6,28.7,107.6,1.9,0,0,0,2,3,49,0,12,42,3,44.2,3,0.1,0,0.6,6.1,0,6.9,54.9,12.6,8,15.4,14.9,265,20,252,23,244,19,31.9,2.6,36.1,2.7,26.6,2.3,34,3,35,2,42,3,11.4,0.6,44,3,111,11,279,25,13.3,11,12.8,18,14.7,12.1,13.6,11.7,11.3,17.5,14,10.1,11.2,60.9,50.2,6.6,2.8,1.4,12.5,26.6,13.8,0,91.7,8.3,0,1.9,14.8,16.7,33.3,33.3,81.9,5.5,0.2,0,1.2,11.3,0,3.7,90.7,5.6,0,0,0,0,22.2,77.8,10.7,34500,34779,38544,46055,52082,44925,52456,70641,77442,60.1,78.6
"001903",72,14,58,0,1,5,63,0,1,0,2,6,100,19.4,0,1.4,6.9,87.5,0,1.4,0,2.8,8.3,0,51,109,70,71,77,91,88,105,106,94,94,104,83,74,1217,126,16,273,47,16,648,569,406,1,13,2,38,64,108,991,1348,2,0.1,1326,5,0.4,7.1,4.9,3.4,0,0,2.3,1,0,2.6,42.9,18.2,0,0,0,7.1,0,0,0,2,597,0.3,153,1149,13.3,81.4,5.3,8.9,0.1,1.1,0.2,3.1,53.2,46.8,33.4,1.3,10.4,22.4,1.3,3.9,0,4.2,9,5.8,5.8,6.3,7.5,7.2,8.6,8.7,7.7,7.7,8.5,6.8,6.1,80.6,100.7,9.3,5,2,15.9,4228821.8,467392.9,320536,184090,4,17,22,34,23.7,126560.2,542437.8,846913.9,1506881,1206029,0,86,14.7,0,0,0,117,35.6,168.5,0,0,0,0,2,5,93.7,0,18,82.7,0.5,81.3,6.6,0,1.1,2.7,9,0,9.6,98.8,9.7,9.1,13.6,16,553,37,484,31,522,40,89.6,5.2,87,5,89.9,5.3,75.5,5.3,66.3,3.7,65.4,4.7,0,0,101.9,5.6,209,14,676,53,14.9,15.6,13.1,.,18.2,17.4,17.4,17,14.2,17.8,14,14.9,12.8,69.4,59.8,5.5,3,1.2,9.4,21.1,9.5,0,85.4,14.6,0,4,16.9,21.8,33.8,23.5,80.7,6.6,0,1.1,2.7,8.9,0,2,93,5,0,0,0,0,17.9,82.1,12.1,31637,31905,38493,44317,50853,41985,50334,64107,92045,61.6,67
"001904",57,9,48,0,10,3,42,1,0,0,1,12,100,15.8,0,17.5,5.3,73.7,1.8,0,0,1.8,21.1,4,30,64,63,60,62,61,63,44,61,68,68,55,58,42,803,78,19,213,46,19,446,357,334,4,7,0,32,89,83,588,879,0,0,856,9,1.1,1.8,0,2,3.8,0,2.6,0,1.8,1.6,0,0,25,11.1,14.3,0,0,0,0,3,393,0.8,116,748,15.5,73.2,11.1,10.3,0.5,0.9,0,4,55.5,44.5,41.6,2.4,9.7,26.5,2.4,5.7,0.5,3.7,8,7.8,7.5,7.7,7.6,7.8,5.5,7.6,8.5,8.5,6.8,7.2,5.2,84.2,56.9,4.8,3,4.3,13,2368210.4,239617.7,206020,315453.2,3,15,9.1,13.7,16.1,101474.4,492130.6,346971.4,645410,782224,0.1,52.7,4.1,0,0,0,69,33.6,115.6,0,0,0,0,1,1,54.9,0,14.7,42.2,4.8,45.7,6.1,0,1.1,0,3.8,0.3,13.4,57.2,23.5,6.6,12.8,10.4,361,19,341,18,320,18,21.5,1.5,64.6,3,61.4,4,65.1,3,61.5,3,62.3,3,0,0,67,3,139,10,349,24,19,18.9,17.8,.,22.3,14.4,21.6,15.3,21.7,20.5,20.8,13.9,14.5,59.7,49.3,4.1,2.6,3.7,11.3,29,9,0.2,92.6,7.2,0,5.3,26.4,16,24.1,28.3,80.3,10.6,0,1.8,0,6.7,0.5,1.8,96.5,1.8,0,0,0,0,25.8,74.2,14.1,33826,32809,38078,47138,48550,41609,50169,68673,73199,58.5,58.7
"001906",40,8,32,0,2,6,30,0,1,0,1,4,100,20,0,5,15,75,0,2.5,0,2.5,10,0,0,30,19,31,28,33,27,26,34,28,29,22,32,31,370,41,3,118,24,3,156,214,117,0,1,0,6,30,41,292,430,0,0,432,2,0.5,12.5,0,0,0,0,0,3.2,3.4,4.8,100,.,0,0,0,0,0,0,14.3,0,208,0,61,405,15.1,78.9,8.1,11.1,0,0.3,0,1.6,42.2,57.8,31.6,0.8,11.1,31.9,0.8,6.5,0,0,8.1,5.1,8.4,7.6,8.9,7.3,7,9.2,7.6,7.8,5.9,8.6,8.4,80,34.7,1.9,2,0.4,4,1488632.9,87090.8,140418,37427,0,10,6,13.1,5.6,0,319496,233232.1,605799.2,330105.5,0,34,0.7,0,0,0,39,17.9,60.9,0,0,0,0,2,0,32.7,0,8.6,26.1,2.2,27.9,3.2,0,0.5,0.5,2.7,0,4,34.8,11.5,6.7,12.8,9,156,12,138,13,160,15,15,1.2,23.6,1.8,29.3,1.8,25.5,1.8,30,2,19,2,7.2,1,28,2,66,6,186,19,13,10.6,10.7,7.2,14,12.1,12.8,16.5,14,15,9.5,11,9.8,64,57,3.1,3.3,0.7,6.6,29.4,14.7,0,97.9,2.1,0,0,28.8,17.3,37.8,16.1,80.3,9.1,0,1.4,1.5,7.7,0,5.8,94.2,0,0,0,0,0,24.8,75.2,10.7,.,31948,38873,46183,59000,42884,46300,70209,92458,56.2,59.3
"001907",176,13,163,0,56,56,61,0,2,0,1,14,100,7.4,0,31.8,31.8,34.7,0,1.1,0,0.6,8,3,185,276,269,284,250,234,251,231,229,243,259,266,195,177,3352,292,470,1096,103,523,2458,894,2069,47,29,3,93,911,1311,958,3692,4,0.1,3678,79,2.1,2.1,3.9,4.3,0.5,0,0,0,0,1,0,0,0,0,0,7.1,6.3,0,8,1,1503,0.1,572,3149,18.2,28.6,27.2,39.1,1.4,0.9,0.1,2.8,73.3,26.7,61.7,15.6,8.7,32.7,14,3.1,0.1,5.5,8.2,8,8.5,7.5,7,7.5,6.9,6.8,7.2,7.7,7.9,5.8,5.3,92.6,268,35.1,15,9,65.7,11696435.4,1756674.3,1091366,778332,52,77.1,39.1,51.2,48.6,2087595.1,2840926.2,1612918.5,2499388.4,2655607.1,8,226.5,33.5,0,0,0,327.1,92.1,485,0,1,0,0,26.4,19,219.6,2,60,208,0,199,18,2.3,21.9,1.6,25.1,0,57,260.6,21.9,5.8,10,111,1393,67,1134,60,1675,100,197.2,11.6,188.3,10.5,179.6,9.3,213.7,11.8,222.4,10.8,219.9,11.9,0,0,274,16,588,30,2052,128,20.8,18.9,16.8,.,17.1,17,18,19.3,18.1,20.6,18.5,19.6,16,67.5,55.3,7.2,3.1,1.9,13.6,19,22.9,3,84.5,12.5,0,19.4,28.8,14.6,19.1,18.1,74.3,6.7,0.9,8.2,0.6,9.4,0,9.9,81.9,7.1,0,0.4,0,0.7,22.4,77.6,12.5,40146,36840,41232,48860,54621,43642,50031,72758,86481,59.3,70.4
"001908",79,14,65,0,18,8,45,0,1,2,5,9,100,17.7,0,22.8,10.1,57,0,1.3,2.5,6.3,11.4,4,55,136,144,117,113,122,116,111,119,118,123,116,116,85,1595,148,86,334,33,95,1020,575,796,5,13,0,57,277,398,845,1726,7,0.4,1789,26,1.5,8.1,10.1,2.6,0,0,0,0.9,0,1.1,28.6,12.5,7.1,0,0,0,0,0,0,5,730,0.7,286,1573,18.2,53,17.4,25,0.3,0.8,0,3.6,63.9,36.1,49.9,6,9.3,20.9,5.4,2.1,0.3,3.4,8.5,9,7.3,7.1,7.6,7.3,7,7.5,7.4,7.7,7.3,7.3,5.3,82.3,129.2,12,7,3.3,25,5437819.9,593806,468352,307710.5,7,38,20.9,33,30.2,228405.7,1291521.5,831561.1,1539883.9,1546447.7,0,113.7,14.5,1,0,0,151.5,49.7,226.1,0,0,0,0,8,4,115.2,2,29.3,99.9,0,99.9,8.4,1.3,4.5,1.8,13,0.2,34.5,123.5,28,5.8,12.2,36.2,546,32,620,43,662,52,103.2,5.7,108.9,5.7,126.8,6.3,114.8,6.3,120.8,7.3,148.3,7.3,0,0,140.7,7.3,213,15,723,53,17.1,14.4,12.7,.,19.2,18.2,19.2,20.1,18.2,16.5,20.2,14.2,13.6,67,57.1,5.3,3.1,1.5,11,22,16,0,88,11.2,0.8,5.4,29.4,16.2,25.5,23.4,77.4,6.5,1,3.5,1.4,10,0.1,6.2,89.2,3.1,0,0,0,1.5,22.7,77.3,12.3,32630,33987,39700,46663,51163,42097,49484,66907,93837,60.9,65.5
"001909",29,4,23,2,0,0,28,1,0,0,0,4,100,13.8,6.9,0,0,96.6,3.4,0,0,0,13.8,1,23,29,23,35,26,29,24,32,33,25,26,23,34,26,389,48,0,148,16,0,163,226,138,4,0,0,8,5,22,350,435,0,0,433,7,1.6,4.8,8.6,5.6,12.9,9.5,0,9.7,4.5,0,50,33.3,0,0,0,0,0,0,0,0,182,0,57,381,15,90,1.3,5.7,1,0,0,2.1,41.9,58.1,35.5,0,12.3,38,0,4.1,0.3,5.9,7.5,5.9,9,6.7,7.5,6.2,8.2,8.5,6.4,6.7,5.9,8.7,6.7,79.3,37.7,2,2,2,0,1674933.7,92381,135020,144485,1.7,4.5,11,12,8.5,58175.1,170868.6,443332.5,573955,428602.4,0.7,36,1,0,0,0,43.7,15.7,59.5,0,0,0,0,0,0,37.7,0,7.8,30,0,28.2,3.1,0,2.2,0,4.2,0,5.4,37.9,14.2,9.9,13.6,1,154,14,157,12,150,15,25.3,1.7,19.9,1.9,23,1.9,26,2,32.6,1.9,21,1.9,0,0,51,3,0,0,189,16,11,13.1,10,.,17,14.7,10.5,12.3,13,17.5,11,.,11.8,73.5,63.5,3.4,3.4,3.4,0,26.5,1.6,1.9,95.4,2.6,0,4.6,12,29.1,31.8,22.5,74.8,8.3,0,5.7,0,11.2,0,0,100,0,0,0,0,0,20.6,79.4,10.3,33548,37677,40382,47828,50423,44371,46191,67510,72243,67.3,71.5
"002901",230,56,174,0,4,136,86,2,0,0,2,24,100,24.3,0,1.7,59.1,37.4,0.9,0,0,0.9,10.4,3,113,334,317,340,305,320,316,340,274,310,268,267,267,232,4006,256,526,867,119,507,1464,2542,1690,7,14,0,59,60,2670,1196,4373,0,0,4140,32,0.8,1.8,1.7,1.4,0.4,0.4,1.8,0,0.4,0,20,18.8,0,0,0,0,0,0,0,4,1659,0.2,543,3674,14.8,29.9,1.5,66.7,0.2,0.3,0,1.5,36.5,63.5,42.2,12.7,6.4,21.6,13.1,3,0.1,2.8,8.3,7.9,8.5,7.6,8,7.9,8.5,6.8,7.7,6.7,6.7,6.7,5.8,75.7,269,28.6,10.1,8,60,15105243.3,1895148.2,789926.7,888842.7,8.8,54,59,87.9,59.4,385450,2589067,3176825.3,5023492.3,3930408.8,0,212.3,55.7,1,0,0,315.7,128,503.7,0,3,0,1,1,61.8,195.2,7,63.9,205.1,0,191.6,13.3,6.4,28.6,2,17.2,10,38,256.5,14.8,7.9,13.4,174.5,1606,93,1361,72,1659,98,223.4,11,380.9,17,242.9,12.2,253.3,14,274.4,15.6,333.1,15.4,0,0,335.8,15.6,467,33,2767,196,17.3,18.9,16.9,.,21.5,20.3,22.4,19.9,18.1,17.6,21.6,14.2,14.1,62.7,53.4,5.7,2,1.6,11.9,25.4,34.6,0,78.9,20.7,0.4,3.3,20.1,21.9,32.7,22.1,71.2,4.9,2.4,10.6,0.7,6.4,3.7,0.4,72.6,23,0,1.1,0.4,2.6,23.7,76.3,14.9,44032,47945,53845,57179,66191,56155,66295,77880,111107,62.3,65.8
"003801",21,1,20,0,3,2,15,0,1,0,0,3,100,4.8,0,14.3,9.5,71.4,0,4.8,0,0,14.3,0,28,78,80,80,60,63,66,66,68,61,44,39,39,39,811,49,41,75,60,41,407,404,273,0,19,1,15,134,140,502,846,0,0,730,0,0,6.2,3.9,5.5,1.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,248,1.2,37,623,5.9,61.9,16.5,17.3,0,2.3,0.1,1.8,50.2,49.8,33.7,5.1,6,9.2,5.1,7.4,0,3.5,9.6,9.9,9.9,7.4,7.8,8.1,8.1,8.4,7.5,5.4,4.8,4.8,4.8,95.2,50,10,4,3,7,2158080.1,515217.9,229615,280240,9,11,16,10,4,295304.9,465833.9,691851.1,487098.9,217991.3,2,34,14,0,0,0,67,22.6,96.6,0,0,0,1,4,3,42,0,6,44,0,47.3,1.2,0,0,0.7,0.7,0,8.8,44.8,19.6,3,7.7,22.6,361,26,438,30,310,28,66,3,63.8,3,63,3,68.8,3.5,87.8,4.4,75.2,4,0,0,72.5,3.9,254,19,414,33,13.9,14.6,11.1,.,18.4,22,21.3,21,19.4,19.8,18.8,13.4,12.5,69.4,51.8,10.4,4.1,3.1,7.2,23.4,23.4,4,68,28,0,18,22,32,20,8,94.6,2.5,0,0,1.5,1.5,0,8,84,6,0,0,2,0,12,88,16.2,32813,42403,43241,48709,54498,43174,51441,57404,93413,63.8,62.4
"003902",181,28,153,0,5,48,120,1,4,0,3,8,100,15.5,0,2.8,26.5,66.3,0.6,2.2,0,1.7,4.4,3,103,198,224,213,209,220,204,221,207,221,226,201,182,184,2816,200,168,694,148,178,1499,1317,988,25,24,1,38,191,647,1890,3062,3,0.1,3049,64,2.1,2.7,8.3,2.3,2.7,1.1,1.1,1.6,1,0.6,9.1,21.4,0,0,5.3,0,7.1,0,0,10,1331,0.8,436,2740,15.9,67.1,6.8,23,0.9,0.9,0,1.3,53.2,46.8,35.1,6.3,7.1,24.6,6,5.3,0.1,3.7,7,8,7.6,7.4,7.8,7.2,7.8,7.4,7.8,8,7.1,6.5,6.5,84.5,193.9,31.8,13.1,4,16.5,8960255.6,1719395.8,912320.2,408772,11,38,39,65,40.9,296390.8,1546565.8,1677679.5,3169797.5,2269822,5.1,153.8,34.9,0,0,0,242.8,139.7,399,3,0,0,0,1,6.2,182.7,4,35.2,158.7,2.8,128,11.6,18.2,9.5,12.6,12,1.8,22.3,185.3,12,7.7,12.7,60.4,1055,55,1127,55,1295,65,216.3,9.9,164.5,8.1,176.2,8,85,4,155.3,7.3,184,9,0,0,128.6,7.2,469,22,1337,60,19.2,20.5,19.9,.,17.8,21.9,20.3,22,21.3,21.2,20.4,21.3,22.3,60.9,48.6,8,3.3,1,4.1,35,15.1,2.6,79.3,18,0,5.7,19.6,20.1,33.5,21.1,66,6,9.4,4.9,6.5,6.2,0.9,0.5,94.2,3.2,0,0,0,2.1,18.1,81.9,14.5,27053,40700,43019,48765,55475,46218,54020,69732,102193,62.7,57.6
