REGION,R22C414R,R23C414R,R2DC414R,R2EC414R,R2GC414R,R2NC414R,R32C414R,R33C414R,R3DC414R,R3EC414R,R3GC414R,R3NC414R,R42C414R,R43C414R,R4DC414R,R4EC414R,R4GC414R,R4NC414R,RA2C414R,RA3C414R,RADC414R,RAEC414R,RAGC414R,RANC414R,RB2C414R,RB3C414R,RBDC414R,RBEC414R,RBGC414R,RBNC414R,RE2C414R,RE3C414R,REDC414R,REEC414R,REGC414R,RENC414R,RF2C414R,RF3C414R,RFDC414R,RFEC414R,RFGC414R,RFNC414R,RH2C414R,RH3C414R,RHDC414R,RHEC414R,RHGC414R,RHNC414R,RI2C414R,RI3C414R,RIDC414R,RIEC414R,RIGC414R,RINC414R,RL2C414R,RL3C414R,RLDC414R,RLEC414R,RLGC414R,RLNC414R,RM2C414R,RM3C414R,RMDC414R,RMEC414R,RMGC414R,RMNC414R,RR2C414R,RR3C414R,RRDC414R,RREC414R,RRGC414R,RRNC414R,RS2C414R,RS3C414R,RSDC414R,RSEC414R,RSGC414R,RSNC414R,RW2C414R,RW3C414R,RWDC414R,RWEC414R,RWGC414R,RWNC414R,R22C413R,R23C413R,R2DC413R,R2EC413R,R2GC413R,R2NC413R,R32C413R,R33C413R,R3DC413R,R3EC413R,R3GC413R,R3NC413R,R42C413R,R43C413R,R4DC413R,R4EC413R,R4GC413R,R4NC413R,RA2C413R,RA3C413R,RADC413R,RAEC413R,RAGC413R,RANC413R,RB2C413R,RB3C413R,RBDC413R,RBEC413R,RBGC413R,RBNC413R,RE2C413R,RE3C413R,REDC413R,REEC413R,REGC413R,RENC413R,RF2C413R,RF3C413R,RFDC413R,RFEC413R,RFGC413R,RFNC413R,RH2C413R,RH3C413R,RHDC413R,RHEC413R,RHGC413R,RHNC413R,RI2C413R,RI3C413R,RIDC413R,RIEC413R,RIGC413R,RINC413R,RL2C413R,RL3C413R,RLDC413R,RLEC413R,RLGC413R,RLNC413R,RM2C413R,RM3C413R,RMDC413R,RMEC413R,RMGC413R,RMNC413R,RR2C413R,RR3C413R,RRDC413R,RREC413R,RRGC413R,RRNC413R,RS2C413R,RS3C413R,RSDC413R,RSEC413R,RSGC413R,RSNC413R,RW2C413R,RW3C413R,RWDC413R,RWEC413R,RWGC413R,RWNC413R
'01,100,100,0,5.9,94.1,0,97.7,97.2,2.3,0,97.2,0.6,-1,-1,-1,-1,-1,-1,93.1,87.8,6.9,0.5,87.3,5.3,97.5,92.5,2.5,5,87.5,5,92.6,87.4,7.4,0.4,87,5.2,94.2,89.3,5.8,0.4,89,4.9,93,87.6,7,0.4,87.2,5.3,100,100,0,0,100,0,73.7,59.5,26.3,0.4,59.1,14.2,91.9,86.3,8.1,0.5,85.7,5.6,90.4,82.1,9.6,0.5,81.6,8.4,89.2,78.6,10.8,0.3,78.2,10.7,95.6,92.2,4.4,0.9,91.2,3.5,95.7,91.3,4.3,4.3,87,4.3,97,95.3,3,0,95.3,1.8,100,100,0,0,100,0,93.5,87.8,6.5,0.6,87.3,5.6,91.2,87.7,8.8,3.5,84.2,3.5,93.3,87.3,6.7,0.5,86.8,6,94.6,89.8,5.4,0.4,89.3,4.9,93.4,87.7,6.6,0.5,87.2,5.7,88.2,82.4,11.8,5.9,76.5,5.9,76.4,63.4,23.6,0.5,62.9,13,92.4,86,7.6,0.7,85.4,6.3,91.4,82.8,8.6,0.6,82.2,8.6,89.8,78.6,10.2,0.3,78.3,11.2,96.4,92,3.6,1.3,90.8,4.3
'02,94.9,91,5.1,1.3,89.7,3.8,97.7,95.5,2.3,0,95.5,2.3,-1,-1,-1,-1,-1,-1,90.2,86.7,9.8,1.5,85.2,3.5,87.8,84.3,12.2,0.4,83.8,3.5,86.3,82.1,13.7,1.8,80.3,4.2,92,88.8,8,1.4,87.4,3.2,88.5,84.6,11.5,1.7,83,3.9,94.7,89.5,5.3,5.3,84.2,5.3,66.7,58.3,33.3,0,58.3,8.3,88.5,84.8,11.5,1.7,83.1,3.8,86.4,81.8,13.6,2.1,79.7,4.6,81.8,72.3,18.2,0.4,71.9,9.5,95.4,93.1,4.6,1.4,91.8,2.3,93.7,92.4,6.3,0,92.4,1.3,94.2,94.2,5.8,1.4,92.8,0,100,80,0,0,80,20,90.4,86.7,9.6,1.6,85.1,3.7,89,86.3,11,1.8,84.5,2.7,87.6,83.4,12.4,1.9,81.5,4.2,91.8,88.9,8.2,1.3,87.5,2.9,88.7,84.5,11.3,1.7,82.8,4.2,84.2,78.9,15.8,0,78.9,5.3,69.2,67.3,30.8,0,67.3,1.9,89.1,84.7,10.9,1.9,82.8,4.4,85.8,80.8,14.2,2.3,78.5,5,84.9,76.4,15.1,0.3,76.1,8.5,95.9,93.5,4.1,1.5,92,2.4
'03,94.4,88.9,5.6,0,88.9,5.6,95.1,93.4,4.9,0,93.4,1.6,.,.,.,.,.,.,94.4,92,5.6,1.1,90.8,2.5,94,90.3,6,0.6,89.7,3.6,93.5,90.8,6.5,0.9,89.9,2.7,95.2,92.9,4.8,1,91.9,2.3,91.9,88.6,8.1,1.3,87.3,3.4,100,100,0,11.1,88.9,0,76.2,66.7,23.8,0,66.7,9.5,93.7,91,6.3,1.2,89.8,2.7,90,85.9,10,1.4,84.5,4.1,92.5,88.4,7.5,1,87.3,4.1,97.3,96,2.7,1.1,94.9,1.2,100,97.6,0,0,97.6,2.4,94.7,94.7,5.3,0,94.7,0,-1,-1,-1,-1,-1,-1,94.2,91.3,5.8,0.9,90.4,2.8,92.1,87,7.9,0,87,5.1,93.8,90.4,6.2,0.7,89.7,3.4,96,93.8,4,1,92.8,2.2,91.8,88.5,8.2,1.3,87.2,3.3,83.3,75,16.7,0,75,8.3,83,74.5,17,0,74.5,8.5,92.4,89,7.6,0.8,88.3,3.4,90.8,86.7,9.2,1,85.7,4.1,93,86.9,7,0,86.9,6,97,95,3,0.7,94.3,2
'04,94.8,92.7,5.2,0.5,92.1,2.2,98.3,96.3,1.7,0.1,96.2,2,89.5,86,10.5,0,86,3.5,93,88.5,7,0.6,87.8,4.6,89.5,84.3,10.5,0.7,83.6,5.2,90.8,86,9.2,0.7,85.3,4.8,94.3,90.7,5.7,0.4,90.3,3.6,91.6,85.7,8.4,0.6,85.1,5.9,88.8,85.6,11.2,0.4,85.2,3.2,69.1,50.6,30.9,0.5,50.1,18.5,91.8,86.3,8.2,0.9,85.4,5.5,88.9,80.4,11.1,0.9,79.5,8.5,87.1,73.9,12.9,0.4,73.5,13.2,96.6,93.9,3.4,0.9,93,2.7,96.3,93.8,3.7,0.8,93,2.5,97.8,95.1,2.2,0.1,95,2.7,96.5,90.6,3.5,0,90.6,5.9,92.9,88.1,7.1,0.7,87.4,4.7,89.1,83.9,10.9,0.6,83.3,5.2,91.4,86.3,8.6,0.8,85.5,5.1,94.1,90.5,5.9,0.4,90,3.6,91.3,85.2,8.7,0.7,84.4,6.2,91.8,87.6,8.2,1,86.6,4.1,69.9,50.2,30.1,0.5,49.7,19.7,91.7,85.9,8.3,1,84.9,5.9,89.1,80.8,10.9,1,79.9,8.3,87.1,74.8,12.9,0.6,74.2,12.3,96.8,94,3.2,0.9,93.1,2.8
'05,96.1,92.2,3.9,0,92.2,3.9,98.2,96.4,1.8,0.6,95.9,1.8,-1,-1,-1,-1,-1,-1,93.5,90.4,6.5,0.7,89.7,3.1,88.5,83.9,11.5,0.1,83.7,4.7,90.5,87.2,9.5,0.8,86.4,3.2,94.2,91.9,5.8,0.5,91.4,2.2,92,87.7,8,0.3,87.4,4.4,84.8,78.8,15.2,0,78.8,6.1,67,61.4,33,0,61.4,5.7,92.9,88.9,7.1,0.9,88,3.9,89.3,84,10.7,1,83,5.3,91.2,82.3,8.8,0.5,81.8,8.9,96.2,94.2,3.8,1.2,93.1,2,91.2,87.7,8.8,1.8,86,3.5,98.5,96.3,1.5,0.7,95.6,2.2,100,100,0,16.7,83.3,0,95.1,91.9,4.9,0.6,91.3,3.2,92.3,88.2,7.7,0.3,87.9,4.1,93.1,89.7,6.9,0.7,89.1,3.4,95.6,93.5,4.4,0.5,93,2.2,95.2,91,4.8,0.5,90.5,4.2,89.3,89.3,10.7,0,89.3,0,89.1,78.3,10.9,0,78.3,10.9,94.6,90.4,5.4,0.7,89.6,4.2,92.6,87.5,7.4,0.7,86.7,5.1,92.1,80.9,7.9,0.2,80.7,11.1,96.5,93.9,3.5,0.7,93.2,2.6
'06,93.8,91.2,6.2,2.2,89,2.6,99.2,97.1,0.8,0.4,96.7,2,100,88.9,0,0,88.9,11.1,94.7,91.3,5.3,1.7,89.6,3.4,88.5,84,11.5,2.2,81.8,4.6,91.1,87,8.9,2.8,84.3,4.1,95.8,93,4.2,0.8,92.2,2.8,93.3,88.4,6.7,2,86.4,4.9,100,96.4,0,0,96.4,3.6,81.5,67.1,18.5,0,67.1,14.4,93.6,89.6,6.4,2.5,87.2,3.9,90.6,84.7,9.4,2.5,82.1,5.9,90.7,81,9.3,1.1,80,9.7,96.4,94,3.6,1.4,92.5,2.4,96.1,93.8,3.9,1.9,91.9,2.3,98.2,97.4,1.8,0.4,96.9,0.9,100,100,0,0,100,0,94.2,91,5.8,1.5,89.6,3.2,89.4,86,10.6,1.8,84.2,3.4,90.6,87.1,9.4,2.4,84.7,3.5,95.9,93.4,4.1,0.8,92.6,2.5,92.7,88,7.3,1.9,86.1,4.7,92.7,89.1,7.3,1.8,87.3,3.6,84.1,73.6,15.9,0,73.6,10.6,92.7,88.8,7.3,2.1,86.7,3.9,90,84.2,10,2.5,81.7,5.8,88.9,80.4,11.1,0.8,79.6,8.4,95.8,93.2,4.2,1.2,92,2.6
'07,95.2,92.6,4.8,0.9,91.7,2.6,94.9,93.2,5.1,0.9,92.3,1.7,100,100,0,0,100,0,95.5,93.3,4.5,0.7,92.7,2.2,93.8,91.1,6.2,0.2,91,2.7,93.9,91.5,6.1,0.7,90.7,2.4,96.4,94.6,3.6,0.6,94.1,1.8,94.9,92,5.1,0.5,91.6,2.8,97.6,97.6,2.4,2.4,95.2,0,81.4,74.7,18.6,0,74.7,6.7,94.6,92.1,5.4,0.8,91.3,2.5,93.1,89.8,6.9,0.7,89,3.3,93.7,86.4,6.3,0.3,86.2,7.3,96.3,94.5,3.7,0.9,93.6,1.8,96.3,93.5,3.7,0.9,92.6,2.8,96.2,93.3,3.8,1,92.4,2.9,100,100,0,0,100,0,95.3,93.1,4.7,0.6,92.5,2.2,93.2,90.3,6.8,0.4,89.8,2.9,93.6,90.8,6.4,0.6,90.2,2.8,96.3,94.6,3.7,0.7,93.9,1.7,93.4,89.9,6.6,0.3,89.6,3.6,90,86.7,10,1.7,85,3.3,78.6,67.3,21.4,1,66.3,11.2,94.4,91.7,5.6,0.5,91.2,2.7,92.3,88.9,7.7,0.6,88.3,3.4,94.3,88.9,5.7,0,88.9,5.4,96.7,95.1,3.3,0.7,94.4,1.5
'08,95.7,94.6,4.3,0,94.6,1.1,100,100,0,0,100,0,-1,-1,-1,-1,-1,-1,96.7,95.4,3.3,1.3,94.1,1.3,94.9,93.3,5.1,0.7,92.6,1.6,95.6,94.1,4.4,1.3,92.8,1.5,97.1,96.2,2.9,1,95.2,1,97.9,95.7,2.1,1,94.7,2.2,92.9,92.9,7.1,3.6,89.3,0,94.4,91.5,5.6,0,91.5,2.8,96.3,94.7,3.7,1.6,93.1,1.6,95.1,93.2,4.9,1.5,91.6,1.9,94.8,91.2,5.2,0.2,91,3.7,97.1,96.2,2.9,1.7,94.5,1,98.4,96.7,1.6,0,96.7,1.6,100,100,0,0,100,0,-1,-1,-1,-1,-1,-1,97.3,95.7,2.7,0.9,94.8,1.6,95.7,94,4.3,0.6,93.4,1.6,96,94.2,4,1.2,93,1.8,97.6,96.4,2.4,0.9,95.5,1.2,97.8,95.5,2.2,0.5,95,2.2,89.7,89.7,10.3,0,89.7,0,90.2,88.5,9.8,1.6,86.9,1.6,97,95,3,1,94,2,94.9,92.9,5.1,1,91.9,2,95.3,91.9,4.7,0.4,91.5,3.4,97.8,96.3,2.2,1.2,95.1,1.5
'09,97.1,92.9,2.9,2.9,90,4.3,100,100,0,0,100,0,-1,-1,-1,-1,-1,-1,96.9,95.5,3.1,1.4,94,1.5,96.4,94.8,3.6,1.6,93.3,1.6,95.3,93.3,4.7,2.2,91.1,2,97.9,96.7,2.1,1.3,95.4,1.1,96.7,95.4,3.3,2.7,92.6,1.4,100,93.3,0,0,93.3,6.7,91.7,83.3,8.3,0,83.3,8.3,96.1,94.3,3.9,1.6,92.7,1.8,95.7,93.8,4.3,2.1,91.7,1.9,95.9,91.5,4.1,0,91.5,4.4,97,95.7,3,1,94.8,1.3,93.9,93.9,6.1,1.5,92.4,0,100,100,0,0,100,0,-1,-1,-1,-1,-1,-1,96.6,95.1,3.4,1.3,93.7,1.5,95.9,94.8,4.1,2.1,92.7,1,95.4,93.3,4.6,1.9,91.4,2.1,97,96,3,1.1,94.9,1,94.7,92.3,5.3,1.8,90.5,2.4,93.1,93.1,6.9,0,93.1,0,87.5,83.3,12.5,0,83.3,4.2,96.2,94.3,3.8,1.6,92.7,1.9,94.3,92.5,5.7,2.5,90,1.8,95,91.4,5,1,90.4,3.6,97.4,96,2.6,1.1,94.9,1.4
'10,94.9,90.8,5.1,0.3,90.5,4.1,97.6,94.3,2.4,0,94.3,3.4,98.6,97.1,1.4,0,97.1,1.4,93.3,88.1,6.7,0.4,87.7,5.2,89.9,83.2,10.1,0.4,82.7,6.8,90.7,84.2,9.3,0.4,83.8,6.4,94.5,90.4,5.5,0.3,90.2,4.1,91.5,84.8,8.5,0.3,84.5,6.7,90.8,86.2,9.2,0.9,85.3,4.6,77.5,66.5,22.5,0.1,66.4,10.9,92,85.8,8,0.5,85.2,6.3,89.3,80.4,10.7,0.5,79.8,8.9,88.7,76.6,11.3,0.3,76.3,12.1,96.4,93.5,3.6,0.5,93,2.9,95.4,91.6,4.6,0.9,90.7,3.8,97.5,94.4,2.5,0.1,94.3,3.1,87.3,85.7,12.7,0,85.7,1.6,93.6,88,6.4,0.5,87.5,5.6,90.1,83.5,9.9,0.5,83,6.6,91.7,84.7,8.3,0.5,84.2,6.9,94.8,90.3,5.2,0.3,90,4.5,91.9,83.9,8.1,0.4,83.5,8,93.4,87.9,6.6,0.3,87.6,5.5,80.3,66.8,19.7,0.2,66.5,13.5,92.4,85.7,7.6,0.6,85.1,6.7,90.5,80.6,9.5,0.6,80,9.9,89,77.3,11,0.4,76.9,11.7,96.8,94,3.2,0.6,93.4,2.9
