REGION,RE0BTA14R,RF0BTA14R,RM0BTA14R,RB0BTA14R,RI0BTA14R,R30BTA14R,RH0BTA14R,R20BTA14R,R40BTA14R,RW0BTA14R,RA0BTA14R,RE0BTE14R,RF0BTE14R,RM0BTE14R,RB0BTE14R,RI0BTE14R,R30BTE14R,RH0BTE14R,R20BTE14R,R40BTE14R,RW0BTE14R,RA0BTE14R,RE0BTM14R,RF0BTM14R,RM0BTM14R,RB0BTM14R,RI0BTM14R,R30BTM14R,RH0BTM14R,R20BTM14R,R40BTM14R,RW0BTM14R,RA0BTM14R,RE0BTS14R,RF0BTS14R,RM0BTS14R,RB0BTS14R,RI0BTS14R,R30BTS14R,RH0BTS14R,R20BTS14R,R40BTS14R,RW0BTS14R,RA0BTS14R,RE0BTC14R,RF0BTC14R,RM0BTC14R,RB0BTC14R,RI0BTC14R,R30BTC14R,RH0BTC14R,R20BTC14R,R40BTC14R,RW0BTC14R,RA0BTC14R,RE0BKA14R,RF0BKA14R,RM0BKA14R,RB0BKA14R,RI0BKA14R,R30BKA14R,RH0BKA14R,R20BKA14R,R40BKA14R,RW0BKA14R,RA0BKA14R,RE0BKE14R,RF0BKE14R,RM0BKE14R,RB0BKE14R,RI0BKE14R,R30BKE14R,RH0BKE14R,R20BKE14R,R40BKE14R,RW0BKE14R,RA0BKE14R,RE0BKM14R,RF0BKM14R,RM0BKM14R,RB0BKM14R,RI0BKM14R,R30BKM14R,RH0BKM14R,R20BKM14R,R40BKM14R,RW0BKM14R,RA0BKM14R,RE0BKS14R,RF0BKS14R,RM0BKS14R,RB0BKS14R,RI0BKS14R,R30BKS14R,RH0BKS14R,R20BKS14R,R40BKS14R,RW0BKS14R,RA0BKS14R,RE0BKC14R,RF0BKC14R,RM0BKC14R,RB0BKC14R,RI0BKC14R,R30BKC14R,RH0BKC14R,R20BKC14R,R40BKC14R,RW0BKC14R,RA0BKC14R,RA0BTA13R,RB0BTA13R,RH0BTA13R,RW0BTA13R,RI0BTA13R,R20BTA13R,R30BTA13R,R40BTA13R,RF0BTA13R,RM0BTA13R,RE0BTA13R,RA0BTE13R,RB0BTE13R,RH0BTE13R,RW0BTE13R,RI0BTE13R,R20BTE13R,R30BTE13R,R40BTE13R,RF0BTE13R,RM0BTE13R,RE0BTE13R,RA0BTM13R,RB0BTM13R,RH0BTM13R,RW0BTM13R,RI0BTM13R,R20BTM13R,R30BTM13R,R40BTM13R,RF0BTM13R,RM0BTM13R,RE0BTM13R,RA0BTC13R,RB0BTC13R,RH0BTC13R,RW0BTC13R,RI0BTC13R,R20BTC13R,R30BTC13R,R40BTC13R,RF0BTC13R,RM0BTC13R,RE0BTC13R,RA0BTS13R,RB0BTS13R,RH0BTS13R,RW0BTS13R,RI0BTS13R,R20BTS13R,R30BTS13R,R40BTS13R,RF0BTS13R,RM0BTS13R,RE0BTS13R,RA0BKA13R,RB0BKA13R,RH0BKA13R,RW0BKA13R,RI0BKA13R,R20BKA13R,R30BKA13R,R40BKA13R,RF0BKA13R,RM0BKA13R,RE0BKA13R,RA0BKE13R,RB0BKE13R,RH0BKE13R,RW0BKE13R,RI0BKE13R,R20BKE13R,R30BKE13R,R40BKE13R,RF0BKE13R,RM0BKE13R,RE0BKE13R,RA0BKM13R,RB0BKM13R,RH0BKM13R,RW0BKM13R,RI0BKM13R,R20BKM13R,R30BKM13R,R40BKM13R,RF0BKM13R,RM0BKM13R,RE0BKM13R,RA0BKC13R,RB0BKC13R,RH0BKC13R,RW0BKC13R,RI0BKC13R,R20BKC13R,R30BKC13R,R40BKC13R,RF0BKC13R,RM0BKC13R,RE0BKC13R,RA0BKS13R,RB0BKS13R,RH0BKS13R,RW0BKS13R,RI0BKS13R,R20BKS13R,R30BKS13R,R40BKS13R,RF0BKS13R,RM0BKS13R,RE0BKS13R
'01,23.9,29.4,23.1,42.4,22.6,77.7,25.6,36.8,42.9,38.9,26.2,15.1,19.7,14.1,29.4,19.4,64.3,16.3,31.6,28.6,29.3,16.9,3.6,4.2,4.7,10.6,6.5,35.1,4.1,10.5,28.6,9.5,4.5,13.5,16.3,13.9,28.2,16.1,63.4,14.5,28.9,42.9,26.5,15.1,6.3,7.8,6.9,10.6,0,50.3,6.9,15.8,28.6,13.9,7.4,32.9,34.5,35.2,27.8,71.4,58.8,33.9,64.3,-1,47,34.8,11.6,16,16.7,24,50,54,14.3,41.7,-1,41.6,16.3,18.7,20.5,29.1,22.2,-1,52.2,22.5,-1,-1,43.6,25,8.8,10.5,14.4,16.7,20,39.9,10.7,45.5,-1,32.3,12.3,13.6,14,25.4,11.1,.,47.3,17.2,66.7,-1,38.4,19.4,24.3,44.8,23.6,37.7,27.3,37.8,76,60,27.9,20.8,22.3,14.8,35.6,14.2,28.3,6.1,28.9,57.4,40,17.6,12.1,13.2,3.9,16.1,3.6,7,9.1,11.1,31.2,40,3.8,4,3.1,6.6,19.5,6.1,12.8,12.1,11.1,45.3,50,7.2,6,5.6,14.1,34.5,13.5,25,15.2,31.1,62.2,30,15.9,12.4,12.6,31.9,35.9,31.2,36.2,44.4,64.7,54.2,66.7,31,33.1,30.3,16,32.3,14.2,30.7,-1,69.2,49.7,-1,15.4,16.8,11.2,23.6,35.7,21.5,40.8,-1,100,40.4,-1,21.8,25.3,16,18.8,35.3,16.6,36.4,-1,20,42.4,40,12.9,25.7,13,11.6,16.7,10.1,27.5,20,50,35.7,-1,9.8,13.8,7.9
'02,8.9,15.8,11.1,9.1,16.7,32.5,10.8,19.7,26.7,20.4,13.5,5.4,10.6,6.2,5.7,12.5,14.3,6.8,13.6,13.3,12.8,8.4,2.1,3.9,3.4,2.7,4.2,13.3,2.6,4.1,6.7,6.2,3.7,4,7.7,5.3,4.9,8.3,23.2,4.6,9.5,20,11,6.5,1.8,3.7,3.2,2.9,6.3,14.8,2.4,5.4,6.7,5.8,3.4,19.8,35,35.5,37.8,50,60.6,22.7,48.3,-1,51.6,35.2,18.2,35.3,35.5,34.8,33.3,48.3,22.9,55,-1,53.2,35.3,16.9,37,36.9,45.5,-1,81.5,21.6,66.7,-1,47.9,36.9,10.9,24.8,26.6,20,-1,40.4,13.5,35.7,-1,38.6,25.5,21.1,34.3,39.3,16.7,-1,60,19.6,50,-1,53.1,36.7,13.2,9.6,10.4,20.6,17.2,16.9,32.6,0,15.3,11.1,8.8,8.5,5.8,6.7,13.3,10.3,12.8,20.5,0,10.4,6.7,5.7,3.5,2.3,2.5,5.8,6.9,5.4,14.7,0,3.7,3.4,2,3.3,1.3,2.5,5.6,3.4,4.1,10.5,0,3.5,3.2,1.8,6.2,4.1,4.4,10.6,13.8,10.1,22.1,0,6.6,5.8,4,36.3,23.7,24.7,50.2,100,72,58.1,.,34.8,38.3,23,36.3,21.7,22.9,52.7,-1,73.7,56.4,.,36.9,35.5,20.1,36.6,22.2,23.8,45.9,-1,62.5,75,.,33.5,39.9,15.8,31,0,19,42,-1,50,70,.,28.3,34,23,31.9,25,19.2,43.1,-1,46.7,57.1,.,29.3,34.7,15.5
'03,6.6,14,10.1,5.6,15.4,51.5,8.3,14.1,-1,16.2,12.1,3.9,9.5,5.7,3.5,15.4,25.2,5.1,7.8,-1,10.7,7.6,1,2.3,2.4,0.3,0,30.1,1.4,0,-1,2.8,2.3,3.5,6.7,4.8,3.4,15.4,26.2,4.1,12.5,-1,7.2,5.8,0.9,1.8,3.1,0.3,7.7,20.4,1.7,1.6,-1,3.1,2.4,17.8,26.2,24.8,14.3,-1,47.2,20,33.3,.,26.7,25.6,14.9,25.6,25.7,13.6,-1,42.3,20.8,40,.,27.2,25.7,25,32,28.6,-1,.,45.2,11.9,.,.,35.1,30.3,4,12.8,12,4.8,-1,29.6,8.9,0,.,13.8,12.5,20,33.3,16,-1,-1,42.9,8,-1,.,24.7,22.5,11.3,7,8,14.9,9.5,11.1,37,-1,13.1,9.5,5.7,6.7,4.9,4.7,8.9,4.8,7.9,22.2,-1,8.1,5.5,3.1,2.1,0.2,1.3,3.1,0,1.6,14.8,-1,2.1,2.2,1,1.9,0.2,1.3,2.6,0,4.8,13,-1,2,1.8,0.7,6.1,4.7,4.7,7.7,4.8,7.9,16.7,-1,7,5.3,3.1,25.2,8.7,16.9,29.3,-1,57.1,45,.,24.9,25.6,15.6,26.5,9.4,16.3,31.3,-1,60,50,.,27.4,25.1,15.4,17.6,-1,7.5,20.2,.,-1,31.3,.,17.9,17.3,10.3,29.9,-1,28.2,22.9,.,-1,64.3,.,27.7,32.3,36.8,14,9.7,8.5,17.6,-1,0,27.8,.,12.7,15.7,3.3
'04,19.8,27.8,21.9,16,17.6,54.3,21.5,29.6,27.9,28.2,24.8,11.5,18.3,12.4,10.8,11.4,35.1,12.2,19.5,21.5,17.9,15.3,4,6.6,7,2.6,2.9,24.3,4.5,9,7.6,8.7,6.8,11.6,17.3,14.5,9.9,10.6,40.7,12.2,21,15.1,19.1,15.9,4.6,7,7,3.1,2.9,25.5,4.8,9.4,7,8.3,7,37.1,53.5,56.9,27.6,41.9,74.4,42.4,67.2,47.9,71.2,55,23.6,48.2,49.3,24,35.7,71.6,27.8,66.9,32.4,69.4,48.7,39.8,57.9,63.1,34.2,50,75.8,41.8,69.7,61.5,70,60.6,23.5,43.6,49.7,22.1,38.5,65.6,27.6,58,23.1,63.3,46.4,25.2,45.8,55.4,24.1,35.7,67.6,26.4,67.1,41.7,65.6,50.7,23.9,14.4,21,27.3,15.6,26.3,52.7,25.5,26.9,20.9,19.6,14.2,9.4,11.4,17,9.2,17.3,32.8,17,17,11.5,10.8,6.3,2.6,4.3,8,3.9,7.1,21.6,10.3,6.4,6.2,4,6.6,2.6,4.7,7.7,2.8,7.6,23.8,7.9,6.6,6.6,4.6,15,8.5,11.5,18.5,10.1,18.3,39.4,18.8,16.3,13.8,11,54.5,26.6,41.6,71.2,42,65.9,71.9,50,52.6,56.9,36.4,49.7,24.3,28.4,71,38.5,63.4,70.1,53.6,48.7,51.2,24.1,56.4,32.9,38,65.7,45.5,57.1,73,23.5,53,59.7,35.5,52.4,27.4,30.3,66.1,25,60.8,68.8,46.2,48.1,56.7,29,46.6,23.2,27.7,63,42.1,58.3,62.8,25.8,43.4,50.2,23.4
'05,5.7,10.2,6.9,5.1,6.3,27.1,9.9,14.2,0,8.6,8.5,3.4,6.5,3.9,2.7,6.3,15.7,5.6,11,0,5.5,5.2,0.5,1.5,1.2,0.4,0,5.1,1.2,3.9,0,1.6,1.4,2.4,4,3.4,2.5,1.6,15.1,4.7,6.5,0,3.2,3.7,0.9,1.8,1.7,0.7,0,9.6,1.3,1.3,0,1.9,1.7,23.1,31.4,39.7,10.9,-1,37.8,31.6,40.9,.,41.9,34.9,20.5,33,40.1,9.5,-1,44.2,21.8,47.1,.,44.2,35.8,0,17.1,38.8,0,.,35.3,10.5,33.3,.,32.2,27.3,12.9,27.1,34.1,14.9,-1,44,18.9,30,.,37.1,30.3,10.9,15.8,36,5.3,.,31.3,19,-1,.,29.1,25.5,7.6,5.7,8.5,7.1,6.7,12.9,28.4,0,9.2,6,5.6,4.6,3.6,5.1,4.4,3.3,7.3,15.5,0,5.8,3.3,3.5,1.1,0.3,0.8,1.5,0,0.8,3,0,1.2,1,0.5,1.2,0.9,0.8,1.2,1.7,2.4,4.1,0,1.6,0.8,0.7,3.2,2.1,3.4,3,1.7,4,16.6,0,3.6,2.8,2.1,30.9,9.8,28.8,40.9,-1,31.3,27.4,.,29.4,33.2,15.8,29.9,6.8,20,42.5,-1,22.2,30.4,.,30.7,28.5,12.3,29.9,10,18.2,30.2,.,-1,55.6,.,23.8,37,16.7,27.6,3.7,18.2,39.1,-1,-1,33.3,.,22,39,12.1,33.3,15,34,40.4,-1,60,28.6,.,33.7,32.9,19.6
'06,10.6,24.1,19.2,7.7,19,61.1,17.8,23.4,22.7,24.4,21.6,5.4,13.8,9,4.6,12.1,35,8.6,13.3,13.6,13,11.4,2.6,7.1,7.3,2,6.9,33.4,4.7,7,0,8.4,7.2,6.5,15.3,12.7,4.9,12.1,41.7,11,15,18.2,15.9,13.9,2.2,6.9,6.9,1.6,5.2,31.2,4.3,9.8,0,8.1,6.9,38.7,59.7,61.9,36.2,50,80.8,49.7,70,40,63.8,60.7,31.1,57.8,55.5,35.8,42.9,79.8,35.8,77.2,-1,62.1,56.9,27.2,57.2,58.3,37.8,50,74.5,36.1,66.7,.,61.7,57.8,26,49.9,56.4,28.9,42.9,71.4,35.6,59.4,-1,58.1,52.9,30.9,56.4,62.1,32.4,33.3,72.1,40.1,59.5,.,63.5,59.3,19.9,6.9,16.9,22.3,13.8,22.3,54.1,9.5,22.4,17.5,10.2,10,4.1,7.8,11.3,5.5,12.1,31.2,4.8,12.3,7.8,4.9,7,2.3,4.7,7.9,4.6,8.9,33.8,4.8,7.1,6.9,2.6,6.3,1.5,4.4,7,3.7,8.4,33.8,0,6.4,6.2,2.2,12.3,4.1,10.3,13.7,11,14.5,38.4,0,13.3,11.3,5.9,61,36.5,48.2,65,40,68.9,80.8,-1,59.2,63.3,36.9,58.2,35.5,37.2,63.5,50,75,81.6,-1,58.1,58.2,28.3,60.3,39.2,39.6,64.7,20,73.2,75.5,-1,58.7,61.8,30.2,58.9,48.6,38.3,62.4,-1,69.2,74.8,.,53.7,64.3,21.2,53.9,38.7,37.9,58.4,25,58.2,74,.,51.3,56.9,26.1
'07,5.7,11.6,8.2,5,7.7,29.3,9.7,10.8,12.5,11,9.8,3.3,7.5,4.8,3.2,1.1,18.4,5,7.3,6.3,7.3,6.1,0.7,1.9,1.9,0.6,0,9.6,1.5,2.3,6.3,2.3,1.9,2.8,5.3,4.3,2.9,5.5,19.2,4.7,5.6,6.3,5.1,4.8,1.1,2.4,2.4,0.8,1.1,11.7,2,3,12.5,2.9,2.4,37.6,40.1,45.8,18.2,71.4,58.6,42.7,41.3,-1,45,42.5,27.5,37.8,41.9,19.5,-1,50,25.5,48.4,-1,45.2,39.5,46.8,43.4,48.3,28.6,.,60.9,36.6,70,-1,47.7,45.9,23.6,29.3,39,11.1,60,47.8,25.8,41.7,-1,39.1,33.8,25.9,30.5,42.8,16.1,-1,35.7,25.8,53.8,-1,41.2,36.9,9.3,3.8,9.1,10.7,7.4,7.6,31.8,8.3,10.9,7.8,5.3,5.5,2.4,4.1,6.7,5.3,4.8,19.9,8.3,6.9,4.1,2.7,2.1,0.8,1.5,2.5,3.2,2.8,13.6,0,2.1,2.2,1,2.4,0.9,1.9,2.8,2.1,3,15.3,0,2.5,2.3,1,4.2,1.7,4,4.8,4.3,4.4,18.2,0,4.6,3.8,2.2,43.8,22.7,41.6,45.4,71.4,42.4,65.3,-1,41.7,46.5,36.5,42.4,23.9,35.1,45,80,42.9,57.4,-1,39.4,47.2,31,41.3,17.2,36.2,42.9,-1,50,56.3,.,38.7,43.6,32.3,37.8,14.7,23.8,41,-1,61.5,52.8,.,30.5,45.4,21,34.6,25,30.1,35.1,-1,47.4,53.5,.,30,39.8,28.2
'08,5.3,10.4,7.1,4.3,13.6,34.3,9.2,7.9,0,9.6,8.7,3.1,7.7,4.6,2.9,9.1,27.1,4.3,7.9,0,7.3,6.1,0.6,0.9,1.4,0.2,1.5,5.7,1.4,2,0,1.2,1.1,1.8,3,3.1,0.9,10.6,15.7,3.3,2.5,0,3.4,3,1.4,2.1,1.8,0.9,4.5,10,2.1,2.5,0,2,1.9,37.7,48.9,50.6,20.3,33.3,54.2,49.1,62.5,.,54.1,49.6,33.6,51.8,51.2,23.3,50,47.4,31.4,56.3,.,59.1,51.6,36.4,43.3,60.8,-1,-1,-1,35.3,-1,.,57.7,54.3,20.6,26,35.1,23.1,0,27.3,22.5,60,.,34.5,30.7,9.3,14.9,30.3,0,-1,42.9,16,20,.,26.7,22.1,8.1,3.4,9.6,9.2,9.7,7.9,24.1,0,9.5,6.8,5.1,5.2,2.7,3.7,6.3,4.8,7.3,16.7,0,6.6,3.9,2.8,1.5,0.4,1.7,1.8,0,1.2,9.3,0,1.7,1.3,0.9,1.3,0.4,0.9,1.6,0,0.6,7.4,0,1.2,1.3,0.5,3.2,1.1,3.7,3.6,8.1,5.5,5.6,0,3.4,3,1.9,47.1,22.2,32.1,53.3,50,76.9,61.5,.,46.9,47.5,29.3,54,23.8,26.2,61.7,-1,75,55.6,.,54.7,53.1,29.8,43.5,16.7,31.6,46.1,.,-1,80,.,40.7,46.9,26.5,31.2,28.6,20,32.4,.,-1,-1,.,16.3,44,22.2,34.2,27.8,14.3,40.3,20,33.3,-1,.,28.3,40.5,15.7
'09,10.2,19.5,14.9,16.7,10,51.3,13.8,20.5,0,17.6,17.2,5.7,13.4,7.5,10.5,5,30.3,7.4,12.3,0,11,10.4,3.3,5.6,5.2,6.7,5,14.5,3.5,9,0,5.6,5.4,6.5,12.1,10.3,10.2,5,31.6,9.7,11.5,0,11.5,11.2,3.2,6.3,5.7,5.1,1.7,25,4.2,8.2,0,6.4,6,35.7,45.4,44.3,40.3,16.7,48.7,35.3,52,.,47.8,44.9,39.2,47.9,47.9,53.8,-1,43.5,40.5,46.7,.,49.4,47.9,30.7,37.2,37.9,16,-1,36.4,27.5,54.5,.,42.5,37.5,24,23.8,31.2,31.6,-1,33.3,17.4,28.6,.,29.2,27.2,28.8,34,38.6,42.1,-1,42.1,25.5,20,.,38,36.2,16.3,14.2,14.9,16.2,14.8,20.2,47.2,16.7,18.1,14.7,10.6,10.8,9.7,7.7,11.4,7.4,13.2,34.7,0,13.2,8.6,5.7,4.9,4.6,3.8,5,1.9,6.2,20.8,0,4.9,4.9,2.4,4.9,4.8,3.9,4.8,1.9,7,22.2,0,4.8,4.9,2.5,10.8,10.5,10.2,10.5,7.4,9.3,37.5,16.7,11.4,10.3,6.5,45,37.7,40.1,47.6,12.5,46.2,47.1,-1,45.7,44.2,28.5,45.6,41.7,38.1,48,-1,47.1,48,.,44.6,47.1,28.8,46.5,41.2,39,49.7,-1,37.5,46.7,.,41.4,51.2,32,32.8,27.8,16.7,38.1,-1,22.2,37.5,.,29.6,35.7,13.7,31.5,25.6,22.5,34.7,-1,33.3,37,-1,27.8,35.2,16.9
'10,21.7,33.1,25,18.3,27.6,62.5,24.6,29.5,30.5,33.9,29,14,23.4,15.5,12.9,16.7,43.9,15.4,19.9,21.9,23.3,19.5,5.1,8.8,8.8,3.5,8.4,31.3,5.9,8.8,10.6,11,8.8,12.5,19.2,15.8,10.6,15.6,45.7,13.8,19.6,20.5,20.4,17.5,6.2,9.3,8.9,4.9,9.6,31.8,6.6,9.5,15.2,10.3,9.1,35.7,54.7,58.8,28.1,60.5,78.8,40,67.1,56.5,70.5,56.5,21.4,47.7,50.1,24.3,54.5,73.1,23.7,61.6,39.4,65.8,48.7,37.9,56.5,62.3,41.6,56.9,73.3,37.7,67.9,56.3,68.2,59.4,21.4,44.5,51.9,21.2,40.4,71.7,23,61.5,32.3,64.3,47.8,24.5,44.8,56.2,20.3,31,68.4,26.1,58.7,47.8,65.8,50.4,26.7,16.1,22.3,31.6,23.7,28.7,60.1,27,30.4,23,20.2,18.3,12.3,14.2,21.7,16.6,20.7,42.5,16.1,22.2,14.4,13.4,7.4,2.9,4.8,9.3,7.3,9.5,26.4,6.6,7.5,7.2,4.4,8,3.7,5.6,9.5,7.5,9.3,28.4,10.9,8.2,7.8,5.3,16.1,8.2,12.3,19.6,12.3,18.4,44.8,18.2,17.6,14.6,11.2,56.8,28.1,40.3,70.2,50,68.4,77.4,59.5,54.7,59.6,36.2,48.7,21.2,24.1,66.1,38.5,63.6,72.2,45.5,47.5,50.5,21.2,58.6,34.5,37.9,67.6,37.5,71.4,71.8,88.9,55.6,61.7,37.7,54,24.7,28.8,66.6,30.6,70.9,72.2,53.3,48.4,59.9,28.6,49.6,25.8,24.6,63.9,39.5,62.4,68.8,28,45.9,54,22.9
