REGION,RA0GP14R,RB0GP14R,RH0GP14R,RW0GP14R,RI0GP14R,R30GP14R,R40GP14R,R20GP14R,RM0GP14R,RF0GP14R,RE0GP14R,RS0GP14R,RL0GP14R,RR0GP14R,RA0GV14R,RB0GV14R,RH0GV14R,RW0GV14R,RI0GV14R,R30GV14R,R40GV14R,R20GV14R,RM0GV14R,RF0GV14R,RE0GV14R,RS0GV14R,RL0GV14R,RR0GV14R,RACRM14R,RACRR14R,RACRB14R,RICRM14R,RICRR14R,RICRB14R,R4CRM14R,R4CRR14R,R4CRB14R,RBCRM14R,RBCRR14R,RBCRB14R,RHCRM14R,RHCRR14R,RHCRB14R,RWCRM14R,RWCRR14R,RWCRB14R,R2CRM14R,R2CRR14R,R2CRB14R,R3CRM14R,R3CRR14R,R3CRB14R,RMCRM14R,RMCRR14R,RMCRB14R,RFCRM14R,RFCRR14R,RFCRB14R,RSCRM14R,RSCRR14R,RSCRB14R,RECRM14R,RECRR14R,RECRB14R,RLCRM14R,RLCRR14R,RLCRB14R,RRCRM14R,RRCRR14R,RRCRB14R,RACRM13R,RACRR13R,RACRB13R,RICRM13R,RICRR13R,RICRB13R,R4CRM13R,R4CRR13R,R4CRB13R,RBCRM13R,RBCRR13R,RBCRB13R,RHCRM13R,RHCRR13R,RHCRB13R,RWCRM13R,RWCRR13R,RWCRB13R,R2CRM13R,R2CRR13R,R2CRB13R,R3CRM13R,R3CRR13R,R3CRB13R,RMCRM13R,RMCRR13R,RMCRB13R,RFCRM13R,RFCRR13R,RFCRB13R,RSCRM13R,RSCRR13R,RSCRB13R,RECRM13R,RECRR13R,RECRB13R,RLCRM13R,RLCRR13R,RLCRB13R,RRCRM13R,RRCRR13R,RRCRB13R
'01,83.3,89.2,83.1,87.6,63.6,98.2,-1,84.2,81.6,85,82.1,60.4,61.7,75.5,68,0.1,66,1.3,0,0.5,-1,0.1,33.4,34.6,54.7,4.2,3.3,30.8,63,60,46,11,33,0,-1,-1,-1,51,63,43,62,59,46,75,74,63,65,65,53,93,85,82,64,54,43,62,66,49,13,11,5,61,57,43,32,9,6,43,41,24,70,56,48,85,54,54,83,67,67,64,71,61,70,56,47,79,73,65,83,72,72,93,83,80,71,50,44,69,62,51,13,7,3,69,53,45,38,8,6,51,38,25
'02,75.4,61.8,74.2,80.6,77.8,82.5,80,70.9,73.2,77.7,71.2,48.9,51.4,62.2,48.1,0.9,35.5,10.7,0.1,0.5,0,0.3,24.3,23.8,24,4.2,0.3,21.7,60,68,49,73,87,67,-1,-1,-1,52,62,39,55,65,43,74,75,62,79,71,57,82,78,70,61,60,45,59,75,52,11,17,6,52,60,39,25,0,0,35,51,23,66,62,50,67,55,45,50,100,50,59,58,42,61,59,45,78,70,63,79,74,63,78,75,61,67,57,47,64,69,52,17,16,7,58,56,42,45,5,5,38,42,22
'03,80.3,66.3,76.5,86.9,100,90.2,.,82.1,79.7,80.9,72.5,64,46.4,67.7,60.3,4.8,27.1,27.1,0.2,0.7,.,0.5,31.7,28.7,23,6.1,0.4,22.6,62,65,49,57,71,57,.,.,.,42,50,30,53,59,40,74,72,60,68,80,50,86,80,76,62,57,45,62,72,54,14,14,3,49,54,34,25,5,5,33,46,21,67,62,50,100,71,71,-1,-1,-1,45,50,30,60,57,42,80,71,63,71,71,65,79,60,60,68,57,48,66,67,53,18,11,4,56,51,37,18,0,0,39,43,23
'04,78.9,69.3,76.7,85.3,73.6,91.3,64.1,82.7,76.4,81.4,73.7,44.3,41.4,64.3,43.5,8.2,20.5,11.3,0.1,2.8,0,0.6,21.7,21.8,21.4,2.7,0.6,16.9,69,68,56,67,66,53,65,65,52,53,56,39,65,62,48,81,79,70,77,78,67,89,83,79,71,63,54,68,73,57,20,19,8,61,58,44,31,6,4,45,47,27,76,65,57,74,57,50,73,63,59,63,53,41,73,59,51,85,77,71,83,77,69,91,80,77,77,60,55,75,69,60,24,16,9,70,55,46,38,6,5,56,44,31
'05,79.2,65.2,79.1,85.2,69.2,89.2,-1,87.3,77.1,81.6,72.6,62.7,64.9,68.3,52.6,10.8,7,32.3,0.2,1.5,-1,0.8,27.2,25.4,23.2,7.3,0.6,20.1,67,64,51,48,71,47,-1,-1,-1,52,47,32,69,62,49,72,72,60,69,72,62,83,75,69,66,58,48,67,71,55,18,16,5,58,53,38,53,22,18,44,45,27,73,59,51,68,46,42,40,20,20,62,46,35,71,50,43,78,67,60,75,72,68,90,69,67,73,52,46,73,66,56,19,12,5,66,49,40,67,17,17,53,40,29
'06,77.6,58,72.5,82.9,72.9,95,66.7,77.6,75.5,79.7,69.1,50.3,39.2,59.2,43,3.7,11.4,26.2,0.2,0.7,0,0.7,21.3,21.8,17.2,4,0.4,14.6,68,70,56,67,70,59,100,67,67,45,52,31,59,63,47,74,75,64,70,74,58,93,82,81,69,65,55,67,75,58,19,21,11,54,57,39,26,10,7,38,47,25,76,67,59,80,69,57,70,70,50,57,49,36,69,59,49,81,73,66,75,73,63,93,83,80,77,63,57,74,72,61,26,18,9,66,53,43,34,7,5,48,43,27
'07,81.3,69.5,75.2,87.2,70.7,82.6,85.7,83.2,80,82.7,75,60.9,42.8,69.4,58.6,8.9,11.8,36.1,0.2,0.4,0,1.2,30.7,27.9,26.5,5.6,0.6,21.5,65,65,51,76,50,47,83,83,67,48,52,34,58,60,43,72,71,59,64,69,51,77,74,66,66,58,47,65,73,55,18,16,7,57,57,41,23,8,2,39,44,23,73,63,54,80,71,61,-1,-1,-1,55,50,35,69,53,44,78,70,62,71,59,49,85,80,76,73,57,50,72,69,57,22,18,9,64,53,42,29,4,0,50,44,28
'08,89,84.5,85.4,92.2,96,87.5,-1,82.2,88.4,89.7,86.6,79.8,71.4,82.8,78.6,16.8,13.1,45.5,0.7,0.6,-1,2,40.3,38.3,41.1,10.1,1.3,30,65,66,51,78,71,57,-1,-1,-1,47,53,32,61,54,41,72,74,60,68,72,53,83,57,57,65,61,48,64,71,54,19,22,5,56,55,39,36,3,3,40,48,25,70,64,53,59,55,36,-1,-1,-1,52,52,36,70,55,46,76,70,61,62,71,49,79,79,78,71,57,50,69,71,57,17,14,3,62,55,43,34,9,10,43,43,26
'09,85.4,77.9,83.2,87.4,75.9,100,-1,77.4,85.4,85.4,81.7,73.3,61.9,77.3,63.5,4.2,14.9,41.7,0.7,0.7,-1,1.3,33.8,29.6,29.8,8.3,0.5,25,68,68,54,64,58,39,.,.,.,43,47,28,59,62,46,73,72,59,71,67,50,91,84,78,70,61,52,65,75,56,18,22,6,57,58,41,31,18,6,36,46,22,74,65,56,91,73,68,-1,-1,-1,54,44,31,64,56,44,79,70,62,72,63,55,93,85,81,76,59,53,72,71,60,30,22,12,65,53,44,32,5,5,43,41,24
'10,78.2,66.9,72,88,81.2,92.5,83.8,84.1,76.1,80.2,70.3,49.3,45.8,58.8,45.1,7.4,16.6,17.3,0.3,2.5,0.1,0.9,22.2,22.9,19.9,3.2,1.2,14.4,70,71,58,71,71,58,69,84,61,54,59,41,63,64,48,81,81,72,76,78,65,89,84,80,72,66,56,68,75,59,22,23,11,60,61,44,39,22,13,43,48,27,77,68,59,84,72,66,78,71,67,63,55,43,71,60,49,86,79,73,81,75,67,91,84,81,78,63,57,75,72,62,26,21,12,68,57,46,46,19,13,53,45,30
'11,76.3,62.1,70.2,82.5,75.8,88.2,75.6,77.4,74.1,78.5,68,44.5,39.6,57.8,36.3,3.5,11.2,19,0.3,1.6,0.1,0.7,18.4,17.9,13.5,2.4,0.6,12.3,69,71,57,70,71,55,64,68,54,48,57,36,61,63,46,77,77,67,72,75,62,85,79,72,71,66,56,67,75,58,20,21,9,57,58,42,33,22,12,40,49,26,76,69,60,79,63,57,69,56,51,59,58,43,68,60,49,83,76,69,81,76,69,88,76,72,78,64,58,74,74,63,29,19,11,65,57,46,44,20,14,51,47,31
'12,71.4,57.1,70,77.9,82.4,86.3,51.3,72.9,69.3,73.6,65.2,43.4,42.5,55.7,41.9,6.6,12.1,21,0.4,0.6,0.1,1.1,21.3,20.6,19.5,4.2,0.5,16.2,64,66,50,69,72,56,63,60,50,45,56,34,59,63,44,73,72,60,68,67,55,78,76,68,65,61,48,63,71,53,18,19,7,54,58,38,24,7,5,37,47,23,71,60,51,60,61,46,48,33,29,56,47,35,66,55,45,79,68,61,80,70,62,86,66,61,72,54,48,70,67,55,20,13,6,63,52,42,26,7,2,48,40,26
'13,79,65.2,73.7,84.5,75.8,91.8,81.5,83.6,76.7,81.6,69.8,42,49.5,61.2,40.4,3.2,17,17.4,0.2,1.7,0,0.9,21.5,18.9,15.8,2.8,0.7,14.5,72,73,61,74,67,55,80,92,76,47,56,37,61,63,48,82,81,73,81,77,69,90,84,81,73,68,59,70,77,63,22,23,11,56,57,42,28,9,4,42,49,28,77,70,62,80,72,67,65,65,58,55,53,38,69,60,50,86,79,74,82,76,71,93,86,84,78,65,59,76,75,65,26,20,11,65,55,44,38,10,6,54,47,34
'14,76.1,48.7,69.8,82,93.3,64.5,.,80.9,76.4,75.8,66.8,45.2,46.7,57.7,46.9,1.1,13.2,31.4,0.2,0.3,.,0.7,24.7,22.2,17.7,5.1,0.2,14.3,69,67,55,67,92,67,.,.,.,46,48,33,59,58,43,75,72,62,70,77,66,77,73,68,70,63,54,67,71,57,13,16,8,58,54,42,19,5,5,38,42,24,72,66,55,50,60,50,-1,-1,-1,50,46,35,67,56,43,77,72,63,72,74,60,68,68,61,74,60,52,70,71,58,22,21,9,62,55,43,28,12,12,47,45,28
'15,81.7,65.2,79.5,85.6,88.9,88.2,-1,69.4,80.3,83.1,78,58.7,65.7,76,60.7,1.3,33.5,24.8,0.1,0.3,-1,0.6,30.1,30.6,27.8,5.6,0.7,29.1,65,68,52,88,88,75,-1,-1,-1,47,60,38,57,62,43,75,75,64,63,59,47,80,73,67,67,62,50,64,74,55,19,20,6,56,61,42,45,11,12,47,54,33,69,62,52,75,83,58,-1,-1,-1,46,57,37,63,56,43,78,70,62,86,68,69,65,55,55,70,56,49,69,69,55,24,13,8,62,54,42,20,7,3,52,47,34
'16,68.9,41.2,64.9,75,74.2,58.1,-1,67.7,67.7,70.1,60.4,44.4,18.5,50.9,34.1,0.6,15,17.5,0.2,0.2,-1,0.6,18.4,15.7,14.3,3.5,0.3,12.3,63,64,50,62,70,54,-1,-1,-1,44,42,30,53,58,39,73,70,60,72,77,61,69,56,52,65,57,47,62,71,53,18,15,5,52,53,36,19,0,0,33,42,20,69,63,52,80,77,66,-1,-1,-1,45,37,24,61,55,42,76,71,62,76,69,58,75,54,52,70,58,50,68,68,54,16,12,7,59,53,41,13,0,0,38,37,21
'17,84.3,65.2,80.9,91.2,90.6,92.7,-1,85.7,84.1,84.6,78.1,68.6,63,72.3,66.9,3,34.9,27.3,0.5,0.5,-1,0.7,34.2,32.7,29.2,6.6,0.6,23.2,61,67,50,53,68,50,-1,-1,-1,36,51,27,50,60,38,77,77,66,68,67,55,88,80,76,64,63,49,59,71,50,15,13,5,47,56,34,18,12,4,32,43,20,68,66,53,63,50,44,-1,-1,-1,41,54,33,59,59,43,82,76,68,72,71,58,77,73,69,69,60,51,66,71,55,15,15,5,55,55,39,32,13,8,40,42,24
'18,71.3,56.5,68.3,78.6,47.4,79.7,-1,76.3,68.5,74.1,63.7,44.5,43.2,55.6,34.4,0.8,23,10,0.1,0.3,-1,0.2,18.9,15.5,11.4,2.7,0.5,16.7,59,61,45,53,47,35,-1,-1,-1,44,52,30,54,56,39,69,72,57,69,76,61,79,64,60,60,55,43,58,68,48,7,12,3,52,51,35,25,2,2,32,44,20,67,61,49,72,82,59,-1,-1,-1,47,53,33,61,53,40,78,73,63,75,74,68,89,60,60,69,57,48,65,64,50,13,10,5,57,49,36,41,9,7,39,40,21
'19,76.1,74.2,75.9,78.6,61.9,85.5,61.5,85.5,73.3,78.9,75.4,56,50,63.3,44.2,0.7,41.1,2,0.1,0.2,0,0.2,22,22.2,31.7,3,1.9,18,65,61,48,56,56,33,70,100,70,55,61,43,65,60,47,74,71,63,79,79,66,83,75,72,68,55,46,63,66,50,13,16,6,62,56,43,33,4,3,45,43,26,71,57,49,71,57,43,59,47,35,58,57,46,71,56,48,79,67,60,80,66,58,91,83,77,73,52,47,70,62,52,12,10,3,69,51,44,36,5,3,53,38,27
