REGION,RA0AT14R,R20AT14R,R30AT14R,R40AT14R,RB0AT14R,RH0AT14R,RW0AT14R,RI0AT14R,RE0AT14R,RS0AT14R,RF0AT14R,RM0AT14R,RL0AT14R,RR0AT14R,RA0AT13R,R20AT13R,R30AT13R,R40AT13R,RB0AT13R,RH0AT13R,RW0AT13R,RI0AT13R,RE0AT13R,RS0AT13R,RF0AT13R,RM0AT13R,RL0AT13R,RR0AT13R,RA0708DR14R,RM0708DR14R,RF0708DR14R,R30708DR14R,RB0708DR14R,RH0708DR14R,RI0708DR14R,R40708DR14R,R20708DR14R,RW0708DR14R,RE0708DR14R,RS0708DR14R,RR0708DR14R,RL0708DR14R,R20708DR13R,R30708DR13R,R40708DR13R,RA0708DR13R,RB0708DR13R,RE0708DR13R,RF0708DR13R,RH0708DR13R,RI0708DR13R,RL0708DR13R,RM0708DR13R,RR0708DR13R,RS0708DR13R,RW0708DR13R,RA0912DR14R,RM0912DR14R,RF0912DR14R,R30912DR14R,RB0912DR14R,RH0912DR14R,RI0912DR14R,R40912DR14R,R20912DR14R,RW0912DR14R,RE0912DR14R,RS0912DR14R,RR0912DR14R,RL0912DR14R,R20912DR13R,R30912DR13R,R40912DR13R,RA0912DR13R,RB0912DR13R,RE0912DR13R,RF0912DR13R,RH0912DR13R,RI0912DR13R,RL0912DR13R,RM0912DR13R,RR0912DR13R,RS0912DR13R,RW0912DR13R,RAHEE14R,RAHEC14R,RAHEE13R,RAHEC13R
'01,95.7,96.8,98.2,96.5,97.1,95.6,95.8,95.2,95.6,94,95.7,95.7,96,95.1,95.5,96.7,98.1,96.1,97,95.5,95.7,95.5,95.4,93.7,95.5,95.5,95.9,94.8,0.3,0.3,0.2,0,0,0.3,0,0,1.8,0.2,0.3,0.3,0.3,0.5,0,0.3,0,0.2,0,0.2,0.2,0.2,0,0.5,0.2,0.3,0.2,0,2.6,3,2.1,0.3,2.2,2.6,0,7.7,0,2.1,2.5,3.2,2.8,5.4,0,0.7,0,2.6,2.6,2.7,2.3,2.6,6.7,5,2.9,3.1,3.6,1.4,59.8,64.1,60.2,61.5
'02,94.7,95.4,97.8,95.6,94.8,94.4,95.4,94.5,94.2,93,94.6,94.8,96.3,93.7,94.6,95.3,97.7,93.9,95,94.4,95.3,94.4,94.1,92.9,94.6,94.7,96.2,93.4,0.6,0.6,0.5,0,0.5,0.7,0,0,0.7,0.3,0.8,0.9,0.7,1,0.7,0,0,0.4,0.2,0.5,0.4,0.4,0,1.3,0.4,0.6,0.8,0.4,3.3,3.4,3.1,0,4.5,3.8,3.4,3,0.7,1.6,4.2,4.5,3.6,4.8,2.7,1.7,0,2.8,4.2,3.4,2.3,3.2,2.2,3.9,3.3,3.5,4.5,1.6,52.6,67.9,55.2,68.2
'03,95.5,95.4,98,95.9,95.5,95.1,96.1,92.9,95,94.4,95.5,95.5,97,94.7,95.4,95.4,98,97,95.2,95,96,92.3,94.9,94.1,95.4,95.4,97,94.3,0.3,0.3,0.2,0,0,0.3,0,0,0,0.3,0.2,0.3,0.2,0,0,0,-1,0,0,0,0,0,0,0,0.1,0,0.2,0.1,1.6,1.8,1.3,1.6,2,2,2.2,16.7,1.6,0.9,2.2,2.1,2.1,3,1.1,1.6,-1,1.6,2.1,1.2,1.3,2.2,2.2,3.2,1.9,2.3,2,0.8,55,71.6,56.4,72.8
'04,95.9,96.1,97.8,95.5,95.3,95.8,95.9,95.5,95.6,94.2,95.9,95.8,96.8,95.3,95.9,96,97.8,95.3,95.4,95.8,95.8,95.3,95.6,94.2,95.9,95.8,96.8,95.2,0.3,0.3,0.3,0.1,0.5,0.3,0.7,0,0.1,0.2,0.4,0.5,0.3,0.5,0.2,0,0,0.2,0.4,0.3,0.2,0.3,0.8,0.4,0.3,0.3,0.4,0.1,2.2,2.5,1.8,0.5,3.2,2.6,3.2,3.5,1.7,1.1,2.7,3.5,3.1,5.3,1.4,0.5,2,2.3,3.4,2.6,2,2.8,3.5,5.8,2.6,3.2,3.6,1.1,59.6,70.2,60.3,69.6
'05,95.5,95.4,97.5,95.6,94.8,95.7,95.7,95.2,95.1,94.1,95.5,95.6,96.5,94.7,95.6,95.6,97.6,96.6,95.3,96,95.5,94.8,95.2,94.1,95.5,95.7,96.9,94.7,0.3,0.3,0.2,0.3,0.6,0.3,0,0,0,0.1,0.4,0.5,0.2,0.4,0.4,0,0,0.2,0.1,0.2,0.3,0.3,0,0.5,0.2,0.3,0.5,0.2,2,2.2,1.7,0.9,3.4,2.5,1.5,0,1.7,1.2,2.5,2.8,2.9,7.7,1.8,0.6,0,1.6,2.6,1.9,1.5,1.9,5.4,3.8,1.6,1.8,2.4,1,54.8,68.7,54.3,68.3
'06,96,95.9,97.9,95.2,96,96.2,95.8,95.4,95.6,94.6,96,96,97,95.4,95.8,95.8,97.7,95.2,95.8,96,95.6,95.5,95.4,94.4,95.8,95.8,96.9,95.2,0.2,0.1,0.2,0,0.1,0.2,0.8,0,0.2,0.2,0.2,0.3,0.2,0.2,0,0,0,0.1,0.1,0.2,0.1,0.2,0,0.2,0.1,0.2,0.2,0.1,1.6,1.8,1.3,0.3,2.8,2.1,1.1,1.7,1.4,1.1,2.2,2.1,2.3,3.3,1.1,0.4,0,1.6,3,2.4,1.3,2,0.7,3.7,1.9,2.5,2.5,1.2,53.7,74,54.8,76.1
'07,96,95.5,97.5,96.2,96,96.3,95.8,95.4,95.7,94.8,95.9,96,97,95.6,95.9,95.5,97.4,95,96.1,96.2,95.6,95.3,95.6,94.7,95.8,95.9,97,95.4,0.2,0.3,0.2,0.4,0.2,0.4,0.7,4,0.5,0.1,0.2,0.2,0.2,0.6,0,0,0,0.1,0.2,0.2,0.1,0.2,0,0.5,0.2,0.1,0.1,0.1,1.4,1.6,1.1,1.7,2.2,1.3,0,3.2,1.6,1.1,1.6,1.8,1.6,3.4,1.5,1.6,0,1.4,2,1.7,1.2,1.9,2.2,3.7,1.6,1.9,1.8,1,55.1,71.2,55.4,70
'08,96.1,95.4,97.6,95.8,96.2,96.5,95.9,95.2,95.8,95,96.1,96.1,97.2,95.7,95.9,95.5,97.7,96.9,96.2,96.3,95.7,95.5,95.6,94.9,95.9,95.9,97,95.4,0.1,0.1,0.1,1.3,0.3,0,0,0,0.4,0.1,0.1,0.1,0.1,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0.1,0,1,1.2,0.7,0,1.7,0.5,2.3,0,1.5,0.8,1.3,1.3,1.1,1,1,0,0,0.9,1.6,1.2,0.8,0.8,2.4,1.1,0.9,1.2,1.2,0.6,54.1,64.5,50.7,66.6
'09,96.1,95.9,98,96.7,96.2,96.1,96,95.2,95.6,95.1,95.9,96.2,97.2,95.5,95.9,95.6,97.8,96.6,96.1,95.9,95.9,95.5,95.5,95,95.8,96,97,95.3,0.1,0.1,0,0,0,0.1,1.9,0,0,0,0.1,0.1,0,0,0,0,0,0.1,0,0.1,0.1,0,0,0,0.1,0.1,0.3,0.2,0.8,1,0.5,0,0.5,1,0,7.7,1,0.7,1,1.1,0.9,1.7,1.6,0.7,0,1,1.2,1,0.7,1.1,0,3.9,1.2,1.2,0.8,0.9,52.7,74,50.2,75.1
'10,96.3,96.2,97.9,96,95.8,96.2,96.3,95.7,96,95.2,96.3,96.2,96.9,95.7,96.2,96.2,97.8,96.2,95.7,96.1,96.2,95.5,95.9,95.1,96.2,96.1,96.9,95.5,0.3,0.3,0.3,0.1,0.5,0.4,0.5,2.4,0.2,0.1,0.4,0.5,0.3,0.4,0.3,0,0,0.3,0.5,0.4,0.3,0.4,0.2,0.5,0.3,0.4,0.5,0.1,2.2,2.6,1.9,0.9,3.3,2.8,2.7,4,1.9,1.1,2.7,2.9,2.9,4.5,1.3,0.9,1.3,2.1,3.3,2.6,1.7,2.5,2.5,4.2,2.4,2.9,2.9,1,56.8,72.7,56.5,70.4
'11,95.9,95.9,97.7,95.6,95.6,95.8,95.9,95.4,95.5,94.9,95.9,95.9,96.6,95.3,95.8,95.8,97.7,96,95.5,95.7,95.8,95.4,95.4,94.7,95.8,95.8,96.6,95.1,0.2,0.2,0.2,0.1,0.3,0.3,0.4,1.3,0.1,0.2,0.3,0.3,0.2,0.4,0.4,0,0,0.3,0.4,0.3,0.3,0.3,0.6,0.4,0.2,0.3,0.3,0.2,1.6,1.9,1.4,1.2,2.6,2.1,1.3,2.9,1.1,1,2,2.3,2.2,4.1,2,1.2,3.2,2.1,3.4,2.5,1.8,2.9,1.8,4.7,2.3,2.8,3,1.1,57,74.9,56.7,71.5
'12,95.8,95.6,97.2,95.2,95.5,95.7,95.9,94.8,95.4,94.5,95.7,95.8,96.7,95.1,95.7,95.6,97.1,95.5,95.6,95.8,95.8,94.8,95.4,94.5,95.7,95.8,96.7,95,0.2,0.2,0.2,0.4,0.2,0.2,0,0,0.1,0.1,0.2,0.3,0.1,0.2,0,0,0,0.1,0.1,0.1,0.2,0.1,2.1,0,0.1,0.1,0.1,0.1,2.1,2.1,2,0.8,3.4,2.5,2.6,2.9,1.2,1.3,2.3,3,2.2,4,1.9,1.4,2,1.8,3,2.2,1.6,2.1,1.6,4,1.9,2.3,2.3,1,56.8,65.7,57.9,64.3
'13,95.8,96.1,97.6,95.7,95.4,95.5,96.1,95.1,95.3,94.5,95.8,95.9,96.5,95,95.7,95.9,97.5,95.5,95.4,95.4,95.9,95.1,95.2,94.4,95.7,95.8,96.5,94.8,0.2,0.2,0.2,0,0.3,0.2,0,0,0.2,0.2,0.2,0.4,0.2,0.2,0.1,0,0,0.1,0.1,0.1,0.1,0.2,0.5,0.2,0.1,0.1,0.2,0.1,1.3,1.5,1.1,0.3,2.1,1.8,1.4,1.4,1,0.8,2,2.2,1.7,3.5,0.8,0.5,1.3,1.7,2.5,2.5,1.4,2.5,2.5,4.3,1.9,2.2,2.6,0.9,55,80.1,55.9,77
'14,96.4,96.3,97.9,97.4,96.6,96.1,96.5,96.6,95.9,95.4,96.4,96.4,97.2,95.6,96.2,96.3,97.7,97.5,96.4,95.9,96.3,96.3,95.8,95.2,96.2,96.2,97.3,95.4,0.6,0.6,0.6,0.7,0.9,0.7,0,6.3,0.6,0.5,0.6,0.8,0.6,0.8,2.7,6.9,9.1,1.8,1.2,1.7,1.9,1.3,2.1,1.1,1.7,1.1,1.4,1.9,1.5,1.4,1.5,0,2.3,2.1,1.2,0,1.6,1.1,2.2,2,2.1,4.5,1.4,0,7.7,1.5,2.6,2.4,1.5,2.1,0,2.1,1.6,2.2,1.9,1.2,55.1,71.9,56.7,69.3
'15,96.3,96,97.5,95.8,96.4,96.2,96.4,95.5,95.9,95.5,96.2,96.4,96.5,95.8,96.3,96.1,97.6,97.2,96.5,96.3,96.3,96,96,95.5,96.2,96.4,96.9,95.7,0.1,0.1,0.1,0,0,0.1,0,-1,0,0.1,0.2,0.1,0.1,0,0,2.3,0,0.3,1.7,0.3,0.2,0.3,0,1.5,0.3,0.3,0.1,0.2,1.3,1.5,1.1,1,4.2,1.5,0,0,1.1,0.9,1.6,1.8,1.7,2.4,1.3,0,0,1.4,2.8,1.7,1.1,1.9,0,3.8,1.7,1.5,1,0.7,53.1,75.4,55,74.4
'16,95.8,95.2,97.3,94.9,95.7,95.8,95.9,95,95.6,95,95.8,95.9,96.8,95.4,95.7,95.2,97,95.3,95.5,95.6,95.8,95.2,95.4,94.7,95.6,95.8,96.6,95.1,0.2,0.1,0.2,0,0.2,0.3,0,-1,0,0.1,0.2,0.2,0.2,0.2,0.8,1.1,-1,0.2,0.2,0.3,0.2,0.2,0,0.6,0.2,0.3,0.2,0.1,1.4,1.6,1.3,4.8,3,1.7,3,0,1,0.8,1.8,1.4,2,4.7,1.8,5.6,0,1.8,4.3,2.4,1.5,2,1.2,6.1,2,2.5,2.1,1.1,54.9,68.2,55,68.8
'17,95.8,96.1,98.1,95,95.4,95.4,96.5,94.7,95.4,94.8,95.7,95.9,96.5,95.1,95.8,96.3,98.2,94.7,95.6,95.4,96.4,95,95.4,94.7,95.8,95.9,96.4,95,0.2,0.2,0.2,0,0.3,0.2,2.3,12.5,0,0.2,0.3,0.2,0.2,0.3,0.6,0,0,0.2,0.2,0.3,0.3,0.2,0,0,0.2,0.3,0.5,0.2,2.1,2.2,2,1.1,4,2.6,4.6,0,1,1,2.4,2.4,2.6,5.3,1.7,1.2,20,2.7,5.7,3,2.4,3.5,1.9,3.2,3,3.6,3.6,1.1,52.8,71.4,54,70.1
'18,94.7,94.5,97.2,94.3,94.5,94.6,94.9,93.5,94.4,93.6,94.6,94.8,95.7,94.1,94.5,94.5,97.2,95.1,94.3,94.4,94.7,93.8,94.2,93.5,94.5,94.6,95.5,93.6,0.4,0.4,0.4,0,0.7,0.4,0,0,0,0.4,0.5,0.4,0.3,0.7,0,0,0,0.2,0.3,0.2,0.2,0.2,0,0.1,0.2,0.1,0.2,0.1,3.8,4.4,3.3,2.7,6,4.1,7.9,5.3,5.3,2.9,5,5.6,3.9,5.1,2.7,1.4,0,3.9,6.4,4.6,3.4,4.4,5.7,4.4,4.4,5.1,4.7,2.6,53.4,68.5,52.5,66.9
'19,96,96.3,97.8,96,96.7,96,95.8,95.9,95.9,94.9,96,96,96.4,95.6,95.9,96.2,97.6,95.4,96.5,95.9,95.8,95.5,95.7,94.8,95.9,95.8,96.3,95.3,0.4,0.4,0.5,0.6,1.5,0.4,0,2,2.9,0.6,0.4,0.5,0.4,0.8,1.2,0.6,0,0.4,0.5,0.4,0.3,0.3,2,0.7,0.4,0.4,0.4,0.6,3.1,3.5,2.6,1.5,3.1,3.1,3,4.3,3.1,2.3,3.4,3.7,3.6,6.6,3,0.9,2.6,2.8,3,2.5,2.6,2.9,3.7,5.6,3,3.4,3.8,2.1,60.8,61.9,61.4,62
'20,95.6,96.2,97.6,96.4,96,95.4,96.1,95,95.1,94.3,95.5,95.6,96.5,94.8,95.4,96.1,97.4,96,95.9,95.2,95.9,94.7,94.9,94.1,95.4,95.4,96.4,94.4,3,5.3,0.4,0,0.4,4,1.3,0,0.3,0.2,4.3,0.6,1,21.7,0.2,0,1,2.2,0.5,3.3,0.4,3,0.6,19.9,3.9,1.2,0.6,0.3,2.9,3.5,2.2,0.9,3,3.5,2.7,1,1.2,1.2,3.2,4,2.9,4,1.9,1,2,2.7,3.2,3.5,2.4,3.2,2.2,4.3,3,3.4,4.3,1.2,54.6,69.3,55.7,63.5
