REGION,RPSTTOFC,RPSUTOFC,RPSSTOFC,RPSCTOFC,RPSETOFC,RPST00FC,RPST01FC,RPST06FC,RPST11FC,RPST20FC,RPSTNOFC,RPSTBAFC,RPSTMSFC,RPSTPHFC,RPSPCOFC,RPSECOFC,RPSPTOFC,RPSXTOFC,RPSATOFC,RPSOTOFC,RPSTINFC,RPSTPIFC,RPSTASFC,RPSTBLFC,RPSTHIFC,RPSTWHFC,RPSTTWFC,RPSTMAFC,RPSTFEFC,RPSXCOFC,RPSTREFC,RPSTVOFC,RPSTBIFC,RPSTCOFC,RPSTGIFC,RPSTSPFC,RPSTOPFC,RPSTURNR,RPSTTENA,RPSTEXPA,RPSAMIFC,RPCTSOCA,RPCTSCIA,RPCTMATA,RPCTGMEA,RPCTGKGA,RPCTG06A,RPCTG05A,RPCTG04A,RPCTG03A,RPCTG02A,RPCTG01A,RPCTFLAA,RPCTENGA,RPSPTOFP,RPSTTOFP,RPSUTOFP,RPSSTOFP,RPSCTOFP,RPSETOFP,RPSXTOFP,RPSAMIFP,RPSTNOFP,RPSTBAFP,RPSTMSFP,RPSTPHFP,RPST00FP,RPST01FP,RPST06FP,RPST11FP,RPST20FP,RPSTREFP,RPSTVOFP,RPSTBIFP,RPSTCOFP,RPSTGIFP,RPSTSPFP,RPSTOPFP,RPSTBLFP,RPSTWHFP,RPSTHIFP,RPSTPIFP,RPSTINFP,RPSTASFP,RPSTTWFP,RPSTMAFP,RPSTFEFP,RPSTKIDR,RPST00SA,RPST01SA,RPST06SA,RPST11SA,RPST20SA,RPSTTOSA,RPSUTOSA,RPSSTOSA,RPSCTOSA,RPFEIERP,RPSAINHP,RA0GR14N,RA0GM14N,RA0GH14N,RA0GF14N,RB0GR14N,RH0GR14N,RW0GR14N,RI0GR14N,R30GR14N,R40GR14N,R20GR14N,RS0GR14N,RA0GR14R,RA0GM14P,RA0GF14P,RB0GR14R,RH0GR14R,RW0GR14R,RI0GR14R,R30GR14R,R40GR14R,R20GR14R,RS0GR14R,RPETALLC,RPETSPEC,RPETLEPC,RPETECOC,RPETNEDC,RPETGIFC,RPETVOCC,RPETBILC,RPETRSKC,RPETGEEC,RPETGPKC,RPETGKNC,RPETG01C,RPETG02C,RPETG03C,RPETG04C,RPETG05C,RPETG06C,RPETG07C,RPETG08C,RPETG09C,RPETG10C,RPETG11C,RPETG12C,RPETHISC,RPETBLAC,RPETWHIC,RPETINDC,RPETASIC,RPETPCIC,RPETTWOC,RAPID15N,RAUND14C,RAUND14R,RPETDISC,RPETDISP,RPERRAKR,RPERRA1R,RPERRA2R,RPERRA3R,RPERRA4R,RPERRA5R,RPERRA6R,RPERRA7R,RPERRA8R,RPERSAKR,RPERSA1R,RPERSA2R,RPERSA3R,RPERSA4R,RPERSA5R,RPERSA6R,RPERSA7R,RPERSA8R,RPETWHIP,RPETBLAP,RPETHISP,RPETINDP,RPETASIP,RPETPCIP,RPETTWOP,RPETECOP,RPETNEDP,RPETRSKP,RPETLEPP,RPETSPEP,RPETVOCP,RPETBILP,RPETGIFP,RPETGEEP,RPETGPKP,RPETGKNP,RPETG01P,RPETG02P,RPETG03P,RPETG04P,RPETG05P,RPETG06P,RPETG07P,RPETG08P,RPETG09P,RPETG10P,RPETG11P,RPETG12P,RAPID15R,RA0GH14P
"01",27186.4,5596.8,1595.4,518.4,6056.7,1686.6,6380.5,6780.8,7608.5,4730.1,335.4,22416.8,4359.6,74.7,49.6,6.3,34897.1,18558.9,59512.7,96.5,22.6,16.8,224.8,100.9,24293.3,2456.7,71.3,8039.3,19147.1,22.4,17635.9,1399.1,4120,408.3,1045.1,2202,376,10.8,9.5,11.8,55389.3,18.7,18.2,17.6,12.9,20.2,19.6,20.4,19.4,19.2,20.1,20,18,17.3,58.6,45.7,9.4,2.7,0.9,10.2,31.2,93.1,1.2,82.5,16,0.3,6.2,23.5,24.9,28,17.4,64.9,5.1,15.2,1.5,3.8,8.1,1.4,0.4,9,89.4,0.1,0.1,0.8,0.3,29.6,70.4,15.6,42776,45415,48200,52355,61300,50652,59845,72827,93558,61.9,60.9,24784,2115,22627,42,37,24032,517,11,164,4,19,1818,100,8.5,0.2,0.1,97,2.1,0,0.7,0,0.1,7.3,422894,30668,154668,354163,68731,35583,108103,154480,278308,404,23710,30214,32590,32164,31057,30916,30569,31034,31512,31908,35090,30071,26990,24665,412505,962,6884,244,1874,47,378,289,834,0.4,7237,1.7,1.5,6.4,4.9,2.5,1.2,0.8,0.9,1.3,1.5,6.1,9.8,4,1.4,0.6,0.7,1.3,1.3,1.4,1.6,0.2,97.5,0.1,0.4,0,0.1,83.7,16.3,65.8,36.6,7.3,25.6,36.5,8.4,0.1,5.6,7.1,7.7,7.6,7.3,7.3,7.2,7.3,7.5,7.5,8.3,7.1,6.4,5.8,0.1,91.3
"02",6889.2,1139,422.3,248.6,1601.4,605.1,1588.6,1325.9,1883.1,1486.5,95,4939.8,1808.4,46,12.1,3.9,8699.1,4102.1,14402.6,26.5,25,5,37.3,140.6,3366.4,3266.7,48.2,1563,5326.3,7.3,5383.9,301.1,49,228,91.9,666.8,168.6,18.4,8.5,12.5,9092.2,18.4,18,17.3,13.1,18.9,19.9,19.5,18.2,18.6,18.3,19.1,18.5,16.5,60.4,47.8,7.9,2.9,1.7,11.1,28.5,63.1,1.4,71.7,26.3,0.7,8.8,23.1,19.2,27.3,21.6,78.1,4.4,0.7,3.3,1.3,9.7,2.4,2,47.4,48.9,0.1,0.4,0.5,0.7,22.7,77.3,15.3,40039,42386,45493,50194,56803,48023,55287,68523,85078,59.6,61.9,6348,1116,4965,267,199,4401,1549,18,97,5,79,575,100,17.6,4.2,3.1,69.3,24.4,0.3,1.5,0.1,1.2,9.1,105301,9510,4430,66267,39034,5446,24524,4138,54194,131,3599,7782,8438,8212,8093,7924,7798,7706,8069,8164,8880,7470,6775,6260,78327,2704,21593,250,1213,75,1139,25,101,0.2,2510,2.3,2.4,6.8,3.9,4.3,2.4,2.1,1.3,2.1,2.2,7.4,10.9,5.4,2.9,0.8,0.8,1.1,1.8,1.7,20.5,2.6,74.4,0.2,1.2,0.1,1.1,62.9,37.1,51.5,4.2,9,23.3,3.9,5.2,0.1,3.4,7.4,8,7.8,7.7,7.5,7.4,7.3,7.7,7.8,8.4,7.1,6.4,5.9,0,78.2
"03",3976,566.1,233,124.4,1045.5,300.7,907.4,760.3,1075.2,932.4,70,3329.2,557.7,19.1,61,0.9,4899.5,2207.6,8152.6,6.7,9,2,15.4,144,605.5,3181,19,837.3,3138.7,64,3086.8,208,63.6,175,45.5,300.9,96.3,19.6,8,12.7,2781.6,16.2,16.2,15,16.1,18.3,17.8,19.3,18.5,18.5,19,18.9,16,14.7,60.1,48.8,6.9,2.9,1.5,12.8,27.1,34.1,1.8,83.7,14,0.5,7.6,22.8,19.1,27,23.4,77.6,5.2,1.6,4.4,1.1,7.6,2.4,3.6,80,15.2,0.1,0.2,0.4,0.5,21.1,78.9,13.6,39341,40477,43935,48754,54740,46635,52847,68941,85911,61.2,64.6,3184,664,2451,69,303,1441,1354,7,51,0,28,314,100,20.9,2.2,9.5,45.3,42.5,0.2,1.6,0,0.9,9.9,54146,4809,4197,32594,21552,2951,13435,4068,25209,134,2329,4029,4402,4340,4078,4006,3933,3982,4024,4085,4378,3881,3370,3175,30435,4788,17461,76,607,20,759,19,134,0.5,1206,2.1,3.8,5,3.4,2.8,1.3,1.5,0.6,1.2,0.9,13.2,10.1,4.5,2.1,0.5,1.7,1.5,2.3,1.1,32.2,8.8,56.2,0.1,1.1,0,1.4,60.2,39.8,46.6,7.8,8.9,24.8,7.5,5.5,0.2,4.3,7.4,8.1,8,7.5,7.4,7.3,7.4,7.4,7.5,8.1,7.2,6.2,5.9,0,77
"04",71163.1,14660.6,4016.9,1160.8,12089.7,7208.5,19892.4,16629.8,17734.6,9697.8,686.6,52652.3,17204.6,619.5,60.7,6,91001.4,39843.3,142934.4,796.6,217.5,65.6,2142.4,14463.4,13611.6,39796,866.6,15625,55538.1,32.6,52135.3,2443.1,4192.9,1439.5,1767.2,6440.6,2744.5,17.6,7,10.1,72935.9,21,20.3,19.5,25.2,20.1,21.5,21.3,19.7,19.9,19.9,20,20.7,18.6,63.7,49.8,10.3,2.8,0.8,8.5,27.9,51,1,74,24.2,0.9,10.1,28,23.4,24.9,13.6,73.3,3.4,5.9,2,2.5,9.1,3.9,20.3,55.9,19.1,0.1,0.3,3,1.2,22,78,16.5,48275,50392,52814,56214,64794,54157,63880,79220,106641,64.9,63.3,65201,11283,52913,1005,12448,28227,18192,216,4972,78,1068,4463,100,17.3,1.5,19.1,43.3,27.9,0.3,7.6,0.1,1.6,6.8,1170896,90242,252326,678932,491964,89588,254342,243221,634819,3021,52356,88888,93251,92231,89131,87085,86551,86193,85423,85694,94430,82226,76097,68319,585032,222066,260869,5343,76642,1281,19663,1399,1122,0.2,15399,1.3,1.3,4.5,3.1,2.9,1.5,1.2,0.9,1.2,0.7,6.1,7.6,3.8,1.5,0.9,0.7,0.8,1,0.9,22.3,19,50,0.5,6.5,0.1,1.7,58,42,54.2,21.5,7.7,21.7,20.8,7.7,0.3,4.5,7.6,8,7.9,7.6,7.4,7.4,7.4,7.3,7.3,8.1,7,6.5,5.8,0.1,81.2
"05",5509,793.1,330.1,133.8,1233.2,424.9,1184.9,1019.8,1554.4,1324.9,59,4449.2,987.8,13.1,25.5,11,6765.9,2862.4,10861.5,54,13.5,3.9,29,920.4,243.3,4259.9,39,1101.8,4407.2,11.7,4146.8,330,88.3,232.8,63.8,496.9,150.4,18.4,9.2,13,3193.4,18.8,18.6,17.3,11.8,20.1,19.6,19.9,18.8,20,19.5,19.8,19.5,16.5,62.3,50.7,7.3,3,1.2,11.4,26.4,29.4,1.1,80.8,17.9,0.2,7.7,21.5,18.5,28.2,24,75.3,6,1.6,4.2,1.2,9,2.7,16.7,77.3,4.4,0.1,0.2,0.5,0.7,20,80,14.8,36787,39623,42350,47122,55490,45841,54072,68883,90988,59.2,63.8,4986,1079,3901,6,1296,685,2738,26,167,3,71,620,100,21.6,0.1,26,13.7,54.9,0.5,3.3,0.1,1.4,12.4,81462,7171,6233,47098,34364,4310,21204,5133,34814,274,3779,6393,6451,6412,6130,5913,5903,5775,5850,5943,6291,5882,5333,5133,15289,21676,40383,528,1856,63,1667,63,114,0.3,1609,1.9,3.3,5,3,2.2,1.3,1.5,1.1,1.6,0.7,8.6,11.7,5.4,2.7,0.3,0.7,0.9,1.8,1.1,49.6,26.6,18.8,0.6,2.3,0.1,2,57.8,42.2,42.7,7.7,8.8,26,6.3,5.3,0.3,4.6,7.8,7.9,7.9,7.5,7.3,7.2,7.1,7.2,7.3,7.7,7.2,6.5,6.3,0.1,78.2
"06",12330,2105.8,725.1,261.7,2410.9,939.4,3223.2,2758.7,3243,2165.7,100.1,9597.7,2557.1,75.1,65.1,2,15422.6,6701.7,24535.2,68.1,36.6,1,67.4,633.3,1170,10342.7,79,2541.7,9788.3,17.8,8994.4,665,557.3,332,98.2,1166.9,516.2,18.7,6.9,11.4,5998.4,20.4,19.6,18.4,18.1,18.7,20.8,20.6,18.6,18.5,18.4,18.8,19.2,17.2,62.9,50.3,8.6,3,1.1,9.8,27.3,24.4,0.8,77.8,20.7,0.6,7.6,26.1,22.4,26.3,17.6,72.9,5.4,4.5,2.7,0.8,9.5,4.2,5.1,83.9,9.5,0,0.3,0.5,0.6,20.6,79.4,15,41867,44724,47592,51108,57972,49154,58171,73888,95202,62.7,63.2,10814,1781,8930,103,1107,2944,6248,59,242,9,205,942,100,16.5,1,10.2,27.2,57.8,0.5,2.2,0.1,1.9,8.7,184524,15052,24135,92168,92356,12529,42942,24569,79876,379,6394,13902,14765,14410,13949,13981,13683,13684,13727,14096,15066,13509,12073,10906,63226,19828,92466,839,3850,175,4140,83,802,1,3004,1.6,2.6,5.7,3.7,2.5,1.2,1.5,0.5,0.8,0.6,9.8,10.9,5.9,1.6,1.1,1.2,1.2,1.2,1.6,50.1,10.7,34.3,0.5,2.1,0.1,2.2,49.9,50.1,43.3,13.1,8.2,23.3,13.3,6.8,0.2,3.5,7.5,8,7.8,7.6,7.6,7.4,7.4,7.4,7.6,8.2,7.3,6.5,5.9,0,82.6
"07",12565.9,1985.3,787,407.4,2732.2,932,3072.4,2462.1,3439,2660.4,84.4,10127.2,2319.5,34.8,144.3,69.5,15745.7,6116.5,24594.4,117.3,40.5,6,31.3,1084.8,647.9,10648.1,107.3,2658,9907.9,44.5,9202.7,750.5,549.3,674.2,152.5,941.2,295.7,19.4,7.4,12.3,5702.2,16.6,16.3,15.3,21.4,18.5,17.9,19,18.8,18.6,18.9,18.7,16,14.9,64,51.1,8.1,3.2,1.7,11.1,24.9,23.2,0.7,80.6,18.5,0.3,7.4,24.5,19.6,27.4,21.2,73.2,6,4.4,5.4,1.2,7.5,2.4,8.6,84.7,5.2,0,0.3,0.2,0.9,21.2,78.8,13.6,36059,38144,41334,46870,53311,44213,50706,68026,87257,61.1,65,10077,1821,8143,113,1730,2204,5772,41,109,7,214,994,100,18.1,1.1,17.2,21.9,57.3,0.4,1.1,0.1,2.1,9.9,171224,14775,21107,104205,67019,11231,45090,20494,86149,283,7635,12962,13485,13584,12988,12768,12575,12569,12560,12802,13155,12187,11340,10331,46087,29835,88286,728,1703,134,4451,137,281,0.4,2698,1.5,3.3,4.8,3.7,2.3,1.3,1.6,0.9,0.8,1.2,11.3,10.5,5.8,2.3,0.9,1.4,0.8,1,2.1,51.6,17.4,26.9,0.4,1,0.1,2.6,60.9,39.1,50.3,12.3,8.6,26.3,12,6.6,0.2,4.5,7.6,7.9,7.9,7.6,7.5,7.3,7.3,7.3,7.5,7.7,7.1,6.6,6,0.1,80.8
"08",4495.2,611.5,271.6,143.9,1177.6,226,998.4,917.9,1299.7,1053.2,17.5,3516.2,947.5,14.1,37.1,8.8,5522.2,2005.5,8705.3,23,17.4,4,15,345.8,160.6,3909.4,43.1,952.6,3542.6,24.7,3206,291,113.7,313.2,38.7,364.7,167.9,17.6,8.5,13.2,1815.3,16,15.3,14.3,20.8,18.2,17.1,18,18.1,17.4,18.4,18.3,15.6,13.8,63.4,51.6,7,3.1,1.7,13.5,23,20.9,0.4,78.2,21.1,0.3,5,22.2,20.4,28.9,23.4,71.3,6.5,2.5,7,0.9,8.1,3.7,7.7,87,3.6,0.1,0.4,0.3,1,21.2,78.8,12.5,34879,36079,40351,46367,51351,43444,50917,66526,82770,61.9,66.5,3253,712,2518,23,708,553,1851,25,24,2,90,435,100,21.9,0.7,21.8,17,56.9,0.8,0.7,0.1,2.8,13.4,56352,5760,5241,36242,20110,3754,14982,4970,26806,183,3322,4225,4467,4293,4107,4069,4050,4019,4065,4114,4170,4049,3724,3495,11406,11336,30750,366,437,44,2013,13,338,1.3,1118,1.9,5.5,5.5,2.8,2.1,0.9,1.4,0.5,0.7,0.9,16.2,8.2,4.7,1.9,0.5,0.9,1.1,0.2,0,54.6,20.1,20.2,0.6,0.8,0.1,3.6,64.3,35.7,47.6,9.3,10.2,26.6,8.8,6.7,0.3,5.9,7.5,7.9,7.6,7.3,7.2,7.2,7.1,7.2,7.3,7.4,7.2,6.6,6.2,0,77.4
"09",2989.1,404.2,162,75.5,731.5,181.9,640.9,567,888.2,711.1,35.2,2415.9,530.8,7.2,58.7,2,3630.9,1232,5594.5,10.1,17.5,1,13,64.3,158,2716,19.4,711.1,2278,16.8,2255.9,152.7,28,225.6,10.3,253,63.7,16.8,9,13.2,760.2,15.4,15,13.9,30.5,17.8,16.1,18.2,16.9,16.9,15.7,16.7,16.4,13.7,64.9,53.4,7.2,2.9,1.3,13.1,22,13.6,1.2,80.8,17.8,0.2,6.1,21.4,19,29.7,23.8,75.5,5.1,0.9,7.5,0.3,8.5,2.1,2.2,90.9,5.3,0,0.6,0.4,0.6,23.8,76.2,12.7,35647,37981,41452,47079,53795,44963,50912,66737,89042,62.2,68.3,2439,459,1956,24,181,552,1582,29,32,1,62,285,100,18.8,1,7.4,22.6,64.9,1.2,1.3,0,2.5,11.7,37821,4231,1961,21776,16045,1784,9217,1843,18049,140,2047,2935,2986,2840,2779,2725,2867,2639,2748,2711,2788,2647,2564,2405,10098,2791,22713,317,502,48,1352,39,101,0.6,608,1.5,3.2,3.2,1.6,0.8,0.7,3.2,0.4,0.4,1,10.4,7.2,3.4,0.9,1.7,0.3,0.3,0.7,1.9,60.1,7.4,26.7,0.8,1.3,0.1,3.6,57.6,42.4,47.7,5.2,11.2,24.4,4.9,4.7,0.4,5.4,7.8,7.9,7.5,7.3,7.2,7.6,7,7.3,7.2,7.4,7,6.8,6.4,0.1,80.2
"10",53171.5,10923.6,2955.6,1116.6,8933.4,5759.7,14545.4,12474.3,13760.4,6631.8,378.5,37226.5,15124.4,442.1,62.8,14.2,68167.3,21770.2,98871,434.9,324,542.6,1036.9,8721.7,7536,34184.8,825.5,12610.8,40560.7,20.5,38624,2108.1,2693.8,1460.7,882.5,5350.2,2052.1,18.5,6.6,10,39308.6,20.2,19.6,18.7,26.5,18.8,20.7,21.5,18.9,19,19.2,19.2,19,17.5,68.9,53.8,11,3,1.1,9,22,39.8,0.7,70,28.4,0.8,10.8,27.4,23.5,25.9,12.5,72.6,4,5.1,2.7,1.7,10.1,3.9,16.4,64.3,14.2,1,0.6,2,1.6,23.7,76.3,15.2,46152,48373,50552,53939,61776,51756,60925,77050,100344,65,68.1,47532,8125,39224,183,8957,17860,16595,287,2885,68,880,3483,100,17.1,0.4,18.8,37.6,34.9,0.6,6.1,0.1,1.9,7.3,810622,69562,174191,458944,351678,76038,181310,169905,393623,2030,29566,61100,64245,64220,62798,61590,60988,59986,59660,60296,64419,57891,53240,48593,347965,149725,237810,5173,52046,903,17000,1006,1309,0.4,10552,1.3,1.7,2.7,2,1.5,0.9,1.2,0.8,1.2,1.2,9.8,5.8,3,1.3,0.7,0.9,0.9,1.3,1.3,29.3,18.5,42.9,0.6,6.4,0.1,2.1,56.6,43.4,48.6,21.5,8.6,22.4,21,9.4,0.3,3.6,7.5,7.9,7.9,7.7,7.6,7.5,7.4,7.4,7.4,7.9,7.1,6.6,6,0.1,82.5
