DISTRICT,DA0GR15N,DA0GM15N,DA0GH15N,DA0GE15N,DA0GA15N,DA0GN15N,DB0GR15N,DH0GR15N,DW0GR15N,DI0GR15N,D30GR15N,D40GR15N,D20GR15N,DE0GR15N,DS0GR15N,DL0GR15N,DR0GR15N,DA0GH15P,DA0GN15P,DA0GR15R,DB0GR15R,DH0GR15R,DW0GR15R,DI0GR15R,D30GR15R,D40GR15R,D20GR15R,DE0GR15R,DS0GR15R,DL0GR15R,DR0GR15R,DPETGEEC,DPETGPKC,DPETGKNC,DPETG01C,DPETG02C,DPETG03C,DPETG04C,DPETG05C,DPETG06C,DPETG07C,DPETG08C,DPETG09C,DPETG10C,DPETG11C,DPETG12C,DPETALLC,DPETSPEC,DPETBILC,DPETVOCC,DPETGIFC,DPETLEPC,DPETECOC,DPETNEDC,DPETRSKC,DPETINDC,DPETASIC,DPETPCIC,DPETTWOC,DPETBLAC,DPETHISC,DPETWHIC,DPETDISD,DPETDISC,DPETDISP,DPERRAKR,DPERRA1R,DPERRA2R,DPERRA3R,DPERRA4R,DPERRA5R,DPERRA6R,DPERRA7R,DPERRA8R,DPERSAKR,DPERSA1R,DPERSA2R,DPERSA3R,DPERSA4R,DPERSA5R,DPERSA6R,DPERSA7R,DPERSA8R,DAUND15C,DAUND15D,DAUND15R,DPEMALLC,DPEMALLT,DPEMALLP,DPETWHIP,DPETBLAP,DPETHISP,DPETINDP,DPETASIP,DPETPCIP,DPETTWOP,DPETECOP,DPETNEDP,DPETRSKP,DPETLEPP,DPETSPEP,DPETVOCP,DPETBILP,DPETGIFP,DPETGEEP,DPETGPKP,DPETGKNP,DPETG01P,DPETG02P,DPETG03P,DPETG04P,DPETG05P,DPETG06P,DPETG07P,DPETG08P,DPETG09P,DPETG10P,DPETG11P,DPETG12P,DA0GM15P,DA0GA15P,DA0GE15P,DPSTTOFC,DPSUTOFC,DPSSTOFC,DPSCTOFC,DPSETOFC,DPSTTOST,DPSUTOST,DPSSTOST,DPSCTOST,DPST00FC,DPST01FC,DPST06FC,DPST11FC,DPST20FC,DPST00ST,DPST01ST,DPST06ST,DPST11ST,DPST20ST,DPSTNOFC,DPSTBAFC,DPSTMSFC,DPSTPHFC,DPSPCOFC,DPSECOFC,DPSPTOFC,DPSXTOFC,DPSATOFC,DPSOTOFC,DPSTINFC,DPSTPIFC,DPSTASFC,DPSTBLFC,DPSTHIFC,DPSTWHFC,DPSTTWFC,DPSTMAFC,DPSTFEFC,DPSXCOFC,DPSTREFC,DPSTVOFC,DPSTBIFC,DPSTCOFC,DPSTGIFC,DPSTSPFC,DPSTOPFC,DPSTURNN,DPSTURND,DPSTURNR,DPSTTENA,DPSTEXPA,DPSAMIFC,DPCTSOCS,DPCTSOCC,DPCTSCIS,DPCTSCIC,DPCTMATS,DPCTMATC,DPCTG06S,DPCTG06C,DPCTG05S,DPCTG05C,DPCTG04S,DPCTG04C,DPCTG03S,DPCTG03C,DPCTG02S,DPCTG02C,DPCTG01S,DPCTG01C,DPCTGMES,DPCTGMEC,DPCTGKGS,DPCTGKGC,DPCTFLAS,DPCTFLAC,DPCTENGS,DPCTENGC,DPCTSOCA,DPCTSCIA,DPCTMATA,DPCTGMEA,DPCTGKGA,DPCTG06A,DPCTG05A,DPCTG04A,DPCTG03A,DPCTG02A,DPCTG01A,DPCTFLAA,DPCTENGA,DPSPTOFP,DPSTTOFP,DPSUTOFP,DPSSTOFP,DPSCTOFP,DPSETOFP,DPSXTOFP,DPSAMIFP,DPSTNOFP,DPSTBAFP,DPSTMSFP,DPSTPHFP,DPST00FP,DPST01FP,DPST06FP,DPST11FP,DPST20FP,DPSTREFP,DPSTVOFP,DPSTBIFP,DPSTCOFP,DPSTGIFP,DPSTSPFP,DPSTOPFP,DPSTBLFP,DPSTWHFP,DPSTHIFP,DPSTPIFP,DPSTINFP,DPSTASFP,DPSTTWFP,DPSTMAFP,DPSTFEFP,DPSTKIDR,DPST00SA,DPST01SA,DPST06SA,DPST11SA,DPST20SA,DPSTTOSA,DPSUTOSA,DPSSTOSA,DPSCTOSA,DPFEIERP,DPSAINHP
"001902",56,10,46,0,0,0,6,4,44,0,1,0,1,13,8,0,13,82.1,0,100,10.7,7.1,78.6,0,1.8,0,1.8,23.2,14.3,0,23.2,1,0,39,50,47,45,34,44,47,40,33,48,45,47,48,568,78,3,153,63,3,192,376,224,0,4,0,29,24,40,471,640,7,1.1,0,2.6,0,3.2,0,2.4,0,0,0,14.3,0,0,0,0,0,0,0,0,0,309,0,75,570,13.2,82.9,4.2,7,0,0.7,0,5.1,33.8,66.2,39.4,0.5,13.7,26.9,0.5,11.1,0.2,0,6.9,8.8,8.3,7.9,6,7.7,8.3,7,5.8,8.5,7.9,8.3,8.5,17.9,0,0,54.4,6.1,3.1,1.5,14.5,2468609,306914.5,219107,117551,3,7,7,19.9,17.5,108081.4,240511.3,267932.2,930704.8,921379.4,0,49.4,5,0,17.4,0,65.1,29.7,109.3,1.9,0,0,0,2,1,51.4,0,11.9,42.5,3,44.6,4.1,0,0,0.1,5.5,0,11.5,54,21.3,7.4,15.1,12.9,240,18,228,20,220,19,40.2,2.7,44,3,29.7,2.9,45,3,46,3,50,3,2.8,0.1,39,3,86,8,274,24,13.3,11.4,11.6,22,13,15.1,14.7,10.3,15,15.3,16.7,10.8,11.4,59.6,49.8,5.6,2.8,1.4,13.3,27.2,11.8,0,90.8,9.2,0,5.5,12.9,12.9,36.6,32.2,82,7.6,0,0,0.2,10.2,0,3.7,94.5,1.8,0,0,0,0,21.9,78.1,10.4,36025,34364,38274,46715,52647,45359,50370,71164,78367,60.4,70.2
"001903",73,11,62,0,0,0,2,4,63,0,1,0,3,28,3,0,12,84.9,0,100,2.7,5.5,86.3,0,1.4,0,4.1,38.4,4.1,0,16.4,4,62,96,93,77,76,81,88,93,105,101,103,88,103,74,1244,144,19,304,45,19,681,563,380,1,11,2,32,67,119,1012,1350,6,0.4,17,4.5,1.6,0,0,0,1.2,6.5,1.2,38.5,33.3,0,9.1,0,0,0,6.7,25,2,605,0.3,195,1180,16.5,81.4,5.4,9.6,0.1,0.9,0.2,2.6,54.7,45.3,30.5,1.5,11.6,24.4,1.5,3.6,0.3,5,7.7,7.5,6.2,6.1,6.5,7.1,7.5,8.4,8.1,8.3,7.1,8.3,5.9,15.1,0,0,100.3,8,4,2,17.6,4439591.2,400129,275401,186590,4,16.3,20,37,23,131035.3,553506.9,803448.3,1730672.7,1220928,0,85.3,15,0,0,0,114.3,49.6,181.5,0,0,0,0,2,5,93.3,0,22,78.3,0,81.5,4.7,0,1.6,3.1,9.5,0,15,100.7,14.9,9.5,14.2,14.5,589,34,503,32,544,39,79,5.2,85.7,5.1,78.1,5.1,74.4,5,72,3.7,74.3,4.9,0,0,85.7,4.6,224,14,691,59,17.3,15.7,13.9,.,18.6,15.3,16.9,15.4,14.9,19.3,15.2,16,11.7,63,55.3,4.4,2.2,1.1,9.7,27.3,8,0,85,15,0,4,16.3,19.9,36.9,22.9,81.2,4.7,0,1.6,3,9.5,0,2,93,5,0,0,0,0,21.9,78.1,12.4,32764,33890,40169,46775,53081,44248,50016,68850,93295,62,68.4
"001904",43,11,31,0,0,1,8,5,29,0,1,0,0,25,9,0,31,72.1,2.3,100,18.6,11.6,67.4,0,2.3,0,0,58.1,20.9,0,72.1,3,38,58,72,71,57,64,72,68,48,59,65,66,53,47,841,69,19,273,60,19,475,366,338,4,6,1,32,74,86,638,896,9,1,6.6,1.9,7.5,5.6,0,3.8,0,0,1.6,0,16.7,0,0,0,0,0,0,0,0,387,0,133,783,17,75.9,8.8,10.2,0.5,0.7,0.1,3.8,56.5,43.5,40.2,2.3,8.2,32.5,2.3,7.1,0.4,4.5,6.9,8.6,8.4,6.8,7.6,8.6,8.1,5.7,7,7.7,7.8,6.3,5.6,25.6,0,0,58.1,5.9,4,3,18.2,2508280.7,335431.6,261299,258952,2,15,7.1,16,18,62672.9,510693.3,277558.6,768236.5,889119.4,0.1,51,7,0,0,0,71,28.1,117.3,0,0,0,0,2,1,55.1,0,15,43.1,0,45.9,6.2,0,1.9,0,3.8,0.3,12.8,56.9,22.5,6.6,14.2,11.9,339,19,314,23,302,21,33.7,1.9,72.2,3.2,64.4,4.3,59.6,3.2,74.2,3.2,75.4,3.2,0,0,40.1,3,152,7,382,27,17.8,13.7,14.4,.,13.4,18,22.3,15.1,18.9,23.1,23.6,21.7,14.1,60.5,49.5,5,3.4,2.6,15.5,24,10.1,0.2,87.8,12,0,3.4,25.8,12.2,27.5,31,79,10.7,0,3.3,0,6.5,0.5,3.4,94.8,1.7,0,0,0,0,25.8,74.2,14.5,31330,34046,39028,48022,49397,43165,56968,65325,86317,56.9,62.8
"001906",29,3,26,0,0,0,2,1,26,0,0,0,0,10,2,0,5,89.7,0,100,6.9,3.4,89.7,0,0,0,0,34.5,6.9,0,17.2,1,18,24,28,25,32,28,27,28,25,34,30,27,23,33,383,42,6,140,26,6,164,219,116,0,3,0,8,32,44,296,412,4,1,7.1,10,0,0,0,0,4.5,0,0,0,.,.,0,0,0,0,0,0,0,201,0,68,385,17.7,77.3,8.4,11.5,0,0.8,0,2.1,42.8,57.2,30.3,1.6,11,36.6,1.6,6.8,0.3,4.7,6.3,7.3,6.5,8.4,7.3,7,7.3,6.5,8.9,7.8,7,6,8.6,10.3,0,0,34.5,1.9,3,1,8,1517610.8,92828.4,203056,95232,2.1,8,6,12.4,6,79118.9,266500.2,233419.8,592637.4,345934.5,0,34.5,0,0,0,0,40.4,17.9,66.3,0,0,0,0,2,0,32.5,0,9,25.5,0,28.3,3,0,0.8,0.2,2.2,0,4.7,34.7,13.6,5.9,11,9,148,13,126,11,150,17,16.4,1.2,24.8,1.8,25.5,1.8,32,2,25,2,27,2,9.3,1,24,1,70,7,161,14,11.4,11.5,8.8,9.3,24,13.3,13.5,14,16,12.5,13.5,10,11.5,60.9,52.1,2.8,4.5,1.5,12.1,27,13.5,0,100,0,0,6.1,23.2,17.4,35.9,17.4,81.9,8.8,0,2.4,0.5,6.4,0,5.8,94.2,0,0,0,0,0,26.1,73.9,11.1,37341,33313,38901,47866,57655,43988,49351,67685,95232,56.3,60.3
"001907",175,14,161,0,0,0,51,70,51,0,3,0,0,102,14,3,90,92,0,100,29.1,40,29.1,0,1.7,0,0,58.3,8,1.7,51.4,4,187,245,262,267,278,247,235,254,243,236,278,238,236,175,3385,289,492,1159,92,538,2507,878,2030,6,27,1,96,914,1396,945,3800,118,3.1,4.7,2.9,1.6,1.8,0,0.9,0.9,0.5,1.8,27.3,14.3,8,0,0,0,0,0,4.3,3,1595,0.2,583,3279,17.8,27.9,27,41.2,0.2,0.8,0,2.8,74.1,25.9,60,15.9,8.5,34.2,14.5,2.7,0.1,5.5,7.2,7.7,7.9,8.2,7.3,6.9,7.5,7.2,7,8.2,7,7,5.2,8,0,0,270.3,29,16,8,70.5,11532914.6,1485457.1,1135125,754390,27.9,101,45,44.8,51.6,933093.6,3785271.6,1884085,2185720.3,2744744.2,6.8,234.8,28.7,0,0,0,323.3,92.6,486.3,0,1,1,0,23.8,20,220.5,4,62.6,207.7,0,206.7,19.2,3.7,17.5,0.8,22.4,0,58.6,268,21.9,6,10.1,112.7,1538,86,1286,64,1794,95,228.6,13.2,177,10.6,187.6,9.1,228.8,11.3,208.4,10.8,213.7,11.1,0,0,257,15,639,34,1791,118,17.9,20.1,18.9,.,17.1,17.3,16.6,20.5,20.2,19.3,19.3,18.8,15.2,66.5,55.6,6,3.3,1.6,14.5,19,23.2,2.5,86.9,10.6,0,10.3,37.4,16.6,16.6,19.1,76.5,7.1,1.4,6.5,0.3,8.3,0,8.8,81.6,7.4,0.4,0.4,0,1.5,23.2,76.8,12.5,33467,37477,41868,48783,53172,42666,51299,70945,94299,58.1,69.3
"001908",88,12,76,0,0,0,18,9,57,0,1,0,3,48,9,0,30,86.4,0,100,20.5,10.2,64.8,0,1.1,0,3.4,54.5,10.2,0,34.1,2,58,120,140,139,106,127,120,118,118,123,119,120,103,96,1609,159,82,415,36,92,1010,599,849,9,8,0,64,286,385,857,1800,17,0.9,6.3,4.7,2,1,2.8,0.9,0,1.9,2.8,0,0,0,0,0,9.1,0,0,0,2,747,0.3,252,1563,16.1,53.3,17.8,23.9,0.6,0.5,0,4,62.8,37.2,52.8,5.7,9.9,25.8,5.1,2.2,0.1,3.6,7.5,8.7,8.6,6.6,7.9,7.5,7.3,7.3,7.6,7.4,7.5,6.4,6,13.6,0,0,130,5.9,7,2,0,5490883.9,326250,553320,211610,8.9,43,18,32,28,289455.8,1491847.1,727481.2,1505002.2,1477097.5,0,115,15,0,0,0,144.9,43.2,188.1,0,0,0,0,9.9,5,114,1,32.5,97.4,0,99.8,9.7,1.2,4.3,2.2,12.7,0.2,27.4,129.2,21.2,5.6,12.2,25.8,661,43,619,41,647,51,108.9,5.8,120,6.4,125.8,6.3,105.8,6.3,144.3,7.3,142.3,7.3,0,0,122.2,7.3,225,15,655,52,15.4,15.1,12.7,.,16.7,18.9,18.7,20,16.8,19.7,19.4,15,12.6,77,69.1,3.1,3.7,1.1,0,23,13.7,0,88.5,11.5,0,6.9,33.1,13.8,24.6,21.6,76.8,7.5,0.9,3.3,1.7,9.7,0.1,7.6,87.7,3.8,0,0,0,0.8,25,75,12.4,32372,34694,40414,47031,52669,42242,55262,79046,105805,59.2,88.7
"001909",32,11,19,0,0,2,0,1,31,0,0,0,0,14,6,0,14,59.4,6.3,100,0,3.1,96.9,0,0,0,0,43.8,18.8,0,43.8,0,30,27,40,21,38,29,31,28,34,34,26,27,23,26,414,54,4,152,20,4,198,216,140,3,1,0,9,9,22,370,441,1,0.2,12.9,10.5,0,0,0,8,0,3.8,0,0,25,0,0,0,0,0,0,0,0,191,0,58,383,15.1,89.4,2.2,5.3,0.7,0.2,0,2.2,47.8,52.2,33.8,1,13,36.7,1,4.8,0,7.2,6.5,9.7,5.1,9.2,7,7.5,6.8,8.2,8.2,6.3,6.5,5.6,6.3,34.4,0,0,39.2,1.9,2,2,0,1791313.6,89515.9,141420,149149,2,4.5,5.1,20.1,7.5,69750.1,174613,215306.8,937842.4,393801.2,0,37.2,2,0,0,0,45.1,9.4,54.5,0,0,0,0,0,0,39.2,0,9,30.2,0,25.4,3.7,0,4.2,0,3.7,2.2,8.7,37.7,23.1,8.7,14.4,0,124,9,162,12,165,13,22.4,1.7,26.7,1.9,22.9,1.6,36.8,2,18,1.9,38.2,1.9,0,0,66,3,70,9,212,15,13.8,13.5,12.7,.,22,13.2,14.2,14.1,18.4,9.7,20,7.8,14.1,82.7,72,3.5,3.7,3.7,0,17.3,0,0,94.9,5.1,0,5.1,11.6,12.9,51.3,19.1,64.9,9.4,0,10.7,0,9.4,5.7,0,100,0,0,0,0,0,23,77,10.6,34879,38503,42428,46616,52505,45664,47590,70710,74575,68.5,71.8
"002901",255,38,2,0,199,16,4,149,96,0,1,0,5,44,16,7,97,0.8,6.3,100,1.6,58.4,37.6,0,0.4,0,2,17.3,6.3,2.7,38,4,132,296,324,297,344,291,310,318,324,279,305,255,261,228,3968,258,485,916,180,510,1575,2393,1620,10,16,0,70,45,2673,1154,4325,45,1,2.9,1.8,0.6,0,0.4,1,0.4,0.4,0,5.6,0,0,0,0,0,0,0,0,33,1743,1.9,517,3845,13.4,29.1,1.1,67.4,0.3,0.4,0,1.8,39.7,60.3,40.8,12.9,6.5,23.1,12.2,4.5,0.1,3.3,7.5,8.2,7.5,8.7,7.3,7.8,8,8.2,7,7.7,6.4,6.6,5.7,14.9,78,0,279.2,33.2,11.7,8.8,63,15357979.3,2181871.3,907070.4,948655.9,8.9,59.5,65,85,60.8,390583.7,2787660.2,3409676.7,4794772.8,3975285.9,0,217.3,60.9,1,0,0,332.8,122.4,518.2,0,3,0,2,2,65.4,201.8,5,67.3,211.8,0,214.9,13.2,1.9,26,2.5,17,3.7,48.5,269,18,7.4,13.2,185.4,1654,95,1583,78,1672,88,237.7,11.2,365.9,16.4,239.9,13.8,360.6,18,350.2,16.5,312,15.5,0,0,279.2,15.6,513,27,2553,169,17.4,20.3,19,.,17.9,21.3,22.3,17.4,20.1,21.3,20.2,19,15.1,64.2,53.9,6.4,2.3,1.7,12.2,23.6,35.8,0,77.8,21.8,0.4,3.2,21.3,23.3,30.4,21.8,77,4.7,0.7,9.3,0.9,6.1,1.3,0.7,72.3,23.4,0,1.1,0.7,1.8,24.1,75.9,14.2,43864,46851,52484,56433,65351,55014,65750,77670,108253,62,66
"003801",40,1,39,0,0,0,4,4,31,0,1,0,0,6,1,0,22,97.5,0,100,10,10,77.5,0,2.5,0,0,15,2.5,0,55,0,43,80,85,84,84,86,86,83,70,70,63,52,39,41,966,58,50,84,75,51,451,515,154,0,22,2,17,166,189,570,867,1,0.1,2.7,5.6,0,0,0,0,0,0,0,14.3,0,0,0,0,0,0,0,0,0,306,0,62,743,8.3,59,17.2,19.6,0,2.3,0.2,1.8,46.7,53.3,15.9,5.3,6,8.7,5.2,7.8,0,4.5,8.3,8.8,8.7,8.7,8.9,8.9,8.6,7.2,7.2,6.5,5.4,4,4.2,2.5,0,0,63.5,9,7,4,14.1,2876901.2,436123.6,423412,378656,14.5,14,17,12,6,536613,601581.6,792510.9,604080.6,342115.1,4.5,37,21,1,0,0,83.5,22.7,120.3,0,0,0,1,7.8,4,50.7,0,11,52.5,0,59.8,0.2,0,2,0.5,1,0,11,50,22,2.9,7.9,33.5,351,26,479,32,304,19,83,4,76.5,3.7,86.1,4,92.3,4.5,92.2,4.5,78.6,4,0,0,74.7,4,298,23,481,29,13.5,15,16,.,18.7,20.8,20.9,21.5,20.3,20.7,19.7,13,16.6,69.4,52.8,7.5,5.8,3.3,11.7,18.9,27.8,7.1,58.3,33,1.6,22.9,22,26.8,18.9,9.5,94.2,0.3,0,3.2,0.8,1.6,0,12.2,79.9,6.3,0,0,1.6,0,17.3,82.7,15.2,36946,43111,46633,50339,57024,45325,48244,60487,94664,62.5,63.7
"003902",189,28,132,0,24,5,11,45,125,0,3,0,5,78,10,2,41,69.8,2.6,100,5.8,23.8,66.1,0,1.6,0,2.6,41.3,5.3,1.1,21.7,5,92,178,212,203,227,203,223,209,208,209,226,214,193,176,2778,212,190,719,150,198,1486,1292,1077,19,23,0,48,184,668,1836,3055,66,2.2,1.7,10.6,2,2.7,3,1.1,1,0,0.5,7.1,5.9,0,0,0,0,0,0,0,0,1299,0,336,2714,12.4,66.1,6.6,24,0.7,0.8,0,1.7,53.5,46.5,38.8,7.1,7.6,25.9,6.8,5.4,0.2,3.3,6.4,7.6,7.3,8.2,7.3,8,7.5,7.5,7.5,8.1,7.7,6.9,6.3,14.8,12.7,0,193.2,31.8,14,4,28,9384394.6,1758197.4,977316,430882,8.2,38,38,63.3,45.6,342454.6,1608912.9,1675397.5,3180808.3,2576821.3,0.2,157,36,0,0,0,243,112.9,383.9,2.2,0,0,0,0,6,184.2,3,34.5,158.6,3,138.4,12,12,7.4,10,12.1,1.2,24.9,193.9,12.9,8.1,13.1,58.3,1045,54,1088,52,1203,64,170.3,8.3,157.8,7.3,167,9.3,126.5,6.3,84.7,4.6,87.5,4.6,0,0,121.7,6.9,410,24,1258,61,19.4,20.9,18.8,.,17.7,20.4,21.5,17.9,20,18.5,19.1,17.1,20.6,63.3,50.3,8.3,3.7,1,7.3,29.4,15.2,0.1,81.3,18.6,0,4.2,19.7,19.7,32.8,23.6,71.7,6.2,6.2,3.8,5.2,6.3,0.6,0,95.3,3.1,0,0,0,1.6,17.9,82.1,14.4,41860,42339,44090,50223,56456,48584,55256,69690,107721,63.1,60.2
