REGION,RA0GR15N,RA0GM15N,RA0GH15N,RA0GE15N,RA0GA15N,RA0GN15N,RB0GR15N,RH0GR15N,RW0GR15N,RI0GR15N,R30GR15N,R40GR15N,R20GR15N,RE0GR15N,RS0GR15N,RL0GR15N,RR0GR15N,RA0GH15P,RA0GN15P,RA0GR15R,RB0GR15R,RH0GR15R,RW0GR15R,RI0GR15R,R30GR15R,R40GR15R,R20GR15R,RE0GR15R,RS0GR15R,RL0GR15R,RR0GR15R,RPETALLC,RPETSPEC,RPETLEPC,RPETECOC,RPETNEDC,RPETGIFC,RPETVOCC,RPETBILC,RPETRSKC,RPETGEEC,RPETGPKC,RPETGKNC,RPETG01C,RPETG02C,RPETG03C,RPETG04C,RPETG05C,RPETG06C,RPETG07C,RPETG08C,RPETG09C,RPETG10C,RPETG11C,RPETG12C,RPETHISC,RPETBLAC,RPETWHIC,RPETINDC,RPETASIC,RPETPCIC,RPETTWOC,RAUND15C,RAUND15D,RAUND15R,RPETDISD,RPETDISC,RPETDISP,RPERRAKR,RPERRA1R,RPERRA2R,RPERRA3R,RPERRA4R,RPERRA5R,RPERRA6R,RPERRA7R,RPERRA8R,RPERSAKR,RPERSA1R,RPERSA2R,RPERSA3R,RPERSA4R,RPERSA5R,RPERSA6R,RPERSA7R,RPERSA8R,RPETWHIP,RPETBLAP,RPETHISP,RPETINDP,RPETASIP,RPETPCIP,RPETTWOP,RPETECOP,RPETNEDP,RPETRSKP,RPETLEPP,RPETSPEP,RPETVOCP,RPETBILP,RPETGIFP,RPETGEEP,RPETGPKP,RPETGKNP,RPETG01P,RPETG02P,RPETG03P,RPETG04P,RPETG05P,RPETG06P,RPETG07P,RPETG08P,RPETG09P,RPETG10P,RPETG11P,RPETG12P,RA0GM15P,RA0GA15P,RA0GE15P,RPSTTOFC,RPSUTOFC,RPSSTOFC,RPSCTOFC,RPSETOFC,RPSTTOST,RPSUTOST,RPSSTOST,RPSCTOST,RPST00FC,RPST01FC,RPST06FC,RPST11FC,RPST20FC,RPST00ST,RPST01ST,RPST06ST,RPST11ST,RPST20ST,RPSTNOFC,RPSTBAFC,RPSTMSFC,RPSTPHFC,RPSPCOFC,RPSECOFC,RPSPTOFC,RPSXTOFC,RPSATOFC,RPSOTOFC,RPSTINFC,RPSTPIFC,RPSTASFC,RPSTBLFC,RPSTHIFC,RPSTWHFC,RPSTTWFC,RPSTMAFC,RPSTFEFC,RPSXCOFC,RPSTREFC,RPSTVOFC,RPSTBIFC,RPSTCOFC,RPSTGIFC,RPSTSPFC,RPSTOPFC,RPSTURNN,RPSTURND,RPSTURNR,RPSTTENA,RPSTEXPA,RPSAMIFC,RPCTSOCS,RPCTSOCC,RPCTSCIS,RPCTSCIC,RPCTMATS,RPCTMATC,RPCTG06S,RPCTG06C,RPCTG05S,RPCTG05C,RPCTG04S,RPCTG04C,RPCTG03S,RPCTG03C,RPCTG02S,RPCTG02C,RPCTG01S,RPCTG01C,RPCTGMES,RPCTGMEC,RPCTGKGS,RPCTGKGC,RPCTFLAS,RPCTFLAC,RPCTENGS,RPCTENGC,RPCTSOCA,RPCTSCIA,RPCTMATA,RPCTGMEA,RPCTGKGA,RPCTG06A,RPCTG05A,RPCTG04A,RPCTG03A,RPCTG02A,RPCTG01A,RPCTFLAA,RPCTENGA,RPSPTOFP,RPSTTOFP,RPSUTOFP,RPSSTOFP,RPSCTOFP,RPSETOFP,RPSXTOFP,RPSAMIFP,RPSTNOFP,RPSTBAFP,RPSTMSFP,RPSTPHFP,RPST00FP,RPST01FP,RPST06FP,RPST11FP,RPST20FP,RPSTREFP,RPSTVOFP,RPSTBIFP,RPSTCOFP,RPSTGIFP,RPSTSPFP,RPSTOPFP,RPSTBLFP,RPSTWHFP,RPSTHIFP,RPSTPIFP,RPSTINFP,RPSTASFP,RPSTTWFP,RPSTMAFP,RPSTFEFP,RPSTKIDR,RPST00SA,RPST01SA,RPST06SA,RPST11SA,RPST20SA,RPSTTOSA,RPSUTOSA,RPSSTOSA,RPSCTOSA,RPFEIERP,RPSAINHP
"01",24988,2186,22552,1,14,235,41,24320,434,17,156,2,18,19372,1741,2646,13600,90.3,0.9,100,0.2,97.3,1.7,0.1,0.6,0,0.1,77.5,7,10.6,54.4,426678,31793,157644,362792,63886,36197,113663,158117,275878,406,24169,28759,32426,32286,31628,30748,30864,31539,31546,31572,36083,31137,27789,25726,415639,1237,7184,227,1858,65,468,1242,192600,0.6,438607,6730,1.5,1.6,6.1,4.5,2.6,1.2,0.7,0.8,1.1,1.1,5.2,10,4.5,1.3,0.5,0.8,0.9,1.4,1.9,1.7,0.3,97.4,0.1,0.4,0,0.1,85,15,64.7,36.9,7.5,26.6,37.1,8.5,0.1,5.7,6.7,7.6,7.6,7.4,7.2,7.2,7.4,7.4,7.4,8.5,7.3,6.5,6,8.7,0.1,0,27212.4,5710.3,1600.5,541.6,6325.9,1410960980,350642671,120634031.9,51983313.7,1865,6298.8,6354.5,7924.9,4769.2,82375532.2,294017083.6,313944254.8,424120721.3,296503388.1,406.1,22132,4599.8,74.6,49.2,4.5,35064.9,20098,61488.8,33.6,21.9,14.6,210.6,118.9,24472.5,2313.5,60.5,8064.5,19147.9,23.6,17630.3,1446.6,4301.6,361.8,1005.8,2106.7,359.8,2693.8,27125.1,9.9,9.5,11.7,57756,168076,8858,157556,8541,178290,10091,23679.8,1187.8,16443.8,803.6,16262.6,838.6,16175.8,817.7,16330.2,817.2,15588.9,773,1024.4,62.2,15358.7,772.5,77408,4143,232045,13755,19,18.4,17.7,16.5,19.9,19.9,20.5,19.4,19.8,20,20.2,18.7,16.9,57,44.3,9.3,2.6,0.9,10.3,32.7,93.9,1.5,81.3,16.9,0.3,6.9,23.1,23.4,29.1,17.5,64.8,5.3,15.8,1.3,3.7,7.7,1.3,0.4,8.5,89.9,0.1,0.1,0.8,0.2,29.6,70.4,15.7,44169,46678,49405,53518,62171,51850,61405,75372,95974,61.6,59.2
"02",6370,980,4810,2,13,565,195,4531,1447,23,93,9,72,3054,550,70,3210,75.5,8.9,100,3.1,71.1,22.7,0.4,1.5,0.1,1.1,47.9,8.6,1.1,50.4,101511,9108,4390,62154,39357,5233,24190,4070,52207,139,3770,7063,7997,7905,7871,7748,7598,7509,7413,7709,8537,7514,6591,6147,75497,2644,20781,190,1207,74,1118,136,49489,0.3,107544,2234,2.1,1.9,6.1,3.6,2.9,1.8,1.4,1.3,1.7,1.7,8.9,7.8,5.2,2.2,0.5,1.4,1.1,0.6,1.5,20.5,2.6,74.4,0.2,1.2,0.1,1.1,61.2,38.8,51.4,4.3,9,23.8,4,5.2,0.1,3.7,7,7.9,7.8,7.8,7.6,7.5,7.4,7.3,7.6,8.4,7.4,6.5,6.1,15.4,0.2,0,6671.5,1129.9,407.4,217.5,1623.1,326571014,63932619.5,28887067.3,19232374.3,588.2,1635.3,1225.8,1843.3,1378.7,24836833.3,71631305.6,56917072.1,94186461.2,78999341.8,59.6,4834.9,1731.8,45.1,10.2,2,8426.3,3948.5,13997.9,20.2,28.3,5,40.2,144.1,3267.5,3144.4,41.9,1538.4,5133.1,10.1,5274.1,294.1,48.7,226.8,75.5,586.7,165.7,1166,6618.5,17.6,8.3,12.2,8913.2,42551,2322,41820,2297,45972,2648,5878.9,294.7,6999.4,346.7,7202.5,381,7274.9,397.4,7110.3,374.9,7318.1,397.1,247.1,12.3,6508.7,339.5,19430,1026,52397,3078,18.3,18.2,17.4,20.1,19.2,19.9,20.2,18.9,18.3,19,18.4,18.9,17,60.2,47.7,8.1,2.9,1.6,11.6,28.2,63.7,0.9,72.5,26,0.7,8.8,24.5,18.4,27.6,20.7,79.1,4.4,0.7,3.4,1.1,8.8,2.5,2.2,47.1,49,0.1,0.4,0.6,0.6,23.1,76.9,15.2,42222,43802,46433,51095,57298,48950,56584,70900,88428,59.5,62.3
"03",3265,560,1871,5,654,175,314,1554,1313,7,45,1,31,1337,267,50,1454,57.3,5.4,100,9.6,47.6,40.2,0.2,1.4,0,0.9,40.9,8.2,1.5,44.5,54259,4981,4450,33518,20741,2736,12870,4286,24247,121,2304,3925,4210,4290,4289,4035,3990,3893,4012,3988,4489,3957,3617,3139,30750,4756,17284,77,602,19,771,133,26224,0.5,57523,1301,2.3,4.3,5.8,3.5,2.2,1.3,0.9,0.5,0.9,0.8,14.9,9.2,2.9,1.2,0.9,2.2,0.4,0.8,1.8,31.9,8.8,56.7,0.1,1.1,0,1.4,61.8,38.2,44.7,8.2,9.2,23.7,7.9,5,0.2,4.2,7.2,7.8,7.9,7.9,7.4,7.4,7.2,7.4,7.3,8.3,7.3,6.7,5.8,17.2,20,0.2,3977.2,630.7,238.1,113.1,1085.9,187989678.9,33578921.9,16529621.8,10117009.2,347.3,958.3,700.2,1085.3,886.1,14191539.4,39663458.3,31287577.6,53662278.7,49184824.9,31.1,3340.3,588.5,17.2,43.2,10.3,4959.1,2128.5,8173.5,97.6,7.4,0,16,160.7,621,3155.7,16.3,872.7,3104.4,46.8,3082.2,213.2,62.1,165.3,51.8,306,96.5,816.1,3977.3,20.5,7.7,12.3,2863,22311,1372,21035,1292,24431,1643,2964.9,168.2,3536.3,193.1,3520.6,194.7,3837.5,205.6,3788.8,200,3575.3,190.7,129.7,6.7,3422.7,186.2,8509,525,30283,2089,16.3,16.3,14.9,19.4,18.4,17.6,18.3,18.1,18.7,18.9,18.7,16.2,14.5,60.7,48.7,7.7,2.9,1.4,13.3,26,35,0.8,84,14.8,0.4,8.7,24.1,17.6,27.3,22.3,77.5,5.4,1.6,4.2,1.3,7.7,2.4,4,79.3,15.6,0,0.2,0.4,0.4,21.9,78.1,13.6,40867,41387,44686,49447,55505,47267,53242,69410,89453,61.1,65.2
"04",68341,10761,54311,158,330,2781,13139,30120,18306,234,5369,79,1094,31184,4598,2580,31591,79.5,4.1,100,19.2,44.1,26.8,0.3,7.9,0.1,1.6,45.6,6.7,3.8,46.2,1190725,92633,260328,694110,496615,90666,276566,254434,616653,3265,51358,85362,94749,93480,93007,89219,87781,87498,87342,86241,96085,85590,78406,71342,598419,223680,260411,5532,80056,1452,21175,1072,526561,0.2,1215741,14838,1.2,1.3,4.4,3.1,2.8,1.4,0.9,0.7,0.9,0.6,5.4,7.7,3.4,1.8,0.8,0.8,1,0.9,0.9,21.9,18.8,50.3,0.5,6.7,0.1,1.8,58.3,41.7,51.8,21.9,7.8,23.2,21.4,7.6,0.3,4.3,7.2,8,7.9,7.8,7.5,7.4,7.3,7.3,7.2,8.1,7.2,6.6,6,15.7,0.5,0.2,73239.9,15582.6,4190.6,1264.8,12143.3,4070664233.9,1009988133.8,337246125.2,138017908.3,6422.9,21702.5,16608.2,18678,9828.4,315474205.6,1129020854.7,904221864.7,1075540095.9,646407213,1120.1,53749.1,17697.1,673.6,62.3,7.1,94277.9,41014.2,147435.4,624.9,233.4,357.7,2232.3,15089.1,14325.8,40046.2,955.3,16273.3,56966.6,33.3,53732.1,2654.3,4354,1494.4,1759.5,6432.9,2812.8,11961.2,71029.4,16.8,6.8,10.2,79662.8,493697,23853,470854,23429,506096,26066,62128.2,2883.3,71830.1,3458.7,74353.5,3882.7,77629,3992.1,78271.4,4043.6,79460.1,4061.9,10872.3,413.5,72291.6,3720.1,208131,9966,608081,33140,20.7,20.1,19.4,26.3,19.4,21.5,20.8,19.2,19.4,19.4,19.6,20.9,18.3,63.9,49.7,10.6,2.8,0.9,8.2,27.8,54,1.5,73.4,24.2,0.9,8.8,29.6,22.7,25.5,13.4,73.4,3.6,5.9,2,2.4,8.8,3.8,20.6,54.7,19.6,0.5,0.3,3,1.3,22.2,77.8,16.3,49117,52023,54444,57583,65770,55580,64815,80477,109124,65.3,63.6
"05",5010,1023,3625,1,187,174,1178,752,2813,32,147,3,85,2123,598,70,2129,72.4,3.5,100,23.5,15,56.1,0.6,2.9,0.1,1.7,42.4,11.9,1.4,42.5,81699,7242,6516,46925,34774,3901,22181,5485,34179,260,3727,6123,6549,6405,6357,6103,5952,5907,5812,5854,6294,5911,5382,5063,16032,21530,40017,462,1878,57,1723,103,37271,0.3,86010,1832,2.1,3.2,4.7,3.2,1.7,1.1,1.2,1.2,1.2,0.8,10.8,8.6,3.4,1.9,0.5,1,1.7,1.4,0.2,49,26.4,19.6,0.6,2.3,0.1,2.1,57.4,42.6,41.8,8,8.9,27.1,6.7,4.8,0.3,4.6,7.5,8,7.8,7.8,7.5,7.3,7.2,7.1,7.2,7.7,7.2,6.6,6.2,20.4,3.7,0,5562.4,826.3,345.7,139,1252,258521355.5,45098534,23889352.2,13020910.5,467,1247.1,1000.7,1540.7,1307,17406238.9,50454794.1,43377165.2,73754307.9,73528849.5,67.1,4465.6,1011,18.8,24.4,10.9,6873.4,3077.6,11203,53.7,14.5,3,31.7,939.5,251.7,4276.9,45.1,1109.5,4452.9,9,4205.6,334,89.2,232.8,63.5,483.9,153.6,1036.2,5509,18.8,8.7,12.7,3460.7,32303,1803,30865,1685,34152,2007,4200.4,215.6,4654.9,238.3,4996.5,250.6,5487.2,265.5,5107.3,269.1,5275.6,272.7,166.2,10.2,5266.2,268.4,11465,586,40892,2456,17.9,18.3,17,16.3,19.6,19.5,19.5,19.9,20.7,19,19.3,19.6,16.6,61.4,49.7,7.4,3.1,1.2,11.2,27.5,30.9,1.2,80.3,18.2,0.3,8.4,22.4,18,27.7,23.5,75.6,6,1.6,4.2,1.1,8.7,2.8,16.9,76.9,4.5,0.1,0.3,0.6,0.8,19.9,80.1,14.7,37275,40459,43347,47870,56259,46476,54577,69108,93691,58.9,62.8
"06",11131,1821,8504,9,636,161,1172,3199,6248,57,243,13,199,4068,890,283,4648,76.4,1.4,100,10.5,28.7,56.1,0.5,2.2,0.1,1.8,36.5,8,2.5,41.8,189507,15592,25729,94224,95283,13274,47728,26128,79037,454,6329,13616,14911,14799,14700,14138,14338,13947,14223,14100,15330,14425,12720,11477,66296,20105,93361,814,4214,167,4550,275,85691,0.3,196672,2884,1.5,2.2,4.9,2.8,2.2,0.9,1,0.4,0.6,0.7,8.7,7.8,3.5,1.5,1.8,0.8,0.7,0.5,0.8,49.3,10.6,35,0.4,2.2,0.1,2.4,49.7,50.3,41.7,13.6,8.2,25.2,13.8,7,0.2,3.3,7.2,7.9,7.8,7.8,7.5,7.6,7.4,7.5,7.4,8.1,7.6,6.7,6.1,16.4,5.7,0.1,12588.8,2189.8,725.7,269.5,2511.3,633645439.8,130572238,54585462.5,25933830,928.2,3358.6,2758.8,3373.7,2169.5,39924734.7,154327492.6,134670128.4,176590210.7,128132873.4,113.7,9766.1,2631,78.1,61.1,2,15773.8,6758.4,25043.4,71.9,30.3,3,71.8,665.1,1270.7,10469.4,78.6,2667.7,9921.1,19.8,9115.1,687.6,524.1,335,91,1272.9,563.1,2355.1,12332.4,19.1,6.7,11.3,6378.5,81831,4138,76192,3935,82391,4488,12019.7,548.9,12601.6,579.1,12195.7,651.1,12787.7,675.7,12652.5,660.1,12745.3,674.8,401.3,17.3,11542.9,619.4,33764,1775,92675,5478,19.8,19.4,18.4,23.2,18.6,21.9,21.8,18.7,18.9,19.2,18.9,19,16.9,63,50.3,8.7,2.9,1.1,10,27,25.5,0.9,77.6,20.9,0.6,7.4,26.7,21.9,26.8,17.2,72.4,5.5,4.2,2.7,0.7,10.1,4.5,5.3,83.2,10.1,0,0.2,0.6,0.6,21.2,78.8,15.1,43012,45951,48815,52343,59060,50334,59629,75213,96243,62.9,63.3
"07",10412,1708,7771,29,440,464,1863,2362,5828,42,106,7,204,4709,989,238,4425,74.6,4.5,100,17.9,22.7,56,0.4,1,0.1,2,45.2,9.5,2.3,42.5,172370,14842,21787,106270,66100,11362,46668,21311,85591,269,7660,12567,13437,13274,13498,12877,12928,12610,12632,12664,13422,12468,11486,10578,47526,29572,87950,686,1686,120,4830,120,78511,0.2,180037,2705,1.5,3.3,5,3,1.9,0.8,1.2,0.7,0.8,0.9,12.8,9.7,4.4,1.6,0.6,1.7,0.5,0.8,1.4,51,17.2,27.6,0.4,1,0.1,2.8,61.7,38.3,49.7,12.6,8.6,27.1,12.4,6.6,0.2,4.4,7.3,7.8,7.7,7.8,7.5,7.5,7.3,7.3,7.3,7.8,7.2,6.7,6.1,16.4,4.2,0.3,12610.1,1959.4,808,426.1,2667.5,564228180.1,101433028.2,55056192.2,37648069.9,872.6,3228.8,2434.3,3426.9,2647.5,32107128.6,125074481.7,102212934.7,162584727.6,142248907.5,108.1,10111.1,2356.8,34,153,42.8,15803.6,6235.9,24707,119.4,40.4,7,31.9,1075.2,696.1,10653.5,106,2700.1,9910,43.2,9302.8,774.2,546.3,661.3,143.7,903.7,278.1,2440.5,12566.7,19.4,7.3,12.2,5856.7,69710,4188,66636,4073,73408,4775,10313.5,565.2,11111,562,10884.1,588.3,11287.9,604,11004.9,595.2,11324,604.1,1145.9,52.8,10304.1,559.4,27675,1733,87396,5948,16.6,16.4,15.4,21.7,18.4,18.2,19.8,18.5,18.7,18.5,18.7,16,14.7,64,51,7.9,3.3,1.7,10.8,25.2,23.7,0.9,80.2,18.7,0.3,6.9,25.6,19.3,27.2,21,73.8,6.1,4.3,5.2,1.1,7.2,2.2,8.5,84.5,5.5,0.1,0.3,0.3,0.8,21.4,78.6,13.7,36797,38737,41989,47443,53729,44744,51769,68138,88349,61.1,64.8
"08",3591,876,2517,0,126,72,726,639,2071,31,33,2,89,1755,405,76,1533,70.1,2,100,20.2,17.8,57.7,0.9,0.9,0.1,2.5,48.9,11.3,2.1,42.7,61273,6254,6614,39230,22043,4282,15922,6455,28903,187,3655,4490,4699,4780,4656,4415,4409,4419,4326,4413,4628,4279,4160,3757,13712,12191,32218,369,467,54,2262,49,25523,0.2,65231,1178,1.8,6,5.9,3,2.2,0.5,0.9,0.5,0.2,0.5,16.5,8.3,4.6,1.9,0.8,0.5,0.7,0.2,0.5,52.6,19.9,22.4,0.6,0.8,0.1,3.7,64,36,47.2,10.8,10.2,26,10.5,7,0.3,6,7.3,7.7,7.8,7.6,7.2,7.2,7.2,7.1,7.2,7.6,7,6.8,6.1,24.4,3.5,0,4883.7,681.5,312.9,141.7,1266.8,215220475.3,35543370.6,20396778.3,12276113.3,287,1122.8,961.8,1425.2,1087,10422368.2,41633910.7,39369471.7,66929975.8,56864749,47.8,3806.8,1014.2,14.9,41.2,11,6019.7,2259.1,9545.6,12.8,16.9,4,17,382.8,201.9,4218.1,43,1008.4,3875.3,21.4,3443.7,305.3,149.4,356.9,42.5,390,195.9,867.4,4854.7,17.9,8.2,12.9,2091.9,25159,1561,22751,1466,25347,1741,3545.2,203.7,4063.6,223.5,4002.1,224.8,4029,223.4,4045.8,228.9,4109.9,227,135.1,10.1,3755.6,208.6,9460,579,32277,2347,16.1,15.5,14.6,13.4,18,17.4,18.2,17.8,18,17.7,18.1,16.3,13.8,63.1,51.2,7.1,3.3,1.5,13.3,23.7,21.9,1,77.9,20.8,0.3,5.9,23,19.7,29.2,22.3,70.5,6.3,3.1,7.3,0.9,8,4,7.8,86.4,4.1,0.1,0.3,0.3,0.9,20.6,79.4,12.5,36311,37081,40935,46963,52313,44069,52158,65184,86665,62.3,65.9
"09",2472,446,1828,0,122,76,193,570,1572,33,35,4,65,1046,293,25,1045,73.9,3.1,100,7.8,23.1,63.6,1.3,1.4,0.2,2.6,42.3,11.9,1,42.3,37551,4227,2117,20997,16554,1800,9418,1985,17951,108,1978,2785,2914,2926,2810,2798,2715,2822,2630,2760,2731,2657,2521,2396,10179,2722,22292,290,575,55,1438,70,17239,0.4,40161,565,1.4,3.5,3.5,1.6,1,0.9,1.6,0.2,0.5,0.6,13.5,6,2.6,1,0.6,0.8,0.6,0,2,59.4,7.2,27.1,0.8,1.5,0.1,3.8,55.9,44.1,47.8,5.6,11.3,25.1,5.3,4.8,0.3,5.3,7.4,7.8,7.8,7.5,7.5,7.2,7.5,7,7.4,7.3,7.1,6.7,6.4,18,4.9,0,2949.7,400.6,165.6,72.9,734.1,136046642,20995559.4,11396150.9,6652155.6,165.8,644.8,521.3,916.6,701.2,6230825.3,25400523.7,22011611.5,43862921,38540760.5,46.9,2354.5,544.7,3.5,55.6,1,3588.7,1201.2,5524,6.8,17.3,1,13,67.5,157.1,2674.8,18.9,689.1,2260.6,13.4,2232.8,160.9,28.4,208.5,12.6,243.1,63.4,460.2,2976,15.5,9,13.3,786.9,15903,1038,14434,971,15985,1146,2221.2,135.7,2333.9,129.7,2571.1,143.8,2441.7,141,2709.8,153.1,2593.9,143.9,800.3,25.5,2598.6,150.5,6686,415,20588,1479,15.3,14.9,13.9,31.4,17.3,16.4,18,17.9,17.3,17.7,18,16.1,13.9,65,53.4,7.3,3,1.3,13.3,21.7,14.2,1.6,79.8,18.5,0.1,5.6,21.9,17.7,31.1,23.8,75.7,5.5,1,7.1,0.4,8.2,2.2,2.3,90.7,5.3,0,0.6,0.4,0.6,23.4,76.6,12.7,37571,39392,42227,47855,54968,46123,52411,68819,91313,62.7,68.3
"10",49083,8002,40531,30,94,426,9321,18694,16764,298,3026,82,898,22439,3424,2681,20762,82.6,0.9,100,19,38.1,34.2,0.6,6.2,0.2,1.8,45.7,7,5.5,42.3,822139,71239,179771,467351,354788,77857,192595,175693,389112,2357,30183,58778,63418,64521,64475,62944,62120,61067,60743,60113,66416,60439,55020,49545,354147,152350,235513,4984,56002,888,18255,1456,375367,0.4,835785,10304,1.2,1.5,2.4,1.8,1.3,0.8,1,0.7,0.8,1,8.7,5.3,2.7,1.2,0.5,0.9,1,1.1,1.1,28.6,18.5,43.1,0.6,6.8,0.1,2.2,56.8,43.2,47.3,21.9,8.7,23.4,21.4,9.5,0.3,3.7,7.1,7.7,7.8,7.8,7.7,7.6,7.4,7.4,7.3,8.1,7.4,6.7,6,16.3,0.2,0.1,54104.3,11427.3,3093.5,1205.7,9136.8,2864545363.5,714150253.3,238583637.7,122597692.9,5260.9,16349.9,11907.3,14085,6501.2,250502281,818501368.8,619521382.8,773011010.6,403009320.4,435.7,37967.4,15272.3,429,59.4,7,69830.8,22200.4,101168,417.6,312.5,314.1,1123.8,9009.2,7938.8,34561.9,843.9,12950.5,41153.8,27.2,39199.9,2210.8,2864.1,1630.4,908.4,5239.4,2051.1,9669.6,52200.3,18.5,6.4,9.8,43273.8,339468,17150,319744,16810,337790,18562,47272.2,2319.4,53702.9,2545.6,54037.3,2855.1,54609.5,2875.2,54102.3,2869.1,49780.6,2621.7,4180.9,157,49122.2,2621.1,150259,8077,399995,23432,19.8,19,18.2,26.6,18.7,20.4,21.1,18.9,19,18.9,19,18.6,17.1,69,53.5,11.3,3.1,1.2,9,21.9,42.8,0.8,70.2,28.2,0.8,9.7,30.2,22,26,12,72.5,4.1,5.3,3,1.7,9.7,3.8,16.7,63.9,14.7,0.6,0.6,2.1,1.6,23.9,76.1,15.2,47616,50062,52029,54882,61990,52945,62495,77125,101678,65,68
