DISTRICT,DA0GR16N,DA0GM16N,DA0GH16N,DA0GE16N,DA0GA16N,DA0GN16N,DB0GR16N,DH0GR16N,DW0GR16N,DI0GR16N,D30GR16N,D40GR16N,D20GR16N,DE0GR16N,DS0GR16N,DL0GR16N,DR0GR16N,DA0GH16P,DA0GN16P,DA0GE16P,DA0GA16P,DA0GR16R,DB0GR16R,DH0GR16R,DW0GR16R,DI0GR16R,D30GR16R,D40GR16R,D20GR16R,DE0GR16R,DS0GR16R,DL0GR16R,DR0GR16R,DPETGEEC,DPETGPKC,DPETGKNC,DPETG01C,DPETG02C,DPETG03C,DPETG04C,DPETG05C,DPETG06C,DPETG07C,DPETG08C,DPETG09C,DPETG10C,DPETG11C,DPETG12C,DPETALLC,DPETSPEC,DPETBILC,DPETVOCC,DPETGIFC,DPETLEPC,DPETECOC,DPETNEDC,DPETRSKC,DPETINDC,DPETASIC,DPETPCIC,DPETTWOC,DPETBLAC,DPETHISC,DPETWHIC,DPETDISD,DPETDISC,DPETDISP,DPERRAKR,DPERRA1R,DPERRA2R,DPERRA3R,DPERRA4R,DPERRA5R,DPERRA6R,DPERRA7R,DPERRA8R,DPERSAKR,DPERSA1R,DPERSA2R,DPERSA3R,DPERSA4R,DPERSA5R,DPERSA6R,DPERSA7R,DPERSA8R,DAUND16C,DAUND16D,DAUND16R,DPEMALLC,DPEMALLT,DPEMALLP,DPETSIMC,DPETSINC,DPETSINP,DPETSPHC,DPETSPHP,DPETSBHC,DPETSBHP,DPETSAUC,DPETSAUP,DPETSNOC,DPETSNOP,DPETWHIP,DPETBLAP,DPETHISP,DPETINDP,DPETASIP,DPETPCIP,DPETTWOP,DPETECOP,DPETNEDP,DPETRSKP,DPETLEPP,DPETSPEP,DPETVOCP,DPETBILP,DPETGIFP,DPETGEEP,DPETGPKP,DPETGKNP,DPETG01P,DPETG02P,DPETG03P,DPETG04P,DPETG05P,DPETG06P,DPETG07P,DPETG08P,DPETG09P,DPETG10P,DPETG11P,DPETG12P,DA0GM16P,DPSTTOFC,DPSUTOFC,DPSSTOFC,DPSCTOFC,DPSETOFC,DPSTTOST,DPSUTOST,DPSSTOST,DPSCTOST,DPST00FC,DPST01FC,DPST06FC,DPST11FC,DPST20FC,DPST00ST,DPST01ST,DPST06ST,DPST11ST,DPST20ST,DPSTNOFC,DPSTBAFC,DPSTMSFC,DPSTPHFC,DPSPCOFC,DPSECOFC,DPSPTOFC,DPSXTOFC,DPSATOFC,DPSOTOFC,DPSTINFC,DPSTPIFC,DPSTASFC,DPSTBLFC,DPSTHIFC,DPSTWHFC,DPSTTWFC,DPSTMAFC,DPSTFEFC,DPSXCOFC,DPSTREFC,DPSTVOFC,DPSTBIFC,DPSTCOFC,DPSTGIFC,DPSTSPFC,DPSTOPFC,DPSTURNN,DPSTURND,DPSTURNR,DPSTFTEC,DPSTTENA,DPSTEXPA,DPSHFTEC,DPSHTENA,DPSHEXPA,DPSLFTEC,DPSLTENA,DPSLEXPA,DPSAMIFC,DPSTEXPT,DPSTTENT,DPSHEXPT,DPSHTENT,DPSLEXPT,DPSLTENT,DPCTSOCS,DPCTSOCC,DPCTSCIS,DPCTSCIC,DPCTMATS,DPCTMATC,DPCTG06S,DPCTG06C,DPCTG05S,DPCTG05C,DPCTG04S,DPCTG04C,DPCTG03S,DPCTG03C,DPCTG02S,DPCTG02C,DPCTG01S,DPCTG01C,DPCTGMES,DPCTGMEC,DPCTGKGS,DPCTGKGC,DPCTFLAS,DPCTFLAC,DPCTENGS,DPCTENGC,DPCTSOCA,DPCTSCIA,DPCTMATA,DPCTGMEA,DPCTGKGA,DPCTG06A,DPCTG05A,DPCTG04A,DPCTG03A,DPCTG02A,DPCTG01A,DPCTFLAA,DPCTENGA,DPSPTOFP,DPSTTOFP,DPSUTOFP,DPSSTOFP,DPSCTOFP,DPSETOFP,DPSXTOFP,DPSAMIFP,DPSTNOFP,DPSTBAFP,DPSTMSFP,DPSTPHFP,DPST00FP,DPST01FP,DPST06FP,DPST11FP,DPST20FP,DPSTREFP,DPSTVOFP,DPSTBIFP,DPSTCOFP,DPSTGIFP,DPSTSPFP,DPSTOPFP,DPSTBLFP,DPSTWHFP,DPSTHIFP,DPSTPIFP,DPSTINFP,DPSTASFP,DPSTTWFP,DPSTMAFP,DPSTFEFP,DPSTKIDR,DPST00SA,DPST01SA,DPST06SA,DPST11SA,DPST20SA,DPSTTOSA,DPSUTOSA,DPSSTOSA,DPSCTOSA,DPFEIERP,DPSAINHP
"001902",45,12,32,0,0,1,1,1,40,0,1,0,2,10,10,1,12,71.1,2.2,0,0,100,2.2,2.2,88.9,0,2.2,0,4.4,22.2,22.2,2.2,26.7,1,0,44,48,46,47,40,41,42,50,44,37,48,39,49,576,82,3,150,55,3,192,384,203,0,3,0,25,27,42,479,624,6,1,0,2.3,8.6,2.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,281,0,81,576,14.1,82,57,69.5,15,18.3,7,8.5,-1,-1,-1,-1,83.2,4.7,7.3,0,0.5,0,4.3,33.3,66.7,35.2,0.5,14.2,26,0.5,9.5,0.2,0,7.6,8.3,8,8.2,6.9,7.1,7.3,8.7,7.6,6.4,8.3,6.8,8.5,26.7,52.4,6.9,4.1,2.5,13.5,2418873.4,350003.3,246627.4,158153,1,6,7,19.9,18.5,41075,207270,265736.1,922726.7,982065.6,0,48.4,4,0,17.2,0,65.9,26.2,105.5,1.9,0,0,0,2,1,49.4,0,11.9,40.5,3,42.5,3.3,0,0,0.2,6.4,0,4,54.4,7.3,68.5,7.8,15.4,3,17.7,21.3,0,0,0,15.9,1054.9,534.3,63.9,53.1,0,0,174,14,246,20,216,18,35.7,2.6,29.8,1.7,26.1,2,31.6,2.1,31.9,2.1,33,2.1,4.5,0.2,28.3,2.3,81,10,295,29,12.4,12.3,12,21,12.2,13.8,17.9,12.9,14.7,14.9,15.4,8.1,10.2,62.4,49.7,6.5,3.9,2.4,12.8,24.8,15,0,92.4,7.6,0,1.9,11.4,13.4,38,35.3,81.1,6.3,0,0,0.4,12.3,0,3.8,94.3,1.9,0,0,0,0,22.7,77.3,11,41075,34539,37956,46312,53079,46137,51006,60479,63261,60.5,71.3
"001903",74,12,61,1,0,0,2,4,62,1,0,0,5,25,7,0,19,82.4,0,1.4,0,100,2.7,5.4,83.8,1.4,0,0,6.8,33.8,9.5,0,25.7,4,56,102,82,93,73,85,84,88,94,112,110,104,91,89,1267,139,19,299,39,19,673,594,453,1,11,2,38,67,137,1011,1381,5,0.4,13.9,9.6,4.9,0,0,2.7,1.2,0,0,10,0,7.7,0,0,0,0,0,0,0,628,0,185,1198,15.4,139,75,54,35,25.2,19,13.7,-3,-3,-1,-1,79.8,5.3,10.8,0.1,0.9,0.2,3,53.1,46.9,35.8,1.5,11,23.6,1.5,3.1,0.3,4.4,8.1,6.5,7.3,5.8,6.7,6.6,6.9,7.4,8.8,8.7,8.2,7.2,7,16.2,103,7,6,2,26.8,4628074.1,346087,384374,187690,2,16,15,48,22,62683.1,570019.5,605498.2,2216976.2,1172897.2,0,84,19,0,0,0,118,34.8,179.6,0,0,0,0,2,5,96,0,21,82,0,82.8,4.9,0,2.6,0.7,8.8,3.2,11,100.3,11,112,9.4,14.9,3,21.3,23,2,4,19,15.5,1668.8,1052.8,69,63.9,38,8,496,36,513,30,576,42,70.5,5.1,82.7,5.1,81.6,5.3,72,5,86.2,4.9,75.4,4.8,0,0,95.3,4.7,249,13,691,58,13.8,17.1,13.7,.,20.4,13.9,16.1,15.5,14.4,17.8,15.7,19.2,11.9,65.7,57.3,3.9,3.3,1.1,14.9,19.4,8.6,0,81.6,18.4,0,1.9,15.5,14.6,46.6,21.4,80.4,4.8,0,2.5,0.7,8.6,3.1,1.9,93.2,4.9,0,0,0,0,20.4,79.6,12.3,31340,35624,40364,46187,53310,44931,49441,64062,93845,62.2,70
"001904",50,9,41,0,0,0,10,8,29,0,1,0,2,24,4,1,22,82,0,0,0,100,20,16,58,0,2,0,4,48,8,2,44,2,27,57,49,73,65,62,59,77,68,53,66,65,68,55,846,75,18,229,59,18,446,400,356,6,6,0,28,76,82,648,917,15,1.6,7.8,1.5,0,0,0,0,0,0,0,60,0,0,0,0,0,0,0,0,2,377,0.5,125,811,15.4,75,46,61.3,8,10.7,12,16,-3,-3,-1,-1,76.6,9,9.7,0.7,0.7,0,3.3,52.7,47.3,42.1,2.1,8.9,27.1,2.1,7,0.2,3.2,6.7,5.8,8.6,7.7,7.3,7,9.1,8,6.3,7.8,7.7,8,6.5,18,59,5,4,3,19.9,2580639.3,276976,255987,226142,2,14,10,16,17,60660,482843,415099,778998.4,843038.8,0,42,17,0,0,0,71,30.1,121,0,0,0,0,4,1,53,1,15,44,0,46.3,5.8,0,1,0,3.7,2.2,15.1,58.1,26,84,6.4,13.7,3,6,19.3,2,9.5,14,14.9,1150.8,537.6,57.9,18,28,19,380,18,320,18,338,20,38.6,2.2,53.5,2.8,56.1,3.9,61.3,3,72.2,4,50.8,3.2,0,0,59.1,3,122,7,423,26,21.1,17.8,16.9,.,19.7,17.4,18.8,14.5,20.4,18,16,17.4,16.3,58.7,48.8,4.1,3.3,2.5,16.5,24.8,12.3,0,71.2,28.8,0,3.4,23.7,16.9,27.1,28.8,78.5,9.9,0,1.7,0,6.3,3.7,6.8,89.8,1.7,0,0,0,1.7,25.4,74.6,14.3,30330,34486,41508,48680,49592,43737,55395,63997,75381,58.1,61.3
"001906",35,6,24,2,1,2,4,2,29,0,0,0,0,13,5,1,7,68.6,5.7,5.7,2.9,100,11.4,5.7,82.9,0,0,0,0,37.1,14.3,2.9,20,0,16,34,22,28,21,29,31,33,31,24,39,26,24,19,377,37,6,118,24,6,172,205,137,1,1,0,10,28,51,286,425,4,0.9,4.2,0,0,0,3.8,0,7.7,4.2,0,.,0,0,0,0,0,0,0,0,0,190,0,58,380,15.3,37,30,81.1,-1,-1,-1,-1,-1,-1,-1,-1,75.9,7.4,13.5,0.3,0.3,0,2.7,45.6,54.4,36.3,1.6,9.8,31.3,1.6,6.4,0,4.2,9,5.8,7.4,5.6,7.7,8.2,8.8,8.2,6.4,10.3,6.9,6.4,5,17.1,35.3,2,3,5,7,1548155.4,90675,209088,254144,0.3,10,5,14,6,11600,350436.6,203323.4,648325.7,334469.8,0,35.3,0,0,0,0,45.3,11.9,64.2,0,0,0,0,2,0,33.3,0,9,26.3,0,28.4,3,0,0.5,0.5,2.9,0,2.5,34.5,7.2,39.3,6.6,11.9,2,11.5,21,1,1,21,8,467.7,259.4,42,23,21,1,150,16,131,10,144,12,21,1.3,27.8,1.9,16.4,1.1,19.7,1.9,24.5,1.8,19.9,1.8,10.5,1,34,2,65,6,166,14,9.4,13.1,12,10.5,17,16.5,15,14.5,10.5,13.5,11,10.8,11.9,70.5,55,3.1,4.7,7.8,10.9,18.6,12.4,0,100,0,0,0.9,28.3,14.2,39.7,17,80.4,8.6,0,1.3,1.5,8.2,0,5.7,94.3,0,0,0,0,0,25.5,74.5,10.7,37371,35042,40665,46305,55749,43843,45338,69696,50829,55.9,61.8
"001907",178,17,161,0,0,0,47,74,52,0,1,0,4,94,19,2,84,90.4,0,0,0,100,26.4,41.6,29.2,0,0.6,0,2.2,52.8,10.7,1.1,47.2,4,191,268,248,266,251,269,252,239,252,241,274,250,230,218,3453,303,516,1222,93,557,2587,866,1980,10,28,4,106,949,1382,974,3693,126,3.4,3.5,4.5,1.3,1.2,0,0,0,0.5,0,21.4,14.3,0,3.4,0,0,0,0,0,1,1525,0.1,457,3214,14.2,303,139,45.9,56,18.5,64,21.1,39,12.9,5,1.7,28.2,27.5,40,0.3,0.8,0.1,3.1,74.9,25.1,57.3,16.1,8.8,35.4,14.9,2.7,0.1,5.5,7.8,7.2,7.7,7.3,7.8,7.3,6.9,7.3,7,7.9,7.2,6.7,6.3,9.6,263.5,28,17,8,74.2,11827846.6,1459280.2,1249717,757786,23.1,80.3,52.5,52.7,54.9,755207.8,3028876.4,2303218.5,2673394.2,3067149.7,5.3,225.8,32.4,0,0,0,316.6,90.2,481,0,1,1,0,24.8,25.5,207.2,4,66.6,196.9,0,199.8,20,4.2,15.9,0.2,23.6,0,58.9,270.3,21.8,277.9,6.3,11.2,6,12.5,23.8,10,9.2,16.2,118.8,3112.5,1750.8,142.8,75,162,92,1662,90,1380,72,1801,106,175.6,8.7,186.9,9.8,199.8,11,208.6,10.7,201.4,10,215.1,11.3,0,0,286,14,700,35,1892,116,18.5,19.2,17,.,20.4,20.1,19.1,18.2,19.5,20.2,19.1,20,16.3,65.8,54.8,5.8,3.5,1.7,15.4,18.7,24.7,2,85.7,12.3,0,8.8,30.5,19.9,20,20.8,75.8,7.6,1.6,6,0.1,8.9,0,9.4,78.6,9.7,0.4,0.4,0,1.5,25.3,74.7,13.1,32705,37714,43869,50682,55904,44884,52055,73513,94723,57.6,70.2
"001908",103,11,82,3,7,0,20,23,59,0,0,0,1,44,7,1,32,79.6,0,2.9,6.8,100,19.4,22.3,57.3,0,0,0,1,42.7,6.8,1,31.1,4,60,129,133,135,135,103,121,112,116,115,122,104,119,92,1600,169,85,414,36,91,1036,564,811,10,10,0,63,280,404,833,1775,21,1.2,3.6,5.6,1.6,2.3,1,1.9,1,1,1,16.7,8.3,8.3,0,0,0,0,0,0,2,733,0.3,264,1572,16.8,169,104,61.5,28,16.6,22,13,-3,-3,-1,-1,52.1,17.5,25.3,0.6,0.6,0,3.9,64.8,35.3,50.7,5.7,10.6,25.9,5.3,2.3,0.3,3.8,8.1,8.3,8.4,8.4,6.4,7.6,7,7.3,7.2,7.6,6.5,7.4,5.8,10.7,122.5,12,7,3,37,5150733.1,630134,434203,267553,4,45,21,28,24.5,131873.9,1551135.8,849698.3,1321428.2,1296596.9,0,107.5,15,0,0,0,144.5,64,245.5,0,1,0,0,8.5,5,107,1,31,91.5,0,95.3,8.4,0.5,3.5,1.4,13.3,0.2,28.9,130,22.3,140.5,5.6,11.1,4,6.3,27,2,3.5,8,52.4,1559.6,786.8,108,25.2,16,7,670,40,658,41,631,41,84.8,4.7,114.8,6.1,103.5,5.2,137.1,7.4,123,6.5,139,6.6,20,1,123.6,5.8,229,13,640,45,16.8,16,15.4,20,21.3,18.2,18.7,19.7,18.6,18.8,21.1,17.6,14.2,58.9,49.9,4.9,2.9,1.2,15.1,26.1,21.3,0,87.8,12.2,0,3.3,36.7,17.1,22.9,20,77.8,6.9,0.4,2.8,1.1,10.8,0.1,6.9,87.3,4.1,0,0.8,0,0.8,25.3,74.7,13.1,32966,34448,40463,47193,52919,42037,52511,62029,89184,58.9,61.5
"001909",25,2,20,3,0,0,1,2,22,0,0,0,0,9,2,0,7,80,0,12,0,100,4,8,88,0,0,0,0,36,8,0,28,0,27,29,33,31,21,37,30,32,29,34,31,27,28,22,411,52,4,154,18,4,202,209,157,1,1,0,13,5,23,368,441,2,0.5,0,12.9,5.3,3.4,0,3.7,0,0,0,0,20,0,0,0,0,0,0,0,0,181,0,49,384,12.8,52,28,53.8,11,21.2,-3,-3,-1,-1,0,0,89.5,1.2,5.6,0.2,0.2,0,3.2,49.1,50.9,38.2,1,12.7,37.5,1,4.4,0,6.6,7.1,8,7.5,5.1,9,7.3,7.8,7.1,8.3,7.5,6.6,6.8,5.4,8,39.1,1.9,2,2,4.8,1773871,69777,146420,156248,1,8,4,17.1,9,30856,289053.5,168330.8,812413.4,473217.4,0,34,5.1,0,0,0,45,15.5,65.3,0,0,0,0,0,0,39.1,0,9,30.1,0,23.6,4.7,0,5.8,0,3.3,1.7,4.6,39.2,11.7,49,9.3,14.6,2,7.5,24.5,0,0,0,0,715.4,455.7,49,15,0,0,125,9,175,12,159,14,25.4,1.7,28.6,2,36.6,2,19.4,2,31,2,32,2,0,0,29,2,75,6,207,14,13.9,14.6,11.4,.,14.5,14.8,14.6,18,9.7,15.5,16,12.5,14.8,68.9,59.9,2.9,3.1,3.1,7.4,23.7,0,0,86.9,13.1,0,2.6,20.5,10.2,43.7,23,60.3,12.1,0,14.9,0,8.5,4.3,0,100,0,0,0,0,0,23,77,10.5,30856,36133,42078,47490,52581,45360,36864,73210,78124,69.5,71.7
"002901",252,30,0,3,190,29,4,164,74,0,1,0,9,52,11,9,60,0,11.5,1.2,75.4,100,1.6,65.1,29.4,0,0.4,0,3.6,20.6,4.4,3.6,23.8,13,129,307,292,317,292,359,293,310,311,302,286,287,238,218,3954,279,483,873,179,447,1674,2280,1521,20,14,3,65,42,2640,1170,4280,52,1.2,1.8,0.3,0.8,0,0.4,0.4,0,0,1.2,9.1,0,4.8,0,0,2.9,0,0,0,3,1774,0.2,557,3844,14.5,279,179,64.2,29,10.4,46,16.5,20,7.2,5,1.8,29.6,1.1,66.8,0.5,0.4,0.1,1.6,42.3,57.7,38.5,11.3,7.1,22.1,12.2,4.5,0.3,3.3,7.8,7.4,8,7.4,9.1,7.4,7.8,7.9,7.6,7.2,7.3,6,5.5,11.9,258.1,34,13.2,6.9,55.6,14407498.6,2243852.5,1040780.9,803519,10.9,51.4,56.1,79.1,60.6,488913.2,2478528.3,2990943.1,4481999.7,3967114.3,1,203.4,53.7,0,0,0,312.2,139.8,507.6,0,1,0,2,2,63.4,186.6,3,68.2,189.9,0,206.6,13.7,1,17.7,2.4,14.5,2.2,53,279.2,19,279.9,7.6,13.6,6,6.8,19.8,7,9.3,12.9,190.9,3806.6,2127.2,118.8,40.8,90.3,65.1,1669,98,1635,90,1721,106,266.3,12.8,282.6,15.4,326.1,16,310.9,15.8,398.9,17.8,289.5,14.9,0,0,307.7,15,521,29,2616,158,17,18.2,16.2,.,20.5,20.8,18.4,20.4,19.7,22.4,19.4,18,16.6,61.5,50.8,6.7,2.6,1.4,11,27.5,37.6,0.4,78.8,20.8,0,4.2,19.9,21.7,30.7,23.5,80,5.3,0.4,6.8,0.9,5.6,0.9,0.8,72.3,24.6,0,0.4,0.8,1.2,26.4,73.6,15.3,45037,48196,53300,56650,65497,55825,65912,78904,116736,62.8,62.6
"003801",42,4,29,6,3,0,9,5,27,0,1,0,0,14,5,0,4,69,0,14.3,7.1,100,21.4,11.9,64.3,0,2.4,0,0,33.3,11.9,0,9.5,0,38,86,87,89,88,88,88,91,85,70,75,62,51,39,1037,69,58,130,106,58,470,567,322,0,18,1,24,168,243,583,1025,0,0,2.7,2.6,0,0,0,0,1.3,0,0,20,14.3,0,11.1,0,0,0,0,0,4,345,1.2,79,891,8.9,69,41,59.4,18,26.1,-3,-3,-1,-1,0,0,56.2,16.2,23.4,0,1.7,0.1,2.3,45.3,54.7,31.1,5.6,6.7,12.5,5.6,10.2,0,3.7,8.3,8.4,8.6,8.5,8.5,8.5,8.8,8.2,6.8,7.2,6,4.9,3.8,9.5,66.8,11,6,4,11,3091575.2,563629.8,400971,295010,9.8,19,16,15,7,285120.6,856038,763964.4,776222.5,410229.7,6,39,20.8,1,0,0,87.8,30,128.8,0,0,1,0,7,4,54.8,0,11,55.8,0,60.6,2.2,0,1.5,1.3,1.3,0,12,63.5,18.9,79.7,2.9,8.4,3,5.3,28,2,1,7,34.5,669.5,231.1,84,15.9,14,2,411,22,641,38,572,47,71,3.5,76.1,3.5,88,4,96.8,4.6,86,4,90.5,4.4,0,0,86,4,210,19,587,55,18.7,16.9,12.2,.,21.5,20.1,22,22,21.1,21.7,20.4,11.1,10.7,68.2,51.9,8.5,4.7,3.1,8.5,23.3,26.8,9,58.4,31.2,1.5,14.7,28.4,23.9,22.4,10.5,90.6,3.2,0,2.3,1.9,1.9,0,10.5,82,6,1.5,0,0,0,16.5,83.5,15.5,28994,45077,47745,51745,58603,46263,51195,66829,73753,61.1,61.8
"003902",184,31,116,0,28,9,13,38,127,0,0,0,6,72,8,0,46,63,4.9,0,15.2,100,7.1,20.7,69,0,0,0,3.3,39.1,4.3,0,25,5,101,200,202,218,204,239,208,227,219,200,213,211,203,192,2842,212,190,892,162,197,1497,1345,1001,20,30,0,62,171,692,1867,3006,37,1.2,3.7,6,5.6,5.3,3.3,1.5,2.2,2.6,0,22.2,31.3,7.1,8.3,17.6,0,4.2,6.7,0,0,1307,0,360,2720,13.2,212,116,54.7,39,18.4,23,10.8,29,13.7,5,2.4,65.7,6,24.3,0.7,1.1,0,2.2,52.7,47.3,35.2,6.9,7.5,31.4,6.7,5.7,0.2,3.6,7,7.1,7.7,7.2,8.4,7.3,8,7.7,7,7.5,7.4,7.1,6.8,16.8,190.1,33.3,14.7,4,29.7,9237789,1880510.8,1073604.5,447252,6.4,37,39,61.3,46.3,257745.1,1578365,1742165.4,3079970.6,2579542.8,1.4,145.1,43.5,0,0,0,242.1,112.3,384.1,2,0,0,0,1,6,179.1,4,37.4,152.6,3,134.4,14.5,1.3,12.2,9.2,17.5,0.9,25.3,193.2,13.1,221,8.1,13.6,5,16.4,25,8,10.5,14,64.1,3005.6,1790.1,125,82,112,84,921,51,990,49,1209,64,193.9,8.6,214.8,9.3,240.3,11.3,185.2,9.3,217,11,201,10,0,0,189.9,9.6,438,24,1274,61,18.1,20.2,18.9,.,19.8,22.5,23,21.2,19.8,19.7,20.1,18.3,20.9,63,49.5,8.7,3.8,1,7.7,29.2,16.7,0.7,76.4,22.9,0,3.4,19.5,20.5,32.3,24.4,70.7,7.6,0.7,6.4,4.8,9.2,0.5,0.5,94.2,3.2,0,0,0,2.1,19.7,80.3,15,40117,42659,44671,50203,55740,48607,56411,72860,111813,63.3,60.6
