REGION,RA0GR16N,RA0GM16N,RA0GH16N,RA0GE16N,RA0GA16N,RA0GN16N,RB0GR16N,RH0GR16N,RW0GR16N,RI0GR16N,R30GR16N,R40GR16N,R20GR16N,RE0GR16N,RS0GR16N,RL0GR16N,RR0GR16N,RA0GH16P,RA0GN16P,RA0GE16P,RA0GA16P,RA0GR16R,RB0GR16R,RH0GR16R,RW0GR16R,RI0GR16R,R30GR16R,R40GR16R,R20GR16R,RE0GR16R,RS0GR16R,RL0GR16R,RR0GR16R,RPETALLC,RPETSPEC,RPETLEPC,RPETECOC,RPETNEDC,RPETGIFC,RPETVOCC,RPETBILC,RPETRSKC,RPETGEEC,RPETGPKC,RPETGKNC,RPETG01C,RPETG02C,RPETG03C,RPETG04C,RPETG05C,RPETG06C,RPETG07C,RPETG08C,RPETG09C,RPETG10C,RPETG11C,RPETG12C,RPETHISC,RPETBLAC,RPETWHIC,RPETINDC,RPETASIC,RPETPCIC,RPETTWOC,RAUND16C,RAUND16D,RAUND16R,RPETDISD,RPETDISC,RPETDISP,RPETSIMC,RPETSINC,RPETSINP,RPETSPHC,RPETSPHP,RPETSBHC,RPETSBHP,RPETSAUC,RPETSAUP,RPETSNOC,RPETSNOP,RPERRAKR,RPERRA1R,RPERRA2R,RPERRA3R,RPERRA4R,RPERRA5R,RPERRA6R,RPERRA7R,RPERRA8R,RPERSAKR,RPERSA1R,RPERSA2R,RPERSA3R,RPERSA4R,RPERSA5R,RPERSA6R,RPERSA7R,RPERSA8R,RPETWHIP,RPETBLAP,RPETHISP,RPETINDP,RPETASIP,RPETPCIP,RPETTWOP,RPETECOP,RPETNEDP,RPETRSKP,RPETLEPP,RPETSPEP,RPETVOCP,RPETBILP,RPETGIFP,RPETGEEP,RPETGPKP,RPETGKNP,RPETG01P,RPETG02P,RPETG03P,RPETG04P,RPETG05P,RPETG06P,RPETG07P,RPETG08P,RPETG09P,RPETG10P,RPETG11P,RPETG12P,RA0GM16P,RPSTTOFC,RPSUTOFC,RPSSTOFC,RPSCTOFC,RPSETOFC,RPSTTOST,RPSUTOST,RPSSTOST,RPSCTOST,RPST00FC,RPST01FC,RPST06FC,RPST11FC,RPST20FC,RPST00ST,RPST01ST,RPST06ST,RPST11ST,RPST20ST,RPSTNOFC,RPSTBAFC,RPSTMSFC,RPSTPHFC,RPSPCOFC,RPSECOFC,RPSPTOFC,RPSXTOFC,RPSATOFC,RPSOTOFC,RPSTINFC,RPSTPIFC,RPSTASFC,RPSTBLFC,RPSTHIFC,RPSTWHFC,RPSTTWFC,RPSTMAFC,RPSTFEFC,RPSXCOFC,RPSTREFC,RPSTVOFC,RPSTBIFC,RPSTCOFC,RPSTGIFC,RPSTSPFC,RPSTOPFC,RPSTURNN,RPSTURND,RPSTURNR,RPSTFTEC,RPSTTENA,RPSTEXPA,RPSHFTEC,RPSHTENA,RPSHEXPA,RPSLFTEC,RPSLTENA,RPSLEXPA,RPSAMIFC,RPSTEXPT,RPSTTENT,RPSHEXPT,RPSHTENT,RPSLEXPT,RPSLTENT,RPCTSOCS,RPCTSOCC,RPCTSCIS,RPCTSCIC,RPCTMATS,RPCTMATC,RPCTG06S,RPCTG06C,RPCTG05S,RPCTG05C,RPCTG04S,RPCTG04C,RPCTG03S,RPCTG03C,RPCTG02S,RPCTG02C,RPCTG01S,RPCTG01C,RPCTGMES,RPCTGMEC,RPCTGKGS,RPCTGKGC,RPCTFLAS,RPCTFLAC,RPCTENGS,RPCTENGC,RPCTSOCA,RPCTSCIA,RPCTMATA,RPCTGMEA,RPCTGKGA,RPCTG06A,RPCTG05A,RPCTG04A,RPCTG03A,RPCTG02A,RPCTG01A,RPCTFLAA,RPCTENGA,RPSPTOFP,RPSTTOFP,RPSUTOFP,RPSSTOFP,RPSCTOFP,RPSETOFP,RPSXTOFP,RPSAMIFP,RPSTNOFP,RPSTBAFP,RPSTMSFP,RPSTPHFP,RPST00FP,RPST01FP,RPST06FP,RPST11FP,RPST20FP,RPSTREFP,RPSTVOFP,RPSTBIFP,RPSTCOFP,RPSTGIFP,RPSTSPFP,RPSTOPFP,RPSTBLFP,RPSTWHFP,RPSTHIFP,RPSTPIFP,RPSTINFP,RPSTASFP,RPSTTWFP,RPSTMAFP,RPSTFEFP,RPSTKIDR,RPST00SA,RPST01SA,RPST06SA,RPST11SA,RPST20SA,RPSTTOSA,RPSUTOSA,RPSSTOSA,RPSCTOSA,RPFEIERP,RPSAINHP
"01",26330,2123,23355,29,536,287,62,25608,451,9,163,5,32,21329,1736,3079,13590,88.7,1.1,0.1,2,100,0.2,97.3,1.7,0,0.6,0,0.1,81,6.6,11.7,51.6,430140,33089,158861,365925,64215,36300,116938,160271,273559,409,25840,29084,30885,32026,31659,31254,30623,31995,31863,31499,35990,32252,28450,26311,418836,1557,7210,215,1840,61,421,610,196144,0.3,443752,6354,1.4,33089,16445,49.7,5457,16.5,6866,20.8,3891,11.8,430,1.3,1.6,6,4,2.3,1,0.2,0.8,1,0.7,4.6,8.8,4.1,1.5,0.3,0.6,1.1,1.5,0.9,1.7,0.4,97.4,0,0.4,0,0.1,85.1,14.9,63.6,36.9,7.7,27.2,37.3,8.4,0.1,6,6.8,7.2,7.4,7.4,7.3,7.1,7.4,7.4,7.3,8.4,7.5,6.6,6.1,8.1,27373.1,5742.3,1479.3,547.7,6072.2,1437433090.6,356577672.9,114463471.9,53842967.5,1702.5,6466.3,6021.5,8397,4785.8,76070766.6,306893434.5,301731694.5,453066526,299670669,397.7,22027,4877.1,71.2,31.5,3.5,35142.4,20360,61574.6,11.2,20.6,13.8,203,138.2,24775.9,2169.1,52.5,8075,19298.1,34.7,18695,1478.2,3485.5,343.6,1014,1978.2,378.7,2755.6,27220.3,10.1,30011.5,9.7,11.9,590.5,17.4,21.7,930.9,13.8,17.7,58066.6,357572.4,291254.9,12839.6,10253.7,16517.5,12822,171039,9089,158339,8577,177064,10022,24180.9,1200.4,17527.9,861.7,18326.6,938,17571.5,897.9,17858.6,918.1,16215.2,845.4,897.2,56.7,18304,912,74647,4099,233382,13967,18.8,18.5,17.7,15.8,20.1,20.1,20.3,19.5,19.6,19.5,19.2,18.2,16.7,57.1,44.5,9.3,2.4,0.9,9.9,33.1,94.3,1.5,80.5,17.8,0.3,6.2,23.6,22,30.7,17.5,68.3,5.4,12.7,1.3,3.7,7.2,1.4,0.5,7.9,90.5,0.1,0.1,0.7,0.2,29.5,70.5,15.7,44682,47460,50109,53956,62617,52513,62097,77376,98311,61.4,59.1
"02",6277,809,4453,96,410,509,176,4517,1399,14,97,6,68,2956,494,79,2653,70.9,8.1,1.5,6.5,100,2.8,72,22.3,0.2,1.5,0.1,1.1,47.1,7.9,1.3,42.3,101014,9073,4589,65265,35749,5053,24170,4245,52035,193,3767,6987,7526,7722,7852,7754,7664,7699,7471,7334,8212,7540,6966,6327,75426,2574,20380,178,1244,71,1141,158,51157,0.3,107234,2325,2.2,9073,3843,42.4,2056,22.7,1925,21.2,1159,12.8,90,1,2.5,6.2,3.4,2.7,1.6,0.7,1.3,1.3,1.2,8.8,12.3,2.5,1.8,1.4,1,1.6,1.2,2.7,20.2,2.5,74.7,0.2,1.2,0.1,1.1,64.6,35.4,51.5,4.5,9,23.9,4.2,5,0.2,3.7,6.9,7.5,7.6,7.8,7.7,7.6,7.6,7.4,7.3,8.1,7.5,6.9,6.3,12.9,6616.3,1177,440.6,214.6,1552.6,334583554.6,68067472.1,31456426.4,19471462.1,479.6,1743.1,1206.9,1864.9,1321.9,21280009.5,79541275.2,58136947.8,98275820.8,77349501.3,67.3,4813.4,1696.5,39.1,11.3,3.3,8448.5,3974.2,13975.2,13.8,28.8,4,44,152.6,3240.1,3107.6,39.2,1521.9,5094.4,7.9,5254.8,292.9,47,206.7,73.3,587.2,154.4,1128.3,6672.6,16.9,7288.8,8.2,12.2,213.6,12,19.9,212,11.2,16.7,8954.8,88764.6,59687.7,4251.1,2567.9,3535.5,2369.6,42955,2386,42117,2310,45589,2608,6098.2,311.1,6962.6,350.4,7073.5,386.2,7316.4,391.4,6967.5,377.9,6786.7,373.3,392.2,14.7,6404.2,341.9,18331,981,53464,3224,18,18.2,17.5,26.8,18.7,19.6,19.9,18.3,18.7,18.4,18.2,18.7,16.6,60.5,47.3,8.4,3.2,1.5,11.1,28.4,64.1,1,72.8,25.6,0.6,7.2,26.3,18.2,28.2,20,79.4,4.4,0.7,3.1,1.1,8.9,2.3,2.3,47,49,0.1,0.4,0.7,0.6,23,77,15.3,44372,45632,48171,52699,58516,50569,57833,71392,90722,59.2,62.2
"03",3251,482,1781,35,755,198,310,1586,1278,6,40,0,31,1432,273,58,1183,54.8,6.1,1.1,23.2,100,9.5,48.8,39.3,0.2,1.2,0,1,44,8.4,1.8,36.4,53873,5145,4529,34161,19712,2715,14236,4365,24175,146,2247,3687,4031,4020,4198,4216,4009,3969,3858,3969,4475,4029,3646,3373,30808,4631,16917,84,613,20,800,108,26654,0.4,57527,1205,2.1,5145,2649,51.5,975,19,974,18.9,391,7.6,156,3,3.3,5.2,2.7,1.6,0.6,0.4,0.8,0.6,0.5,14.6,9.3,3.4,1.6,0.2,1.1,1.1,0.9,1,31.4,8.6,57.2,0.2,1.1,0,1.5,63.4,36.6,44.9,8.4,9.6,26.4,8.1,5,0.3,4.2,6.8,7.5,7.5,7.8,7.8,7.4,7.4,7.2,7.4,8.3,7.5,6.8,6.3,14.8,3999,623.4,233.1,127.1,1086.2,190128902.1,33429592.8,16308923.8,11196954.8,333.1,994.4,642.6,1136.1,892.9,13641797.1,41629541.6,28655860.6,56606309.1,49595393.7,37,3346.9,598.7,16.4,40.8,11.8,4982.7,2205,8273.9,12.3,7.4,0,18.8,170.2,636.8,3147.5,18.3,876.9,3122.2,48.6,3055.8,229.4,69.8,164.6,53.4,325.3,100.6,722.5,3978,18.2,4594,7.7,12.5,141.7,11.4,20.1,109.5,9,16.8,2960.4,57374.7,35214,2844.5,1621.1,1841.4,980.6,23405,1452,21656,1344,24460,1661,3010.5,162.5,3601.5,193.4,3737.7,200.5,3657.6,197.8,3464.8,187.5,3480.1,188.1,92.7,5,3171.9,179,8652,535,30349,2074,16.1,16.1,14.7,18.7,17.7,18.5,18.6,18.6,18.5,18.5,18.5,16.2,14.6,60.2,48.3,7.5,2.8,1.5,13.1,26.7,35.8,0.9,83.7,15,0.4,8.3,24.9,16.1,28.4,22.3,76.4,5.7,1.7,4.1,1.3,8.1,2.5,4.3,78.7,15.9,0,0.2,0.5,0.5,21.9,78.1,13.5,40960,41863,44597,49827,55543,47544,53623,69964,88072,59.9,64.5
"04",70744,9585,55955,107,1158,3939,13650,32066,18137,257,5326,112,1196,32882,4544,2890,29092,79.1,5.6,0.2,1.6,100,19.3,45.3,25.6,0.4,7.5,0.2,1.7,46.5,6.4,4.1,41.1,1204323,95203,269760,706345,497978,93350,287392,265933,641863,3396,50871,83685,90778,94364,93568,92828,89587,88578,88521,88023,97515,87296,81480,73833,609620,223735,258241,5531,83341,1413,22442,1509,535588,0.3,1233974,14484,1.2,95203,41201,43.3,19373,20.3,18705,19.6,14277,15,1647,1.7,1.1,4.2,2.9,2.1,1,0.5,0.7,0.8,0.5,5.8,6.9,3.2,1.5,0.8,0.5,0.8,0.8,0.7,21.4,18.6,50.6,0.5,6.9,0.1,1.9,58.7,41.3,53.3,22.4,7.9,23.9,22.1,7.8,0.3,4.2,6.9,7.5,7.8,7.8,7.7,7.4,7.4,7.4,7.3,8.1,7.2,6.8,6.1,13.5,74365.6,16150,4098.1,1309.8,12696.7,4163854342.6,1064540961.5,338857126.1,144895597.8,5904.1,22735.6,16170.9,19657.5,9897.5,296223888.9,1195567237.7,886591998.2,1135824303.5,649646914.2,1644,54176.6,17865.4,679.6,61.1,8,95923.4,45606.4,154226.6,1140.2,263.5,290.3,2289.4,15510.8,14916.8,40075.5,1019.2,16712.1,57653.5,33.4,54620.9,2820.9,4799,1289.2,1704.7,6245.7,2885.2,12288,73023.3,16.8,78674.2,6.8,10.2,1395.4,13.9,20,2596.3,10.8,15.9,85653.2,802518.8,534804,27863,19375.7,41213.4,28070.9,505181,24309,476596,23694,516195,26530,64145.9,2969.3,73524,3450.9,76209.3,3912.1,76909.2,3922.7,77372.8,3955.6,74336.2,3821.4,10506.7,393.1,70351.1,3644.9,208821,10083,600722,33400,20.8,20.1,19.5,26.7,19.3,21.6,21.3,19.5,19.6,19.6,19.5,20.7,18,62.2,48.2,10.5,2.7,0.8,8.2,29.6,55.5,2.2,72.9,24,0.9,7.9,30.6,21.7,26.4,13.3,73.4,3.8,6.5,1.7,2.3,8.4,3.9,20.9,53.9,20.1,0.4,0.4,3.1,1.4,22.5,77.5,16.2,50173,52586,54826,57781,65637,55992,65916,82686,110624,65.1,64
"05",4918,915,3376,49,435,143,1189,772,2716,21,146,4,70,2064,444,62,1815,68.6,2.9,1,8.8,100,24.2,15.7,55.2,0.4,3,0.1,1.4,42,9,1.3,36.9,82152,7265,7049,48696,33456,4205,22415,6147,41132,276,3825,5941,6433,6476,6435,6265,6079,6002,5903,5789,6274,5809,5488,5157,16723,21508,39575,506,1891,61,1888,113,37369,0.3,86197,1637,1.9,7265,3197,44,1632,22.5,1385,19.1,896,12.3,155,2.1,2.5,4.3,2.5,2.2,0.9,0.6,0.9,1.1,0.5,10.3,9.1,3.9,1.8,0.9,0.8,1.5,0.8,0.5,48.2,26.2,20.4,0.6,2.3,0.1,2.3,59.3,40.7,50.1,8.6,8.8,27.3,7.5,5.1,0.3,4.7,7.2,7.8,7.9,7.8,7.6,7.4,7.3,7.2,7,7.6,7.1,6.7,6.3,18.6,5604.7,869.1,378.5,161.6,1318.8,262832255.5,48365847.8,25542651,14841346.7,549.5,1309.1,987.5,1511.2,1247.4,21063104.5,54241404.9,43575479.4,73234263.7,70718003,80.1,4498.3,1005.6,20.7,26.7,11.6,7013.9,3244,11576.8,91.5,12.8,3,38.2,940.3,263.9,4309.4,37,1132.6,4472.1,10.1,4229.3,349.6,105.9,221.2,60.6,481.2,156.8,1027.8,5563.3,18.5,5992.3,8.4,12.3,153,12.6,19.8,175,10.6,16.5,3777.8,73730.8,50336.3,3034.9,1920.7,2894.2,1862.9,32163,1814,31696,1739,34854,2058,4208.3,218.4,4698.5,234.3,4818.9,258.4,5065.8,262.8,5311.4,276.9,5237.4,274.3,57,3.4,5201.3,276.8,11369,612,39949,2520,17.7,18.2,16.9,16.6,18.8,19.3,20.1,18.6,19.3,19.2,19.1,18.6,15.9,60.6,48.4,7.5,3.3,1.4,11.4,28,32.6,1.4,80.3,17.9,0.4,9.8,23.4,17.6,27,22.3,75.5,6.2,1.9,3.9,1.1,8.6,2.8,16.8,76.9,4.7,0.1,0.2,0.7,0.7,20.2,79.8,14.7,38332,41436,44127,48459,56694,46895,55647,67481,91837,59.3,61.4
"06",11585,1713,8399,97,1153,223,1214,3513,6281,68,265,11,233,4216,938,287,4242,72.5,1.9,0.8,10,100,10.5,30.3,54.2,0.6,2.3,0.1,2,36.4,8.1,2.5,36.6,192982,16106,27154,96932,96050,13698,48111,27730,84307,463,6396,13381,14580,14925,15021,14903,14444,14491,14412,14472,15421,14747,13419,11907,69273,20355,92956,836,4510,190,4862,262,88456,0.3,201283,2893,1.4,16106,7183,44.6,3348,20.8,3336,20.7,1953,12.1,286,1.8,2.3,4.9,2.5,1.6,0.6,0.4,0.3,0.4,0.4,6.8,10.2,3.1,1,0.6,0.5,0.5,0.3,0.6,48.2,10.5,35.9,0.4,2.3,0.1,2.5,50.2,49.8,43.7,14.1,8.3,24.9,14.4,7.1,0.2,3.3,6.9,7.6,7.7,7.8,7.7,7.5,7.5,7.5,7.5,8,7.6,7,6.2,14.8,12849.2,2244.7,772.8,294.3,2582.4,661085373.1,136942962,57948446.5,28807634.4,1054,3366.8,2717.4,3544.6,2166.4,46499304.7,159262454.4,135716051.2,189709308,129898254.7,124,9940,2702.1,83.1,66.9,0.8,16161,6763.2,25506.6,35.8,32.7,5.8,78.3,676,1377.2,10595.5,83.7,2698.9,10150.3,18.4,9245.1,709,587.4,332.6,103.4,1295.7,575.9,2230.7,12591.2,17.7,13548,6.6,11.3,304.9,11,20.6,412,9.3,16.6,6741.6,152866.8,89967.4,6267.9,3347.2,6825.7,3837.2,81709,4085,75487,3865,81442,4425,11974.5,557.1,12393.4,590.2,12774.5,668.7,13081.8,700.5,12719.9,666.7,12588.3,674.2,585.2,23,11183.8,610,33003,1739,92208,5318,20,19.5,18.4,25.5,18.3,21.5,21,19.1,18.7,19.1,18.7,19,17.3,63.4,50.4,8.8,3,1.2,10.1,26.5,26.4,1,77.4,21,0.6,8.2,26.2,21.1,27.6,16.9,72,5.5,4.6,2.6,0.8,10.1,4.5,5.3,82.5,10.7,0,0.3,0.6,0.7,21,79,15,44117,47304,49943,53520,59961,51450,61007,74989,97871,63,63.7
"07",10692,1598,7658,283,950,203,1845,2433,6024,44,109,2,235,5053,989,210,4063,71.6,1.9,2.6,8.9,100,17.3,22.8,56.3,0.4,1,0,2.2,47.3,9.2,2,38,169552,14902,21284,104288,65264,11295,47320,21195,84362,307,7539,12107,12772,12826,12907,13204,12623,12792,12439,12381,13242,12341,11567,10505,47239,28932,85941,682,1606,119,5033,146,78318,0.2,177555,2809,1.6,14902,6890,46.2,3391,22.8,2916,19.6,1457,9.8,248,1.7,3.3,5.5,3,1.7,0.7,0.5,0.6,0.8,0.3,13.6,9,4,1.7,1.1,0.7,0.5,0.9,1.5,50.7,17.1,27.9,0.4,0.9,0.1,3,61.5,38.5,49.8,12.6,8.8,27.9,12.5,6.7,0.2,4.4,7.1,7.5,7.6,7.6,7.8,7.4,7.5,7.3,7.3,7.8,7.3,6.8,6.2,14.9,12419,1930.5,806.9,435.7,2817.1,562765152.8,103067102.7,55597125.4,38797422,897.2,3159.8,2351.4,3432.2,2578.4,33481629.3,124121796,100480028.7,164879218.6,139802480.1,151.6,9904.5,2329.9,33.1,149.1,34,15592.2,6129.4,24538.7,15.5,42.5,7,28,1090.3,732.8,10408.3,110.2,2686.6,9732.5,35.9,9154.8,786.6,497,644.8,148.6,881.9,305.5,2485.6,12397.1,20,13579.1,7.1,12.2,404.3,10.3,20.2,350.9,8.2,16,5954.5,166292.8,96673.5,8170.2,4172.2,5608.9,2862.3,67227,3973,63907,3808,70891,4532,10233.7,553,11137.2,574.2,11340.1,601.4,10963.7,590.5,10737.2,585,10854.8,582.7,1139,53.2,10295.4,564.2,25951,1582,84234,5650,16.9,16.8,15.6,21.4,18.2,18.5,19.4,18.9,18.6,18.4,18.6,16.4,14.9,63.5,50.6,7.9,3.3,1.8,11.5,25,24.3,1.2,79.8,18.8,0.3,7.2,25.4,18.9,27.6,20.8,73.7,6.3,4,5.2,1.2,7.1,2.5,8.8,83.8,5.9,0.1,0.3,0.2,0.9,21.6,78.4,13.7,37320,39281,42733,48038,54220,45315,53389,68902,89040,60.5,64.7
"08",3832,768,2215,101,614,134,745,795,2127,17,38,6,104,1946,374,81,1264,57.8,3.5,2.6,16,100,19.4,20.7,55.5,0.4,1,0.2,2.7,50.8,9.8,2.1,33,61488,6412,6832,39605,21883,4366,16324,6696,30175,211,3746,4443,4506,4591,4725,4608,4449,4430,4430,4322,4633,4393,4094,3907,13989,12067,32123,364,467,58,2420,158,27819,0.6,65115,1099,1.7,6412,3181,49.6,1504,23.5,1040,16.2,594,9.3,93,1.5,6.1,4.9,2.5,1.2,0.2,0.5,0.6,0.6,0.4,13.5,9.3,2.2,0.7,0.4,0.6,1,0.2,1,52.2,19.6,22.8,0.6,0.8,0.1,3.9,64.4,35.6,49.1,11.1,10.4,26.5,10.9,7.1,0.3,6.1,7.2,7.3,7.5,7.7,7.5,7.2,7.2,7.2,7,7.5,7.1,6.7,6.4,20,4907.4,688.2,321.4,149.7,1358.9,217764079.7,36717029.6,21271717.6,13308526.1,298.1,1195.7,914.6,1397.8,1101.2,11110467.5,44934521.6,38032726.4,65614752.2,58071611.9,28,3800.8,1064.7,13.9,39.8,6.8,6066.7,2233.7,9659.3,12.8,20.3,2,14,377.1,224.9,4223.8,45.2,1030.4,3876.9,19.3,3471.8,318.4,149.3,351.8,42.1,382.2,191.9,850.7,4887,17.4,5387.2,8.1,12.8,163,10.8,19.6,143.7,9.9,16.6,2182.3,69095.7,43835,3187,1759.3,2380.4,1423.8,23132,1422,20731,1336,23101,1577,3288.5,189.1,3807.5,210,3703.9,204.4,3679.1,203.8,3497.3,201.2,3658.4,201.9,172.1,11.9,3540.7,193.2,8592,553,29002,2158,16.3,15.5,14.6,14.5,18.3,17.4,18.1,18.1,18.1,17.4,18.1,15.5,13.4,62.8,50.8,7.1,3.3,1.6,14.1,23.1,22.6,0.6,77.5,21.7,0.3,6.1,24.4,18.6,28.5,22.4,70.7,6.5,3,7.2,0.9,7.8,3.9,7.7,86.1,4.6,0,0.4,0.3,0.9,21,79,12.5,37274,37579,41584,46942,52736,44375,53355,66176,88874,62.4,66.1
"09",2423,390,1690,20,249,74,180,564,1527,32,34,2,84,940,285,24,916,69.7,3.1,0.8,10.3,100,7.4,23.3,63,1.3,1.4,0.1,3.5,38.8,11.8,1,37.8,37709,4147,2265,21812,15897,1859,10096,2175,17712,124,2075,2648,2833,2870,2929,2795,2837,2725,2743,2645,2849,2657,2597,2382,10463,2680,22177,253,557,45,1534,57,17071,0.3,40075,600,1.5,4147,1744,42.1,992,23.9,878,21.2,427,10.3,106,2.6,3.2,3.4,1.5,1,0.3,0.5,0.4,0.5,0.4,10.2,8.2,1.2,0.3,0.3,1.7,0.3,0.3,0.8,58.8,7.1,27.7,0.7,1.5,0.1,4.1,57.8,42.2,47,6,11,26.8,5.8,4.9,0.3,5.5,7,7.5,7.6,7.8,7.4,7.5,7.2,7.3,7,7.6,7,6.9,6.3,16.1,2974.9,392.2,157.4,80.7,703.7,140082660.5,21461101.6,11133465.9,7265886.4,167.2,702.2,542.2,884.3,679,6580520.9,28564081.4,23611428.7,43513579.9,37813049.6,19.1,2382.9,568.8,4.1,59.1,1.8,3605.3,1256.1,5565.1,3.7,16.4,1,14,78.4,171.1,2674.8,19.2,685.2,2289.7,15.3,2237.4,159.7,32.5,216.9,11.7,247,69.8,475,2949.7,16.1,3297.1,8.7,12.9,111,11.7,19.6,66.9,9.4,15.4,836.2,42438.9,28633,2170.8,1299.3,1030.9,625.8,15522,1009,14421,940,16105,1163,1937.8,113.6,2538.2,140.2,2511.6,147.7,2533.7,143.1,2567.6,147,2590.2,145.2,669.3,23.1,2524.6,144.9,6762,418,21496,1522,15.4,15.3,13.8,29,17.4,17.1,18.1,17,17.7,17.5,17.8,16.2,14.1,64.8,53.5,7,2.8,1.5,12.6,22.6,15,0.6,80.1,19.1,0.1,5.6,23.6,18.2,29.7,22.8,75.2,5.4,1.1,7.3,0.4,8.3,2.3,2.6,89.9,5.8,0,0.6,0.5,0.6,23,77,12.7,39368,40680,43544,49205,55690,47088,54714,70723,90042,62,68.1
"10",50478,7077,41718,74,807,802,9611,19883,16479,276,3216,75,938,23793,3463,3031,18879,82.6,1.6,0.1,1.6,100,19,39.4,32.6,0.5,6.4,0.1,1.9,47.1,6.9,6,37.4,843044,73592,188738,474987,368057,80591,206894,184749,391418,2626,31326,58770,62020,64653,66065,65837,64267,63546,62681,61614,67762,62671,57827,51379,364234,155512,236231,5157,61017,913,19980,1216,382220,0.3,864089,10037,1.2,73592,29458,40,18181,24.7,14462,19.7,10935,14.9,556,0.8,1.5,2.2,1.5,1.1,0.6,0.4,0.5,0.7,0.5,8,5,2.5,1,0.7,0.4,0.5,0.7,0.7,28,18.4,43.2,0.6,7.2,0.1,2.4,56.3,43.7,46.4,22.4,8.7,24.5,21.9,9.6,0.3,3.7,7,7.4,7.7,7.8,7.8,7.6,7.5,7.4,7.3,8,7.4,6.9,6.1,14,55495.9,11898.8,3148.1,1267.5,9604.8,2993553672,755092031.1,248596518.8,131729827,5395,17139,11524.5,14775.7,6661.7,257614877.5,877632460.5,614947947.2,827545609.9,415812776.8,713.3,38855.3,15467.6,459.7,56.1,15.1,71810.3,22599.6,104014.7,435.4,307.8,273.6,1261.1,9196.7,8615.1,34981.3,860.2,13400.3,42095.6,21.4,40516.9,2298.6,2959.7,1428,914.2,5261.3,2117.2,9853,54289.7,18.1,59669.1,6.3,9.9,1222.2,11.6,18.2,1797,9.2,14.7,45170.7,588989.6,373104.5,22293.7,14147,26344.9,16609.2,357040,18254,334915,17552,354808,19485,48366.2,2367.3,55948.8,2662.5,57996,3058.3,57090.9,3035,55059.3,2961.8,50329.9,2705.6,8670.9,294.4,50410.8,2706.3,164391,8765,416408,24684,19.6,19.1,18.2,29.5,18.6,20.4,21,19,18.8,18.6,18.6,18.8,16.9,69,53.4,11.4,3,1.2,9.2,21.7,43.4,1.3,70,27.9,0.8,9.7,30.9,20.8,26.6,12,73,4.1,5.3,2.6,1.6,9.5,3.8,16.6,63,15.5,0.5,0.6,2.3,1.6,24.1,75.9,15.2,47750,51207,53360,56007,62418,53942,63459,78968,103932,64.3,68
