DISTRICT,DAD_POST,DALL_UPDATE,DD1A,DD1AS,DD1B,DD1BS,DD1C,DD1CS,DD1G,DD1S,DD2A,DD2AG,DD2AS,DD2B,DD2BG,DD2BS,DD2G,DD2S,DD3,DD3G,DD3S,DDALLS,D_RATING
"001902","0"," ",51,82,53,80,96.6,90,"B",83,69,"C",79,52,"C",78,"C",79,77,"B",85,84,"B"
"001903","0"," ",52,83,44,73,100,95,"B",81,68,"C",76,48,"C",78,"C",78,56,"C",78,80,"B"
"001904","0"," ",53,84,44,73,100,95,"B",82,69,"C",79,49,"C",79,"C",79,56,"C",78,81,"B"
"001906","0"," ",54,85,63,91,100,95,"B",89,66,"C",70,59,"B",88,"B",88,86,"B",88,89,"B"
"001907","0"," ",41,71,51,78,96.8,90,"C",78,72,"B",84,46,"B",80,"B",84,51,"C",76,82,"B"
"001908","0"," ",39,69,54,82,97,90,"C",78,69,"C",79,47,"C",79,"C",79,43,"C",74,78,"C"
"001909","0"," ",50,82,74,94,100,95,"B",89,70,"B",80,62,"A",91,"A",91,72,"B",83,89,"B"
"002901","0"," ",44,75,42,72,98.1,95,"C",78,71,"B",82,43,"D",62,"B",82,33,"C",71,79,"C"
"003801","0"," ",51,82,82,96,100,95,"A",90,71,"B",82,67,"A",92,"A",92,74,"B",84,90,"A"
"003902","0"," ",57,87,70,93,97.4,90,"A",90,73,"B",85,64,"A",91,"A",91,98,"A",98,93,"A"
"003903","0"," ",45,76,61,90,93.2,75,"B",81,70,"B",80,53,"B",89,"B",89,75,"B",85,88,"B"
"003904","0"," ",47,79,60,90,94.2,80,"B",84,73,"B",85,54,"B",85,"B",85,55,"C",77,83,"B"
"003905","0"," ",42,73,52,79,98.5,95,"B",80,69,"C",79,47,"B",85,"B",85,75,"B",85,85,"B"
"003906","0"," ",36,62,42,72,100,95,"C",73,66,"C",70,39,"C",70,"C",70,11,"F",53,67,"D"
"003907","1"," ",47,79,56,85,98.2,95,"B",85,64,"D",65,52,"B",83,"B",83,62,"B",80,84,"B"
"004901"," "," ",45,76,36,67,94.6,80,"C",73,70,"B",80,41,"C",78,"B",80,37,"C",72,78,"Not Rated: Harvey Provision"
"005901","0"," ",60,90,71,93,100,95,"A",92,77,"A",90,66,"A",91,"A",91,92,"A",93,92,"A"
"005902","0"," ",58,88,58,88,100,95,"B",89,73,"B",85,58,"C",73,"B",85,84,"B",88,89,"B"
"005904","0"," ",57,87,76,94,100,95,"A",91,70,"B",80,67,"B",86,"B",86,100,"A",100,94,"A"
"006902","0"," ",47,79,85,96,100,95,"B",89,70,"B",80,66,"A",91,"A",91,83,"B",87,90,"A"
"007901","0"," ",40,70,29,60,100,95,"C",71,62,"F",59,35,"D",66,"D",66,26,"D",68,70,"C"
"007902","0"," ",47,79,52,79,96.4,90,"B",81,66,"C",70,50,"C",79,"C",79,55,"C",77,80,"B"
"007904","0"," ",32,57,48,76,97.1,90,"C",71,59,"F",58,40,"C",74,"C",74,50,"C",76,75,"C"
"007905","0"," ",40,70,52,79,99.6,95,"C",79,66,"C",70,46,"C",78,"C",78,49,"C",76,78,"C"
"007906","0"," ",40,70,42,72,98.3,95,"C",76,71,"B",82,41,"C",76,"B",82,26,"D",68,78,"C"
"008901","0"," ",49,81,44,73,98.8,95,"B",81,70,"B",80,47,"C",74,"B",80,50,"C",76,80,"B"
"008902","0"," ",45,76,45,74,98,95,"C",79,68,"C",76,45,"C",76,"C",76,31,"C",71,77,"C"
"008903","0"," ",49,81,45,74,96.7,90,"B",80,70,"B",80,47,"C",79,"B",80,40,"C",73,78,"C"
"009901","0"," ",39,69,41,71,100,95,"C",75,67,"C",73,40,"C",75,"C",75,27,"D",68,73,"C"
"010901"," "," ",44,72,42,73,100,95,"Met Standard",77,64,"Met Standard",72,43,"Met Standard",75,"Met Standard",75,25,"Met Standard",68,74,"Met Standard"
"010902","0"," ",44,75,57,86,97.3,90,"B",82,64,"D",65,51,"C",79,"C",79,53,"C",77,81,"B"
"011901","0"," ",39,69,45,74,96.4,90,"C",75,61,"F",59,42,"C",75,"C",75,24,"D",66,72,"C"
"011902","0"," ",33,58,56,85,97.4,90,"C",75,63,"D",60,45,"B",80,"B",80,36,"C",72,78,"C"
"011904","0"," ",43,74,38,69,100,95,"C",76,66,"C",70,41,"C",71,"C",71,15,"D",60,71,"C"
"011905"," "," ",47,79,.,.,100,95,"C",79,73,"B",85,47,"B",83,"B",85,56,"C",78,83,"B"
"012901","0"," ",59,89,52,79,100,95,"B",86,74,"B",87,56,"B",89,"B",89,89,"A",90,89,"B"
"013801"," "," ",48,76,.,.,.,.,"Met Standard",76,55,"Improvement Required",55,48,"Met Standard",84,"Met Standard",84,44,"Met Standard",68,79,"Met Standard"
"013901","0"," ",36,62,52,79,94.2,80,"C",72,67,"C",73,44,"C",78,"C",78,35,"C",72,76,"C"
"013902"," "," ",49,77,.,.,.,.,"Met Standard",77,74,"Met Standard",79,49,"Met Standard",84,"Met Standard",84,65,"Met Standard",74,81,"Met Standard"
