REGION,RPETALLC,RPETSPEC,RPETLEPC,RPETECOC,RPETNEDC,RPETGIFC,RPETVOCC,RPETBILC,RPETRSKC,RPETGEEC,RPETGPKC,RPETGKNC,RPETG01C,RPETG02C,RPETG03C,RPETG04C,RPETG05C,RPETG06C,RPETG07C,RPETG08C,RPETG09C,RPETG10C,RPETG11C,RPETG12C,RPETHISC,RPETBLAC,RPETWHIC,RPETINDC,RPETASIC,RPETPCIC,RPETTWOC,RAUND17C,RAUND17D,RAUND17R,RPETDISD,RPETDISC,RPETDISP,RPETSIMC,RPETSINC,RPETSPHC,RPETSBHC,RPETSAUC,RPETSNOC,RPETSINP,RPETSPHP,RPETSBHP,RPETSAUP,RPETSNOP,RPERRAKR,RPERRA1R,RPERRA2R,RPERRA3R,RPERRA4R,RPERRA5R,RPERRA6R,RPERRA7R,RPERRA8R,RPERRA9R,RPERSAKR,RPERSA1R,RPERSA2R,RPERSA3R,RPERSA4R,RPERSA5R,RPERSA6R,RPERSA7R,RPERSA8R,RPERSA9R,RPETWHIP,RPETBLAP,RPETHISP,RPETINDP,RPETASIP,RPETPCIP,RPETTWOP,RPETECOP,RPETNEDP,RPETRSKP,RPETLEPP,RPETSPEP,RPETVOCP,RPETBILP,RPETGIFP,RPETGEEP,RPETGPKP,RPETGKNP,RPETG01P,RPETG02P,RPETG03P,RPETG04P,RPETG05P,RPETG06P,RPETG07P,RPETG08P,RPETG09P,RPETG10P,RPETG11P,RPETG12P,RPSTTOFC,RPSUTOFC,RPSSTOFC,RPSCTOFC,RPSETOFC,RPSTTOST,RPSUTOST,RPSSTOST,RPSCTOST,RPST00FC,RPST01FC,RPST06FC,RPST11FC,RPST20FC,RPST00ST,RPST01ST,RPST06ST,RPST11ST,RPST20ST,RPSRTOPC,RPSRTOFC,RPSBTOPC,RPSBTOFC,RPSTNOFC,RPSTBAFC,RPSTMSFC,RPSTPHFC,RPSPCOFC,RPSECOFC,RPSPTOFC,RPSXTOFC,RPSATOFC,RPSOTOFC,RPSTINFC,RPSTPIFC,RPSTASFC,RPSTBLFC,RPSTHIFC,RPSTWHFC,RPSTTWFC,RPSTMAFC,RPSTFEFC,RPSXCOFC,RPSTREFC,RPSTVOFC,RPSTBIFC,RPSTCOFC,RPSTGIFC,RPSTSPFC,RPSTOPFC,RPSTURNN,RPSTURND,RPSTURNR,RPSTFTEC,RPSTTENA,RPSTEXPA,RPSAMIFC,RPSTEXPT,RPSTTENT,RPCTSOCS,RPCTSOCC,RPCTSCIS,RPCTSCIC,RPCTMATS,RPCTMATC,RPCTG06S,RPCTG06C,RPCTG05S,RPCTG05C,RPCTG04S,RPCTG04C,RPCTG03S,RPCTG03C,RPCTG02S,RPCTG02C,RPCTG01S,RPCTG01C,RPCTGMES,RPCTGMEC,RPCTGKGS,RPCTGKGC,RPCTFLAS,RPCTFLAC,RPCTENGS,RPCTENGC,RPCTSOCA,RPCTSCIA,RPCTMATA,RPCTGMEA,RPCTGKGA,RPCTG06A,RPCTG05A,RPCTG04A,RPCTG03A,RPCTG02A,RPCTG01A,RPCTFLAA,RPCTENGA,RPSPTOFP,RPSTTOFP,RPSUTOFP,RPSSTOFP,RPSCTOFP,RPSETOFP,RPSXTOFP,RPSAMIFP,RPSTNOFP,RPSTBAFP,RPSTMSFP,RPSTPHFP,RPST00FP,RPST01FP,RPST06FP,RPST11FP,RPST20FP,RPSTREFP,RPSTVOFP,RPSTBIFP,RPSTCOFP,RPSTGIFP,RPSTSPFP,RPSTOPFP,RPSTBLFP,RPSTWHFP,RPSTHIFP,RPSTPIFP,RPSTINFP,RPSTASFP,RPSTTWFP,RPSTMAFP,RPSTFEFP,RPSTKIDR,RPST00SA,RPST01SA,RPST06SA,RPST11SA,RPST20SA,RPSTTOSA,RPSUTOSA,RPSSTOSA,RPSCTOSA,RPSHEXPA,RPSHTENA,RPSLEXPA,RPSLTENA,RPSHEXPT,RPSHTENT,RPSLEXPT,RPSLTENT,RPSHFTEC,RPSLFTEC,RPFEIERP,RPSAINHP,RA0GR17N,RA0GM17N,RA0GH17N,RA0GE17N,RA0GA17N,RA0GN17N,RB0GR17N,RH0GR17N,RW0GR17N,RI0GR17N,R30GR17N,R40GR17N,R20GR17N,RE0GR17N,RS0GR17N,RL0GR17N,RR0GR17N,RA0GH17P,RA0GN17P,RA0GE17P,RA0GA17P,RA0GR17R,RB0GR17R,RH0GR17R,RW0GR17R,RI0GR17R,R30GR17R,R40GR17R,R20GR17R,RE0GR17R,RS0GR17R,RL0GR17R,RR0GR17R,RA0GM17P
"01",432473,34586,156397,369804,62669,36695,120799,157851,268863,439,28501,28529,30824,30274,31350,31215,31005,31684,32137,31779,35385,32085,29840,27426,420509,1937,7377,196,1858,67,529,654,198555,0.3,446470,6063,1.4,34586,16762,5847,7168,4326,483,48.5,16.9,20.7,12.5,1.4,1.4,5.6,3.7,2,0.9,0.4,0.8,0.8,0.6,9.2,5,8.6,3.4,1,0.4,0.6,0.9,0.9,1,16.4,1.7,0.4,97.2,0,0.4,0,0.1,85.5,14.5,62.2,36.2,8,27.9,36.5,8.5,0.1,6.6,6.6,7.1,7,7.2,7.2,7.2,7.3,7.4,7.3,8.2,7.4,6.9,6.3,27876.4,5768.3,1725.3,605.8,6440.4,1480304427.7,366423054.3,135280638.9,61039338.4,2915.6,6471.1,5218.2,8566.8,4704.7,135850087.7,312640194.4,265646415.3,469339380.4,296828349.9,65,1248,22,460,337.9,22333.8,5137.8,66.9,22.2,3.5,35975.8,20007.5,62423.7,3633.9,21.1,11.8,219.2,176.3,25294.6,2112.1,41.3,8187.3,19689.1,32.7,19067,1554.9,3412.1,368,995.7,2080.5,398.2,2657.1,27381.2,9.7,30529,9.4,11.5,58998.3,350381.2,285760.1,174858,9336,159924,8781,175237,10092,24637.6,1254.5,17887.5,866.9,18465.4,920.4,18083,907.3,17599.4,902.9,17150.3,880.5,1311.3,75.9,17842.4,904.4,75320,4147,232572,14017,18.7,18.2,17.4,17.3,19.7,19.6,20.6,20.1,19.9,19.5,19.5,18.2,16.6,57.6,44.7,9.2,2.8,1,10.3,32.1,94.5,1.2,80.1,18.4,0.2,10.5,23.2,18.7,30.7,16.9,68.4,5.6,12.2,1.3,3.6,7.5,1.4,0.6,7.6,90.7,0,0.1,0.8,0.1,29.4,70.6,15.5,46594,48313,50907,54786,63092,53102,63523,78411,100760,6.8,6.2,5.7,5.4,4321,3976,6264,5909,637,1093,60.8,58.8,27125,1947,23493,174,1096,415,43,26478,409,16,150,4,25,22086,1973,3388,13324,86.6,1.5,0.6,4,100,0.2,97.6,1.5,0.1,0.6,0,0.1,81.4,7.3,12.5,49.1,7.2
"02",103691,9524,4705,75093,28598,5180,25260,4360,53779,166,4240,7078,7568,7523,7881,8061,7850,7868,7887,7648,8172,7594,7277,6878,77950,2497,20585,178,1274,74,1133,130,58019,0.2,110406,2431,2.2,9524,3990,2162,2015,1239,118,41.9,22.7,21.2,13,1.2,2.1,5.7,2.8,1.7,1,0.5,0.8,0.9,1,7.3,5,5.4,2.4,1.3,0.6,1.1,0.4,0.8,1.3,13.9,19.9,2.4,75.2,0.2,1.2,0.1,1.1,72.4,27.6,51.9,4.5,9.2,24.4,4.2,5,0.2,4.1,6.8,7.3,7.3,7.6,7.8,7.6,7.6,7.6,7.4,7.9,7.3,7,6.6,6938.6,1192.1,457.3,234.1,1737.2,353908887.5,69876952.3,33399975.9,21113295.3,467.6,1854.2,1222.9,1996.2,1397.8,21230727.3,85794194,59135512.4,105648347.4,82100106.5,26,280,8,100,162.2,4978.9,1755.2,42.3,8.7,2,8822.1,3997,14556.3,12.6,27,9,44.5,158,3445.2,3212.5,42.4,1631.6,5307.1,5.5,5454.6,311.7,46,255.3,103.2,607.5,160.3,1176.1,6904.5,17,7553.8,8.1,12.2,9399.9,92407.7,61234.5,44022,2414,42178,2285,45624,2622,5800.1,301.6,6856.8,345.9,7078,378.3,6977.4,378.4,6481.6,356.3,6679.7,356.4,632.6,21.6,6206.9,339.8,17990,959,55429,3517,18.2,18.5,17.4,29.2,18.3,19.2,19.8,18.7,18.4,18.2,18.7,18.8,15.8,60.6,47.7,8.2,3.1,1.6,11.9,27.5,64.6,2.3,71.8,25.3,0.6,6.7,26.7,17.6,28.8,20.1,78.6,4.5,0.7,3.7,1.5,8.8,2.3,2.3,46.3,49.7,0.1,0.4,0.6,0.6,23.5,76.5,14.9,45408,46271,48356,52925,58737,51006,58615,73042,90200,7.5,6.4,5.7,4.9,1605,1373,1306,1134,214,231,57.8,62.7,6491,791,4441,116,642,501,198,4644,1441,13,110,5,80,3282,544,99,2831,68.4,7.7,1.8,9.9,100,3.1,71.5,22.2,0.2,1.7,0.1,1.2,50.6,8.4,1.5,43.6,12.2
"03",53432,5236,4439,35329,18103,2774,15013,4307,24565,129,2337,3638,3752,3869,4026,4203,4156,3977,3932,3875,4433,4018,3751,3336,30652,4402,16832,77,620,23,826,98,26849,0.4,57241,1214,2.1,5236,2682,947,1003,424,180,51.2,18.1,19.2,8.1,3.4,3.9,4.5,2.1,1.4,1.1,0.6,1,0.6,0.9,9.7,15.5,8.1,2.5,1.1,0.6,0.6,0.2,1.1,0.7,10.6,31.5,8.2,57.4,0.1,1.2,0,1.5,66.1,33.9,46,8.3,9.8,28.1,8.1,5.2,0.2,4.4,6.8,7,7.2,7.5,7.9,7.8,7.4,7.4,7.3,8.3,7.5,7,6.2,3923.6,557,238.5,132.4,1099.3,190036986,31397006,17086556.4,11831390.4,295.3,1045.7,622.4,1093.1,867.2,13016603.6,45147523.8,28272525.4,54907214.8,48693118.5,49,117,12,32,26.2,3281.4,594.7,21.3,45.5,12.3,4851.5,2225.2,8176.1,14.3,7.3,2,15.3,157.7,638.6,3086.8,15.9,868.5,3055.1,29.1,3015.6,235.6,64,152.5,51.3,304.4,100.3,761.1,4000.6,19,4462.7,7.6,12.3,2946,55001.6,33887.1,22726,1376,20767,1275,23849,1575,3024.8,167.7,3705.9,198.3,3709.7,197.8,3494.6,191,3396.1,188.3,3193.6,175.9,14.3,0.8,3310.4,184.6,8085,491,29126,1951,16.5,16.3,15.1,17.2,17.9,18,18.7,18.8,18.3,18,18.2,16.5,14.9,59.3,48,6.8,2.9,1.6,13.4,27.2,36,0.7,83.6,15.2,0.5,7.5,26.7,15.9,27.9,22.1,76.9,6,1.6,3.9,1.3,7.8,2.6,4,78.7,16.3,0.1,0.2,0.4,0.4,22.1,77.9,13.6,44086,43176,45421,50231,56152,48434,56367,71632,89379,6.7,5.8,5.6,4.7,952,824,634,532,142,114,60,64.7,3501,421,1820,82,921,257,315,1759,1320,2,52,1,52,1599,291,77,1367,52,7.3,2.3,26.3,100,9,50.2,37.7,0.1,1.5,0,1.5,45.7,8.3,2.2,39,12
"04",1209208,99426,269690,700756,508452,96049,298199,268431,666181,3651,51447,82394,88238,90154,94050,92949,92896,89818,89293,88812,97846,88153,82348,77159,612604,224820,256021,5474,85187,1491,23611,925,541805,0.2,1250735,14369,1.1,99426,41966,19964,19961,15730,1805,42.2,20.1,20.1,15.8,1.8,1.1,4,2.7,1.9,0.9,0.7,0.6,0.8,0.6,8.8,4.6,6.7,3.1,1.4,0.6,0.5,0.7,0.9,0.6,14.1,21.2,18.6,50.7,0.5,7,0.1,2,58,42,55.1,22.3,8.2,24.7,22.2,7.9,0.3,4.3,6.8,7.3,7.5,7.8,7.7,7.7,7.4,7.4,7.3,8.1,7.3,6.8,6.4,75511.9,16390.2,4130,1477.2,13761.7,4309898988.5,1106226104,345565879.1,165010841.1,7638.9,23477,14741,20015.7,9639.2,402765557.4,1258762093.3,827021615,1179986825.7,641362897.1,212,2282,98,796,2430.6,54201.8,18163.4,716.1,32.3,4,97509.4,44709.6,155980.6,1439.8,267.7,254.2,2409.5,15997.7,15537.7,39980.2,1064.9,16984.5,58527.4,14.9,54970.2,3049.3,4832.3,1398.5,1777.3,6463.9,3020.5,12167,74156.9,16.4,79825.2,6.6,9.9,87843.5,792614.5,524251.2,511665,24762,482160,23875,519746,26955,64410.5,3031.2,79028,3590.1,79131.3,3974.3,79257.4,4001.3,74036.9,3834,72719.1,3772.8,9961.7,366.1,68936,3603,211652,10275,592844,33254,20.7,20.2,19.3,27.2,19.1,21.2,22,19.9,19.8,19.3,19.3,20.6,17.8,62.5,48.4,10.5,2.6,0.9,8.8,28.7,56.3,3.2,71.8,24.1,0.9,10.1,31.1,19.5,26.5,12.8,72.8,4,6.4,1.9,2.4,8.6,4,21.2,52.9,20.6,0.3,0.4,3.2,1.4,22.5,77.5,16,52725,53617,56103,58953,66537,57076,67493,83672,111703,6.6,5.9,5.8,5.2,9266,8236,15711,14052,1403,2696,64.6,63.2,73419,8826,56692,428,2856,4617,13872,34011,18384,314,5534,89,1215,34800,4817,3591,30773,77.2,6.3,0.6,3.9,100,18.9,46.3,25,0.4,7.5,0.1,1.7,47.4,6.6,4.9,41.9,12
"05",83397,7606,7520,53849,29548,4658,23742,6832,39417,308,3911,5981,6279,6363,6506,6437,6317,6202,6064,5953,6360,5849,5501,5366,18150,21014,39848,497,1903,44,1941,141,37472,0.4,88886,1591,1.8,7606,3276,1735,1427,987,181,43.1,22.8,18.8,13,2.4,2.7,4.9,2.7,2.1,0.9,0.6,1.3,1.4,0.6,6.7,9.7,11.1,4.5,0.8,0.5,0.5,1.7,0.3,0.8,8.4,47.8,25.2,21.8,0.6,2.3,0.1,2.3,64.6,35.4,47.3,9,9.1,28.5,8.2,5.6,0.4,4.7,7.2,7.5,7.6,7.8,7.7,7.6,7.4,7.3,7.1,7.6,7,6.6,6.4,5762.1,857.7,392,180,1391.2,275471984.4,48960629.1,27274977.2,16729604.6,526.4,1478.5,985.5,1504.6,1267,20248732.3,63334863.4,44578197.4,74252182.7,73058008.7,30,177,22,59,69.5,4650.1,1018.4,24.1,55.6,13.7,7191.8,3003.4,11586.4,109.2,19.9,5,54.6,955.1,301.3,4384.2,42,1191.1,4571,15.3,4370.9,373.1,123.2,207.2,51.9,482.4,153.4,1017.4,5746.3,17.7,6222.9,8.2,12.2,3728.7,75904.2,51207.4,32368,1849,30803,1775,35140,2081,4438.8,216,4993.7,245.6,4954.3,269.3,5375.4,288.5,5251.1,277.9,5063.1,264,42,3.1,5122,271.3,11524,630,39337,2531,17.5,17.4,16.9,13.7,18.9,20.5,20.3,18.4,18.6,18.9,19.2,18.3,15.5,62.1,49.7,7.4,3.4,1.6,12,25.9,32.2,1.2,80.7,17.7,0.4,9.1,25.7,17.1,26.1,22,75.9,6.5,2.1,3.6,0.9,8.4,2.7,16.6,76.1,5.2,0.1,0.3,0.9,0.7,20.7,79.3,14.5,38464,42836,45235,49350,57660,47808,57084,69570,92967,5.8,4.9,4.5,4,923,777,796,715,158,177,58.9,63.8,5044,771,3268,40,535,430,1279,796,2702,25,143,8,91,2274,442,97,1850,64.8,8.5,0.8,10.6,100,25.4,15.8,53.6,0.5,2.8,0.2,1.8,45.1,8.8,1.9,36.7,15.3
"06",198220,16964,27671,99428,98792,14161,52937,28177,87942,515,6687,13749,14284,14674,15351,15444,15401,14824,15073,14789,15854,14974,13913,12688,71449,21036,94629,868,4940,222,5076,159,91015,0.2,205341,2967,1.4,16964,7393,3532,3557,2182,300,43.6,20.8,21,12.9,1.8,2.4,4,2,1.3,0.5,0.6,0.4,0.4,0.5,6.3,6.7,7.6,2.7,1,0.3,0.5,0.4,0.2,0.5,12,47.7,10.6,36,0.4,2.5,0.1,2.6,50.2,49.8,44.4,14,8.6,26.7,14.2,7.1,0.3,3.4,6.9,7.2,7.4,7.7,7.8,7.8,7.5,7.6,7.5,8,7.6,7,6.4,13107.2,2364.9,772,309.9,2708.7,684516469.1,144807970.6,59206591.9,31405774.2,933.4,3731.5,2547.9,3694.2,2200.2,42677939,179652597.7,129238277.3,200385821.3,132561833.8,49,386,23,121,116.8,10094.8,2809.8,85.8,64.2,1.4,16554.1,6855.6,26118.4,32.6,38.7,5.8,81.5,714,1494.2,10685,87.9,2755.4,10351.8,19.5,9282,740,769.1,311.5,105.1,1325.2,574.2,2308.4,12852.2,18,13798,6.6,11.3,7141.5,155231.8,90640.6,83849,4212,77777,3985,83894,4584,11929.9,564,12642.4,585.4,12521.3,665.6,12762.2,677.4,12002.6,643,11843.4,641,363,13,10923.8,585.1,33749,1805,95607,5537,19.9,19.5,18.3,27.9,18.7,21.2,21.6,18.8,18.8,18.7,18.5,18.7,17.3,63.4,50.2,9.1,3,1.2,10.4,26.2,27.3,0.9,77,21.4,0.7,7.1,28.5,19.4,28.2,16.8,70.8,5.6,5.9,2.4,0.8,10.1,4.4,5.4,81.5,11.4,0,0.3,0.6,0.7,21,79,15.1,45724,48145,50723,54243,60250,52224,61232,76690,101334,6.2,5.1,5.8,4.9,1949,1622,2480,2102,315,426,63.3,63.6,12136,1318,8173,151,1999,495,1194,3739,6592,58,276,16,261,4495,854,344,4162,67.3,4.1,1.2,16.5,100,9.8,30.8,54.3,0.5,2.3,0.1,2.2,37,7,2.8,34.3,10.9
"07",169420,15474,21147,104626,64794,11123,48407,21023,84506,298,7692,12025,12560,12541,12671,12837,13182,12637,12796,12478,12983,12326,11643,10751,47823,28455,85296,640,1589,108,5509,146,77179,0.2,177505,2774,1.6,15474,6960,3589,3056,1616,253,45,23.2,19.7,10.4,1.6,3.2,4.9,2.8,1.5,0.8,0.9,0.4,0.7,0.6,4.8,10,8,4.1,1.6,0.4,1.1,1.1,0.5,1.1,6.2,50.3,16.8,28.2,0.4,0.9,0.1,3.3,61.8,38.2,49.9,12.5,9.1,28.6,12.4,6.6,0.2,4.5,7.1,7.4,7.4,7.5,7.6,7.8,7.5,7.6,7.4,7.7,7.3,6.9,6.3,12397.3,2031.1,841,435,2988.9,566094163.5,105760172.6,58199354.5,39886348.6,1006.7,3176.1,2209.2,3435.1,2570.2,38744006,126131305.3,95189365.6,166057516.3,139971970.3,38,386,39,108,142.1,9836.8,2387.1,31.3,140.6,26.4,15704.4,5988.5,24681.8,34.8,49.1,10.4,38,1065.2,772.8,10358.3,103.5,2705.4,9691.9,44.3,9078.2,803,505.3,642.6,128.8,908.8,330.6,2600.8,12419.5,20.9,13608.5,6.9,12.1,6162.2,165337.9,93845.5,68266,4052,64214,3798,71461,4548,10405.6,551.6,11201.7,566.1,10802.4,580.3,10620,575,10376.4,562.9,10095.1,548.4,787.4,42.5,10216.8,562.1,27003,1676,83168,5627,16.8,16.9,15.7,18.5,18.2,18.9,19.8,18.6,18.5,18.4,18.4,16.1,14.8,63.6,50.2,8.2,3.4,1.8,12.1,24.3,25,1.1,79.3,19.3,0.3,8.1,25.6,17.8,27.7,20.7,73.2,6.5,4.1,5.2,1,7.3,2.7,8.6,83.6,6.2,0.1,0.4,0.3,0.8,21.8,78.2,13.7,38486,39713,43087,48341,54459,45663,52070,69206,91702,6.3,5.2,4.3,3.6,2517,2056,1567,1309,398,367,60.4,64.8,10716,1277,6368,274,2269,528,1846,2622,5817,50,126,9,246,5141,990,255,4091,59.4,4.9,2.6,21.2,100,17.2,24.5,54.3,0.5,1.2,0.1,2.3,48,9.2,2.4,38.2,11.9
"08",56088,5991,5765,35770,20318,3808,15386,5886,26715,196,3356,4087,4089,4029,4112,4231,4237,4089,4108,4079,4153,3950,3785,3587,11867,11047,30006,318,430,45,2375,70,27802,0.3,59207,1058,1.8,5991,2949,1393,985,578,86,49.2,23.3,16.4,9.6,1.4,4.8,5.1,1.6,1.1,0.4,1.1,0.2,0.2,0.6,4.5,11.3,5.4,1.3,0.2,0,0,0.9,0,0.4,8.2,53.5,19.7,21.2,0.6,0.8,0.1,4.2,63.8,36.2,47.6,10.3,10.7,27.4,10.5,6.8,0.3,6,7.3,7.3,7.2,7.3,7.5,7.6,7.3,7.3,7.3,7.4,7,6.7,6.4,4544.7,607.4,294,147.5,1261.8,200967916.4,31892954.6,19804242.9,12959046.9,271.3,1156.8,780.3,1333.2,1003.1,9781843.6,43214319.2,32364653.9,62863479.8,52743619.9,29,120,8,21,32.6,3562.8,939.4,9.8,31.4,0,5593.5,1970.5,8825.8,49.5,18.6,3,11,333.9,220.4,3921.2,36.5,951.6,3593.1,20.9,3219.1,309.6,133.1,321.5,37.8,345.2,178.5,802.2,4528.5,17.7,4998.4,8,12.8,1972.9,63782.1,39843.7,23025,1436,20604,1280,23193,1592,3421.7,194.1,3814.2,208.4,3799.7,206.5,3701.1,206,3545.9,203,3662.8,203.2,199.3,13.2,3846.1,204.4,8396,577,28534,2101,16,16.1,14.6,15.1,18.8,17.6,18.3,18.4,18,17.5,18,14.6,13.6,63.4,51.5,6.9,3.3,1.7,14.3,22.3,22.4,0.7,78.4,20.7,0.2,6,25.5,17.2,29.3,22.1,70.8,6.8,2.9,7.1,0.8,7.6,3.9,7.3,86.3,4.9,0.1,0.4,0.2,0.8,20.9,79.1,12.3,36060,37357,41479,47151,52581,44221,52510,67364,87871,5.7,4.6,5.3,4.8,899,726,679,613,158,128,61.8,66.9,3931,608,2070,131,903,219,799,745,2195,32,35,2,123,1927,418,92,1250,52.7,5.6,3.3,23,100,20.3,19,55.8,0.8,0.9,0.1,3.1,49,10.6,2.3,31.8,15.5
"09",37475,4221,2253,21908,15567,1885,10192,2176,18075,112,2011,2733,2689,2721,2874,2890,2841,2763,2720,2701,2696,2713,2563,2448,10435,2688,21841,243,554,41,1673,47,17095,0.3,39913,584,1.5,4221,1764,993,916,431,117,41.8,23.5,21.7,10.2,2.8,3.1,2.6,0.9,0.8,0.3,1.5,0.3,0.3,0.4,1.6,7.5,8.5,0.9,0.6,0.3,0,0.3,0.3,0.6,3.5,58.3,7.2,27.8,0.6,1.5,0.1,4.5,58.5,41.5,48.2,6,11.3,27.2,5.8,5,0.3,5.4,7.3,7.2,7.3,7.7,7.7,7.6,7.4,7.3,7.2,7.2,7.2,6.8,6.5,2966.3,359.1,161.1,67.5,678.7,139541089.9,19036796.4,11368646.8,6516408.2,140.7,733.6,532.3,902.4,657.2,5323003.1,29869576.1,23313463.9,44456894.5,36578152.3,27,89,16,23,31.9,2345,582.2,7.2,46.4,0,3554,1100.5,5333.2,9,16.3,1,15.1,86.8,166.1,2659.7,21.3,686.4,2279.9,13.3,2233.5,171.5,35.5,193.2,8,238,86.5,523,2975.2,17.6,3320.8,8.3,12.8,782.5,42455.3,27547.4,15077,1022,14245,933,15694,1113,2010.6,114.1,2474.1,139.1,2536.9,147.5,2397.7,140.8,2449.1,145.5,2408.5,141.4,617.8,22.8,2570.5,145.6,6655,423,20108,1427,14.8,15.3,14.1,27.1,17.7,17.6,17.8,17.2,17,16.8,17,15.7,14.1,66.6,55.6,6.7,3,1.3,12.7,20.6,14.7,1.1,79.1,19.6,0.2,4.7,24.7,17.9,30.4,22.2,75.3,5.8,1.2,6.5,0.3,8,2.9,2.9,89.7,5.6,0,0.6,0.5,0.7,23.1,76.9,12.6,37824,40714,43796,49266,55653,47042,53019,70574,96552,5.7,4.7,4.9,4.2,603,496,334,287,105,68,62.2,71.9,2405,349,1622,42,326,66,144,609,1511,21,33,1,86,1005,233,34,823,67.4,2.7,1.7,13.6,100,6,25.3,62.8,0.9,1.4,0,3.6,41.8,9.7,1.4,34.2,14.5
"10",865357,78411,195159,479775,385582,83221,220009,191599,401371,2764,33546,60097,62104,63562,66229,67572,67669,65637,65175,63695,68785,64002,60054,54466,372856,160393,238067,5232,65795,919,22095,1136,395136,0.3,890060,9371,1.1,78411,30210,19357,15876,12362,606,38.5,24.7,20.2,15.8,0.8,1.5,2.1,1.3,0.9,0.5,0.7,0.5,0.6,0.5,7.7,7.4,4,1.7,0.7,0.4,0.6,0.5,0.5,0.9,12.3,27.5,18.5,43.1,0.6,7.6,0.1,2.6,55.4,44.6,46.4,22.6,9.1,25.4,22.1,9.6,0.3,3.9,6.9,7.2,7.3,7.7,7.8,7.8,7.6,7.5,7.4,7.9,7.4,6.9,6.3,56744.1,11414.4,3738.5,1357.6,10178.2,3109111677.1,739434117.9,292835842.1,141863941.1,5009.9,18667.9,10820.3,15407.9,6838.2,242432568,968932331.2,588718795.9,877881832,431146150.1,106,1982,59,806,619.9,39951.6,15684.6,488,61.9,11.5,73254.7,23054.5,106487.5,447.1,308.3,315.6,1374.2,9603.1,9037.8,35197.5,907.6,13705.1,43039,15.9,40637.9,2459.4,3343.4,1544,1014.9,5493.1,2251.3,10250.9,55817.5,18.4,60851.6,6.2,9.9,47306.2,603869.9,377793.2,362529,18347,341831,17712,361318,19534,50388.8,2422,57644.2,2702.5,57871.3,3023.1,55690.4,2943.9,53163.6,2831.3,49352.9,2605.2,6839.5,256.5,51005.6,2695.6,170824,8963,418375,24481,19.8,19.3,18.5,26.7,18.9,20.8,21.3,19.1,18.9,18.8,18.9,19.1,17.1,68.8,53.3,10.7,3.5,1.3,9.6,21.6,44.4,1.1,70.4,27.6,0.9,8.8,32.9,19.1,27.2,12.1,71.6,4.3,5.9,2.7,1.8,9.7,4,16.9,62,15.9,0.6,0.5,2.4,1.6,24.2,75.8,15.3,48391,51904,54409,56976,63050,54792,64781,78329,104494,5.7,5,4.7,4.1,7212,6399,9250,8093,1270,1963,64.1,67.9,52795,6361,42760,274,1595,1805,9817,21035,17098,243,3477,86,1039,24571,3876,3374,18320,81,3.4,0.5,3,100,18.6,39.8,32.4,0.5,6.6,0.2,2,46.5,7.3,6.4,34.7,12
