DISTRICT,CAMPNAME,COUNTY,CAMPUS,CAMPNAME_CLEAN,GRDTYPE,GRDSPAN,CFLCHART
1902,CAYUGA H S,1,1902001,Cayuga High School,S,09 - 12,N
1902,CAYUGA MIDDLE,1,1902041,Cayuga Middle School,M,06 - 08,N
1902,CAYUGA EL,1,1902103,Cayuga Elementary School,E,PK - 05,N
1903,ELKHART H S,1,1903001,Elkhart High School,S,09 - 12,N
1903,ELKHART DAEP,1,1903002,Elkhart DAEP,S,08 - 10,N
1903,ELKHART MIDDLE,1,1903041,Elkhart Middle School,M,06 - 08,N
1903,ELKHART EL,1,1903101,Elkhart Elementary School,E,PK - 02,N
1903,ELKHART INT,1,1903102,Elkhart Intermediate School,E,03 - 05,N
1904,FRANKSTON H S,1,1904001,Frankston High School,S,09 - 12,N
1904,FRANKSTON MIDDLE,1,1904041,Frankston Middle School,M,06 - 08,N
1904,FRANKSTON EL,1,1904102,Frankston Elementary School,E,EE - 05,N
1906,NECHES H S,1,1906002,Neches High School,S,09 - 12,N
1906,NECHES EL,1,1906102,Neches Elementary School,E,PK - 08,N
1907,PALESTINE H S,1,1907001,Palestine High School,S,09 - 12,N
1907,PALESTINE J H,1,1907041,Palestine Junior High,M,07 - 08,N
1907,NORTHSIDE PRI,1,1907101,Northside Primary School,E,KG - 01,N
1907,WASHINGTON EARLY CHILDHOOD CENTER,1,1907102,Washington Early Childhood Center,E,EE - PK,N
1907,SOUTHSIDE EL,1,1907107,Southside Elementary School,E,02 - 03,N
1907,STORY INT,1,1907110,Story Intermediate School,E,04 - 06,N
1908,WESTWOOD H S,1,1908002,Westwood High School,S,09 - 12,N
1908,WESTWOOD J H,1,1908041,Westwood Junior High,M,07 - 08,N
1908,WESTWOOD EL,1,1908101,Westwood Elementary School,E,02 - 06,N
1908,WESTWOOD PRI,1,1908102,Westwood Primary School,E,EE - 02,N
1909,SLOCUM H S,1,1909001,Slocum High School,S,09 - 12,N
1909,SLOCUM PK - 8,1,1909101,Slocum PK-8,E,PK - 08,N
2901,ANDREWS H S,2,2901001,Andrews High School,S,08 - 12,N
2901,ANDREWS EDUCATION CENTER,2,2901002,Andrews Education Center,S,09 - 12,N
2901,ANDREWS MIDDLE,2,2901041,Andrews Middle School,M,06 - 08,N
2901,DEVONIAN EL,2,2901101,Devonian Elementary School,E,02 - 03,N
2901,UNDERWOOD EL,2,2901104,Underwood Elementary School,E,04 - 05,N
2901,CLEARFORK EL,2,2901105,Clearfork Elementary School,E,EE - 01,N
3801,PINEYWOODS COMMUNITY ACADEMY H S,3,3801001,Pineywoods Community Academy High School,S,09 - 12,Y
3801,DR TERRY ROBBINS MIDDLE,3,3801042,Dr Terry Robbins Middle School,M,06 - 08,Y
3801,SARAH STRINDEN EL,3,3801103,Sarah Strinden Elementary School,E,PK - 05,Y
3902,HUDSON H S,3,3902001,Hudson High School,S,09 - 12,N
3902,STUBBLEFIELD LRN CTR,3,3902004,Stubblefield Learning Center,S,10 - 12,N
3902,HUDSON MIDDLE,3,3902041,Hudson Middle School,M,06 - 08,N
3902,W F PEAVY PRI,3,3902101,W F Peavy Primary School,E,EE - 02,N
3902,W H BONNER EL,3,3902102,W H Bonner Elementary School,E,03 - 05,N
3903,LUFKIN H S,3,3903001,Lufkin High School,S,08 - 12,N
3903,STUBBLEFIELD LRN CTR,3,3903004,Stubblefield Learning Center,S,09 - 12,N
3903,LUFKIN MIDDLE,3,3903044,Lufkin Middle School,M,06 - 08,N
3903,ANDERSON EL,3,3903120,Anderson Elementary School,E,03 - 05,N
3903,BRANDON EL,3,3903121,Brandon Elementary School,E,03 - 05,N
3903,BROOKHOLLOW EL,3,3903122,Brookhollow Elementary School,E,03 - 05,N
3903,COSTON EL,3,3903123,Coston Elementary School,E,03 - 05,N
3903,DUNBAR PRI,3,3903124,Dunbar Primary School,E,KG - 02,N
3903,GARRETT PRI,3,3903125,Garrett Primary School,E,PK - PK,N
3903,HACKNEY PRI,3,3903126,Hackney Primary School,E,PK - PK,N
3903,HERTY PRI,3,3903127,Herty Primary School,E,EE - 02,N
3903,KURTH PRI,3,3903128,Kurth Primary School,E,PK - 02,N
3903,SLACK EL,3,3903129,Slack Elementary School,E,02 - 05,N
3903,TROUT PRI,3,3903130,Trout Primary School,E,EE - 02,N
3903,BURLEY PRI,3,3903131,Burley Primary School,E,KG - 02,N
3903,SPECIAL SERVICES,3,3903141,Special Services,E,EE - KG,N
3903,JUVENILE DETENT CTR,3,3903201,Juvenile Detention Center,B,06 - 11,N
3904,HUNTINGTON H S,3,3904001,Huntington High School,S,09 - 12,N
3904,PRIDE ALTER SCH,3,3904005,Pride Alter Sch,S,10 - 12,N
3904,HUNTINGTON MIDDLE,3,3904041,Huntington Middle School,M,06 - 08,N
3904,HUNTINGTON EL,3,3904101,Huntington Elementary School,E,EE - 03,N
3904,HUNTINGTON INT,3,3904102,Huntington Intermediate School,E,04 - 05,N
3905,DIBOLL H S,3,3905001,Diboll High School,S,09 - 12,N
3905,STUBBLEFIELD LRN CTR,3,3905004,Stubblefield Learning Center,S,11 - 12,N
3905,DIBOLL J H,3,3905041,Diboll Junior High,M,06 - 08,N
3905,H G TEMPLE EL,3,3905101,H G Temple Elementary School,E,KG - 02,N
3905,DIBOLL PRI,3,3905102,Diboll Primary School,E,PK - PK,N
3905,H G TEMPLE INT,3,3905103,H G Temple Intermediate School,E,03 - 05,N
3906,ZAVALLA H S,3,3906001,Zavalla High School,B,06 - 12,N
3906,ZAVALLA EL,3,3906101,Zavalla Elementary School,E,PK - 05,N
3907,CENTRAL H S,3,3907001,Central High School,S,09 - 12,N
3907,STUBBLEFIELD LRN CTR,3,3907004,Stubblefield Learning Center,S,12 - 12,N
3907,CENTRAL J H,3,3907041,Central Junior High,M,05 - 08,N
3907,CENTRAL EL,3,3907102,Central Elementary School,E,EE - 04,N
4901,ROCKPORT-FULTON H S,4,4901001,Rockport-Fulton High School,S,09 - 12,N
4901,ROCKPORT-FULTON MIDDLE,4,4901041,Rockport-Fulton Middle School,M,06 - 08,N
4901,FULTON LEARNING CENTER,4,4901101,Fulton Learning Center,E,03 - 05,N
4901,DISCOVERY LEARNING CENTER,4,4901102,Discovery Learning Center,E,EE - PK,N
4901,LIVE OAK LEARNING CENTER,4,4901103,Live Oak Learning Center,E,KG - 02,N
5901,ARCHER CITY H S,5,5901001,Archer City High School,S,07 - 12,N
5901,ARCHER CITY EL,5,5901101,Archer City Elementary School,E,PK - 06,N
5902,HOLLIDAY H S,5,5902001,Holliday High School,S,09 - 12,N
5902,HOLLIDAY MIDDLE,5,5902041,Holliday Middle School,M,06 - 08,N
5902,HOLLIDAY EL,5,5902101,Holliday Elementary School,E,EE - 05,N
5904,WINDTHORST H S,5,5904001,Windthorst High School,S,09 - 12,N
5904,WINDTHORST JH,5,5904041,Windthorst Jh,M,06 - 08,N
5904,WINDTHORST EL,5,5904101,Windthorst Elementary School,E,PK - 05,N
6902,CLAUDE H S,6,6902001,Claude High School,S,07 - 12,N
6902,CLAUDE EL,6,6902101,Claude Elementary School,E,PK - 06,N
7901,CHARLOTTE H S,7,7901001,Charlotte High School,S,09 - 12,N
7901,DISTRICT REASSIGNMENT & OPPORTUNIT,7,7901003,District Reassignment & Opportunit,M,07 - 07,N
7901,CHARLOTTE MIDDLE,7,7901041,Charlotte Middle School,M,05 - 08,N
7901,CHARLOTTE EL,7,7901101,Charlotte Elementary School,E,EE - 04,N
7902,JOURDANTON H S,7,7902001,Jourdanton High School,S,09 - 12,N
7902,ATASCOSA COUNTY JUVENILE JUSTICE C,7,7902005,Atascosa County Juvenile Justice Center,S,08 - 12,N
7902,JOURDANTON DAEP,7,7902006,Jourdanton DAEP,B,05 - 11,N
7902,JOURDANTON J H,7,7902041,Jourdanton Junior High,M,06 - 08,N
7902,JOURDANTON EL,7,7902101,Jourdanton Elementary School,E,EE - 05,N
7904,LYTLE H S,7,7904001,Lytle High School,S,09 - 12,N
7904,LYTLE DAEP,7,7904002,Lytle DAEP,B,06 - 12,N
7904,JJAEP,7,7904003,JJAEP,S,09 - 12,N
7904,LYTLE J H,7,7904041,Lytle Junior High,M,06 - 08,N
7904,LYTLE EL,7,7904101,Lytle Elementary School,E,02 - 05,N
7904,LYTLE PRIMARY SCHOOL,7,7904103,Lytle Primary School,E,PK - 01,N
7905,PLEASANTON H S,7,7905001,Pleasanton High School,S,09 - 12,N
7905,ATASCOSA CO ALTER,7,7905004,Atascosa Co Alter,S,09 - 09,N
7905,PLEASANTON ISD SCHOOL OF CHOICE,7,7905005,Pleasanton Isd School Of Choice,S,11 - 12,N
7905,PLEASANTON J H,7,7905041,Pleasanton Junior High,M,06 - 08,N
7905,PLEASANTON EL,7,7905103,Pleasanton Elementary School,E,02 - 05,N
7905,PLEASANTON PRI,7,7905105,Pleasanton Primary School,E,EE - 01,N
7906,POTEET H S,7,7906001,Poteet High School,S,09 - 12,N
7906,ATASCOSA CO JUVENILE UNIT,7,7906003,Atascosa Co Juvenile Unit,S,07 - 11,N
7906,POTEET J H,7,7906041,Poteet Junior High,M,06 - 08,N
7906,POTEET EL,7,7906101,Poteet Elementary School,E,EE - 03,N
7906,POTEET INT,7,7906102,Poteet Intermediate School,E,04 - 05,N
8901,BELLVILLE H S,8,8901001,Bellville High School,S,09 - 12,N
8901,BELLVILLE J H,8,8901041,Bellville Junior High,M,06 - 08,N
8901,O'BRYANT PRI,8,8901101,O'Bryant Primary School,E,EE - 03,N
8901,O'BRYANT INT,8,8901102,O'Bryant Intermediate School,E,04 - 05,N
8901,WEST END EL,8,8901105,West End Elementary School,E,KG - 05,N
8902,SEALY H S,8,8902001,Sealy High School,S,09 - 12,N
8902,SEALY J H,8,8902041,Sealy Junior High,M,06 - 08,N
8902,SELMAN EL,8,8902102,Selman Elementary School,E,EE - 05,N
8902,SEALY EL,8,8902104,Sealy Elementary School,E,PK - 05,N
8903,BRAZOS H S,8,8903001,Brazos High School,S,09 - 12,N
8903,BRAZOS MIDDLE,8,8903041,Brazos Middle School,M,06 - 08,N
8903,BRAZOS EL,8,8903102,Brazos Elementary School,E,EE - 05,N
8903,PRAIRIE HARBOR ALTERNATIVE SCHOOL,8,8903103,Prairie Harbor Alternative School,B,04 - 12,N
9901,MULESHOE H S,9,9901001,Muleshoe High School,S,09 - 12,N
9901,P E P,9,9901002,P E P,S,09 - 12,N
9901,WATSON J H,9,9901041,Watson Junior High,M,06 - 08,N
9901,MARY DESHAZO EL,9,9901101,Mary Deshazo Elementary School,E,03 - 05,N
9901,DILLMAN EL,9,9901103,Dillman Elementary School,E,EE - 02,N
10901,MEDINA SCHOOL,10,10901001,Medina School,B,PK - 12,N
10902,BANDERA H S,10,10902001,Bandera High School,S,09 - 12,N
10902,BANDERA MIDDLE,10,10902041,Bandera Middle School,M,06 - 08,N
10902,ALKEK EL,10,10902101,Alkek Elementary School,E,EE - 05,N
10902,HILL COUNTRY EL,10,10902102,Hill Country Elementary School,E,PK - 05,N
11901,BASTROP H S,11,11901001,Bastrop High School,S,09 - 12,N
11901,CEDAR CREEK H S,11,11901002,Cedar Creek High School,S,09 - 12,N
11901,COLORADO RIVER COLLEGIATE ACADEMY,11,11901005,Colorado River Collegiate Academy,S,09 - 12,N
11901,GENESIS H S,11,11901022,Genesis High School,S,09 - 12,N
11901,BASTROP MIDDLE,11,11901041,Bastrop Middle School,M,07 - 08,N
11901,EMILE EL,11,11901101,Emile Elementary School,E,PK - 04,N
11901,MINA EL,11,11901102,Mina Elementary School,E,EE - 04,N
11901,CEDAR CREEK EL,11,11901103,Cedar Creek Elementary School,E,EE - 04,N
11901,BASTROP INT,11,11901104,Bastrop Intermediate School,M,05 - 06,N
11901,CEDAR CREEK MIDDLE,11,11901106,Cedar Creek Middle School,M,07 - 08,N
11901,RED ROCK EL,11,11901107,Red Rock Elementary School,E,PK - 04,N
11901,CEDAR CREEK INT,11,11901108,Cedar Creek Intermediate School,M,05 - 06,N
11901,BLUEBONNET EL,11,11901109,Bluebonnet Elementary School,E,PK - 04,N
11901,LOST PINES EL,11,11901110,Lost Pines Elementary School,E,PK - 04,N
11902,ELGIN H S,11,11902001,Elgin High School,S,09 - 12,N
11902,BASTROP COUNTY JUVENILE BOOT CAMP,11,11902003,Bastrop County Juvenile Boot Camp,S,10 - 10,N
11902,PHOENIX H S,11,11902004,Phoenix High School,S,09 - 12,N
11902,ELGIN MIDDLE,11,11902041,Elgin Middle School,M,06 - 08,N
11902,BOOKER T WASHINGTON EL,11,11902101,Booker T Washington Elementary School,E,KG - 05,N
11902,ELGIN EL,11,11902102,Elgin Elementary School,E,EE - 05,N
11902,NEIDIG EL,11,11902103,Neidig Elementary School,E,KG - 05,N
11904,SMITHVILLE H S,11,11904002,Smithville High School,S,09 - 12,N
11904,SMITHVILLE J H,11,11904041,Smithville Junior High,M,06 - 08,N
11904,SMITHVILLE EL,11,11904101,Smithville Elementary School,E,03 - 05,N
11904,BROWN PRI,11,11904102,Brown Primary School,E,EE - 02,N
11905,MCDADE H S,11,11905001,McDade High School,B,06 - 12,N
11905,MCDADE EL,11,11905101,McDade Elementary School,E,PK - 05,N
12901,SEYMOUR H S,12,12901001,Seymour High School,S,09 - 12,N
12901,SEYMOUR MIDDLE,12,12901042,Seymour Middle School,M,05 - 08,N
12901,SEYMOUR EL,12,12901101,Seymour Elementary School,E,PK - 04,N
13801,ST MARY'S ACADEMY CHARTER SCHOOL,13,13801101,St Mary'S Academy Charter School,E,KG - 06,Y
13901,A C JONES H S,13,13901001,A C Jones High School,S,09 - 12,N
13901,A C JONES HEALTH PROFESSIONS MAGNE,13,13901004,A C Jones Health Professions Magne,S,09 - 10,N
13901,MORENO J H,13,13901041,Moreno Junior High,M,06 - 08,N
13901,THE JOE BARNHART ACADEMY,13,13901042,The Joe Barnhart Academy,M,06 - 08,N
13901,R A HALL EL,13,13901101,R A Hall Elementary School,E,01 - 05,N
13901,FADDEN-MCKEOWN-CHAMBLISS EL,13,13901102,Fadden-McKeown-Chambliss Elementary School,E,01 - 05,N
13901,HAMPTON-MORENO-DUGAT EARLY CHILDHO,13,13901105,Hampton-Moreno-Dugat Early Childho,E,EE - KG,N
13902,PAWNEE EL / J H,13,13902101,Pawnee El / Junior High,E,PK - 08,N
13903,PETTUS SECONDARY,13,13903001,Pettus Secondary,B,06 - 12,N
13903,PETTUS EL,13,13903101,Pettus Elementary School,E,PK - 05,N
13905,SKIDMORE-TYNAN H S,13,13905001,Skidmore-Tynan High School,S,09 - 12,N
13905,SKIDMORE-TYNAN J H,13,13905041,Skidmore-Tynan Junior High,M,06 - 08,N
13905,SKIDMORE-TYNAN EL,13,13905101,Skidmore-Tynan Elementary School,E,EE - 05,N
14801,RICHARD MILBURN ALTER H S (KILLEEN,14,14801001,Richard Milburn Alter H S (Killeen,S,09 - 12,Y
14801,RICHARD MILBURN ACADEMY ODESSA,14,14801002,Richard Milburn Academy Odessa,S,09 - 12,Y
14801,RICHARD MILBURN ACADEMY LUBBOCK,14,14801004,Richard Milburn Academy Lubbock,S,09 - 12,Y
14801,RICHARD MILBURN ACADEMY HOUSTON (S,14,14801005,Richard Milburn Academy Houston (S,S,09 - 12,Y
14801,RICHARD MILBURN ACADEMY FORT WORTH,14,14801006,Richard Milburn Academy Fort Worth,S,09 - 12,Y
14801,RICHARD MILBURN ACADEMY CORPUS CHR,14,14801007,Richard Milburn Academy Corpus Chr,S,09 - 12,Y
14801,RICHARD MILBURN ACADEMY AMARILLO,14,14801008,Richard Milburn Academy Amarillo,S,09 - 12,Y
14801,RICHARD MILBURN ACADEMY PASADENA,14,14801009,Richard Milburn Academy Pasadena,S,09 - 12,Y
14801,RICHARD MILBURN ACADEMY MIDLAND SO,14,14801010,Richard Milburn Academy Midland So,S,09 - 12,Y
14803,GEORGETOWN CHARTER ACADEMY,14,14803002,Georgetown Charter Academy,E,PK - 08,Y
14803,COVE CHARTER ACADEMY,14,14803003,Cove Charter Academy,B,PK - 12,Y
14803,CEDAR PARK CHARTER ACADEMY,14,14803004,Cedar Park Charter Academy,B,PK - 12,Y
14803,TEMPLE CHARTER ACADEMY,14,14803101,Temple Charter Academy,B,PK - 12,Y
14804,NEW HORIZONS,14,14804002,New Horizons,B,02 - 10,Y
14804,GATEWAY TECH H S,14,14804005,Gateway Tech High School,S,09 - 12,Y
14804,GATEWAY COLLEGE PREPARATORY SCHOOL,14,14804006,Gateway College Preparatory School,B,KG - 12,Y
14804,NOLAN CREEK SCHOOL,14,14804007,Nolan Creek School,E,KG - 06,Y
14804,KINGSLAND SCHOOL,14,14804008,Kingsland School,E,KG - 08,Y
14901,ACADEMY H S,14,14901001,Academy High School,S,09 - 12,N
14901,ACADEMY J H,14,14901041,Academy Junior High,M,06 - 08,N
14901,ACADEMY INT,14,14901101,Academy Intermediate School,E,03 - 05,N
14901,ACADEMY EL,14,14901102,Academy Elementary School,E,EE - 02,N
14902,BARTLETT SCHOOLS,14,14902001,Bartlett Schools,B,PK - 12,N
14903,BELTON H S,14,14903001,Belton High School,S,09 - 12,N
14903,BELTON NEW TECH H S AT WASKOW,14,14903005,Belton New Tech H S At Waskow,S,09 - 12,N
14903,LAKE BELTON MIDDLE,14,14903043,Lake Belton Middle School,M,06 - 08,N
14903,SOUTH BELTON MIDDLE,14,14903044,South Belton Middle School,M,06 - 08,N
14903,NORTH BELTON MIDDLE,14,14903045,North Belton Middle School,M,06 - 08,N
14903,LEON HEIGHTS EL,14,14903102,Leon Heights Elementary School,E,KG - 05,N
14903,MILLER HEIGHTS EL,14,14903103,Miller Heights Elementary School,E,KG - 05,N
14903,SOUTHWEST EL,14,14903104,Southwest Elementary School,E,KG - 05,N
14903,LAKEWOOD EL,14,14903108,Lakewood Elementary School,E,KG - 05,N
14903,SPARTA EL,14,14903109,Sparta Elementary School,E,KG - 05,N
14903,JOE M PIRTLE EL,14,14903111,Joe M Pirtle Elementary School,E,KG - 05,N
14903,TARVER EL,14,14903116,Tarver Elementary School,E,KG - 05,N
14903,HIGH POINT EL,14,14903117,High Point Elementary School,E,KG - 05,N
14903,CHISHOLM TRAIL EL,14,14903118,Chisholm Trail Elementary School,E,KG - 05,N
14903,BELTON EARLY CHILDHOOD SCHOOL,14,14903119,Belton Early Childhood School,E,EE - PK,N
14905,HOLLAND H S,14,14905001,Holland High School,S,09 - 12,N
14905,HOLLAND MIDDLE,14,14905041,Holland Middle School,M,06 - 08,N
14905,HOLLAND EL,14,14905101,Holland Elementary School,E,EE - 05,N
14906,KILLEEN H S,14,14906001,Killeen High School,S,09 - 12,N
14906,C E ELLISON H S,14,14906002,C E Ellison High School,S,09 - 12,N
14906,GATEWAY H S,14,14906004,Gateway High School,S,09 - 12,N
14906,PATHWAYS ACADEMIC CAMPUS,14,14906006,Pathways Academic Campus,S,09 - 12,N
14906,HARKER HEIGHTS H S,14,14906007,Harker Heights High School,S,09 - 12,N
14906,ROBERT M SHOEMAKER H S,14,14906008,Robert M Shoemaker High School,S,09 - 12,N
14906,GATEWAY MIDDLE,14,14906009,Gateway Middle School,M,06 - 08,N
