DISTRICT,CNTYNAME,COUNTY,DA0GS18R,DAD_POST,DALL_UPDATE,DASC4X18R,DD1A,DD1AS,DD1B,DD1BS,DD1C,DD1CS,DD1G,DD1S,DD2A,DD2AG,DD2AS,DD2B,DD2BG,DD2BS,DD2G,DD2S,DD3,DD3G,DD3S,DDALLS,DFLALTED,DFLCHART,DFLNEWDIST,DFLRTF,DFLSCD,DISTNAME,DPE0312C,DPE0312P,DPETALLC,DPETECHC,DPETECHP,DPETECOC,DPETECOP,DPETLEPC,DPETLEPP,DPETPTEC,DPETPTEP,DPETSPEC,DPETSPEP,DPETSTEC,DPETSTEP,D_AEABONUS,D_AEABONUS_USED_PCT,D_AEAGRAD_PTS,D_AEASTAAR_PCT,D_AEASTAAR_PTS,D_APPEAL_DECISION,D_RATING,D_YRS_IR,REGION,REGNNAME
1902,ANDERSON,1,79.5,1, ,79.5,58,88,81,95,100,100,A,93,72,B,84,70,A,92,A,92,96,A,96,94,N,N,N,N,N,CAYUGA ISD,441,78.2,564,0,0,240,42.6,1,0.2,0,0,84,14.9,0,0,.,.,.,.,., ,A,.,7,REGION 07: KILGORE
1903,ANDERSON,1,93.2,0, ,94.4,56,87,68,92,100,100,A,92,75,B,89,62,A,91,A,91,77,B,85,90,N,N,N,N,N,ELKHART ISD,916,73,1254,0,0,728,58.1,29,2.3,0,0,134,10.7,0,0,.,.,.,.,., ,A,.,7,REGION 07: KILGORE
1904,ANDERSON,1,98.2,0, ,98.2,53,84,71,93,100,100,A,91,67,C,73,62,A,91,A,91,73,B,84,89,N,N,N,N,N,FRANKSTON ISD,613,76.3,803,0,0,431,53.7,23,2.9,0,0,92,11.5,0,0,.,.,.,.,., ,B,.,7,REGION 07: KILGORE
1906,ANDERSON,1,77.3,0, ,78.3,53,84,91,98,100,100,A,93,72,B,84,72,A,93,A,93,79,B,86,91,N,N,N,N,N,NECHES ISD,272,74.3,366,0,0,175,47.8,7,1.9,0,0,32,8.7,0,0,.,.,.,.,., ,A,.,7,REGION 07: KILGORE
1907,ANDERSON,1,94.9,0, ,93.8,44,75,68,92,98.6,95,B,86,70,B,80,56,A,91,A,91,60,C,79,87,N,N,N,N,N,PALESTINE ISD,2481,73.2,3389,0,0,2540,74.9,604,17.8,0,0,362,10.7,0,0,.,.,.,.,., ,B,.,7,REGION 07: KILGORE
1908,ANDERSON,1,89.9,0, ,91.6,39,69,64,91,99,95,B,83,65,D,69,52,B,85,B,85,40,C,73,81,N,N,N,N,N,WESTWOOD ISD,1101,72.5,1518,0,0,933,61.5,88,5.8,0,0,186,12.3,0,0,.,.,.,.,., ,B,.,7,REGION 07: KILGORE
1909,ANDERSON,1,92.6,0, ,92.6,55,86,87,97,100,100,A,93,70,B,80,71,A,92,A,92,82,B,87,91,N,N,N,N,N,SLOCUM ISD,292,71.9,406,0,0,186,45.8,4,1,0,0,50,12.3,0,0,.,.,.,.,., ,A,.,7,REGION 07: KILGORE
2901,ANDREWS,2,82,0, ,82.1,45,76,52,79,98.1,95,B,81,66,C,70,49,C,73,C,73,44,C,74,79,N,N,N,N,N,ANDREWS ISD,3184,73.8,4314,0,0,1767,41,523,12.1,0,0,346,8,0,0,.,.,.,.,., ,C,.,18,REGION 18: MIDLAND
3801,ANGELINA,3,95.2,0, ,93,57,87,71,93,100,100,A,92,72,B,84,64,A,91,A,91,77,B,85,90,N,Y,N,N,N,PINEYWOODS COMMUNITY ACADEMY,761,74.5,1022,175,17.1,521,51,49,4.8,0,0,82,8,0,0,.,.,.,.,., ,A,.,7,REGION 07: KILGORE
3902,ANGELINA,3,89.8,1, ,90.7,59,89,78,95,96.3,90,B,89,74,B,87,69,A,93,A,93,83,B,87,89,N,N,N,N,N,HUDSON ISD,2199,74.4,2957,0,0,1609,54.4,180,6.1,0,0,253,8.6,0,0,.,.,.,.,., ,B,.,7,REGION 07: KILGORE
