DISTRICT,DISTNAME,DISTNAME_CLEAN,COUNTY,CNTYNAME,REGION,DFLCHART,DFLALTED
1902,CAYUGA ISD,Cayuga ISD,1,ANDERSON,7,N,N
1903,ELKHART ISD,Elkhart ISD,1,ANDERSON,7,N,N
1904,FRANKSTON ISD,Frankston ISD,1,ANDERSON,7,N,N
1906,NECHES ISD,Neches ISD,1,ANDERSON,7,N,N
1907,PALESTINE ISD,Palestine ISD,1,ANDERSON,7,N,N
1908,WESTWOOD ISD,Westwood ISD,1,ANDERSON,7,N,N
1909,SLOCUM ISD,Slocum ISD,1,ANDERSON,7,N,N
2901,ANDREWS ISD,Andrews ISD,2,ANDREWS,18,N,N
3801,PINEYWOODS COMMUNITY ACADEMY,Pineywoods Community Academy,3,ANGELINA,7,Y,N
3902,HUDSON ISD,Hudson ISD,3,ANGELINA,7,N,N
3903,LUFKIN ISD,Lufkin ISD,3,ANGELINA,7,N,N
3904,HUNTINGTON ISD,Huntington ISD,3,ANGELINA,7,N,N
3905,DIBOLL ISD,Diboll ISD,3,ANGELINA,7,N,N
3906,ZAVALLA ISD,Zavalla ISD,3,ANGELINA,7,N,N
3907,CENTRAL ISD,Central ISD,3,ANGELINA,7,N,N
4901,ARANSAS COUNTY ISD,Aransas County ISD,4,ARANSAS,2,N,N
5901,ARCHER CITY ISD,Archer City ISD,5,ARCHER,9,N,N
5902,HOLLIDAY ISD,Holliday ISD,5,ARCHER,9,N,N
5904,WINDTHORST ISD,Windthorst ISD,5,ARCHER,9,N,N
6902,CLAUDE ISD,Claude ISD,6,ARMSTRONG,16,N,N
7901,CHARLOTTE ISD,Charlotte ISD,7,ATASCOSA,20,N,N
7902,JOURDANTON ISD,Jourdanton ISD,7,ATASCOSA,20,N,N
7904,LYTLE ISD,Lytle ISD,7,ATASCOSA,20,N,N
7905,PLEASANTON ISD,Pleasanton ISD,7,ATASCOSA,20,N,N
7906,POTEET ISD,Poteet ISD,7,ATASCOSA,20,N,N
8901,BELLVILLE ISD,Bellville ISD,8,AUSTIN,6,N,N
8902,SEALY ISD,Sealy ISD,8,AUSTIN,6,N,N
8903,BRAZOS ISD,Brazos ISD,8,AUSTIN,6,N,N
9901,MULESHOE ISD,Muleshoe ISD,9,BAILEY,17,N,N
10901,MEDINA ISD,Medina ISD,10,BANDERA,20,N,N
10902,BANDERA ISD,Bandera ISD,10,BANDERA,20,N,N
11901,BASTROP ISD,Bastrop ISD,11,BASTROP,13,N,N
11902,ELGIN ISD,Elgin ISD,11,BASTROP,13,N,N
