DISTRICT,DPETGEEC,DPETGPKC,DPETGKNC,DPETG01C,DPETG02C,DPETG03C,DPETG04C,DPETG05C,DPETG06C,DPETG07C,DPETG08C,DPETG09C,DPETG10C,DPETG11C,DPETG12C,DPETALLC,DPETSPEC,DPETBILC,DPETVOCC,DPETDSLC,DPET504C,DPETGIFC,DPETLEPC,DPETECOC,DPETNEDC,DPETRSKC,DPETINDC,DPETASIC,DPETPCIC,DPETTWOC,DPETBLAC,DPETHISC,DPETWHIC,DPETDISD,DPETDISC,DPETDISP,DPETSIMC,DPETSINC,DPETSPHC,DPETSBHC,DPETSAUC,DPETSNOC,DPETSINP,DPETSPHP,DPETSBHP,DPETSAUP,DPETSNOP,DPERRAKR,DPERRA1R,DPERRA2R,DPERRA3R,DPERRA4R,DPERRA5R,DPERRA6R,DPERRA7R,DPERRA8R,DPERRA9R,DPERSAKR,DPERSA1R,DPERSA2R,DPERSA3R,DPERSA4R,DPERSA5R,DPERSA6R,DPERSA7R,DPERSA8R,DPERSA9R,DAUND18C,DAUND18D,DAUND18R,DPEMALLC,DPEMALLT,DPEMALLP,DPETWHIP,DPETBLAP,DPETHISP,DPETINDP,DPETASIP,DPETPCIP,DPETTWOP,DPETECOP,DPETNEDP,DPETRSKP,DPETLEPP,DPETSPEP,DPETVOCP,DPETBILP,DPETGIFP,DPETDSLP,DPET504P,DPETGEEP,DPETGPKP,DPETGKNP,DPETG01P,DPETG02P,DPETG03P,DPETG04P,DPETG05P,DPETG06P,DPETG07P,DPETG08P,DPETG09P,DPETG10P,DPETG11P,DPETG12P,DPSTTOFC,DPSUTOFC,DPSSTOFC,DPSCTOFC,DPSETOFC,DPSTTOST,DPSUTOST,DPSSTOST,DPSCTOST,DPST00FC,DPST01FC,DPST06FC,DPST11FC,DPST20FC,DPST00ST,DPST01ST,DPST06ST,DPST11ST,DPST20ST,DPSTNOFC,DPSTBAFC,DPSTMSFC,DPSTPHFC,DPSPCOFC,DPSECOFC,DPSPTOFC,DPSRTOPC,DPSRTOFC,DPSBTOPC,DPSBTOFC,DPSXTOFC,DPSATOFC,DPSOTOFC,DPSTINFC,DPSTPIFC,DPSTASFC,DPSTBLFC,DPSTHIFC,DPSTWHFC,DPSTTWFC,DPSTMAFC,DPSTFEFC,DPSXCOFC,DPSTREFC,DPSTVOFC,DPSTBIFC,DPSTCOFC,DPSTGIFC,DPSTSPFC,DPSTOPFC,DPSTURNN,DPSTURND,DPSTURNR,DPSTFTEC,DPSTTENA,DPSTEXPA,DPSHEXPA,DPSHTENA,DPSLEXPA,DPSLTENA,DPSHEXPT,DPSHTENT,DPSLEXPT,DPSLTENT,DPSHFTEC,DPSLFTEC,DPSAMIFC,DPSTEXPT,DPSTTENT,DPCTSOCS,DPCTSOCC,DPCTSCIS,DPCTSCIC,DPCTMATS,DPCTMATC,DPCTG06S,DPCTG06C,DPCTG05S,DPCTG05C,DPCTG04S,DPCTG04C,DPCTG03S,DPCTG03C,DPCTG02S,DPCTG02C,DPCTG01S,DPCTG01C,DPCTGMES,DPCTGMEC,DPCTGKGS,DPCTGKGC,DPCTFLAS,DPCTFLAC,DPCTENGS,DPCTENGC,DPCTSOCA,DPCTSCIA,DPCTMATA,DPCTGMEA,DPCTGKGA,DPCTG06A,DPCTG05A,DPCTG04A,DPCTG03A,DPCTG02A,DPCTG01A,DPCTFLAA,DPCTENGA,DPSPTOFP,DPSTTOFP,DPSUTOFP,DPSSTOFP,DPSCTOFP,DPSETOFP,DPSXTOFP,DPSAMIFP,DPSTNOFP,DPSTBAFP,DPSTMSFP,DPSTPHFP,DPST00FP,DPST01FP,DPST06FP,DPST11FP,DPST20FP,DPSTREFP,DPSTVOFP,DPSTBIFP,DPSTCOFP,DPSTGIFP,DPSTSPFP,DPSTOPFP,DPSTBLFP,DPSTWHFP,DPSTHIFP,DPSTPIFP,DPSTINFP,DPSTASFP,DPSTTWFP,DPSTMAFP,DPSTFEFP,DPSTKIDR,DPST00SA,DPST01SA,DPST06SA,DPST11SA,DPST20SA,DPSTTOSA,DPSUTOSA,DPSSTOSA,DPSCTOSA,DPFEIERP,DPSAINHP,DA0GR18N,DA0GM18N,DA0GH18N,DA0GE18N,DA0GA18N,DA0GN18N,DB0GR18N,DH0GR18N,DW0GR18N,DI0GR18N,D30GR18N,D40GR18N,D20GR18N,DE0GR18N,DS0GR18N,DL0GR18N,DR0GR18N,DA0GH18P,DA0GN18P,DA0GE18P,DA0GA18P,DA0GR18R,DB0GR18R,DH0GR18R,DW0GR18R,DI0GR18R,D30GR18R,D40GR18R,D20GR18R,DE0GR18R,DS0GR18R,DL0GR18R,DR0GR18R,DA0GM18P
"001902",0,13,38,26,46,45,49,49,35,43,41,54,40,35,50,564,84,1,174,28,40,48,1,240,324,235,0,3,0,25,20,38,478,622,5,0.8,84,64,12,-3,-1,0,76.2,14.3,-3,-1,0,4.3,9.8,2.7,2.2,7.3,0,0,0,0,4.9,25,0,0,0,0,0,0,0,0,0,0,285,0,79,578,13.7,84.8,3.5,6.7,0,0.5,0,4.4,42.6,57.4,41.7,0.2,14.9,30.9,0.2,8.5,5,7.1,0,2.3,6.7,4.6,8.2,8,8.7,8.7,6.2,7.6,7.3,9.6,7.1,6.2,8.9,49.7,4.5,3.2,3,11.2,2391364.2,235314.2,234196.5,190711,0,5.9,7.8,14.4,21.6,0,206139,310864.6,686095.4,1188265.2,0,44.2,5.5,0,18.1,0,60.5,0,1,1,0,25.8,97.4,0,0,0,0,3.9,1,44.9,0,10.6,39.1,3,40.4,3.3,0,0,0,6.1,0,3.9,49.8,7.8,72.8,8.3,16.3,14.7,14.7,0,0,44,44,0,0,3,0,13.7,1186.6,604.2,232,16,267,22,225,19,23.5,2.1,39.1,2.6,38.8,2.6,36.3,2.6,36.7,2.6,20.9,1.7,0,0,37,1.9,92,11,286,29,14.5,12.1,11.8,.,19,11.4,15.1,15,14.2,14.4,12.3,8.4,9.9,62.1,51,4.6,3.3,3.1,11.5,26.4,14.1,0,88.9,11.1,0,0,11.8,15.7,29,43.5,81.2,6.6,0,0,0,12.2,0,7.8,90.2,2,0,0,0,0,21.3,78.7,11.3,.,35146,39789,47569,54945,48089,51962,73109,63570,58.9,70.8,39,0,1,0,30,8,1,1,32,0,3,0,2,12,6,0,11,2.6,20.5,0,76.9,100,2.6,2.6,82.1,0,7.7,0,5.1,30.8,15.4,0,28.2,0
"001903",0,67,91,98,82,99,95,83,78,90,94,87,109,99,82,1254,134,26,402,55,67,45,29,728,526,356,7,4,2,51,68,142,980,1365,10,0.7,134,69,23,28,14,0,51.5,17.2,20.9,10.4,0,10.6,14.1,1.3,0,0,3,0,2.6,1.2,3,40,18.2,0,0,11.1,0,0,0,0,5.6,1,617,0.2,209,1202,17.4,78.1,5.4,11.3,0.6,0.3,0.2,4.1,58.1,41.9,28.4,2.3,10.7,32.1,2.1,3.6,4.4,5.3,0,5.3,7.3,7.8,6.5,7.9,7.6,6.6,6.2,7.2,7.5,6.9,8.7,7.9,6.5,106,7,5,2,29.5,4799206.3,366721,347187,190155,5,11,22,40,28,161546.2,393065.9,895253,1870404.7,1478936.6,0,88,18,0,0,0,120,0,3,0,0,35.7,185.2,0,0,0,0,1,4,101,0,20,86,0,79.3,9.2,0.1,3.1,0.7,12.3,1.3,11.9,101.9,11.7,116,10,15.2,10,10,5,5,30,30,10,10,3,2,19.5,1763.2,1160,447,42,548,39,527,39,61.5,5.1,82,5,92.8,5.2,97.2,5,76.6,4.7,91.6,4.7,0,0,83.6,4.7,113,7,643,56,10.6,14.1,13.5,.,17.9,12.1,16.4,18,19.4,16.4,19.6,16.1,11.5,64.8,57.2,3.8,2.7,1.1,15.9,19.3,10.5,0,83,17,0,4.7,10.4,20.8,37.7,26.4,74.8,8.7,0.1,2.9,0.6,11.6,1.2,0.9,95.3,3.8,0,0,0,0,18.9,81.1,11.8,32306,35735,40691,46759,52814,45273,52389,69437,95078,64.9,68.7,74,0,0,15,54,5,2,6,62,0,1,0,3,22,7,0,29,0,6.8,20.3,73,100,2.7,8.1,83.8,0,1.4,0,4.1,29.7,9.5,0,39.2,0
"001904",3,34,62,40,51,54,75,62,58,61,75,64,49,60,55,803,92,23,257,47,86,71,23,431,372,310,5,8,0,30,66,66,628,939,5,0.5,92,45,-3,27,10,-1,48.9,-3,29.3,10.9,-1,6.5,0,0,0,0,0,1.8,0,4.4,1.9,0,0,0,0,0,0,0,0,12.5,20,3,434,0.7,111,840,13.2,78.2,8.2,8.2,0.6,1,0,3.7,53.7,46.3,38.6,2.9,11.5,32,2.9,8.8,5.9,10.7,0.4,4.2,7.7,5,6.4,6.7,9.3,7.7,7.2,7.6,9.3,8,6.1,7.5,6.8,64.5,5.4,4.1,3,21,2888896,290226,275359.6,271780,7.5,13.4,9.1,14.9,19.5,276579.2,514547,375141.5,744437.3,978191,0.6,47.9,15.9,0,0,0,77,1,2,0,0,31.6,129.6,0,0,0,0,6,3,54.5,1,17.4,47.1,0,53.9,5.5,0,1,0,4.1,0,18,59.1,30.5,94.5,5.4,13.5,2.5,2,1,1,5,4,2,2,2,2,17.3,1275.8,510.3,310,20,353,23,381,29,48.3,2.6,55.9,3,69.9,4,49.7,3,46.6,3,41.8,3.2,0,0,60,3,173,16,417,32,15.5,15.3,13.1,.,20,18.4,18.6,17.5,16.6,15.5,13.1,10.8,13,59.4,49.7,4.2,3.2,2.3,16.2,24.4,13.3,1,74.3,24.7,0,11.6,20.9,14.1,23.1,30.2,83.6,8.5,0,1.6,0,6.3,0,9.3,84.5,4.7,0,0,0,1.6,27,73,12.5,36877,38265,41170,49953,50166,44816,53345,67223,90593,56.5,63.3,58,0,0,1,53,4,5,9,43,0,0,1,0,20,4,0,14,0,6.9,1.7,91.4,100,8.6,15.5,74.1,0,0,1.7,0,34.5,6.9,0,24.1,0
"001906",0,11,23,25,35,26,28,25,29,28,29,27,23,32,25,366,32,7,160,7,25,22,7,175,191,97,1,0,0,15,31,51,268,386,0,0,32,22,6,-1,-1,-1,68.8,18.8,-1,-1,-1,5.6,0,0,0,0,0,0,0,0,4.8,0,0,0,33.3,0,0,0,0,0,0,0,169,0,56,347,16.1,73.2,8.5,13.9,0.3,0,0,4.1,47.8,52.2,26.5,1.9,8.7,43.7,1.9,6,1.9,6.8,0,3,6.3,6.8,9.6,7.1,7.7,6.8,7.9,7.7,7.9,7.4,6.3,8.7,6.8,33.5,2,3,4.5,8,1531770.7,95900,220878,232231.8,1,8,4,12,8.5,36158,286053,160579.6,552703.9,496276.1,0,33,0.5,0,0,0,43,0,1,0,0,12.9,63.9,0,0,0,0,1,0,32.5,0,7.5,26,0,27,3.5,0,0.3,0.6,2.1,0,4.9,33.9,14.4,37,7.8,13.4,13,12,1,1,26,24,1,1,2,1,8,495.8,288.6,142,11,154,12,154,13,22.2,1.5,23.4,1.9,24.6,1.8,24.5,1.9,31.1,1.8,22.7,1.8,12.2,0.9,12,0.5,56,7,193,17,12.9,12.8,11.8,13,23,14.5,12.5,13.5,13,17.1,12.5,8,11.4,67.3,52.4,3.1,4.7,7.1,12.5,20.2,12.5,0,98.6,1.4,0,3,23.9,11.9,35.8,25.3,80.6,10.4,0,0.9,1.9,6.2,0,3,97,0,0,0,0,0,22.3,77.7,10.9,36158,35753,40143,46056,58548,45754,47950,73626,51336,54.5,60.4,22,0,0,0,17,5,3,1,16,0,1,0,1,7,6,0,6,0,22.7,0,77.3,100,13.6,4.5,72.7,0,4.5,0,4.5,31.8,27.3,0,27.3,0
"001907",5,169,245,249,240,222,253,245,258,257,262,295,237,245,207,3389,362,559,1071,76,196,97,604,2540,849,1979,3,31,2,121,902,1397,933,3707,125,3.4,362,160,53,95,-3,-1,44.2,14.6,26.2,-3,-1,6.4,4.1,0.5,0,0,1.3,0.5,0,0.5,8.3,8.7,3.8,0,4.3,0,0,0,0,0,11.1,0,1585,0,413,3216,12.8,27.5,26.6,41.2,0.1,0.9,0.1,3.6,74.9,25.1,58.4,17.8,10.7,31.6,16.5,2.9,2.2,5.8,0.1,5,7.2,7.3,7.1,6.6,7.5,7.2,7.6,7.6,7.7,8.7,7,7.2,6.1,254.3,28,18,10,81.7,10799423.1,1629477,1163212,923008,28.4,59,58.5,64.9,43.6,919487.1,2063410.2,2471908.8,3056663.7,2287953.2,3,215.8,35.5,0,0,0,310.3,0,6,0,1,99.8,491.7,0,1,1,0,25.8,32,190.5,4,68.4,185.9,0,199.3,19,4.7,10.4,0.2,20,0.7,69.7,267.4,26.1,257.8,6.5,11.5,6.7,6.7,5.3,4.3,40,40,58,47,6,11,140.3,2964.7,1675.7,1524,89,1608,82,1518,85,155,8.4,177.2,8.8,104.1,5.3,174.8,10,177.3,9.7,192.9,10.3,0,0,243,13,686,35,1766,94,17.1,19.6,17.9,.,18.7,18.4,20,19.5,17.5,18.3,18.8,19.6,18.8,63.1,51.7,5.7,3.7,2,16.6,20.3,28.5,1.2,84.9,14,0,11.1,23.2,23,25.5,17.1,78.4,7.5,1.8,4.1,0.1,7.9,0.3,10.1,74.9,12.6,0.4,0.4,0,1.6,26.9,73.1,13.3,32429,34991,42277,47080,52495,42467,58229,64623,92301,58.6,69.1,216,1,2,1,202,10,51,88,73,2,0,0,2,116,22,3,121,0.9,4.6,0.5,93.5,100,23.6,40.7,33.8,0.9,0,0,0.9,53.7,10.2,1.4,56,0.5
"001908",6,69,114,102,126,103,118,132,93,119,118,129,105,114,70,1518,186,84,406,48,92,36,88,933,585,855,12,9,0,55,260,383,799,1724,25,1.5,186,120,24,21,15,6,64.5,12.9,11.3,8.1,3.2,8.2,2.6,1,1.1,0.9,6,0,0,0.9,2.9,12.5,0,7.7,5,0,0,5,0,0,7.7,1,735,0.1,229,1503,15.2,52.6,17.1,25.2,0.8,0.6,0,3.6,61.5,38.5,56.3,5.8,12.3,26.7,5.5,2.4,3.2,6.1,0.4,4.5,7.5,6.7,8.3,6.8,7.8,8.7,6.1,7.8,7.8,8.5,6.9,7.5,4.6,123.5,8,8.1,2,38,5034667.6,437377,444081.9,221343,9.7,47.1,19.7,30.1,16.8,297256.8,1639599,814971.6,1450601.6,832238.6,16.4,94.3,11.8,1,0,0,141.6,0,4,0,0,68.2,247.7,0,2,0,1,6.4,3,110.1,1,30.7,92.8,0,98.6,8.6,0.3,2,0,10.9,3.1,45.7,123.5,37,136.2,4,9.3,5,4.8,4,4,30,29,4,4,6,1,50.8,1266.7,544.8,530,36,676,44,646,41,88.7,4.7,137.2,6.3,113.8,5.9,103.8,6.2,106.9,5.4,101.2,5.9,19.7,1,123.9,6.2,247,15,551,39,14.7,15.4,15.8,20,19.8,18.7,21.7,19.2,16.7,19.8,17.1,16.5,14.1,57.2,49.8,3.2,3.3,0.8,15.3,27.5,20.5,13.3,76.3,9.6,0.8,7.9,38.2,16,24.4,13.6,79.9,6.9,0.3,1.6,0,8.8,2.5,5.2,89.2,2.4,0,1.6,0.8,0.8,24.9,75.1,12.3,30526,34803,41309,48189,49610,40781,54672,54847,110672,57.8,63.2,101,1,0,0,89,11,22,23,51,0,0,0,5,45,12,1,37,0,10.9,0,88.1,100,21.8,22.8,50.5,0,0,0,5,44.6,11.9,1,36.6,1
"001909",0,12,34,38,30,30,26,26,36,26,33,35,30,29,21,406,50,4,160,0,10,21,4,186,220,124,1,3,0,14,8,26,354,454,3,0.7,50,32,10,5,-1,-1,64,20,10,-1,-1,2.9,7.7,0,7.4,0,0,5,0,0,9.5,0,33.3,25,50,0,0,0,0,0,0,0,192,0,51,385,13.2,87.2,2,6.4,0.2,0.7,0,3.4,45.8,54.2,30.5,1,12.3,39.4,1,5.2,0,2.5,0,3,8.4,9.4,7.4,7.4,6.4,6.4,8.9,6.4,8.1,8.6,7.4,7.1,5.2,40.2,3.8,2,2,3.9,1864961,173688.3,155721,150873,0,4,7,17.2,12,0,144185.6,265229,819777.2,635769.2,0,32,8.3,0,0,0,48,1,1,0,1,15.7,67.6,0,0,0,0,0,0,39.2,1,9,31.2,0,28.1,3.8,0,4.3,0,1.7,2.3,6,41,14.6,49,8.6,16.3,10,10,0,0,20,20,0,0,2,0,0,798.7,421.4,125,10,220,16,180,15,31.8,1.8,23,2.9,28.5,2.2,30.4,2.9,29.2,2.3,38.5,2.3,0,0,34,2,79,5,203,17,12.5,13.8,12,.,17,17.7,7.9,13,10.4,12.8,16.9,15.8,11.9,71.1,59.6,5.6,3,3,5.7,23.2,0,0,79.5,20.5,0,0,9.9,17.4,42.9,29.8,69.8,9.4,0,10.7,0,4.3,5.8,0,97.5,0,0,0,0,2.5,22.4,77.6,10.1,.,36050,37892,47524,52979,46335,46317,77861,75437,63.8,69.8,27,0,0,5,20,2,0,1,26,0,0,0,0,13,5,0,8,0,7.4,18.5,74.1,100,0,3.7,96.3,0,0,0,0,48.1,18.5,0,29.6,0
"002901",11,102,361,347,309,300,346,328,381,311,335,351,318,257,257,4314,346,606,936,97,230,233,523,1767,2547,1751,21,17,1,72,36,2912,1255,4427,59,1.3,346,191,54,68,26,7,55.2,15.6,19.7,7.5,2,4.6,3.5,0.7,0,1.1,0.9,0,0.4,0.7,6.6,5.6,0,0,2.8,0,0,0,0,0,8.6,0,1863,0,563,3932,14.3,29.1,0.8,67.5,0.5,0.4,0,1.7,41,59,40.6,12.1,8,21.7,14,5.4,2.2,5.3,0.3,2.4,8.4,8,7.2,7,8,7.6,8.8,7.2,7.8,8.1,7.4,6,6,264.2,30.7,12.4,7,61.6,14890025.1,1988040.1,1021811.6,840944,10.3,43,54.1,93.9,62.8,427544.9,2060647.5,2909123.1,5398857.1,4093852.6,0,196,67.4,0.8,0,0,314.2,1,7,2,1,132.4,508.3,0,1,0,2,2,58.6,197.9,2.6,65.3,198.9,0,179.5,13.2,24.6,12.8,15.8,17.6,0.6,33,250.7,13.2,287.2,7.5,13.9,4.6,3.7,3.1,3,32,26,22,21,7,7,194.4,3992.1,2154,1887,104,2008,104,1941,103,261.8,11.2,250.6,12.4,249.8,12.5,219,11.3,206.3,10.5,278,13.9,0,0,263.4,12.9,535,27,2930,177,18.1,19.3,18.8,.,20.4,23.4,20.2,20,19.4,19.7,20.1,19.8,16.6,61.8,52,6,2.4,1.4,12.1,26,38.2,0,74.2,25.5,0.3,3.9,16.3,20.5,35.6,23.8,68,5,9.3,4.9,6,6.7,0.2,0.8,74.9,22.2,0,0.4,0.8,1,24.7,75.3,16.3,41387,47921,53739,57469,65210,56361,64784,82634,120137,60.4,63.9,228,1,0,4,183,40,4,148,73,0,1,0,2,64,15,5,57,0,17.5,1.8,80.3,100,1.8,64.9,32,0,0.4,0,0.9,28.1,6.6,2.2,25,0.4
"003801",0,28,72,81,80,81,88,84,93,79,85,75,54,66,56,1022,82,49,150,45,65,96,49,521,501,296,0,15,1,33,154,278,541,1067,0,0,82,52,14,6,10,0,63.4,17.1,7.3,12.2,0,1.4,0,1.4,0,0,0,0,0,0,1.8,0,0,0,0,0,0,0,0,0,0,2,421,0.5,77,887,8.7,52.9,15.1,27.2,0,1.5,0.1,3.2,51,49,29,4.8,8,14.7,4.8,9.4,4.4,6.4,0,2.7,7,7.9,7.8,7.9,8.6,8.2,9.1,7.7,8.3,7.3,5.3,6.5,5.5,65,10,8,5,11,3143403,586113,530367,480806,3,23,15,17,7,102730.3,1030730.7,715805,884392.3,409744.7,1,49,15,0,0,0,88,0,2,0,0,32.9,131.9,0,0,0,0,7,4,54,0,11,54,0,56.6,1.7,0,2,0,4.7,0,17.3,64.3,26.9,73,3.2,9.2,5.7,5.7,3.3,2.3,17,17,13,9,3,4,33.3,671.6,233.6,296,15,375,20,424,30,65.7,3,70,3.3,64,2.9,67.1,3.3,66.7,3.3,75.1,3.8,0,0,72,4,82,6,417,27,19.7,18.8,14.1,.,18,21.9,21,22,20.3,20,19.7,13.7,15.4,66.7,49.3,7.6,6.1,3.8,8.3,24.9,25.2,1.5,75.4,23.1,0,4.6,35.4,23.1,26.2,10.8,87,2.6,0,3.1,0,7.3,0,10.8,83.1,6.2,0,0,0,0,16.9,83.1,15.7,34241,44810,47713,52019,58533,48355,58611,66296,96161,62.7,59.9,45,0,0,1,39,5,11,4,28,0,2,0,0,12,4,0,8,0,11.1,2.2,86.7,100,24.4,8.9,62.2,0,4.4,0,0,26.7,8.9,0,17.8,0
"003902",3,107,203,227,218,196,232,213,248,226,232,230,214,200,208,2957,253,170,947,131,194,157,180,1609,1348,1174,22,21,0,72,224,756,1862,3129,55,1.8,253,120,65,36,-3,-1,47.4,25.7,14.2,-3,-1,2.8,7.2,6,1.5,2.5,0.9,0.5,1.4,0.5,3.6,5,15,5.9,4.5,11.8,4.2,3.7,0,0,11.1,0,1380,0,370,2816,13.1,63,7.6,25.6,0.7,0.7,0,2.4,54.4,45.6,39.7,6.1,8.6,32,5.7,5.3,4.4,6.6,0.1,3.6,6.9,7.7,7.4,6.6,7.8,7.2,8.4,7.6,7.8,7.8,7.2,6.8,7,198.1,22,15.9,4,31,9548888.7,1345132,1148935.5,413745,5,40.2,44,65.5,43.4,198706.1,1682697.2,1985647.9,3261912.8,2419924.8,1,152.5,43.6,1,0,0,240,0,7,2,2,123.9,394.9,2.2,0,0,0,2,8,187.1,1,39.1,159,4,134.7,15.6,1.3,15,8.7,18.2,4.6,25.3,194.9,13,224,7.9,13.5,4.8,4.6,3.9,3.4,24,23,31,27,5,8,69,3024,1769.6,1049,53,1248,59,1221,62,216.4,9.9,223.9,11.7,246.3,11.7,185.7,9.7,217,11,225.3,11,0,0,192.1,9.6,387,22,1322,65,19.8,21.2,19.7,.,20,21.9,19.2,21.1,19.2,19.7,20.5,17.6,20.3,60.8,50.2,5.6,4,1,7.9,31.4,17.5,0.5,77,22,0.5,2.5,20.3,22.2,33.1,21.9,68,7.9,0.6,7.6,4.4,9.2,2.3,1,94.4,4,0,0,0,0.5,19.7,80.3,14.9,39740,41832,45128,49819,55799,48210,61010,72347,103436,63.5,61.5,204,2,0,9,158,35,8,55,133,0,4,0,4,90,24,5,56,0,17.2,4.4,77.5,100,3.9,27,65.2,0,2,0,2,44.1,11.8,2.5,27.5,1
