CAMPUS,DISTRICT,CAMPNAME,COUNTY,DISTNAME,REGION,CNTYNAME,GRDTYPE,GRDSPAN,CFLCHART,CFLALTED,PAIRCAMP,PAIRNAME,CAMPNAME_CLEAN,CD1G,CD2G,CD3G,C_RATING
001902001,1902.0,CAYUGA H S,1.0,CAYUGA ISD,7.0,ANDERSON,S,09 - 12,N,N, , ,Cayuga High School,A,A,A,A
001902041,1902.0,CAYUGA MIDDLE,1.0,CAYUGA ISD,7.0,ANDERSON,M,06 - 08,N,N, , ,Cayuga Middle School,B,C,C,B
001902103,1902.0,CAYUGA EL,1.0,CAYUGA ISD,7.0,ANDERSON,E,EE - 05,N,N, , ,Cayuga Elementary School,A,B,A,A
001903001,1903.0,ELKHART H S,1.0,ELKHART ISD,7.0,ANDERSON,S,09 - 12,N,N, , ,Elkhart High School,A,B,B,B
001903041,1903.0,ELKHART MIDDLE,1.0,ELKHART ISD,7.0,ANDERSON,M,06 - 08,N,N, , ,Elkhart Middle School,B,B,B,B
001903101,1903.0,ELKHART EL,1.0,ELKHART ISD,7.0,ANDERSON,E,EE - 02,N,N,001903102,ELKHART INT,Elkhart Elementary School,Not Rated: Paired Campus,Not Rated: Paired Campus,Not Rated: Paired Campus,A
001903102,1903.0,ELKHART INT,1.0,ELKHART ISD,7.0,ANDERSON,E,03 - 05,N,N, , ,Elkhart Intermediate School,B,A,A,A
001904001,1904.0,FRANKSTON H S,1.0,FRANKSTON ISD,7.0,ANDERSON,S,09 - 12,N,N, , ,Frankston High School,B,B,C,B
001904041,1904.0,FRANKSTON MIDDLE,1.0,FRANKSTON ISD,7.0,ANDERSON,M,06 - 08,N,N, , ,Frankston Middle School,B,B,B,B
001904102,1904.0,FRANKSTON EL,1.0,FRANKSTON ISD,7.0,ANDERSON,E,EE - 05,N,N, , ,Frankston Elementary School,C,B,C,C
001906002,1906.0,NECHES H S,1.0,NECHES ISD,7.0,ANDERSON,S,09 - 12,N,N, , ,Neches High School,A,A,Not Rated,A
001906102,1906.0,NECHES EL,1.0,NECHES ISD,7.0,ANDERSON,E,PK - 08,N,N, , ,Neches Elementary School,C,C,C,C
001907001,1907.0,PALESTINE H S,1.0,PALESTINE ISD,7.0,ANDERSON,S,09 - 12,N,N, , ,Palestine High School,B,B,B,B
001907041,1907.0,PALESTINE J H,1.0,PALESTINE ISD,7.0,ANDERSON,M,07 - 08,N,N, , ,Palestine Junior High,C,B,B,B
001907101,1907.0,NORTHSIDE PRI,1.0,PALESTINE ISD,7.0,ANDERSON,E,KG - 01,N,N,001907107,SOUTHSIDE EL,Northside Primary School,Not Rated: Paired Campus,Not Rated: Paired Campus,Not Rated: Paired Campus,B
001907102,1907.0,WASHINGTON EARLY CHILDHOOD CENTER,1.0,PALESTINE ISD,7.0,ANDERSON,E,EE - PK,N,N,001907107,SOUTHSIDE EL,Washington Early Childhood Center,Not Rated: Paired Campus,Not Rated: Paired Campus,Not Rated: Paired Campus,B
001907107,1907.0,SOUTHSIDE EL,1.0,PALESTINE ISD,7.0,ANDERSON,E,02 - 03,N,N, , ,Southside Elementary School,C,B,C,B
001907110,1907.0,STORY INT,1.0,PALESTINE ISD,7.0,ANDERSON,E,04 - 06,N,N, , ,Story Intermediate School,D,C,D,D
001908002,1908.0,WESTWOOD H S,1.0,WESTWOOD ISD,7.0,ANDERSON,S,09 - 12,N,N, , ,Westwood High School,B,B,C,B
001908041,1908.0,WESTWOOD J H,1.0,WESTWOOD ISD,7.0,ANDERSON,M,07 - 08,N,N, , ,Westwood Junior High,C,C,C,C
001908101,1908.0,WESTWOOD EL,1.0,WESTWOOD ISD,7.0,ANDERSON,E,03 - 06,N,N, , ,Westwood Elementary School,D,F,F,F
