CAMPUS,DISTRICT,CAMPNAME,COUNTY,DISTNAME,REGION,CNTYNAME,GRDTYPE,GRDSPAN,CFLCHART,CFLALTED,PAIRCAMP,PAIRNAME,CAMPNAME_CLEAN
1902001,1902,CAYUGA H S,1,CAYUGA ISD,7,ANDERSON,S,09 - 12,N,N, , ,Cayuga High School
1902041,1902,CAYUGA MIDDLE,1,CAYUGA ISD,7,ANDERSON,M,06 - 08,N,N, , ,Cayuga Middle School
1902103,1902,CAYUGA EL,1,CAYUGA ISD,7,ANDERSON,E,EE - 05,N,N, , ,Cayuga Elementary School
1903001,1903,ELKHART H S,1,ELKHART ISD,7,ANDERSON,S,09 - 12,N,N, , ,Elkhart High School
1903041,1903,ELKHART MIDDLE,1,ELKHART ISD,7,ANDERSON,M,06 - 08,N,N, , ,Elkhart Middle School
1903101,1903,ELKHART EL,1,ELKHART ISD,7,ANDERSON,E,EE - 02,N,N,001903102,ELKHART INT,Elkhart Elementary School
1903102,1903,ELKHART INT,1,ELKHART ISD,7,ANDERSON,E,03 - 05,N,N, , ,Elkhart Intermediate School
1904001,1904,FRANKSTON H S,1,FRANKSTON ISD,7,ANDERSON,S,09 - 12,N,N, , ,Frankston High School
1904041,1904,FRANKSTON MIDDLE,1,FRANKSTON ISD,7,ANDERSON,M,06 - 08,N,N, , ,Frankston Middle School
1904102,1904,FRANKSTON EL,1,FRANKSTON ISD,7,ANDERSON,E,EE - 05,N,N, , ,Frankston Elementary School
1906002,1906,NECHES H S,1,NECHES ISD,7,ANDERSON,S,09 - 12,N,N, , ,Neches High School
1906102,1906,NECHES EL,1,NECHES ISD,7,ANDERSON,E,PK - 08,N,N, , ,Neches Elementary School
1907001,1907,PALESTINE H S,1,PALESTINE ISD,7,ANDERSON,S,09 - 12,N,N, , ,Palestine High School
1907041,1907,PALESTINE J H,1,PALESTINE ISD,7,ANDERSON,M,07 - 08,N,N, , ,Palestine Junior High
1907101,1907,NORTHSIDE PRI,1,PALESTINE ISD,7,ANDERSON,E,KG - 01,N,N,001907107,SOUTHSIDE EL,Northside Primary School
1907102,1907,WASHINGTON EARLY CHILDHOOD CENTER,1,PALESTINE ISD,7,ANDERSON,E,EE - PK,N,N,001907107,SOUTHSIDE EL,Washington Early Childhood Center
1907107,1907,SOUTHSIDE EL,1,PALESTINE ISD,7,ANDERSON,E,02 - 03,N,N, , ,Southside Elementary School
1907110,1907,STORY INT,1,PALESTINE ISD,7,ANDERSON,E,04 - 06,N,N, , ,Story Intermediate School
1908002,1908,WESTWOOD H S,1,WESTWOOD ISD,7,ANDERSON,S,09 - 12,N,N, , ,Westwood High School
1908041,1908,WESTWOOD J H,1,WESTWOOD ISD,7,ANDERSON,M,07 - 08,N,N, , ,Westwood Junior High
1908101,1908,WESTWOOD EL,1,WESTWOOD ISD,7,ANDERSON,E,03 - 06,N,N, , ,Westwood Elementary School
1908102,1908,WESTWOOD PRI,1,WESTWOOD ISD,7,ANDERSON,E,EE - 02,N,N,001908101,WESTWOOD EL,Westwood Primary School
1909001,1909,SLOCUM H S,1,SLOCUM ISD,7,ANDERSON,S,09 - 12,N,N, , ,Slocum High School
1909101,1909,SLOCUM PK - 8,1,SLOCUM ISD,7,ANDERSON,E,PK - 08,N,N, , ,Slocum PK-8
2901001,2901,ANDREWS H S,2,ANDREWS ISD,18,ANDREWS,S,09 - 12,N,N, , ,Andrews High School
2901002,2901,ANDREWS EDUCATION CENTER,2,ANDREWS ISD,18,ANDREWS,S,09 - 12,N,Y, , ,Andrews Education Center
2901041,2901,ANDREWS MIDDLE,2,ANDREWS ISD,18,ANDREWS,M,06 - 08,N,N, , ,Andrews Middle School
2901101,2901,DEVONIAN EL,2,ANDREWS ISD,18,ANDREWS,E,02 - 03,N,N, , ,Devonian Elementary School
2901104,2901,UNDERWOOD EL,2,ANDREWS ISD,18,ANDREWS,E,04 - 05,N,N, , ,Underwood Elementary School
2901105,2901,CLEARFORK EL,2,ANDREWS ISD,18,ANDREWS,E,EE - 01,N,N,002901101,DEVONIAN EL,Clearfork Elementary School
3801001,3801,PINEYWOODS COMMUNITY ACADEMY H S,3,PINEYWOODS COMMUNITY ACADEMY,7,ANGELINA,S,09 - 12,Y,N, , ,Pineywoods Community Academy High School
3801042,3801,DR TERRY ROBBINS MIDDLE,3,PINEYWOODS COMMUNITY ACADEMY,7,ANGELINA,M,06 - 08,Y,N, , ,Dr Terry Robbins Middle School
3801103,3801,SARAH STRINDEN EL,3,PINEYWOODS COMMUNITY ACADEMY,7,ANGELINA,E,PK - 05,Y,N, , ,Sarah Strinden Elementary School
3902001,3902,HUDSON H S,3,HUDSON ISD,7,ANGELINA,S,09 - 12,N,N, , ,Hudson High School
3902004,3902,STUBBLEFIELD LRN CTR,3,HUDSON ISD,7,ANGELINA,S,11 - 12,N,Y, , ,Stubblefield Learning Center
3902041,3902,HUDSON MIDDLE,3,HUDSON ISD,7,ANGELINA,M,06 - 08,N,N, , ,Hudson Middle School
3902101,3902,W F PEAVY PRI,3,HUDSON ISD,7,ANGELINA,E,EE - 02,N,N,003902102,W H BONNER EL,W F Peavy Primary School
3902102,3902,W H BONNER EL,3,HUDSON ISD,7,ANGELINA,E,03 - 05,N,N, , ,W H Bonner Elementary School
3903001,3903,LUFKIN H S,3,LUFKIN ISD,7,ANGELINA,S,09 - 12,N,N, , ,Lufkin High School
3903004,3903,STUBBLEFIELD LRN CTR,3,LUFKIN ISD,7,ANGELINA,S,09 - 12,N,Y, , ,Stubblefield Learning Center
3903044,3903,LUFKIN MIDDLE,3,LUFKIN ISD,7,ANGELINA,M,06 - 08,N,N, , ,Lufkin Middle School
3903120,3903,ANDERSON EL,3,LUFKIN ISD,7,ANGELINA,E,03 - 05,N,N, , ,Anderson Elementary School
3903121,3903,BRANDON EL,3,LUFKIN ISD,7,ANGELINA,E,03 - 05,N,N, , ,Brandon Elementary School
3903122,3903,BROOKHOLLOW EL,3,LUFKIN ISD,7,ANGELINA,E,03 - 05,N,N, , ,Brookhollow Elementary School
3903123,3903,COSTON EL,3,LUFKIN ISD,7,ANGELINA,E,03 - 05,N,N, , ,Coston Elementary School
3903124,3903,DUNBAR PRI,3,LUFKIN ISD,7,ANGELINA,E,KG - 02,N,N,003903121,BRANDON EL,Dunbar Primary School
3903125,3903,GARRETT PRI,3,LUFKIN ISD,7,ANGELINA,E,PK - PK,N,N,003903000,LUFKIN ISD,Garrett Primary School
3903126,3903,HACKNEY PRI,3,LUFKIN ISD,7,ANGELINA,E,PK - PK,N,N,003903000,LUFKIN ISD,Hackney Primary School
3903127,3903,HERTY PRI,3,LUFKIN ISD,7,ANGELINA,E,EE - 02,N,N,003903123,COSTON EL,Herty Primary School
3903128,3903,KURTH PRI,3,LUFKIN ISD,7,ANGELINA,E,KG - 02,N,N,003903120,ANDERSON EL,Kurth Primary School
3903129,3903,SLACK EL,3,LUFKIN ISD,7,ANGELINA,E,02 - 05,N,N, , ,Slack Elementary School
3903130,3903,TROUT PRI,3,LUFKIN ISD,7,ANGELINA,E,EE - 02,N,N,003903122,BROOKHOLLOW EL,Trout Primary School
3903131,3903,BURLEY PRI,3,LUFKIN ISD,7,ANGELINA,E,KG - 02,N,N,003903129,SLACK EL,Burley Primary School
3903141,3903,SPECIAL SERVICES,3,LUFKIN ISD,7,ANGELINA,E,EE - 06,N,N, , ,Special Services
3903201,3903,JUVENILE DETENT CTR,3,LUFKIN ISD,7,ANGELINA,B,06 - 12,N,Y, , ,Juvenile Detention Center
3904001,3904,HUNTINGTON H S,3,HUNTINGTON ISD,7,ANGELINA,S,09 - 12,N,N, , ,Huntington High School
3904005,3904,PRIDE ALTER SCH,3,HUNTINGTON ISD,7,ANGELINA,S,09 - 12,N,Y, , ,Pride Alter Sch
3904041,3904,HUNTINGTON MIDDLE,3,HUNTINGTON ISD,7,ANGELINA,M,06 - 08,N,N, , ,Huntington Middle School
3904101,3904,HUNTINGTON EL,3,HUNTINGTON ISD,7,ANGELINA,E,EE - 03,N,N, , ,Huntington Elementary School
3904102,3904,HUNTINGTON INT,3,HUNTINGTON ISD,7,ANGELINA,E,04 - 05,N,N, , ,Huntington Intermediate School
3905001,3905,DIBOLL H S,3,DIBOLL ISD,7,ANGELINA,S,09 - 12,N,N, , ,Diboll High School
3905004,3905,STUBBLEFIELD LRN CTR,3,DIBOLL ISD,7,ANGELINA,S,10 - 12,N,Y, , ,Stubblefield Learning Center
