CAMPUS,DISTRICT,CAMPNAME,COUNTY,DISTNAME,REGION,CNTYNAME,GRDTYPE,GRDSPAN,CFLCHART,CFLALTED,PAIRCAMP,PAIRNAME
001902001,1902,CAYUGA H S,1,CAYUGA ISD,7,ANDERSON,S,12-Sep,N,N, , 
001902041,1902,CAYUGA MIDDLE,1,CAYUGA ISD,7,ANDERSON,M,8-Jun,N,N, , 
001902103,1902,CAYUGA EL,1,CAYUGA ISD,7,ANDERSON,E,EE - 05,N,N, , 
001903001,1903,ELKHART H S,1,ELKHART ISD,7,ANDERSON,S,12-Sep,N,N, , 
001903041,1903,ELKHART MIDDLE,1,ELKHART ISD,7,ANDERSON,M,8-Jun,N,N, , 
001903101,1903,ELKHART EL,1,ELKHART ISD,7,ANDERSON,E,EE - 02,N,N,1903102,ELKHART INT
001903102,1903,ELKHART INT,1,ELKHART ISD,7,ANDERSON,E,5-Mar,N,N, , 
001904001,1904,FRANKSTON H S,1,FRANKSTON ISD,7,ANDERSON,S,12-Sep,N,N, , 
001904041,1904,FRANKSTON MIDDLE,1,FRANKSTON ISD,7,ANDERSON,M,8-Jun,N,N, , 
001904102,1904,FRANKSTON EL,1,FRANKSTON ISD,7,ANDERSON,E,EE - 05,N,N, , 
001906002,1906,NECHES H S,1,NECHES ISD,7,ANDERSON,S,12-Sep,N,N, , 
001906102,1906,NECHES EL,1,NECHES ISD,7,ANDERSON,E,PK - 08,N,N, , 
001907001,1907,PALESTINE H S,1,PALESTINE ISD,7,ANDERSON,S,12-Sep,N,N, , 
001907041,1907,PALESTINE J H,1,PALESTINE ISD,7,ANDERSON,M,8-Jul,N,N, , 
001907101,1907,NORTHSIDE PRI,1,PALESTINE ISD,7,ANDERSON,E,KG - 01,N,N,1907107,SOUTHSIDE EL
001907102,1907,WASHINGTON EARLY CHILDHOOD CENTER,1,PALESTINE ISD,7,ANDERSON,E,EE - PK,N,N,1907107,SOUTHSIDE EL
001907107,1907,SOUTHSIDE EL,1,PALESTINE ISD,7,ANDERSON,E,3-Feb,N,N, , 
001907110,1907,STORY INT,1,PALESTINE ISD,7,ANDERSON,E,6-Apr,N,N, , 
001908002,1908,WESTWOOD H S,1,WESTWOOD ISD,7,ANDERSON,S,12-Sep,N,N, , 
001908041,1908,WESTWOOD J H,1,WESTWOOD ISD,7,ANDERSON,M,8-Jul,N,N, , 
001908101,1908,WESTWOOD EL,1,WESTWOOD ISD,7,ANDERSON,E,6-Mar,N,N, , 
001908102,1908,WESTWOOD PRI,1,WESTWOOD ISD,7,ANDERSON,E,EE - 02,N,N,1908101,WESTWOOD EL
001909001,1909,SLOCUM H S,1,SLOCUM ISD,7,ANDERSON,S,12-Sep,N,N, , 
001909101,1909,SLOCUM PK - 8,1,SLOCUM ISD,7,ANDERSON,E,PK - 08,N,N, , 
002901001,2901,ANDREWS H S,2,ANDREWS ISD,18,ANDREWS,S,12-Sep,N,N, , 
002901002,2901,ANDREWS EDUCATION CENTER,2,ANDREWS ISD,18,ANDREWS,S,12-Sep,N,Y, , 
002901041,2901,ANDREWS MIDDLE,2,ANDREWS ISD,18,ANDREWS,M,8-Jun,N,N, , 
002901101,2901,DEVONIAN EL,2,ANDREWS ISD,18,ANDREWS,E,3-Feb,N,N, , 
002901104,2901,UNDERWOOD EL,2,ANDREWS ISD,18,ANDREWS,E,5-Apr,N,N, , 
002901105,2901,CLEARFORK EL,2,ANDREWS ISD,18,ANDREWS,E,EE - 01,N,N,2901101,DEVONIAN EL
003801001,3801,PINEYWOODS COMMUNITY ACADEMY H S,3,PINEYWOODS COMMUNITY ACADEMY,7,ANGELINA,S,12-Sep,Y,N, , 
003801042,3801,DR TERRY ROBBINS MIDDLE,3,PINEYWOODS COMMUNITY ACADEMY,7,ANGELINA,M,8-Jun,Y,N, , 
003801103,3801,SARAH STRINDEN EL,3,PINEYWOODS COMMUNITY ACADEMY,7,ANGELINA,E,PK - 05,Y,N, , 
003902001,3902,HUDSON H S,3,HUDSON ISD,7,ANGELINA,S,12-Sep,N,N, , 
003902004,3902,STUBBLEFIELD LRN CTR,3,HUDSON ISD,7,ANGELINA,S,12-Nov,N,Y, , 
003902041,3902,HUDSON MIDDLE,3,HUDSON ISD,7,ANGELINA,M,8-Jun,N,N, , 
003902101,3902,W F PEAVY PRI,3,HUDSON ISD,7,ANGELINA,E,EE - 02,N,N,3902102,W H BONNER EL
003902102,3902,W H BONNER EL,3,HUDSON ISD,7,ANGELINA,E,5-Mar,N,N, , 
003903001,3903,LUFKIN H S,3,LUFKIN ISD,7,ANGELINA,S,12-Sep,N,N, , 
003903004,3903,STUBBLEFIELD LRN CTR,3,LUFKIN ISD,7,ANGELINA,S,12-Sep,N,Y, , 
003903044,3903,LUFKIN MIDDLE,3,LUFKIN ISD,7,ANGELINA,M,8-Jun,N,N, , 
003903120,3903,ANDERSON EL,3,LUFKIN ISD,7,ANGELINA,E,5-Mar,N,N, , 
003903121,3903,BRANDON EL,3,LUFKIN ISD,7,ANGELINA,E,5-Mar,N,N, , 
003903122,3903,BROOKHOLLOW EL,3,LUFKIN ISD,7,ANGELINA,E,5-Mar,N,N, , 
003903123,3903,COSTON EL,3,LUFKIN ISD,7,ANGELINA,E,5-Mar,N,N, , 
003903124,3903,DUNBAR PRI,3,LUFKIN ISD,7,ANGELINA,E,KG - 02,N,N,3903121,BRANDON EL
