DISTRICT,DISTNAME,COUNTY,CNTYNAME,REGION,DFLCHART,DFLALTED,OUTCOME,ASVAB_STATUS,DISTNAME_CLEAN,DD1G,DD2G,DD3G,D_RATING
001902,CAYUGA ISD,1.0,ANDERSON,7.0,N,N,Meets Requirements, ,Cayuga ISD,A,A,A,A
001903,ELKHART ISD,1.0,ANDERSON,7.0,N,N,Meets Requirements, ,Elkhart ISD,A,A,B,A
001904,FRANKSTON ISD,1.0,ANDERSON,7.0,N,N,Meets Requirements, ,Frankston ISD,A,A,B,B
001906,NECHES ISD,1.0,ANDERSON,7.0,N,N,Meets Requirements, ,Neches ISD,A,A,B,A
001907,PALESTINE ISD,1.0,ANDERSON,7.0,N,N,Meets Requirements, ,Palestine ISD,B,A,C,B
001908,WESTWOOD ISD,1.0,ANDERSON,7.0,N,N,Meets Requirements, ,Westwood ISD,B,B,C,B
001909,SLOCUM ISD,1.0,ANDERSON,7.0,N,N,Meets Requirements, ,Slocum ISD,A,A,B,A
002901,ANDREWS ISD,2.0,ANDREWS,18.0,N,N,Meets Requirements, ,Andrews ISD,B,C,C,C
003801,PINEYWOODS COMMUNITY ACADEMY,3.0,ANGELINA,7.0,Y,N,Meets Requirements, ,Pineywoods Community Academy,A,A,B,A
003902,HUDSON ISD,3.0,ANGELINA,7.0,N,N,Needs Intervention, ,Hudson ISD,B,A,B,B
003903,LUFKIN ISD,3.0,ANGELINA,7.0,N,N,Needs Substantial Intervention, ,Lufkin ISD,B,A,B,B
003904,HUNTINGTON ISD,3.0,ANGELINA,7.0,N,N,Meets Requirements, ,Huntington ISD,B,A,B,B
003905,DIBOLL ISD,3.0,ANGELINA,7.0,N,N,Meets Requirements, ,Diboll ISD,B,A,C,B
003906,ZAVALLA ISD,3.0,ANGELINA,7.0,N,N,Meets Requirements, ,Zavalla ISD,B,A,C,B
003907,CENTRAL ISD,3.0,ANGELINA,7.0,N,N,Meets Requirements, ,Central ISD,B,B,B,B
004901,ARANSAS COUNTY ISD,4.0,ARANSAS,2.0,N,N,Meets Requirements, ,Aransas County ISD,B,B,C,B
005901,ARCHER CITY ISD,5.0,ARCHER,9.0,N,N,Meets Requirements, ,Archer City ISD,A,A,A,A
005902,HOLLIDAY ISD,5.0,ARCHER,9.0,N,N,Meets Requirements, ,Holliday ISD,A,B,B,A
005904,WINDTHORST ISD,5.0,ARCHER,9.0,N,N,Meets Requirements, ,Windthorst ISD,A,A,A,A
006902,CLAUDE ISD,6.0,ARMSTRONG,16.0,N,N,Meets Requirements, ,Claude ISD,A,A,B,A
007901,CHARLOTTE ISD,7.0,ATASCOSA,20.0,N,N,Meets Requirements, ,Charlotte ISD,B,B,B,B
007902,JOURDANTON ISD,7.0,ATASCOSA,20.0,N,N,Meets Requirements, ,Jourdanton ISD,B,B,B,B
007904,LYTLE ISD,7.0,ATASCOSA,20.0,N,N,Meets Requirements, ,Lytle ISD,C,B,C,C
007905,PLEASANTON ISD,7.0,ATASCOSA,20.0,N,N,Needs Assistance, ,Pleasanton ISD,B,B,C,B
007906,POTEET ISD,7.0,ATASCOSA,20.0,N,N,Needs Assistance, ,Poteet ISD,B,A,C,B
008901,BELLVILLE ISD,8.0,AUSTIN,6.0,N,N,Meets Requirements, ,Bellville ISD,B,B,B,B
008902,SEALY ISD,8.0,AUSTIN,6.0,N,N,Needs Assistance, ,Sealy ISD,B,B,C,C
008903,BRAZOS ISD,8.0,AUSTIN,6.0,N,N,Meets Requirements, ,Brazos ISD,B,B,B,B
009901,MULESHOE ISD,9.0,BAILEY,17.0,N,N,Meets Requirements, ,Muleshoe ISD,B,B,C,B
010901,MEDINA ISD,10.0,BANDERA,20.0,N,N,Meets Requirements, ,Medina ISD,B,B,C,B
010902,BANDERA ISD,10.0,BANDERA,20.0,N,N,Meets Requirements, ,Bandera ISD,B,B,C,B
011901,BASTROP ISD,11.0,BASTROP,13.0,N,N,Needs Assistance, ,Bastrop ISD,B,B,C,B
011902,ELGIN ISD,11.0,BASTROP,13.0,N,N,Meets Requirements, ,Elgin ISD,C,B,C,B
011904,SMITHVILLE ISD,11.0,BASTROP,13.0,N,N,Needs Assistance, ,Smithville ISD,B,B,C,B
011905,MCDADE ISD,11.0,BASTROP,13.0,N,N,Meets Requirements, ,McDade ISD,B,B,C,B
012901,SEYMOUR ISD,12.0,BAYLOR,9.0,N,N,Meets Requirements, ,Seymour ISD,A,A,A,A
013801,ST MARY'S ACADEMY CHARTER SCHOOL,13.0,BEE,2.0,Y,N,Meets Requirements, ,St Mary's Academy Charter School,C,B,C,B
013901,BEEVILLE ISD,13.0,BEE,2.0,N,N,Needs Assistance, ,Beeville ISD,C,C,C,C
013902,PAWNEE ISD,13.0,BEE,2.0,N,N,Meets Requirements, ,Pawnee ISD,C,B,C,B
013903,PETTUS ISD,13.0,BEE,2.0,N,N,Meets Requirements, ,Pettus ISD,C,C,F,D
013905,SKIDMORE-TYNAN ISD,13.0,BEE,2.0,N,N,Meets Requirements, ,Skidmore-Tynan ISD,A,A,A,A
014801,RICHARD MILBURN ALTER HIGH SCHOOL,14.0,BELL,20.0,Y,Y,Needs Intervention, ,Richard Milburn Alter High School,C,F,D,C
014803,PRIORITY CHARTER SCHOOLS,14.0,BELL,12.0,Y,N,Meets Requirements, ,Priority Charter Schools,B,B,B,B
014804,ORENDA CHARTER SCHOOL,14.0,BELL,12.0,Y,N,Meets Requirements, ,Orenda Charter School,A,B,B,B
014901,ACADEMY ISD,14.0,BELL,12.0,N,N,Meets Requirements, ,Academy ISD,B,B,B,B
014902,BARTLETT ISD,14.0,BELL,13.0,N,N,Meets Requirements, ,Bartlett ISD,B,B,C,C
014903,BELTON ISD,14.0,BELL,12.0,N,N,Meets Requirements, ,Belton ISD,B,B,B,B
014905,HOLLAND ISD,14.0,BELL,12.0,N,N,Meets Requirements, ,Holland ISD,A,A,A,A
014906,KILLEEN ISD,14.0,BELL,12.0,N,N,Needs Assistance, ,Killeen ISD,B,B,B,B
014907,ROGERS ISD,14.0,BELL,12.0,N,N,Meets Requirements, ,Rogers ISD,A,A,B,A
014908,SALADO ISD,14.0,BELL,12.0,N,N,Meets Requirements, ,Salado ISD,A,B,B,B
014909,TEMPLE ISD,14.0,BELL,12.0,N,N,Needs Substantial Intervention, ,Temple ISD,C,B,C,B
014910,TROY ISD,14.0,BELL,12.0,N,N,Meets Requirements, ,Troy ISD,A,A,A,A
015801,POR VIDA ACADEMY,15.0,BEXAR,20.0,Y,Y,Needs Assistance, ,Por Vida Academy,C,F,F,D
015802,GEORGE GERVIN ACADEMY,15.0,BEXAR,20.0,Y,N,Meets Requirements, ,George Gervin Academy,B,A,B,Data Integrity Issues
015805,NEW FRONTIERS PUBLIC SCHOOLS INC,15.0,BEXAR,20.0,Y,N,Meets Requirements, ,New Frontiers Public Schools Inc,B,A,C,B
015806,SCHOOL OF EXCELLENCE IN EDUCATION,15.0,BEXAR,20.0,Y,N,Meets Requirements, ,School Of Excellence In Education,C,B,C,B
015807,SOUTHWEST PREPARATORY SCHOOL,15.0,BEXAR,20.0,Y,Y,Meets Requirements, ,Southwest Preparatory School,D,D,D,D
015808,INSPIRE ACADEMIES,15.0,BEXAR,20.0,Y,Y,Meets Requirements, ,Inspire Academies,C,C,C,C
015809,BEXAR COUNTY ACADEMY,15.0,BEXAR,20.0,Y,N,Meets Requirements, ,Bexar County Academy,F,D,D,D
015814,POSITIVE SOLUTIONS CHARTER SCHOOL,15.0,BEXAR,20.0,Y,Y,Meets Requirements, ,Positive Solutions Charter School,C,D,F,D
015815,HERITAGE ACADEMY,15.0,BEXAR,20.0,Y,Y,Meets Requirements, ,Heritage Academy,B,B,B,B
015822,JUBILEE ACADEMIES,15.0,BEXAR,20.0,Y,N,Meets Requirements, ,Jubilee Academies,B,B,C,C
015825,LIGHTHOUSE CHARTER SCHOOL,15.0,BEXAR,20.0,Y,N,Meets Requirements, ,Lighthouse Charter School,D,B,D,C
015827,SCHOOL OF SCIENCE AND TECHNOLOGY,15.0,BEXAR,20.0,Y,N,Meets Requirements,ASVAB Test not Offered,School Of Science And Technology,B,B,B,B
015828,HARMONY SCIENCE ACAD (SAN ANTONIO),15.0,BEXAR,20.0,Y,N,Meets Requirements, ,Harmony Science Acad (San Antonio),B,A,B,A
015830,BROOKS ACADEMIES OF TEXAS,15.0,BEXAR,20.0,Y,N,Meets Requirements, ,Brooks Academies Of Texas,C,B,C,C
015831,SCHOOL OF SCIENCE AND TECHNOLOGY D,15.0,BEXAR,20.0,Y,N,Meets Requirements,ASVAB Test not Offered,School Of Science And Technology D,A,A,A,A
015833,HENRY FORD ACADEMY ALAMEDA SCHOOL,15.0,BEXAR,20.0,Y,N,Meets Requirements, ,Henry Ford Academy Alameda School,C,B,C,B
015834,BASIS TEXAS,15.0,BEXAR,20.0,Y,N,Meets Requirements,ASVAB Alternative Test Offered,Basis Texas,A,A,A,A
015835,GREAT HEARTS TEXAS,15.0,BEXAR,20.0,Y,N,Meets Requirements,ASVAB Test not Offered,Great Hearts Texas,B,B,B,B
015836,ELEANOR KOLITZ HEBREW LANGUAGE ACA,15.0,BEXAR,20.0,Y,N,Meets Requirements, ,Eleanor Kolitz Hebrew Language Aca,A,B,A,A
015838,COMPASS ROSE ACADEMY,15.0,BEXAR,20.0,Y,N,Meets Requirements, ,Compass Rose Academy,C,B,B,B
015901,ALAMO HEIGHTS ISD,15.0,BEXAR,20.0,N,N,Meets Requirements, ,Alamo Heights ISD,A,B,B,A
015904,HARLANDALE ISD,15.0,BEXAR,20.0,N,N,Meets Requirements, ,Harlandale ISD,B,A,C,B
015905,EDGEWOOD ISD,15.0,BEXAR,20.0,N,N,Needs Assistance, ,Edgewood ISD,D,B,C,C
015906,RANDOLPH FIELD ISD,15.0,BEXAR,20.0,N,N,Meets Requirements, ,Randolph Field ISD,A,B,A,A
015907,SAN ANTONIO ISD,15.0,BEXAR,20.0,N,N,Meets Requirements, ,San Antonio ISD,C,B,C,B
015908,SOUTH SAN ANTONIO ISD,15.0,BEXAR,20.0,N,N,Needs Assistance,ASVAB Test not Offered,South San Antonio ISD,D,B,C,C
015909,SOMERSET ISD,15.0,BEXAR,20.0,N,N,Needs Assistance, ,Somerset ISD,B,A,C,B
015910,NORTH EAST ISD,15.0,BEXAR,20.0,N,N,Meets Requirements, ,North East ISD,B,B,B,B
015911,EAST CENTRAL ISD,15.0,BEXAR,20.0,N,N,Needs Assistance, ,East Central ISD,C,C,C,C
015912,SOUTHWEST ISD,15.0,BEXAR,20.0,N,N,Meets Requirements, ,Southwest ISD,C,B,B,B
015913,LACKLAND ISD,15.0,BEXAR,20.0,N,N,Meets Requirements, ,Lackland ISD,A,B,A,A
015914,FT SAM HOUSTON ISD,15.0,BEXAR,20.0,N,N,Meets Requirements, ,Ft Sam Houston ISD,A,B,A,A
015915,NORTHSIDE ISD,15.0,BEXAR,20.0,N,N,Meets Requirements,ASVAB Alternative Test Offered,Northside ISD,B,B,B,B
015916,JUDSON ISD,15.0,BEXAR,20.0,N,N,Needs Intervention, ,Judson ISD,C,B,C,B
015917,SOUTHSIDE ISD,15.0,BEXAR,20.0,N,N,Meets Requirements, ,Southside ISD,C,B,C,C
016901,JOHNSON CITY ISD,16.0,BLANCO,13.0,N,N,Meets Requirements, ,Johnson City ISD,B,B,B,B
016902,BLANCO ISD,16.0,BLANCO,13.0,N,N,Meets Requirements, ,Blanco ISD,A,A,A,A
017901,BORDEN COUNTY ISD,17.0,BORDEN,17.0,N,N,Meets Requirements, ,Borden County ISD,A,B,B,A
018901,CLIFTON ISD,18.0,BOSQUE,12.0,N,N,Meets Requirements, ,Clifton ISD,A,A,C,B
018902,MERIDIAN ISD,18.0,BOSQUE,12.0,N,N,Meets Requirements, ,Meridian ISD,B,A,C,B
018903,MORGAN ISD,18.0,BOSQUE,12.0,N,N,Meets Requirements, ,Morgan ISD,C,C,C,C
018904,VALLEY MILLS ISD,18.0,BOSQUE,12.0,N,N,Meets Requirements, ,Valley Mills ISD,B,B,B,B
018905,WALNUT SPRINGS ISD,18.0,BOSQUE,12.0,N,N,Needs Assistance, ,Walnut Springs ISD,B,B,C,B
018906,IREDELL ISD,18.0,BOSQUE,12.0,N,N,Meets Requirements, ,Iredell ISD,B,B,C,B
018907,KOPPERL ISD,18.0,BOSQUE,12.0,N,N,Meets Requirements, ,Kopperl ISD,C,C,C,C
018908,CRANFILLS GAP ISD,18.0,BOSQUE,12.0,N,N,Meets Requirements, ,Cranfills Gap ISD,C,B,F,C
019901,DEKALB ISD,19.0,BOWIE,8.0,N,N,Meets Requirements, ,Dekalb ISD,B,B,C,B
019902,HOOKS ISD,19.0,BOWIE,8.0,N,N,Meets Requirements, ,Hooks ISD,A,A,B,B
019903,MAUD ISD,19.0,BOWIE,8.0,N,N,Needs Assistance, ,Maud ISD,B,B,C,B
019905,NEW BOSTON ISD,19.0,BOWIE,8.0,N,N,Needs Intervention, ,New Boston ISD,B,B,C,B
019906,REDWATER ISD,19.0,BOWIE,8.0,N,N,Meets Requirements, ,Redwater ISD,A,B,B,A
019907,TEXARKANA ISD,19.0,BOWIE,8.0,N,N,Needs Assistance, ,Texarkana ISD,B,B,B,B
019908,LIBERTY-EYLAU ISD,19.0,BOWIE,8.0,N,N,Needs Intervention, ,Liberty-Eylau ISD,C,B,C,B
019909,SIMMS ISD,19.0,BOWIE,8.0,N,N,Meets Requirements, ,Simms ISD,B,A,B,B
019910,MALTA ISD,19.0,BOWIE,8.0,N,N,Meets Requirements, ,Malta ISD,A,B,A,A
019911,RED LICK ISD,19.0,BOWIE,8.0,N,N,Meets Requirements, ,Red Lick ISD,A,B,A,A
019912,PLEASANT GROVE ISD,19.0,BOWIE,8.0,N,N,Meets Requirements, ,Pleasant Grove ISD,A,A,B,A
019913,HUBBARD ISD,19.0,BOWIE,8.0,N,N,Meets Requirements, ,Hubbard ISD,F,D,F,F
019914,LEARY ISD,19.0,BOWIE,8.0,N,N,Meets Requirements, ,Leary ISD,D,D,F,F
020901,ALVIN ISD,20.0,BRAZORIA,4.0,N,N,Needs Assistance, ,Alvin ISD,B,A,B,B
020902,ANGLETON ISD,20.0,BRAZORIA,4.0,N,N,Meets Requirements, ,Angleton ISD,B,B,B,B
020904,DANBURY ISD,20.0,BRAZORIA,4.0,N,N,Meets Requirements, ,Danbury ISD,B,B,B,B
020905,BRAZOSPORT ISD,20.0,BRAZORIA,4.0,N,N,Needs Assistance, ,Brazosport ISD,B,A,B,B
020906,SWEENY ISD,20.0,BRAZORIA,4.0,N,N,Meets Requirements, ,Sweeny ISD,B,B,C,B
020907,COLUMBIA-BRAZORIA ISD,20.0,BRAZORIA,4.0,N,N,Meets Requirements, ,Columbia-Brazoria ISD,B,B,C,B
