DISTRICT,DISTNAME,COUNTY,CNTYNAME,REGION,DFLCHART,DFLALTED,OUTCOME,ASVAB_STATUS,DISTNAME_CLEAN
1902,CAYUGA ISD,1,ANDERSON,7,N,N,Meets Requirements, ,Cayuga ISD
1903,ELKHART ISD,1,ANDERSON,7,N,N,Meets Requirements, ,Elkhart ISD
1904,FRANKSTON ISD,1,ANDERSON,7,N,N,Meets Requirements, ,Frankston ISD
1906,NECHES ISD,1,ANDERSON,7,N,N,Meets Requirements, ,Neches ISD
1907,PALESTINE ISD,1,ANDERSON,7,N,N,Meets Requirements, ,Palestine ISD
1908,WESTWOOD ISD,1,ANDERSON,7,N,N,Meets Requirements, ,Westwood ISD
1909,SLOCUM ISD,1,ANDERSON,7,N,N,Meets Requirements, ,Slocum ISD
2901,ANDREWS ISD,2,ANDREWS,18,N,N,Meets Requirements, ,Andrews ISD
3801,PINEYWOODS COMMUNITY ACADEMY,3,ANGELINA,7,Y,N,Meets Requirements, ,Pineywoods Community Academy
3902,HUDSON ISD,3,ANGELINA,7,N,N,Needs Intervention, ,Hudson ISD
3903,LUFKIN ISD,3,ANGELINA,7,N,N,Needs Substantial Intervention, ,Lufkin ISD
3904,HUNTINGTON ISD,3,ANGELINA,7,N,N,Meets Requirements, ,Huntington ISD
3905,DIBOLL ISD,3,ANGELINA,7,N,N,Meets Requirements, ,Diboll ISD
3906,ZAVALLA ISD,3,ANGELINA,7,N,N,Meets Requirements, ,Zavalla ISD
3907,CENTRAL ISD,3,ANGELINA,7,N,N,Meets Requirements, ,Central ISD
4901,ARANSAS COUNTY ISD,4,ARANSAS,2,N,N,Meets Requirements, ,Aransas County ISD
5901,ARCHER CITY ISD,5,ARCHER,9,N,N,Meets Requirements, ,Archer City ISD
5902,HOLLIDAY ISD,5,ARCHER,9,N,N,Meets Requirements, ,Holliday ISD
5904,WINDTHORST ISD,5,ARCHER,9,N,N,Meets Requirements, ,Windthorst ISD
6902,CLAUDE ISD,6,ARMSTRONG,16,N,N,Meets Requirements, ,Claude ISD
7901,CHARLOTTE ISD,7,ATASCOSA,20,N,N,Meets Requirements, ,Charlotte ISD
7902,JOURDANTON ISD,7,ATASCOSA,20,N,N,Meets Requirements, ,Jourdanton ISD
7904,LYTLE ISD,7,ATASCOSA,20,N,N,Meets Requirements, ,Lytle ISD
7905,PLEASANTON ISD,7,ATASCOSA,20,N,N,Needs Assistance, ,Pleasanton ISD
7906,POTEET ISD,7,ATASCOSA,20,N,N,Needs Assistance, ,Poteet ISD
8901,BELLVILLE ISD,8,AUSTIN,6,N,N,Meets Requirements, ,Bellville ISD
8902,SEALY ISD,8,AUSTIN,6,N,N,Needs Assistance, ,Sealy ISD
8903,BRAZOS ISD,8,AUSTIN,6,N,N,Meets Requirements, ,Brazos ISD
9901,MULESHOE ISD,9,BAILEY,17,N,N,Meets Requirements, ,Muleshoe ISD
10901,MEDINA ISD,10,BANDERA,20,N,N,Meets Requirements, ,Medina ISD
10902,BANDERA ISD,10,BANDERA,20,N,N,Meets Requirements, ,Bandera ISD
11901,BASTROP ISD,11,BASTROP,13,N,N,Needs Assistance, ,Bastrop ISD
11902,ELGIN ISD,11,BASTROP,13,N,N,Meets Requirements, ,Elgin ISD
11904,SMITHVILLE ISD,11,BASTROP,13,N,N,Needs Assistance, ,Smithville ISD
11905,MCDADE ISD,11,BASTROP,13,N,N,Meets Requirements, ,McDade ISD
12901,SEYMOUR ISD,12,BAYLOR,9,N,N,Meets Requirements, ,Seymour ISD
13801,ST MARY'S ACADEMY CHARTER SCHOOL,13,BEE,2,Y,N,Meets Requirements, ,St Mary's Academy Charter School
13901,BEEVILLE ISD,13,BEE,2,N,N,Needs Assistance, ,Beeville ISD
13902,PAWNEE ISD,13,BEE,2,N,N,Meets Requirements, ,Pawnee ISD
13903,PETTUS ISD,13,BEE,2,N,N,Meets Requirements, ,Pettus ISD
13905,SKIDMORE-TYNAN ISD,13,BEE,2,N,N,Meets Requirements, ,Skidmore-Tynan ISD
