DISTRICT,DISTNAME,COUNTY,CNTYNAME,REGION,DFLCHART,DFLALTED,OUTCOME,ASVAB_STATUS
001902,CAYUGA ISD,1,ANDERSON,7,N,N,Meets Requirements, 
001903,ELKHART ISD,1,ANDERSON,7,N,N,Meets Requirements, 
001904,FRANKSTON ISD,1,ANDERSON,7,N,N,Meets Requirements, 
001906,NECHES ISD,1,ANDERSON,7,N,N,Meets Requirements, 
001907,PALESTINE ISD,1,ANDERSON,7,N,N,Meets Requirements, 
001908,WESTWOOD ISD,1,ANDERSON,7,N,N,Meets Requirements, 
001909,SLOCUM ISD,1,ANDERSON,7,N,N,Meets Requirements, 
002901,ANDREWS ISD,2,ANDREWS,18,N,N,Meets Requirements, 
003801,PINEYWOODS COMMUNITY ACADEMY,3,ANGELINA,7,Y,N,Meets Requirements, 
003902,HUDSON ISD,3,ANGELINA,7,N,N,Needs Intervention, 
003903,LUFKIN ISD,3,ANGELINA,7,N,N,Needs Substantial Intervention, 
003904,HUNTINGTON ISD,3,ANGELINA,7,N,N,Meets Requirements, 
003905,DIBOLL ISD,3,ANGELINA,7,N,N,Meets Requirements, 
003906,ZAVALLA ISD,3,ANGELINA,7,N,N,Meets Requirements, 
003907,CENTRAL ISD,3,ANGELINA,7,N,N,Meets Requirements, 
004901,ARANSAS COUNTY ISD,4,ARANSAS,2,N,N,Meets Requirements, 
005901,ARCHER CITY ISD,5,ARCHER,9,N,N,Meets Requirements, 
005902,HOLLIDAY ISD,5,ARCHER,9,N,N,Meets Requirements, 
005904,WINDTHORST ISD,5,ARCHER,9,N,N,Meets Requirements, 
006902,CLAUDE ISD,6,ARMSTRONG,16,N,N,Meets Requirements, 
007901,CHARLOTTE ISD,7,ATASCOSA,20,N,N,Meets Requirements, 
007902,JOURDANTON ISD,7,ATASCOSA,20,N,N,Meets Requirements, 
007904,LYTLE ISD,7,ATASCOSA,20,N,N,Meets Requirements, 
007905,PLEASANTON ISD,7,ATASCOSA,20,N,N,Needs Assistance, 
007906,POTEET ISD,7,ATASCOSA,20,N,N,Needs Assistance, 
008901,BELLVILLE ISD,8,AUSTIN,6,N,N,Meets Requirements, 
008902,SEALY ISD,8,AUSTIN,6,N,N,Needs Assistance, 
008903,BRAZOS ISD,8,AUSTIN,6,N,N,Meets Requirements, 
009901,MULESHOE ISD,9,BAILEY,17,N,N,Meets Requirements, 
010901,MEDINA ISD,10,BANDERA,20,N,N,Meets Requirements, 
010902,BANDERA ISD,10,BANDERA,20,N,N,Meets Requirements, 
011901,BASTROP ISD,11,BASTROP,13,N,N,Needs Assistance, 
011902,ELGIN ISD,11,BASTROP,13,N,N,Meets Requirements, 
011904,SMITHVILLE ISD,11,BASTROP,13,N,N,Needs Assistance, 
011905,MCDADE ISD,11,BASTROP,13,N,N,Meets Requirements, 
012901,SEYMOUR ISD,12,BAYLOR,9,N,N,Meets Requirements, 
013801,ST MARY'S ACADEMY CHARTER SCHOOL,13,BEE,2,Y,N,Meets Requirements, 
013901,BEEVILLE ISD,13,BEE,2,N,N,Needs Assistance, 
013902,PAWNEE ISD,13,BEE,2,N,N,Meets Requirements, 
013903,PETTUS ISD,13,BEE,2,N,N,Meets Requirements, 
013905,SKIDMORE-TYNAN ISD,13,BEE,2,N,N,Meets Requirements, 
014801,RICHARD MILBURN ALTER HIGH SCHOOL,14,BELL,20,Y,Y,Needs Intervention, 
014803,PRIORITY CHARTER SCHOOLS,14,BELL,12,Y,N,Meets Requirements, 
014804,ORENDA CHARTER SCHOOL,14,BELL,12,Y,N,Meets Requirements, 
014901,ACADEMY ISD,14,BELL,12,N,N,Meets Requirements, 
014902,BARTLETT ISD,14,BELL,13,N,N,Meets Requirements, 
014903,BELTON ISD,14,BELL,12,N,N,Meets Requirements, 
014905,HOLLAND ISD,14,BELL,12,N,N,Meets Requirements, 
014906,KILLEEN ISD,14,BELL,12,N,N,Needs Assistance, 
