DISTRICT,CAMPUS,COUNTY,REGION,GRDSPAN,PAIRCAMP,CD1A,CD1B,CD1C,CD2B,CGRPRATE21,CELPRATE21,CCCPRATE21,CSTPRATE21,CAAPRATE21,CPEMALLC,CPEMALLT,CPEMALLP,CPETALLC,CPETECOC,CPETSPEC,CPE0312C,CAMPNAME,REGNNAME,DISTNAME,CNTYNAME,GRDLOW,GRDHIGH,GRDTYPE,CPETLEPC,CPETSTEC,CPETECHC,CPETPTEC,CPETLEPP,CPETECOP,CPETSPEP,CPETECHP,CPETPTEP,CPETSTEP,CPE0312P,CFLCHART,CFLDAEP,CFLEEK,CFLJJ,CFLNEWCAMP,CFLPAIRD,CFLALTED,CFLAEC,CFLRTF,PAIRNAME,CFLPAIRO,CFLAEATYPE,CFLPAIR,CDA00A00T019R,CDA00A00T021R,C_RATING
001902,001902001,1,7,09 - 12, ,62,88,100,75,100,.,100,100,100,25,186,13.4,166,58,34,166,CAYUGA H S,REGION 07: KILGORE,CAYUGA ISD,ANDERSON,09,12,S,2,0,0,0,1.2,34.9,20.5,0.0,0.0,0.0,100.0,N,N,N,N,N,N,N,N,N, ,N, ,N,100,99,Not Rated: Declared State of Disaster
001902,001902041,1,7,06 - 08, ,52,.,.,52,.,.,.,71,90,10,131,7.6,133,54,16,133,CAYUGA MIDDLE,REGION 07: KILGORE,CAYUGA ISD,ANDERSON,06,08,M,0,0,0,0,0.0,40.6,12.0,0.0,0.0,0.0,100.0,N,N,N,N,N,N,N,N,N, ,N, ,N,100,99,Not Rated: Declared State of Disaster
001902,001902103,1,7,EE - 05, ,63,.,.,63,.,.,.,86,100,29,235,12.3,236,90,28,127,CAYUGA EL,REGION 07: KILGORE,CAYUGA ISD,ANDERSON,EE,05,E,0,.,.,.,0.0,38.1,11.9,0.0,0.0,0.0,53.8,N,N,N,N,N,N,N,N,N, ,N, ,N,100,99,Not Rated: Declared State of Disaster
001903,001903001,1,7,09 - 12, ,60,66,100,63,100,.,100,100,90,63,410,15.4,344,163,33,344,ELKHART H S,REGION 07: KILGORE,ELKHART ISD,ANDERSON,09,12,S,2,0,0,0,0.6,47.4,9.6,0.0,0.0,0.0,100.0,N,N,N,N,N,N,N,N,N, ,N, ,N,99,99,Not Rated: Declared State of Disaster
001903,001903041,1,7,06 - 08, ,53,.,.,53,.,.,.,60,57,41,284,14.4,268,121,32,268,ELKHART MIDDLE,REGION 07: KILGORE,ELKHART ISD,ANDERSON,06,08,M,5,0,.,.,1.9,45.1,11.9,0.0,0.0,0.0,100.0,N,N,N,N,N,N,N,N,N, ,N, ,N,100,100,Not Rated: Declared State of Disaster
001903,001903101,1,7,EE - 02,'001903102,.,.,.,.,.,.,.,.,.,23,197,11.7,322,168,56,0,ELKHART EL,REGION 07: KILGORE,ELKHART ISD,ANDERSON,EE,02,E,9,.,.,.,2.8,52.2,17.4,0.0,0.0,0.0,0.0,N,N,N,N,N,N,N,N,N,ELKHART INT,N, ,Y,.,.,Not Rated: Declared State of Disaster
001903,001903102,1,7,03 - 05, ,52,.,.,52,.,.,.,71,80,41,298,13.8,266,119,26,266,ELKHART INT,REGION 07: KILGORE,ELKHART ISD,ANDERSON,03,05,E,8,.,.,.,3.0,44.7,9.8,0.0,0.0,0.0,100.0,N,N,N,N,N,N,N,N,N, ,Y, ,N,100,100,Not Rated: Declared State of Disaster
001904,001904001,1,7,09 - 12, ,58,84,98,71,100,.,100,86,63,37,251,14.7,223,97,29,223,FRANKSTON H S,REGION 07: KILGORE,FRANKSTON ISD,ANDERSON,09,12,S,5,.,.,0,2.2,43.5,13.0,0.0,0.0,0.0,100.0,N,N,N,N,N,N,N,N,N, ,N, ,N,100,100,Not Rated: Declared State of Disaster
001904,001904041,1,7,06 - 08, ,47,.,.,47,.,.,.,44,75,24,197,12.2,200,102,30,200,FRANKSTON MIDDLE,REGION 07: KILGORE,FRANKSTON ISD,ANDERSON,06,08,M,7,.,.,.,3.5,51.0,15.0,0.0,0.0,0.0,100.0,N,N,N,N,N,N,N,N,N, ,N, ,N,100,100,Not Rated: Declared State of Disaster
001904,001904102,1,7,PK - 05, ,53,.,.,53,.,.,.,88,90,44,314,14,345,228,39,155,FRANKSTON EL,REGION 07: KILGORE,FRANKSTON ISD,ANDERSON,PK,05,E,12,.,.,.,3.5,66.1,11.3,0.0,0.0,0.0,44.9,N,N,N,N,N,N,N,N,N, ,N, ,N,100,100,Not Rated: Declared State of Disaster
001906,001906002,1,7,09 - 12, ,64,70,100,67,100,.,100,100,100,21,118,17.8,95,38,14,95,NECHES H S,REGION 07: KILGORE,NECHES ISD,ANDERSON,09,12,S,2,0,0,0,2.1,40.0,14.7,0.0,0.0,0.0,100.0,N,N,N,N,N,N,N,N,N, ,N, ,N,99,97,Not Rated: Declared State of Disaster
001906,001906102,1,7,PK - 08, ,50,.,.,50,.,.,.,86,70,33,220,15,243,130,17,150,NECHES EL,REGION 07: KILGORE,NECHES ISD,ANDERSON,PK,08,E,5,0,0,0,2.1,53.5,7.0,0.0,0.0,0.0,61.7,N,N,N,N,N,N,N,N,N, ,N, ,N,100,99,Not Rated: Declared State of Disaster
001907,001907001,1,7,09 - 12, ,46,63,99.5,55,100,0,100,40,50,106,1052,10.1,1014,812,123,1014,PALESTINE H S,REGION 07: KILGORE,PALESTINE ISD,ANDERSON,09,12,S,65,0,0,0,6.4,80.1,12.1,0.0,0.0,0.0,100.0,N,N,N,N,N,N,N,N,N, ,N, ,N,98,98,Not Rated: Declared State of Disaster
001907,001907041,1,7,07 - 08, ,43,.,.,43,.,100,.,36,56,57,555,10.3,509,365,70,509,PALESTINE J H,REGION 07: KILGORE,PALESTINE ISD,ANDERSON,07,08,M,97,0,0,0,19.1,71.7,13.8,0.0,0.0,0.0,100.0,N,N,N,N,N,N,N,N,N, ,N, ,N,100,100,Not Rated: Declared State of Disaster
001907,001907101,1,7,KG - 01,'001907107,.,.,.,.,.,.,.,.,.,42,284,14.8,491,423,58,0,NORTHSIDE PRI,REGION 07: KILGORE,PALESTINE ISD,ANDERSON,KG,01,E,75,0,0,0,15.3,86.2,11.8,0.0,0.0,0.0,0.0,N,N,N,N,N,N,N,N,N,SOUTHSIDE EL,N, ,Y,.,.,Not Rated: Declared State of Disaster
001907,001907102,1,7,EE - PK,'001907107,.,.,.,.,.,.,.,.,.,.,.,.,220,208,19,0,WASHINGTON EARLY CHILDHOOD CENTER,REGION 07: KILGORE,PALESTINE ISD,ANDERSON,EE,PK,E,34,0,0,0,15.5,94.5,8.6,0.0,0.0,0.0,0.0,N,N,Y,N,N,N,N,N,N,SOUTHSIDE EL,N, ,Y,.,.,Not Rated: Declared State of Disaster
001907,001907107,1,7,02 - 03, ,35,.,.,35,.,100,.,11,13,59,487,12.1,439,355,60,203,SOUTHSIDE EL,REGION 07: KILGORE,PALESTINE ISD,ANDERSON,02,03,E,98,0,0,0,22.3,80.9,13.7,0.0,0.0,0.0,46.2,N,N,N,N,N,N,N,N,N, ,Y, ,N,100,100,Not Rated: Declared State of Disaster
001907,001907110,1,7,04 - 06, ,34,.,.,34,.,0,.,0,5,105,770,13.6,725,561,109,725,STORY INT,REGION 07: KILGORE,PALESTINE ISD,ANDERSON,04,06,E,165,0,0,0,22.8,77.4,15.0,0.0,0.0,0.0,100.0,N,N,N,N,N,N,N,N,N, ,N, ,N,100,100,Not Rated: Declared State of Disaster
001908,001908002,1,7,09 - 12, ,43,57,99,50,100,.,80,33,29,55,474,11.6,434,241,59,434,WESTWOOD H S,REGION 07: KILGORE,WESTWOOD ISD,ANDERSON,09,12,S,26,.,.,0,6.0,55.5,13.6,0.0,0.0,0.0,100.0,N,N,N,N,N,N,N,N,N, ,N, ,N,100,97,Not Rated: Declared State of Disaster
001908,001908041,1,7,07 - 08, ,35,.,.,35,.,.,.,0,0,40,231,17.3,199,136,37,199,WESTWOOD J H,REGION 07: KILGORE,WESTWOOD ISD,ANDERSON,07,08,M,12,.,.,.,6.0,68.3,18.6,0.0,0.0,0.0,100.0,N,N,N,N,N,N,N,N,N, ,N, ,N,100,100,Not Rated: Declared State of Disaster
001908,001908101,1,7,03 - 06, ,28,.,.,28,.,0,.,0,0,63,489,12.9,373,286,61,373,WESTWOOD EL,REGION 07: KILGORE,WESTWOOD ISD,ANDERSON,03,06,E,34,.,.,.,9.1,76.7,16.4,0.0,0.0,0.0,100.0,N,N,N,N,N,N,N,N,N, ,Y, ,N,100,98,Not Rated: Declared State of Disaster
001908,001908102,1,7,PK - 02,'001908101,.,.,.,.,.,.,.,.,.,34,235,14.5,346,265,36,0,WESTWOOD PRI,REGION 07: KILGORE,WESTWOOD ISD,ANDERSON,PK,02,E,18,.,.,.,5.2,76.6,10.4,0.0,0.0,0.0,0.0,N,N,N,N,N,N,N,N,N,WESTWOOD EL,N, ,Y,.,.,Not Rated: Declared State of Disaster
001909,001909001,1,7,09 - 12, ,63,85,100,74,100,.,100,100,75,10,127,7.9,122,38,14,122,SLOCUM H S,REGION 07: KILGORE,SLOCUM ISD,ANDERSON,09,12,S,0,0,0,0,0.0,31.1,11.5,0.0,0.0,0.0,100.0,N,N,N,N,N,N,N,N,N, ,N, ,N,100,100,Not Rated: Declared State of Disaster
001909,001909101,1,7,PK - 08, ,46,.,.,46,.,.,.,14,25,22,235,9.4,244,114,37,160,SLOCUM PK - 8,REGION 07: KILGORE,SLOCUM ISD,ANDERSON,PK,08,E,1,0,.,.,0.4,46.7,15.2,0.0,0.0,0.0,65.6,N,N,N,N,N,N,N,N,N, ,N, ,N,99,100,Not Rated: Declared State of Disaster
002901,002901001,2,18,09 - 12, ,51,55,99.2,53,100,0,100,60,56,130,1236,10.5,1146,429,125,1146,ANDREWS H S,REGION 18: MIDLAND,ANDREWS ISD,ANDREWS,09,12,S,96,.,.,0,8.4,37.4,10.9,0.0,0.0,0.0,100.0,N,N,N,N,N,N,N,N,N, ,N, ,N,100,100,Not Rated: Declared State of Disaster
002901,002901002,2,18,09 - 12, ,29,5,95.2,.,100,.,0,0,0,59,79,74.7,57,35,2,57,ANDREWS EDUCATION CENTER,REGION 18: MIDLAND,ANDREWS ISD,ANDREWS,09,12,S,4,.,.,0,7.0,61.4,3.5,0.0,0.0,0.0,100.0,N,N,N,N,N,N,Y,Y,N, ,N,AEC OF CHOICE - DRS,N,97,99,Not Rated: Declared State of Disaster
002901,002901041,2,18,06 - 08, ,41,.,.,41,.,0,.,18,6,101,1066,9.5,991,448,119,991,ANDREWS MIDDLE,REGION 18: MIDLAND,ANDREWS ISD,ANDREWS,06,08,M,86,.,.,.,8.7,45.2,12.0,0.0,0.0,0.0,100.0,N,N,N,N,N,N,N,N,N, ,N, ,N,100,100,Not Rated: Declared State of Disaster
002901,002901101,2,18,02 - 03, ,44,.,.,44,.,100,.,50,44,76,709,10.7,649,325,55,317,DEVONIAN EL,REGION 18: MIDLAND,ANDREWS ISD,ANDREWS,02,03,E,109,.,.,.,16.8,50.1,8.5,0.0,0.0,0.0,48.8,N,N,N,N,N,N,N,N,N, ,Y, ,N,100,100,Not Rated: Declared State of Disaster
002901,002901104,2,18,04 - 05, ,40,.,.,40,.,100,.,22,25,68,691,9.8,576,291,46,576,UNDERWOOD EL,REGION 18: MIDLAND,ANDREWS ISD,ANDREWS,04,05,E,84,.,.,.,14.6,50.5,8.0,0.0,0.0,0.0,100.0,N,N,N,N,N,N,N,N,N, ,N, ,N,100,100,Not Rated: Declared State of Disaster
002901,002901105,2,18,EE - 01,'002901101,.,.,.,.,.,.,.,.,.,53,402,13.2,702,392,40,0,CLEARFORK EL,REGION 18: MIDLAND,ANDREWS ISD,ANDREWS,EE,01,E,149,.,.,.,21.2,55.8,5.7,0.0,0.0,0.0,0.0,N,N,N,N,N,N,N,N,N,DEVONIAN EL,N, ,Y,.,.,Not Rated: Declared State of Disaster
003801,003801001,3,7,09 - 12, ,59,77,100,68,100,.,100,88,80,18,211,8.5,261,94,22,261,PINEYWOODS COMMUNITY ACADEMY H S,REGION 07: KILGORE,PINEYWOODS COMMUNITY ACADEMY,ANGELINA,09,12,S,7,0,135,0,2.7,36.0,8.4,51.7,0.0,0.0,100.0,Y,N,N,N,N,N,N,N,N, ,N, ,N,100,95,Not Rated: Declared State of Disaster
