CAMPUS,CA0GS18R,CAD_GAP,CAD_MATH,CAD_POST,CAD_PROGRESS,CAD_READ,CAD_SCIE,CAD_SOCI,CALL_UPDATE,CAMPNAME,CASC4X18R,CD1A,CD1AS,CD1B,CD1BS,CD1C,CD1CS,CD1G_18_19,CD1S,CD2A,CD2AG,CD2AS,CD2B,CD2BG,CD2BS,CD2G_18_19,CD2S,CD3,CD3G_18_19,CD3S,CDALLS,CFLAEATYPE,CFLAEC,CFLALTED,CFLCHART,CFLDAEP,CFLEEK,CFLJJ,CFLNEWCAMP,CFLPAIR,CFLPAIRD,CFLPAIRO,CFLRTF,CNTYNAME,COMP19F,COUNTY,CPE0312C,CPE0312P,CPEMALLC,CPEMALLP,CPEMALLT,CPETALLC,CPETECHC,CPETECHP,CPETECOC,CPETECOP,CPETLEPC,CPETLEPP,CPETPTEC,CPETPTEP,CPETSPEC,CPETSPEP,CPETSTEC,CPETSTEP,C_AEABONUS,C_AEABONUS_USED_PCT,C_AEAGRAD_PTS,C_AEASTAAR_PCT,C_AEASTAAR_PTS,C_APPEAL_DECISION,C_RATING_18_19,C_YRS_IR,DISTNAME,DISTRICT,GRDHIGH,GRDLOW,GRDSPAN,GRDTYPE,LAS_GRADE,LAS_SCORE,LAS_WEIGHT,PAIRCAMP,PAIRNAME,REGION,REGNNAME
001902001,79.5,1,1,1,1,1,1,1, ,CAYUGA H S,79.5,58,88,81,95,100,100,A,93,80,A,90,70,B,88,A,90,100,A,100,95, ,N,N,N,N,N,N,N,N,N,N,N,ANDERSON,.,1,179,100.0,18,10.2,177,179,0,0.0,70,39.1,0,0.0,0,0.0,36,20.1,0,0.0,.,.,.,.,., ,A,.,CAYUGA ISD,1902,12,9,09 - 12,S, ,.,., , ,7,REGION 07: KILGORE
001902041,.,0,0,1,0,1,0,0, ,CAYUGA MIDDLE,.,55,85,.,.,.,.,B,85,67,C,72,55,C,79,C,79,66,C,79,83, ,N,N,N,N,N,N,N,N,N,N,N,ANDERSON,2,1,119,100.0,21,13.5,155,119,.,0.0,42,35.3,1,0.8,.,0.0,13,10.9,0,0.0,.,.,.,.,., ,B,.,CAYUGA ISD,1902,8,6,06 - 08,M, ,.,., , ,7,REGION 07: KILGORE
001902103,.,1,1,1,1,0,0, , ,CAYUGA EL,.,61,90,.,.,.,.,A,90,76,B,82,61,B,87,B,87,97,A,94,91, ,N,N,N,N,N,N,N,N,N,N,N,ANDERSON,.,1,143,53.8,40,16.3,246,266,0,0.0,128,48.1,0,0.0,0,0.0,35,13.2,0,0.0,.,.,.,.,., ,A,.,CAYUGA ISD,1902,5,PK,PK - 05,E, ,.,., , ,7,REGION 07: KILGORE
001903001,93.2,0,1,0,1,1,1,1, ,ELKHART H S,94.4,56,85,68,92,100,100,A,91,75,B,85,62,B,86,B,86,78,B,83,89, ,N,N,N,N,N,N,N,N,N,N,N,ANDERSON,.,1,376,100.0,60,14.6,411,376,0,0.0,187,49.7,0,0.0,0,0.0,43,11.4,0,0.0,.,.,.,.,., ,B,.,ELKHART ISD,1903,12,9,09 - 12,S, ,.,., , ,7,REGION 07: KILGORE
001903002,., , , , , , , , ,ELKHART DAEP,.,.,.,.,.,.,.,Not Rated,.,.,Not Rated,.,.,Not Rated,.,Not Rated,.,.,Not Rated,.,., ,N,N,N,Y,N,N,Y,N,N,N,N,ANDERSON,.,1,2,100.0,16,100,16,2,0,0.0,2,100.0,0,0.0,0,0.0,0,0.0,0,0.0,.,.,.,.,., ,Not Rated,.,ELKHART ISD,1903,10,8,08 - 10,S, ,.,., , ,7,REGION 07: KILGORE
001903041,.,1,0,1,0,0,1,1, ,ELKHART MIDDLE,.,53,84,.,.,.,.,B,84,70,C,77,53,B,87,B,87,78,B,85,86, ,N,N,N,N,N,N,N,N,N,N,N,ANDERSON,2,1,261,100.0,45,15.1,298,261,.,0.0,148,56.7,2,0.8,.,0.0,30,11.5,0,0.0,.,.,.,.,., ,B,.,ELKHART ISD,1903,8,6,06 - 08,M, ,.,., , ,7,REGION 07: KILGORE
001903101,., , , , , , , , ,ELKHART EL,.,.,.,.,.,.,.,Not Rated: Paired Campus,.,.,Not Rated: Paired Campus,.,.,Not Rated: Paired Campus,.,Not Rated: Paired Campus,.,.,Not Rated: Paired Campus,.,92, ,N,N,N,N,N,N,N,Y,N,N,N,ANDERSON, ,1,0,0.0,33,16.4,201,338,.,0.0,236,69.8,18,5.3,.,0.0,35,10.4,.,0.0,.,.,.,.,., ,A,.,ELKHART ISD,1903,2,PK,PK - 02,E, ,.,.,1903102,ELKHART INT,7,REGION 07: KILGORE
001903102,.,1,1,1,1,1,1, , ,ELKHART INT,.,58,88,.,.,.,.,B,88,83,A,91,58,B,86,A,91,97,A,94,92, ,N,N,N,N,N,N,N,N,N,Y,N,ANDERSON,.,1,277,100.0,55,19.9,276,277,.,0.0,155,56.0,9,3.2,.,0.0,26,9.4,.,0.0,.,.,.,.,., ,A,.,ELKHART ISD,1903,5,3,03 - 05,E, ,.,., , ,7,REGION 07: KILGORE
001904001,98.2,0,1,1,0,1,0,0, ,FRANKSTON H S,98.2,53,80,71,93,100,100,B,89,70,B,80,62,B,85,B,85,68,C,79,86, ,N,N,N,N,N,N,N,N,N,N,N,ANDERSON,.,1,228,100.0,41,15.2,270,228,.,0.0,99,43.4,2,0.9,0,0.0,18,7.9,.,0.0,.,.,.,.,., ,B,.,FRANKSTON ISD,1904,12,9,09 - 12,S, ,.,., , ,7,REGION 07: KILGORE
001904041,.,1,0,1,0,0,1,1, ,FRANKSTON MIDDLE,.,55,85,.,.,.,.,B,85,68,C,74,55,B,86,B,86,67,B,80,84, ,N,N,N,N,N,N,N,N,N,N,N,ANDERSON,.,1,194,100.0,26,11.2,232,194,.,0.0,98,50.5,5,2.6,.,0.0,33,17.0,.,0.0,.,.,.,.,., ,B,.,FRANKSTON ISD,1904,8,6,06 - 08,M, ,.,., , ,7,REGION 07: KILGORE
001904102,.,0,0,1,0,0,0, , ,FRANKSTON EL,.,51,78,.,.,.,.,C,78,64,D,60,51,B,82,B,82,49,C,70,78, ,N,N,N,N,N,N,N,N,N,N,N,ANDERSON,2,1,191,50.1,44,13,338,381,.,0.0,234,61.4,16,4.2,.,0.0,41,10.8,.,0.0,.,.,.,.,., ,C,.,FRANKSTON ISD,1904,5,EE,EE - 05,E, ,.,., , ,7,REGION 07: KILGORE
001906002,77.3, ,1,1,1,0,0,0, ,NECHES H S,78.3,63,91,91,98,100,100,A,96,86,A,93,77,A,91,A,93,.,Not Rated,.,96, ,N,N,N,N,N,N,N,N,N,N,N,ANDERSON,.,1,107,100.0,20,18,111,107,0,0.0,40,37.4,1,0.9,0,0.0,14,13.1,0,0.0,.,.,.,.,., ,A,.,NECHES ISD,1906,12,9,09 - 12,S, ,.,., , ,7,REGION 07: KILGORE
001906102,.,0,0,0,0,0,0,0, ,NECHES EL,.,51,78,.,.,.,.,C,78,69,C,70,51,C,79,C,79,60,C,73,77, ,N,N,N,N,N,N,N,N,N,N,N,ANDERSON,.,1,165,63.7,36,15.3,236,259,0,0.0,135,52.1,6,2.3,0,0.0,18,6.9,0,0.0,.,.,.,.,., ,C,.,NECHES ISD,1906,8,PK,PK - 08,E, ,.,., , ,7,REGION 07: KILGORE
001907001,94.9,1,1,0,1,1,1,0, ,PALESTINE H S,93.8,49,77,68,92,98.6,95,B,87,74,B,84,59,B,87,B,87,70,B,80,85, ,N,N,N,N,N,N,N,N,N,N,N,ANDERSON,.,1,984,100.0,137,13.1,1044,984,0,0.0,634,64.4,85,8.6,0,0.0,109,11.1,0,0.0,.,.,.,.,., ,B,.,PALESTINE ISD,1907,12,9,09 - 12,S, ,.,., , ,7,REGION 07: KILGORE
001907041,.,1,0,1,1,1,0,0, ,PALESTINE J H,.,44,75,.,.,.,.,C,75,77,B,86,44,B,83,B,86,72,B,82,85, ,N,N,N,N,N,N,N,N,N,N,N,ANDERSON,.,1,519,100.0,60,11.1,541,519,0,0.0,384,74.0,102,19.7,0,0.0,60,11.6,0,0.0,.,.,.,.,., ,B,.,PALESTINE ISD,1907,8,7,07 - 08,M, ,.,., , ,7,REGION 07: KILGORE
001907101,., , , , , , , , ,NORTHSIDE PRI,.,.,.,.,.,.,.,Not Rated: Paired Campus,.,.,Not Rated: Paired Campus,.,.,Not Rated: Paired Campus,.,Not Rated: Paired Campus,.,.,Not Rated: Paired Campus,.,82, ,N,N,N,N,N,N,N,Y,N,N,N,ANDERSON, ,1,0,0.0,56,19.3,290,494,0,0.0,393,79.6,99,20.0,0,0.0,41,8.3,0,0.0,.,.,.,.,., ,B,.,PALESTINE ISD,1907,1,KG,KG - 01,E, ,.,.,1907107,SOUTHSIDE EL,7,REGION 07: KILGORE
001907102,., , , , , , , , ,WASHINGTON EARLY CHILDHOOD CENTER,.,.,.,.,.,.,.,Not Rated: Paired Campus,.,.,Not Rated: Paired Campus,.,.,Not Rated: Paired Campus,.,Not Rated: Paired Campus,.,.,Not Rated: Paired Campus,.,82, ,N,N,N,N,Y,N,N,Y,N,N,N,ANDERSON, ,1,0,0.0,.,.,.,174,0,0.0,174,100.0,38,21.8,0,0.0,11,6.3,0,0.0,.,.,.,.,., ,B,.,PALESTINE ISD,1907,PK,EE,EE - PK,E, ,.,.,1907107,SOUTHSIDE EL,7,REGION 07: KILGORE
001907107,.,1,1,1, ,0, , , ,SOUTHSIDE EL,.,49,77,.,.,.,.,C,77,.,Not Rated,.,49,B,84,B,84,79,C,78,82, ,N,N,N,N,N,N,N,N,N,Y,N,ANDERSON,1B,1,222,48.1,66,12.6,525,462,0,0.0,358,77.5,116,25.1,0,0.0,47,10.2,0,0.0,.,.,.,.,., ,B,.,PALESTINE ISD,1907,3,2,02 - 03,E, ,.,., , ,7,REGION 07: KILGORE
001907110,.,0,0,0,0,0,0, , ,STORY INT,.,39,67,.,.,.,.,D,67,65,D,62,39,C,70,C,70,23,D,60,67, ,N,N,N,N,N,N,N,N,N,N,N,ANDERSON,2,1,756,100.0,94,11.5,816,756,0,0.0,597,79.0,164,21.7,0,0.0,94,12.4,0,0.0,.,.,.,.,., ,D,.,PALESTINE ISD,1907,6,4,04 - 06,E, ,.,., , ,7,REGION 07: KILGORE
001908002,89.9,0,0,0,0,0,1,1, ,WESTWOOD H S,91.6,45,73,64,91,99,95,B,85,62,D,69,55,B,81,B,81,57,C,77,83, ,N,N,N,N,N,N,N,N,N,N,N,ANDERSON,.,1,418,100.0,77,16.7,462,418,.,0.0,187,44.7,14,3.3,0,0.0,49,11.7,.,0.0,.,.,.,.,., ,B,.,WESTWOOD ISD,1908,12,9,09 - 12,S, ,.,., , ,7,REGION 07: KILGORE
001908041,.,0,1,0,0,0,0,0, ,WESTWOOD J H,.,38,70,.,.,.,.,C,70,71,C,79,38,D,63,C,79,51,C,75,78, ,N,N,N,N,N,N,N,N,N,N,N,ANDERSON,2,1,237,100.0,42,15.4,272,237,.,0.0,135,57.0,18,7.6,.,0.0,32,13.5,.,0.0,.,.,.,.,., ,C,.,WESTWOOD ISD,1908,8,7,07 - 08,M, ,.,., , ,7,REGION 07: KILGORE
001908101,.,0,0,0,0,0,0, , ,WESTWOOD EL,.,36,62,.,.,.,.,D,62,63,F,59,36,F,59,F,59,14,F,48,58, ,N,N,N,N,N,N,N,N,N,Y,N,ANDERSON,2,1,446,99.8,64,12.8,500,447,.,0.0,303,67.8,27,6.0,.,0.0,60,13.4,.,0.0,.,.,.,.,., ,F,2,WESTWOOD ISD,1908,6,2,02 - 06,E, ,.,., , ,7,REGION 07: KILGORE
