DISTRICT,COUNTY,REGION,DD1A,DD1B,DD1C,DD2B,DGRPRATE21,DELPRATE21,DCCPRATE21,DSTPRATE21,DAAPRATE21,DISTNAME,CNTYNAME,REGNNAME,DPETLEPC,DPETECOC,DPETALLC,DPETSPEC,DPETSTEC,DPETECHC,DPETPTEC,DPE0312C,DPETLEPP,DPETECOP,DPETSPEP,DPETECHP,DPETPTEP,DPETSTEP,DPE0312P,DFLCHART,DFLALTED,DFLRTF,DFLNEWDIST,DFLSCD,DDA00A00T019R,DDA00A00T021R,D_RATING
001902,001,07,58,88,100,73,100,.,100,80,93,CAYUGA ISD,ANDERSON,REGION 07: KILGORE,2,202,535,78,0,0,0,426,0.4,37.8,14.6,0.0,0,0,79.6,N,N,N,N,N,100,99,Not Rated: Declared State of Disaster
001903,001,07,54,66,100,60,100,.,100,64,63,ELKHART ISD,ANDERSON,REGION 07: KILGORE,24,571,1200,147,0,0,0,878,2.0,47.6,12.3,0.0,0,0,73.2,N,N,N,N,N,100,99,Not Rated: Declared State of Disaster
001904,001,07,51,84,98,68,100,.,100,60,88,FRANKSTON ISD,ANDERSON,REGION 07: KILGORE,24,427,768,98,0,0,0,578,3.1,55.6,12.8,0.0,0,0,75.3,N,N,N,N,N,100,100,Not Rated: Declared State of Disaster
001906,001,07,53,70,100,62,100,.,100,88,75,NECHES ISD,ANDERSON,REGION 07: KILGORE,7,168,338,31,0,0,0,245,2.1,49.7,9.2,0.0,0,0,72.5,N,N,N,N,N,100,98,Not Rated: Declared State of Disaster
001907,001,07,40,63,99.5,52,100,100,100,8,18,PALESTINE ISD,ANDERSON,REGION 07: KILGORE,534,2724,3398,439,0,0,0,2451,15.7,80.2,12.9,0.0,0,0,72.1,N,N,N,N,N,99,99,Not Rated: Declared State of Disaster
001908,001,07,34,57,99,46,100,0,80,0,0,WESTWOOD ISD,ANDERSON,REGION 07: KILGORE,90,928,1352,193,0,0,0,1006,6.7,68.6,14.3,0.0,0,0,74.4,N,N,N,N,N,100,98,Not Rated: Declared State of Disaster
001909,001,07,50,85,100,68,100,.,100,71,42,SLOCUM ISD,ANDERSON,REGION 07: KILGORE,1,152,366,51,0,0,0,282,0.3,41.5,13.9,0.0,0,0,77,N,N,N,N,N,99,100,Not Rated: Declared State of Disaster
002901,002,18,43,51,98.3,47,100,100,100,17,35,ANDREWS ISD,ANDREWS,REGION 18: MIDLAND,528,1920,4121,387,0,0,0,3087,12.8,46.6,9.4,0.0,0,0,74.9,N,N,N,N,N,100,100,Not Rated: Declared State of Disaster
003801,003,07,49,77,100,63,100,0,100,55,72,PINEYWOODS COMMUNITY ACADEMY,ANGELINA,REGION 07: KILGORE,49,506,996,104,0,135,0,740,4.9,50.8,10.4,13.6,0,0,74.3,Y,N,N,N,N,99,97,Not Rated: Declared State of Disaster
003902,003,07,57,71,98.5,64,100,100,100,92,85,HUDSON ISD,ANGELINA,REGION 07: KILGORE,185,1448,2769,296,0,0,0,2096,6.7,52.3,10.7,0.0,0,0,75.7,N,N,N,N,N,100,99,Not Rated: Declared State of Disaster
003903,003,07,43,91,93.3,67,100,100,100,42,33,LUFKIN ISD,ANGELINA,REGION 07: KILGORE,1425,6206,7396,885,0,361,0,5400,19.3,83.9,12.0,4.9,0,0,73,N,N,N,N,N,100,99,Not Rated: Declared State of Disaster
