CAMPUS,CA0GS21R,CAD_GAP,CAD_MATH,CAD_POST,CAD_PROGRESS,CAD_READ,CAD_SCIE,CAD_SOCI,CAMPNAME,CASC4X21R,CD1A,CD1AS,CD1B,CD1BS,CD1C,CD1CS,CD1G,CD1S,CD2A,CD2AG,CD2AS,CD2B,CD2BG,CD2BS,CD2G,CD2S,CD3,CD3G,CD3S,CDALLS,CFLAEATYPE,CFLAEC,CFLALTED,CFLCHART,CFLDAEP,CFLEEK,CFLJJ,CFLNEWCAMP,CFLPAIR,CFLPAIRD,CFLPAIRO,CFLRTF,CNTYNAME,COMP22F,COUNTY,CPE0312C,CPE0312P,CPEMALLC,CPEMALLP,CPEMALLT,CPETALLC,CPETECHC,CPETECHP,CPETECOC,CPETECOP,CPETLEPC,CPETLEPP,CPETPTEC,CPETPTEP,CPETSPEC,CPETSPEP,CPETSTEC,CPETSTEP,C_AEABONUS,C_AEABONUS_USED_PCT,C_AEAGRAD_PTS,C_AEASTAAR_PCT,C_AEASTAAR_PTS,C_RATING,DISTNAME,DISTRICT,GRDHIGH,GRDLOW,GRDSPAN,GRDTYPE,LAS_SCORE,LAS_WEIGHT,PAIRCAMP,PAIRNAME,REGION,REGNNAME
1902001,94.4,1,1,1,1,1,1,0,CAYUGA H S,94.6,58,88,86,97,100,100,A,94,80,A,90,72,B,88,A,90,100,A,100,96, ,N,N,N,N,N,N,N,N,N,N,N,ANDERSON,.,1,169,100.0,18,10.3,175,169,0,0.0,58,34.3,2,1.2,0,0.0,29,17.2,0,0.0,.,.,.,.,.,A,CAYUGA ISD,1902,12,09,09 - 12,S,., , , ,07,REGION 07: KILGORE
1902041,.,0,0,1,0,1,0,0,CAYUGA MIDDLE,.,56,86,.,.,.,.,B,86,68,C,74,56,B,82,B,82,65,C,79,84, ,N,N,N,N,N,N,N,N,N,N,N,ANDERSON,.,1,159,100.0,15,10.3,146,159,0,0.0,63,39.6,1,0.6,0,0.0,26,16.4,0,0.0,.,.,.,.,.,B,CAYUGA ISD,1902,08,06,06 - 08,M,., , , ,07,REGION 07: KILGORE
1902103,.,0,1,1,0,1,1, ,CAYUGA EL,.,66,92,.,.,.,.,A,92,76,B,82,66,A,90,A,90,92,B,87,91, ,N,N,N,N,N,N,N,N,N,N,N,ANDERSON,.,1,121,49.2,30,14,214,246,0,0.0,113,45.9,3,1.2,0,0.0,29,11.8,0,0.0,.,.,.,.,.,A,CAYUGA ISD,1902,05,KG,KG - 05,E,., , , ,07,REGION 07: KILGORE
1903001,86.8,0,0,0,0,1,1,1,ELKHART H S,83.7,57,86,81,95,100,100,A,92,65,C,73,69,B,86,B,86,72,B,81,89, ,N,N,N,N,N,N,N,N,N,N,N,ANDERSON,.,1,307,100.0,59,15.9,371,307,0,0.0,106,34.5,4,1.3,0,0.0,35,11.4,0,0.0,.,.,.,.,.,B,ELKHART ISD,1903,12,09,09 - 12,S,., , , ,07,REGION 07: KILGORE
1903041,.,0,0,0,0,0,0,1,ELKHART MIDDLE,.,56,86,.,.,.,.,B,86,70,C,77,56,B,84,B,84,52,C,76,83, ,N,N,N,N,N,N,N,N,N,N,N,ANDERSON,.,1,268,100.0,39,13.5,289,268,0,0.0,117,43.7,5,1.9,0,0.0,33,12.3,0,0.0,.,.,.,.,.,B,ELKHART ISD,1903,08,06,06 - 08,M,., , , ,07,REGION 07: KILGORE
1903101,., , , , , , , ,ELKHART EL,.,.,.,.,.,.,.,Not Rated: Paired Campus,.,.,Not Rated: Paired Campus,.,.,Not Rated: Paired Campus,.,Not Rated: Paired Campus,.,.,Not Rated: Paired Campus,.,91, ,N,N,N,N,N,N,N,Y,N,N,N,ANDERSON, ,1,0,0.0,39,19.7,198,320,0,0.0,185,57.8,13,4.1,0,0.0,46,14.4,0,0.0,.,.,.,.,.,A,ELKHART ISD,1903,02,PK,PK - 02,E,., ,001903102,ELKHART INT,07,REGION 07: KILGORE
1903102,.,0,0,0,0,0,1, ,ELKHART INT,.,61,90,.,.,.,.,A,90,80,B,88,61,B,85,B,88,97,A,94,91, ,N,N,N,N,N,N,N,N,N,Y,N,ANDERSON,.,1,255,100.0,51,17.3,295,255,0,0.0,114,44.7,10,3.9,0,0.0,25,9.8,0,0.0,.,.,.,.,.,A,ELKHART ISD,1903,05,03,03 - 05,E,., , , ,07,REGION 07: KILGORE
1904001,97.6,1,1,1,1,1,0,0,FRANKSTON H S,100,58,88,78,95,100,100,A,93,84,A,92,68,B,88,A,92,100,A,100,95, ,N,N,N,N,N,N,N,N,N,N,N,ANDERSON,.,1,232,100.0,44,18.3,240,232,.,0.0,98,42.2,11,4.7,0,0.0,29,12.5,.,0.0,.,.,.,.,.,A,FRANKSTON ISD,1904,12,09,09 - 12,S,., , , ,07,REGION 07: KILGORE
1904041,.,0,1,0,0,0,0,0,FRANKSTON MIDDLE,.,48,79,.,.,.,.,C,79,69,C,75,48,B,80,B,80,58,C,77,79, ,N,N,N,N,N,N,N,N,N,N,N,ANDERSON,.,1,203,100.0,48,21.3,225,203,.,0.0,107,52.7,7,3.4,.,0.0,37,18.2,.,0.0,.,.,.,.,.,C,FRANKSTON ISD,1904,08,06,06 - 08,M,., , , ,07,REGION 07: KILGORE
1904102,.,1,1,1,0,0,1, ,FRANKSTON EL,.,61,90,.,.,.,.,A,90,80,B,88,61,A,90,A,90,100,A,100,93, ,N,N,N,N,N,N,N,N,N,N,N,ANDERSON,.,1,166,44.5,51,16.7,306,373,.,0.0,233,62.5,15,4.0,.,0.0,40,10.7,.,0.0,.,.,.,.,.,A,FRANKSTON ISD,1904,05,PK,PK - 05,E,., , , ,07,REGION 07: KILGORE
