COUNTY,REGION,GRDSPAN,PAIRCAMP,CAMPUS,DISTRICT,CAMPNAME,DISTNAME,CNTYNAME,GRDTYPE,CFLCHART,CFLALTED,PAIRNAME,CAD_PROGRESS,CAD_GAP,CAD_READ,CAD_MATH,CAD_SCIE,CAD_SOCI,CAD_POST,C_RATING
"'001","'07","'09 - 12"," ","'001902001","'001902","CAYUGA H S","CAYUGA ISD","ANDERSON","S","N","N"," ","1","1","1","1","1","0","1","A"
"'001","'07","'06 - 08"," ","'001902041","'001902","CAYUGA MIDDLE","CAYUGA ISD","ANDERSON","M","N","N"," ","0","0","1","0","0","0","1","B"
"'001","'07","'KG - 05"," ","'001902103","'001902","CAYUGA EL","CAYUGA ISD","ANDERSON","E","N","N"," ","0","0","1","1","1"," ","1","A"
"'001","'07","'09 - 12"," ","'001903001","'001903","ELKHART H S","ELKHART ISD","ANDERSON","S","N","N"," ","0","0","1","0","1","1","0","B"
"'001","'07","'06 - 08"," ","'001903041","'001903","ELKHART MIDDLE","ELKHART ISD","ANDERSON","M","N","N"," ","0","0","0","0","0","1","0","B"
"'001","'07","'PK - 02","'001903102","'001903101","'001903","ELKHART EL","ELKHART ISD","ANDERSON","E","N","N","ELKHART INT"," "," "," "," "," "," "," ","A"
"'001","'07","'03 - 05"," ","'001903102","'001903","ELKHART INT","ELKHART ISD","ANDERSON","E","N","N"," ","0","0","0","0","1"," ","0","A"
"'001","'07","'09 - 12"," ","'001904001","'001904","FRANKSTON H S","FRANKSTON ISD","ANDERSON","S","N","N"," ","1","1","1","1","0","0","1","A"
"'001","'07","'06 - 08"," ","'001904041","'001904","FRANKSTON MIDDLE","FRANKSTON ISD","ANDERSON","M","N","N"," ","0","0","0","1","0","0","0","C"
"'001","'07","'PK - 05"," ","'001904102","'001904","FRANKSTON EL","FRANKSTON ISD","ANDERSON","E","N","N"," ","0","1","0","1","1"," ","1","A"
"'001","'07","'09 - 12"," ","'001906002","'001906","NECHES H S","NECHES ISD","ANDERSON","S","N","N"," ","1"," ","1","1","0","0","1","A"
"'001","'07","'PK - 08"," ","'001906102","'001906","NECHES EL","NECHES ISD","ANDERSON","E","N","N"," ","1","1","0","1","0","1","1","A"
"'001","'07","'09 - 12"," ","'001907001","'001907","PALESTINE H S","PALESTINE ISD","ANDERSON","S","N","N"," ","1","1","1","1","1","0","1","B"
"'001","'07","'07 - 08"," ","'001907041","'001907","PALESTINE J H","PALESTINE ISD","ANDERSON","M","N","N"," ","1","0","0","0","1","1","1","B"
"'001","'07","'KG - 01","'001907107","'001907101","'001907","NORTHSIDE PRI","PALESTINE ISD","ANDERSON","E","N","N","SOUTHSIDE EL"," "," "," "," "," "," "," ","C"
"'001","'07","'PK - PK","'001907107","'001907102","'001907","WASHINGTON EARLY CHILDHOOD CENTER","PALESTINE ISD","ANDERSON","E","N","N","SOUTHSIDE EL"," "," "," "," "," "," "," ","C"
"'001","'07","'02 - 03"," ","'001907107","'001907","SOUTHSIDE EL","PALESTINE ISD","ANDERSON","E","N","N"," "," ","0","0","0"," "," ","1","C"
"'001","'07","'04 - 06"," ","'001907110","'001907","STORY INT","PALESTINE ISD","ANDERSON","E","N","N"," ","0","0","0","0","0"," ","0","B"
"'001","'07","'09 - 12"," ","'001908002","'001908","WESTWOOD H S","WESTWOOD ISD","ANDERSON","S","N","N"," ","0","0","1","0","1","0","0","B"
"'001","'07","'07 - 08"," ","'001908041","'001908","WESTWOOD J H","WESTWOOD ISD","ANDERSON","M","N","N"," ","0","0","0","1","0","0","0","C"
"'001","'07","'03 - 06"," ","'001908101","'001908","WESTWOOD EL","WESTWOOD ISD","ANDERSON","E","N","N"," ","0","0","0","0","0"," ","0","B"
"'001","'07","'EE - 02","'001908101","'001908102","'001908","WESTWOOD PRI","WESTWOOD ISD","ANDERSON","E","N","N","WESTWOOD EL"," "," "," "," "," "," "," ","B"
"'001","'07","'09 - 12"," ","'001909001","'001909","SLOCUM H S","SLOCUM ISD","ANDERSON","S","N","N"," ","0","0","1","0","1","1","0","A"
"'001","'07","'PK - 08"," ","'001909101","'001909","SLOCUM PK - 8","SLOCUM ISD","ANDERSON","E","N","N"," ","0","0","0","0","0","0","0","B"
"'002","'18","'09 - 12"," ","'002901001","'002901","ANDREWS H S","ANDREWS ISD","ANDREWS","S","N","N"," ","0","0","0","0","1","0","1","B"
"'002","'18","'09 - 12"," ","'002901002","'002901","ANDREWS EDUCATION CENTER","ANDREWS ISD","ANDREWS","S","N","Y"," "," "," "," "," "," "," "," ","C"
"'002","'18","'06 - 08"," ","'002901041","'002901","ANDREWS MIDDLE","ANDREWS ISD","ANDREWS","M","N","N"," ","1","1","0","0","0","1","1","B"
"'002","'18","'02 - 03"," ","'002901101","'002901","DEVONIAN EL","ANDREWS ISD","ANDREWS","E","N","N"," "," ","0","0","0"," "," ","0","C"
"'002","'18","'04 - 05"," ","'002901104","'002901","UNDERWOOD EL","ANDREWS ISD","ANDREWS","E","N","N"," ","0","0","0","0","0"," ","0","C"
"'002","'18","'EE - 01","'002901101","'002901105","'002901","CLEARFORK EL","ANDREWS ISD","ANDREWS","E","N","N","DEVONIAN EL"," "," "," "," "," "," "," ","C"
"'003","'07","'09 - 12"," ","'003801001","'003801","PINEYWOODS COMMUNITY ACADEMY H S","PINEYWOODS COMMUNITY ACADEMY","ANGELINA","S","Y","N"," ","1","1","1","1","0","0","1","A"
"'003","'07","'10 - 11"," ","'003801002","'003801","PINEYWOOD COMMUNITY ACADEMY - LIVINGSTON","PINEYWOODS COMMUNITY ACADEMY","ANGELINA","S","Y","N"," "," "," "," "," "," "," "," ","Not Rated"
"'003","'07","'06 - 08"," ","'003801042","'003801","DR TERRY ROBBINS MIDDLE","PINEYWOODS COMMUNITY ACADEMY","ANGELINA","M","Y","N"," ","0","0","0","0","0","1","1","B"
"'003","'07","'PK - 05"," ","'003801103","'003801","SARAH STRINDEN EL","PINEYWOODS COMMUNITY ACADEMY","ANGELINA","E","Y","N"," ","1","1","1","1","1"," ","1","A"
"'003","'07","'09 - 12"," ","'003902001","'003902","HUDSON H S","HUDSON ISD","ANGELINA","S","N","N"," ","1","1","1","1","0","1","0","A"
"'003","'07","'10 - 12"," ","'003902004","'003902","STUBBLEFIELD LRN CTR","HUDSON ISD","ANGELINA","S","N","Y"," "," "," "," "," "," "," "," ","Not Rated"
"'003","'07","'06 - 08"," ","'003902041","'003902","HUDSON MIDDLE","HUDSON ISD","ANGELINA","M","N","N"," ","1","1","1","1","0","0","1","B"
"'003","'07","'EE - 02","'003902102","'003902101","'003902","W F PEAVY PRI","HUDSON ISD","ANGELINA","E","N","N","W H BONNER EL"," "," "," "," "," "," "," ","B"
"'003","'07","'03 - 05"," ","'003902102","'003902","W H BONNER EL","HUDSON ISD","ANGELINA","E","N","N"," ","0","1","0","0","0"," ","0","B"
"'003","'07","'09 - 12"," ","'003903001","'003903","LUFKIN H S","LUFKIN ISD","ANGELINA","S","N","N"," ","0","1","1","1","1","1","1","B"
"'003","'07","'09 - 12"," ","'003903004","'003903","STUBBLEFIELD LRN CTR","LUFKIN ISD","ANGELINA","S","N","Y"," "," "," "," "," "," "," "," ","Not Rated: Senate Bill 1365"
"'003","'07","'06 - 08"," ","'003903044","'003903","LUFKIN MIDDLE","LUFKIN ISD","ANGELINA","M","N","N"," ","0","0","0","0","0","1","1","B"
"'003","'07","'03 - 05"," ","'003903120","'003903","ANDERSON EL","LUFKIN ISD","ANGELINA","E","N","N"," ","1","1","0","1","1"," ","1","A"
"'003","'07","'03 - 05"," ","'003903121","'003903","BRANDON EL","LUFKIN ISD","ANGELINA","E","N","N"," ","0","0","1","1","1"," ","1","B"
"'003","'07","'03 - 05"," ","'003903122","'003903","BROOKHOLLOW EL","LUFKIN ISD","ANGELINA","E","N","N"," ","0","0","0","0","0"," ","0","Not Rated: Senate Bill 1365"
"'003","'07","'03 - 05"," ","'003903123","'003903","COSTON EL","LUFKIN ISD","ANGELINA","E","N","N"," ","0","0","0","0","1"," ","0","B"
"'003","'07","'KG - 02","'003903121","'003903124","'003903","DUNBAR PRI","LUFKIN ISD","ANGELINA","E","N","N","BRANDON EL"," "," "," "," "," "," "," ","B"
"'003","'07","'PK - PK","'003903000","'003903125","'003903","GARRETT PRI","LUFKIN ISD","ANGELINA","E","N","N","LUFKIN ISD"," "," "," "," "," "," "," ","B"
"'003","'07","'PK - PK","'003903000","'003903126","'003903","HACKNEY PRI","LUFKIN ISD","ANGELINA","E","N","N","LUFKIN ISD"," "," "," "," "," "," "," ","B"
"'003","'07","'EE - 02","'003903123","'003903127","'003903","HERTY PRI","LUFKIN ISD","ANGELINA","E","N","N","COSTON EL"," "," "," "," "," "," "," ","B"
"'003","'07","'KG - 02","'003903120","'003903128","'003903","KURTH PRI","LUFKIN ISD","ANGELINA","E","N","N","ANDERSON EL"," "," "," "," "," "," "," ","A"
"'003","'07","'02 - 05"," ","'003903129","'003903","SLACK EL","LUFKIN ISD","ANGELINA","E","N","N"," ","0","0","0","0","0"," ","0","B"
"'003","'07","'EE - 02","'003903122","'003903130","'003903","TROUT PRI","LUFKIN ISD","ANGELINA","E","N","N","BROOKHOLLOW EL"," "," "," "," "," "," "," ","Not Rated: Senate Bill 1365"
"'003","'07","'KG - 02","'003903129","'003903131","'003903","BURLEY PRI","LUFKIN ISD","ANGELINA","E","N","N","SLACK EL"," "," "," "," "," "," "," ","B"
"'003","'07","'EE - EE"," ","'003903141","'003903","SPECIAL SERVICES","LUFKIN ISD","ANGELINA","E","N","N"," "," "," "," "," "," "," "," ","Not Rated"
"'003","'07","'07 - 11"," ","'003903201","'003903","JUVENILE DETENT CTR","LUFKIN ISD","ANGELINA","S","N","Y"," "," "," "," "," "," "," "," ","Not Rated"
"'003","'07","'09 - 12"," ","'003904001","'003904","HUNTINGTON H S","HUNTINGTON ISD","ANGELINA","S","N","N"," ","0","0","1","0","1","1","0","B"
"'003","'07","'11 - 12"," ","'003904005","'003904","PRIDE ALTER SCH","HUNTINGTON ISD","ANGELINA","S","N","Y"," "," "," "," "," "," "," "," ","B"
"'003","'07","'06 - 08"," ","'003904041","'003904","HUNTINGTON MIDDLE","HUNTINGTON ISD","ANGELINA","M","N","N"," ","0","0","0","0","0","0","1","B"
"'003","'07","'EE - 03"," ","'003904101","'003904","HUNTINGTON EL","HUNTINGTON ISD","ANGELINA","E","N","N"," "," ","0","0","0"," "," ","0","C"
"'003","'07","'04 - 05"," ","'003904102","'003904","HUNTINGTON INT","HUNTINGTON ISD","ANGELINA","E","N","N"," ","0","0","0","0","0"," ","0","C"
"'003","'07","'09 - 12"," ","'003905001","'003905","DIBOLL H S","DIBOLL ISD","ANGELINA","S","N","N"," ","0","0","0","0","1","0","0","B"
"'003","'07","'10 - 12"," ","'003905004","'003905","STUBBLEFIELD LRN CTR","DIBOLL ISD","ANGELINA","S","N","Y"," "," "," "," "," "," "," "," ","C"
