DISTRICT,CNTYNAME,COUNTY,DA0GS21R,DAD_POST,DASC4X21R,DD1A,DD1AS,DD1B,DD1BS,DD1C,DD1CS,DD1G,DD1S,DD2A,DD2AG,DD2AS,DD2B,DD2BG,DD2BS,DD2G,DD2S,DD3,DD3G,DD3S,DDALLS,DFLALTED,DFLCHART,DFLNEWDIST,DFLRTF,DFLSCD,DISTNAME,DPE0312C,DPE0312P,DPETALLC,DPETECHC,DPETECHP,DPETECOC,DPETECOP,DPETLEPC,DPETLEPP,DPETPTEC,DPETPTEP,DPETSPEC,DPETSPEP,DPETSTEC,DPETSTEP,D_AEABONUS,D_AEABONUS_USED_PCT,D_AEAGRAD_PTS,D_AEASTAAR_PCT,D_AEASTAAR_PTS,D_RATING,REGION,REGNNAME
1902,ANDERSON,1,94.4,1,94.6,60,90,86,97,100,100,A,95,72,B,84,73,A,93,A,93,92,A,93,94,N,N,N,N,N,CAYUGA ISD,449,78.2,574,0,0.0,234,40.8,6,1.0,0,0,84,14.6,0,0,.,.,.,.,.,A,7,REGION 07: KILGORE
1903,ANDERSON,1,86.8,0,83.7,58,88,81,95,100,100,A,93,73,B,85,70,A,92,A,92,82,B,87,91,N,N,N,N,N,ELKHART ISD,830,72.2,1150,0,0.0,522,45.4,32,2.8,0,0,139,12.1,0,0,.,.,.,.,.,A,7,REGION 07: KILGORE
1904,ANDERSON,1,97.6,0,100,55,86,78,95,100,100,A,92,74,B,87,67,A,92,A,92,90,A,91,92,N,N,N,N,N,FRANKSTON ISD,601,74.4,808,0,0.0,438,54.2,33,4.1,0,0,106,13.1,0,0,.,.,.,.,.,A,7,REGION 07: KILGORE
1906,ANDERSON,1,73.9,1,73.9,60,90,91,98,100,100,A,95,81,A,92,76,A,94,A,94,100,A,100,97,N,N,N,N,N,NECHES ISD,248,72.5,342,0,0.0,185,54.1,7,2.0,0,0,36,10.5,0,0,.,.,.,.,.,A,7,REGION 07: KILGORE
1907,ANDERSON,1,98.5,0,98.5,47,79,75,94,99.6,95,B,88,74,B,87,61,A,92,A,92,72,B,83,89,N,N,N,N,N,PALESTINE ISD,2418,72,3360,0,0.0,2741,81.6,595,17.7,0,0,455,13.5,0,0,.,.,.,.,.,B,7,REGION 07: KILGORE
1908,ANDERSON,1,81.1,0,82.2,42,73,80,95,97.8,90,B,85,75,B,89,61,A,92,A,92,53,C,77,88,N,N,N,N,N,WESTWOOD ISD,990,74.3,1332,0,0.0,986,74.0,95,7.1,0,0,193,14.5,0,0,.,.,.,.,.,B,7,REGION 07: KILGORE
1909,ANDERSON,1,84.4,0,83.9,55,86,75,94,100,100,A,92,75,B,89,65,A,91,A,91,72,B,83,89,N,N,N,N,N,SLOCUM ISD,273,75.6,361,0,0.0,169,46.8,2,0.6,0,0,53,14.7,0,0,.,.,.,.,.,B,7,REGION 07: KILGORE
2901,ANDREWS,2,81.2,0,88.4,48,80,79,95,97.2,90,B,88,72,B,84,64,A,91,A,91,76,B,85,89,N,N,N,N,N,ANDREWS ISD,3079,74.5,4131,0,0.0,2048,49.6,588,14.2,0,0,431,10.4,0,0,.,.,.,.,.,B,18,REGION 18: MIDLAND
3801,ANGELINA,3,100,1,100,56,87,81,95,100,100,A,93,76,A,90,69,A,93,A,93,87,B,89,92,N,Y,N,N,N,PINEYWOODS COMMUNITY ACADEMY,726,73,995,123,12.4,575,57.8,51,5.1,0,0,115,11.6,0,0,.,.,.,.,.,A,7,REGION 07: KILGORE
3902,ANGELINA,3,78.6,0,81.6,59,89,70,93,95.9,85,A,90,77,A,90,65,A,91,A,91,93,A,94,92,N,N,N,N,N,HUDSON ISD,2122,75.8,2799,0,0.0,1403,50.1,192,6.9,0,0,334,11.9,0,0,.,.,.,.,.,A,7,REGION 07: KILGORE
3903,ANGELINA,3,93.5,1,95.3,44,75,73,93,93.7,75,B,82,68,C,76,59,A,91,A,91,55,C,77,87,N,N,N,N,N,LUFKIN ISD,5311,72.6,7318,477,6.5,6282,85.8,1497,20.5,0,0,925,12.6,0,0,.,.,.,.,.,B,7,REGION 07: KILGORE
3904,ANGELINA,3,76.9,0,77.7,48,80,68,92,97.8,90,B,87,69,C,79,58,A,90,A,90,72,B,83,88,N,N,N,N,N,HUNTINGTON ISD,1223,75.9,1612,0,0.0,944,58.6,20,1.2,0,0,262,16.3,0,0,.,.,.,.,.,B,7,REGION 07: KILGORE
3905,ANGELINA,3,87.2, ,87.2,46,78,83,96,98.2,95,B,89,68,C,76,65,A,92,A,92,74,B,84,90,N,N,N,N,N,DIBOLL ISD,1271,72.9,1744,0,0.0,1232,70.6,269,15.4,0,0,214,12.3,0,0,.,.,.,.,.,Not Rated: Data Under Review,7,REGION 07: KILGORE
3906,ANGELINA,3,62.5,0,60,43,74,88,97,96.3,90,B,86,63,Not Rated: SB 1365,60,66,A,92,A,92,61,C,79,88,N,N,N,N,N,ZAVALLA ISD,207,69,300,0,0.0,206,68.7,0,0.0,0,0,46,15.3,0,0,.,.,.,.,.,B,7,REGION 07: KILGORE
3907,ANGELINA,3,72.7,0,72.2,48,80,74,94,99,95,B,89,69,C,79,61,A,91,A,91,78,B,86,90,N,N,N,N,N,CENTRAL ISD,1040,71.7,1451,0,0.0,819,56.4,73,5.0,0,0,219,15.1,0,0,.,.,.,.,.,A,7,REGION 07: KILGORE
4901,ARANSAS,4,62.7,0,62.9,40,70,67,92,94,80,B,81,70,B,80,54,B,89,B,89,35,C,72,84,N,N,N,N,N,ARANSAS COUNTY ISD,2292,76.3,3005,0,0.0,2009,66.9,150,5.0,0,0,428,14.2,0,0,.,.,.,.,.,B,2,REGION 02: CORPUS CHRISTI
5901,ARCHER,5,100,1,100,65,91,61,90,100,100,A,92,76,A,90,63,A,90,A,90,85,B,88,91,N,N,N,N,N,ARCHER CITY ISD,348,68.8,506,0,0.0,208,41.1,11,2.2,0,0,74,14.6,0,0,.,.,.,.,.,A,9,REGION 09: WICHITA FALLS
5902,ARCHER,5,93.1,0,91.9,60,90,75,94,100,100,A,94,77,A,90,68,B,85,A,90,93,A,94,94,N,N,N,N,N,HOLLIDAY ISD,877,77.9,1126,0,0.0,278,24.7,6,0.5,27,2.4,125,11.1,0,0,.,.,.,.,.,A,9,REGION 09: WICHITA FALLS
5904,ARCHER,5,89.7,0,89.7,66,92,62,91,100,100,A,93,79,A,91,64,B,84,A,91,100,A,100,95,N,N,N,N,N,WINDTHORST ISD,369,69.6,530,0,0.0,159,30.0,30,5.7,0,0,40,7.5,0,0,.,.,.,.,.,A,9,REGION 09: WICHITA FALLS
6902,ARMSTRONG,6,., ,.,61,90,58,88,100,100,A,91,75,B,85,60,B,81,B,85,100,A,100,94,N,N, ,N,Y,CLAUDE ISD,.,.,307,0,0.0,111,36.2,3,1.0,.,.,30,9.8,.,.,.,.,.,.,.,A,16,REGION 16: AMARILLO
7901,ATASCOSA,7,100,0,100,40,70,61,90,100,100,B,84,63,Not Rated: SB 1365,60,51,B,86,B,86,55,C,77,83,N,N,N,N,N,CHARLOTTE ISD,298,75.1,397,0,0.0,272,68.5,26,6.5,0,0,56,14.1,0,0,.,.,.,.,.,B,20,REGION 20: SAN ANTONIO
7902,ATASCOSA,7,75.5,0,74.3,54,85,48,76,97.5,90,B,82,78,A,91,51,B,82,A,91,79,B,86,90,N,N,N,N,N,JOURDANTON ISD,1169,74.5,1569,0,0.0,868,55.3,48,3.1,0,0,231,14.7,0,0,.,.,.,.,.,A,20,REGION 20: SAN ANTONIO
7904,ATASCOSA,7,82.6,0,82.4,36,62,79,95,93.3,75,C,78,69,C,79,58,A,91,A,91,43,C,74,86,N,N,N,N,N,LYTLE ISD,1273,73.2,1740,0,0.0,1288,74.0,255,14.7,23,1.3,196,11.3,0,0,.,.,.,.,.,B,20,REGION 20: SAN ANTONIO
7905,ATASCOSA,7,96.6,0,95.8,47,79,66,92,97.6,90,B,86,74,B,87,57,A,90,A,90,78,B,86,89,N,N,N,N,N,PLEASANTON ISD,2460,72.9,3374,0,0.0,2229,66.1,176,5.2,0,0,428,12.7,0,0,.,.,.,.,.,B,20,REGION 20: SAN ANTONIO
7906,ATASCOSA,7,89.1,0,89.6,34,59,43,73,98.1,95,C,72,68,C,76,39,C,72,C,76,20,Not Rated: SB 1365,63,72,N,N,N,N,N,POTEET ISD,1232,73.5,1676,65,3.9,1202,71.7,135,8.1,0,0,206,12.3,0,0,.,.,.,.,.,C,20,REGION 20: SAN ANTONIO
8901,AUSTIN,8,95,0,96,45,76,47,76,99.4,95,B,80,66,C,70,46,C,71,C,71,42,C,74,78,N,N,N,N,N,BELLVILLE ISD,1707,77.9,2191,0,0.0,992,45.3,212,9.7,0,0,280,12.8,0,0,.,.,.,.,.,C,6,REGION 06: HUNTSVILLE
