COUNTY,REGION,DISTRICT,DISTNAME,CNTYNAME,DFLCHART,DFLALTED,DAD_POST,OUTCOME,asvab_status,DISTNAME_CLEAN
1,7,'001902,CAYUGA ISD,ANDERSON,N,N,1,Meets Requirements, ,Cayuga ISD
1,7,'001903,ELKHART ISD,ANDERSON,N,N,0,Meets Requirements, ,Elkhart ISD
1,7,'001904,FRANKSTON ISD,ANDERSON,N,N,0,Meets Requirements,ASVAB Alternative Test Offered,Frankston ISD
1,7,'001906,NECHES ISD,ANDERSON,N,N,1,Meets Requirements, ,Neches ISD
1,7,'001907,PALESTINE ISD,ANDERSON,N,N,0,Needs Assistance, ,Palestine ISD
1,7,'001908,WESTWOOD ISD,ANDERSON,N,N,0,Needs Assistance, ,Westwood ISD
1,7,'001909,SLOCUM ISD,ANDERSON,N,N,0,Meets Requirements, ,Slocum ISD
2,18,'002901,ANDREWS ISD,ANDREWS,N,N,0,Needs Assistance, ,Andrews ISD
3,7,'003801,PINEYWOODS COMMUNITY ACADEMY,ANGELINA,Y,N,1,Meets Requirements, ,Pineywoods Community Academy
3,7,'003902,HUDSON ISD,ANGELINA,N,N,0,Meets Requirements, ,Hudson ISD
3,7,'003903,LUFKIN ISD,ANGELINA,N,N,1,Needs Assistance, ,Lufkin ISD
3,7,'003904,HUNTINGTON ISD,ANGELINA,N,N,0,Needs Assistance, ,Huntington ISD
3,7,'003905,DIBOLL ISD,ANGELINA,N,N, ,Meets Requirements, ,Diboll ISD
3,7,'003906,ZAVALLA ISD,ANGELINA,N,N,0,Meets Requirements, ,Zavalla ISD
3,7,'003907,CENTRAL ISD,ANGELINA,N,N,0,Meets Requirements, ,Central ISD
4,2,'004901,ARANSAS COUNTY ISD,ARANSAS,N,N,0,Needs Assistance, ,Aransas County ISD
5,9,'005901,ARCHER CITY ISD,ARCHER,N,N,1,Meets Requirements, ,Archer City ISD
5,9,'005902,HOLLIDAY ISD,ARCHER,N,N,0,Meets Requirements, ,Holliday ISD
5,9,'005904,WINDTHORST ISD,ARCHER,N,N,0,Meets Requirements, ,Windthorst ISD
6,16,'006902,CLAUDE ISD,ARMSTRONG,N,N, ,Meets Requirements, ,Claude ISD
7,20,'007901,CHARLOTTE ISD,ATASCOSA,N,N,0,Meets Requirements, ,Charlotte ISD
7,20,'007902,JOURDANTON ISD,ATASCOSA,N,N,0,Meets Requirements, ,Jourdanton ISD
7,20,'007904,LYTLE ISD,ATASCOSA,N,N,0,Needs Assistance, ,Lytle ISD
7,20,'007905,PLEASANTON ISD,ATASCOSA,N,N,0,Needs Assistance, ,Pleasanton ISD
7,20,'007906,POTEET ISD,ATASCOSA,N,N,0,Needs Assistance, ,Poteet ISD
8,6,'008901,BELLVILLE ISD,AUSTIN,N,N,0,Needs Intervention, ,Bellville ISD
8,6,'008902,SEALY ISD,AUSTIN,N,N,0,Meets Requirements, ,Sealy ISD
8,6,'008903,BRAZOS ISD,AUSTIN,N,N,0,Meets Requirements, ,Brazos ISD
9,17,'009901,MULESHOE ISD,BAILEY,N,N,0,Meets Requirements, ,Muleshoe ISD
10,20,'010901,MEDINA ISD,BANDERA,N,N, ,Meets Requirements, ,Medina ISD
10,20,'010902,BANDERA ISD,BANDERA,N,N,0,Needs Assistance, ,Bandera ISD
11,13,'011901,BASTROP ISD,BASTROP,N,N,0,Needs Intervention, ,Bastrop ISD
11,13,'011902,ELGIN ISD,BASTROP,N,N,0,Needs Intervention, ,Elgin ISD
11,13,'011904,SMITHVILLE ISD,BASTROP,N,N,0,Needs Assistance, ,Smithville ISD
11,13,'011905,MCDADE ISD,BASTROP,N,N,0,Meets Requirements, ,McDade ISD
12,9,'012901,SEYMOUR ISD,BAYLOR,N,N,1,Meets Requirements, ,Seymour ISD
13,2,'013801,ST MARY'S ACADEMY CHARTER SCHOOL,BEE,Y,N, ,Meets Requirements, ,St Mary's Academy Charter School
13,2,'013901,BEEVILLE ISD,BEE,N,N,0,Needs Assistance, ,Beeville ISD
13,2,'013902,PAWNEE ISD,BEE,N,N, ,Meets Requirements, ,Pawnee ISD
13,2,'013903,PETTUS ISD,BEE,N,N,0,Meets Requirements, ,Pettus ISD
13,2,'013905,SKIDMORE-TYNAN ISD,BEE,N,N, ,Meets Requirements, ,Skidmore-Tynan ISD
14,20,'014801,RICHARD MILBURN ALTER HIGH SCHOOL - KILLEEN,BELL,Y,Y, ,Needs Intervention, ,Richard Milburn Alter High School - Killeen
14,12,'014803,PRIORITY CHARTER SCHOOLS,BELL,Y,N,0,Meets Requirements, ,Priority Charter Schools
14,12,'014804,ORENDA CHARTER SCHOOL,BELL,Y,N,0,Meets Requirements, ,Orenda Charter School
14,12,'014901,ACADEMY ISD,BELL,N,N,0,Meets Requirements, ,Academy ISD
14,13,'014902,BARTLETT ISD,BELL,N,N, ,Meets Requirements, ,Bartlett ISD
14,12,'014903,BELTON ISD,BELL,N,N,0,Needs Assistance, ,Belton ISD
14,12,'014905,HOLLAND ISD,BELL,N,N,0,Meets Requirements, ,Holland ISD
14,12,'014906,KILLEEN ISD,BELL,N,N,0,Needs Assistance, ,Killeen ISD
14,12,'014907,ROGERS ISD,BELL,N,N,0,Meets Requirements, ,Rogers ISD
14,12,'014908,SALADO ISD,BELL,N,N,0,Meets Requirements, ,Salado ISD
14,12,'014909,TEMPLE ISD,BELL,N,N,0,Needs Assistance, ,Temple ISD
14,12,'014910,TROY ISD,BELL,N,N,0,Meets Requirements, ,Troy ISD
15,20,'015801,POR VIDA ACADEMY,BEXAR,Y,Y, ,Meets Requirements, ,Por Vida Academy
15,20,'015802,GEORGE GERVIN ACADEMY,BEXAR,Y,N, ,Meets Requirements, ,George Gervin Academy
15,20,'015805,NEW FRONTIERS PUBLIC SCHOOLS INC,BEXAR,Y,N, ,Meets Requirements, ,New Frontiers Public Schools Inc
15,20,'015806,LEGACY TRADITIONAL SCHOOLS - TEXAS,BEXAR,Y,N,0,Needs Assistance, ,Legacy Traditional Schools - Texas
15,20,'015807,SOUTHWEST PREPARATORY SCHOOL,BEXAR,Y,N,0,Meets Requirements, ,Southwest Preparatory School
15,20,'015808,INSPIRE ACADEMIES,BEXAR,Y,N, ,Meets Requirements,ASVAB Test not Offered,Inspire Academies
15,20,'015809,BEXAR COUNTY ACADEMY,BEXAR,Y,N, ,Meets Requirements, ,Bexar County Academy
15,20,'015814,POSITIVE SOLUTIONS CHARTER SCHOOL,BEXAR,Y,Y, ,Meets Requirements, ,Positive Solutions Charter School
15,20,'015815,HERITAGE ACADEMY,BEXAR,Y,Y, ,Meets Requirements, ,Heritage Academy
15,20,'015822,JUBILEE ACADEMIES,BEXAR,Y,N,0,Needs Assistance, ,Jubilee Academies
15,20,'015825,LIGHTHOUSE PUBLIC SCHOOLS,BEXAR,Y,N, ,Meets Requirements,ASVAB Test not Offered,Lighthouse Public Schools
15,20,'015827,SCHOOL OF SCIENCE AND TECHNOLOGY,BEXAR,Y,N,0,Meets Requirements, ,School Of Science And Technology
15,20,'015828,HARMONY PUBLIC SCHOOLS - SOUTH TEXAS,BEXAR,Y,N,0,Needs Assistance, ,Harmony Public Schools - South Texas
15,20,'015830,BROOKS ACADEMIES OF TEXAS,BEXAR,Y,N,0,Meets Requirements, ,Brooks Academies Of Texas
15,20,'015831,SCHOOL OF SCIENCE AND TECHNOLOGY DISCOVERY,BEXAR,Y,N,0,Meets Requirements, ,School Of Science And Technology Discovery
15,20,'015833,HENRY FORD ACADEMY ALAMEDA SCHOOL FOR ART + DESIGN,BEXAR,Y,N, ,Meets Requirements, ,Henry Ford Academy Alameda School For Art + Design
15,20,'015834,BASIS TEXAS,BEXAR,Y,N,1,Meets Requirements, ,Basis Texas
15,20,'015835,GREAT HEARTS TEXAS,BEXAR,Y,N,0,Meets Requirements,ASVAB Test not Offered,Great Hearts Texas
15,20,'015836,ELEANOR KOLITZ HEBREW LANGUAGE ACADEMY,BEXAR,Y,N, ,Meets Requirements, ,Eleanor Kolitz Hebrew Language Academy
15,20,'015838,COMPASS ROSE PUBLIC SCHOOLS,BEXAR,Y,N,0,Needs Assistance,ASVAB Test not Offered,Compass Rose Public Schools
15,20,'015839,PROMESA ACADEMY CHARTER SCHOOL,BEXAR,Y,N, ,Meets Requirements, ,Promesa Academy Charter School
15,20,'015840,SAN ANTONIO PREPARATORY SCHOOLS,BEXAR,Y,N, ,Meets Requirements, ,San Antonio Preparatory Schools
15,20,'015841,THE GATHERING PLACE,BEXAR,Y,N, ,Meets Requirements, ,The Gathering Place
15,20,'015842,ROYAL PUBLIC SCHOOLS,BEXAR,Y,N, ,Meets Requirements, ,Royal Public Schools
15,20,'015843,PRELUDE PREPARATORY CHARTER SCHOOL,BEXAR,Y,N, ,Meets Requirements, ,Prelude Preparatory Charter School
15,20,'015901,ALAMO HEIGHTS ISD,BEXAR,N,N,0,Meets Requirements, ,Alamo Heights ISD
15,20,'015904,HARLANDALE ISD,BEXAR,N,N,0,Needs Intervention, ,Harlandale ISD
15,20,'015905,EDGEWOOD ISD,BEXAR,N,N,0,Needs Intervention, ,Edgewood ISD
15,20,'015906,RANDOLPH FIELD ISD,BEXAR,N,N,0,Meets Requirements, ,Randolph Field ISD
15,20,'015907,SAN ANTONIO ISD,BEXAR,N,N,0,Needs Assistance, ,San Antonio ISD
15,20,'015908,SOUTH SAN ANTONIO ISD,BEXAR,N,N,0,Needs Intervention, ,South San Antonio ISD
15,20,'015909,SOMERSET ISD,BEXAR,N,N, ,Meets Requirements, ,Somerset ISD
15,20,'015910,NORTH EAST ISD,BEXAR,N,N,0,Meets Requirements, ,North East ISD
15,20,'015911,EAST CENTRAL ISD,BEXAR,N,N,0,Needs Intervention, ,East Central ISD
15,20,'015912,SOUTHWEST ISD,BEXAR,N,N,0,Needs Assistance, ,Southwest ISD
15,20,'015913,LACKLAND ISD,BEXAR,N,N,0,Meets Requirements, ,Lackland ISD
15,20,'015914,FT SAM HOUSTON ISD,BEXAR,N,N,0,Meets Requirements, ,Ft Sam Houston ISD
15,20,'015915,NORTHSIDE ISD,BEXAR,N,N,0,Meets Requirements,ASVAB Alternative Test Offered,Northside ISD
15,20,'015916,JUDSON ISD,BEXAR,N,N,0,Needs Assistance, ,Judson ISD
15,20,'015917,SOUTHSIDE ISD,BEXAR,N,N,0,Needs Assistance, ,Southside ISD
16,13,'016901,JOHNSON CITY ISD,BLANCO,N,N,0,Meets Requirements, ,Johnson City ISD
16,13,'016902,BLANCO ISD,BLANCO,N,N,0,Meets Requirements, ,Blanco ISD
17,17,'017901,BORDEN COUNTY ISD,BORDEN,N,N, ,Meets Requirements, ,Borden County ISD
18,12,'018901,CLIFTON ISD,BOSQUE,N,N,0,Meets Requirements, ,Clifton ISD
18,12,'018902,MERIDIAN ISD,BOSQUE,N,N,0,Meets Requirements, ,Meridian ISD
18,12,'018903,MORGAN ISD,BOSQUE,N,N, ,Meets Requirements, ,Morgan ISD
