CAMPUS,CDALLS,C_RATING,CFLAEATYPE,CFLAEC,CFLALTED,CFLCHART,CFLDAEP,CFLEEK,CFLJJ,CFLNEWCAMP,CFLRTF,COMP23F,CAMPNAME,CD3,CD3G,CD3S,COUNTY,CNTYNAME,DISTRICT,DISTNAME,GRDHIGH,GRDLOW,GRDSPAN,GRDTYPE,LAS_SCORE,LAS_WEIGHT,CFLPAIR,CFLPAIRD,CFLPAIRO,PAIRCAMP,PAIRNAME,REGION,REGNNAME,CD2A,CD2AG,CD2AS,CD2B,CD2BG,CD2BS,CD2G,CD2S,CD1A,CD1AS,CD1B,CD1BS,CD1C,CD1CS,CD1G,CD1S,CPE0312C,CPE0312P,CPEMALLC,CPEMALLP,CPEMALLT,CPETALLC,CPETECHC,CPETECHP,CPETECOC,CPETECOP,CPETLEPC,CPETLEPP,CPETPTEC,CPETPTEP,CPETSPEC,CPETSPEP,CPETSTEC,CPETSTEP
001902001,97.0,A, ,N,N,N,N,N,N,N,N,.,CAYUGA H S,95.0,A,98.0,1,ANDERSON,001902,CAYUGA ISD,12,09,09 - 12,S,,,N,N,N, , ,7,REGION 07: KILGORE,83.0,B,88.0,,A,94.0,A,94.0,67.0,92.0,96.0,97.0,100.0,100.0,A,96.0,171,100.0,13.0,7.5,173.0,171,0.0,0.0,76,44.4,3,1.8,0.0,0.0,25,14.6,0.0,0.0
001902041,85.0,B, ,N,N,N,N,N,N,N,N,.,CAYUGA MIDDLE,66.0,B,86.0,1,ANDERSON,001902,CAYUGA ISD,08,06,06 - 08,M,,,N,N,N, , ,7,REGION 07: KILGORE,67.0,C,79.0,,B,85.0,B,85.0,55.0,85.0,,,,,B,85.0,166,100.0,21.0,12.1,173.0,166,0.0,0.0,78,47.0,1,0.6,0.0,0.0,27,16.3,0.0,0.0
001902103,75.0,C, ,N,N,N,N,N,N,N,N,.,CAYUGA EL,27.0,D,67.0,1,ANDERSON,001902,CAYUGA ISD,05,PK,PK - 05,E,,,N,N,N, , ,7,REGION 07: KILGORE,57.0,D,62.0,,C,79.0,C,79.0,50.0,77.0,,,,,C,77.0,109,42.6,34.0,15.7,216.0,256,,0.0,141,55.1,4,1.6,,0.0,31,12.1,,0.0
001903001,92.0,A, ,N,N,N,N,N,N,N,N,.,ELKHART H S,77.0,A,91.0,1,ANDERSON,001903,ELKHART ISD,12,09,09 - 12,S,,,N,N,N, , ,7,REGION 07: KILGORE,75.0,B,81.0,,B,89.0,B,89.0,60.0,90.0,88.0,90.0,100.0,100.0,A,92.0,315,100.0,46.0,13.7,335.0,315,0.0,0.0,148,47.0,4,1.3,0.0,0.0,43,13.7,0.0,0.0
001903041,83.0,B, ,N,N,N,N,N,N,N,N,.,ELKHART MIDDLE,38.0,C,72.0,1,ANDERSON,001903,ELKHART ISD,08,06,06 - 08,M,,,N,N,N, , ,7,REGION 07: KILGORE,58.0,D,65.0,,B,87.0,B,87.0,53.0,84.0,,,,,B,84.0,270,100.0,57.0,18.4,309.0,270,0.0,0.0,154,57.0,5,1.9,0.0,0.0,28,10.4,0.0,0.0
001903101,77.0,C, ,N,N,N,N,N,N,N,N,.,ELKHART EL,,P,,1,ANDERSON,001903,ELKHART ISD,02,PK,PK - 02,E,,,Y,N,N,001903102,ELKHART INT,7,REGION 07: KILGORE,,P,,,P,,P,,,,,,,,P,,0,0.0,32.0,16.2,197.0,327,0.0,0.0,224,68.5,13,4.0,0.0,0.0,51,15.6,0.0,0.0
001903102,77.0,C, ,N,N,N,N,N,N,N,N,.,ELKHART INT,33.0,C,70.0,1,ANDERSON,001903,ELKHART ISD,05,03,03 - 05,E,,,N,N,Y, , ,7,REGION 07: KILGORE,57.0,D,62.0,,B,80.0,B,80.0,49.0,77.0,,,,,C,77.0,282,100.0,48.0,16.3,295.0,282,,0.0,178,63.1,13,4.6,,0.0,41,14.5,,0.0
001904001,94.0,A, ,N,N,N,N,N,N,N,N,.,FRANKSTON H S,82.0,A,93.0,1,ANDERSON,001904,FRANKSTON ISD,12,09,09 - 12,S,,,N,N,N, , ,7,REGION 07: KILGORE,83.0,B,88.0,,A,95.0,A,95.0,57.0,86.0,100.0,100.0,100.0,100.0,A,94.0,245,100.0,34.0,13.7,248.0,245,,0.0,122,49.8,13,5.3,0.0,0.0,34,13.9,,0.0
001904041,81.0,B, ,N,N,N,N,N,N,N,N,.,FRANKSTON MIDDLE,45.0,C,74.0,1,ANDERSON,001904,FRANKSTON ISD,08,06,06 - 08,M,,,N,N,N, , ,7,REGION 07: KILGORE,61.0,C,70.0,,B,84.0,B,84.0,48.0,79.0,,,,,C,79.0,184,100.0,20.0,7.5,265.0,184,,0.0,115,62.5,7,3.8,,0.0,34,18.5,,0.0
001904102,86.0,B, ,N,N,N,N,N,N,N,N,.,FRANKSTON EL,63.0,B,82.0,1,ANDERSON,001904,FRANKSTON ISD,05,EE,EE - 05,E,,,N,N,N, , ,7,REGION 07: KILGORE,70.0,C,79.0,,B,88.0,B,88.0,58.0,88.0,,,,,B,88.0,172,46.2,41.0,13.4,307.0,372,,0.0,234,62.9,15,4.0,,0.0,48,12.9,,0.0
001906002,96.0,A, ,N,N,N,N,N,N,N,N,.,NECHES H S,93.0,A,97.0,1,ANDERSON,001906,NECHES ISD,12,07,07 - 12,S,,,N,N,N, , ,7,REGION 07: KILGORE,78.0,B,84.0,,A,96.0,A,96.0,62.0,91.0,100.0,100.0,100.0,100.0,A,96.0,140,100.0,27.0,23.5,115.0,140,0.0,0.0,66,47.1,6,4.3,0.0,0.0,15,10.7,0.0,0.0
001906102,70.0,C, ,N,N,N,N,N,N,N,N,.,NECHES EL,10.0,F,56.0,1,ANDERSON,001906,NECHES ISD,06,PK,PK - 06,E,,,N,N,N, , ,7,REGION 07: KILGORE,46.0,F,54.0,,C,76.0,C,76.0,46.0,74.0,,,,,C,74.0,83,49.1,37.0,17.3,214.0,169,,0.0,108,63.9,1,0.6,,0.0,22,13.0,0.0,0.0
001907001,88.0,B, ,N,N,N,N,N,N,N,N,.,PALESTINE H S,69.0,B,86.0,1,ANDERSON,001907,PALESTINE ISD,12,09,09 - 12,S,,,N,N,N, , ,7,REGION 07: KILGORE,67.0,D,69.0,,B,89.0,B,89.0,49.0,77.0,91.0,93.0,100.0,100.0,B,88.0,997,100.0,151.0,13.4,1123.0,997,0.0,0.0,765,76.7,152,15.2,0.0,0.0,137,13.7,0.0,0.0
001907041,76.0,C, ,N,N,N,N,N,N,N,N,.,PALESTINE J H,26.0,D,65.0,1,ANDERSON,001907,PALESTINE ISD,08,07,07 - 08,M,,,N,N,N, , ,7,REGION 07: KILGORE,61.0,C,70.0,,B,80.0,B,80.0,40.0,72.0,,,,,C,72.0,493,100.0,56.0,10.4,536.0,493,0.0,0.0,386,78.3,105,21.3,0.0,0.0,53,10.8,0.0,0.0
001907101,61.0,D, ,N,N,N,N,N,N,N,N,.,NORTHSIDE PRI,,P,,1,ANDERSON,001907,PALESTINE ISD,01,KG,KG - 01,E,,,Y,N,N,001907107,SOUTHSIDE EL,7,REGION 07: KILGORE,,P,,,P,,P,,,,,,,,P,,0,0.0,39.0,14.9,262.0,465,0.0,0.0,374,80.4,68,14.6,0.0,0.0,77,16.6,0.0,0.0
001907102,61.0,D, ,N,N,N,N,Y,N,N,N,.,WASHINGTON EARLY CHILDHOOD CENTER,,P,,1,ANDERSON,001907,PALESTINE ISD,PK,PK,PK - PK,E,,,Y,N,N,001907107,SOUTHSIDE EL,7,REGION 07: KILGORE,,P,,,P,,P,,,,,,,,P,,0,0.0,,,,221,0.0,0.0,203,91.9,24,10.9,0.0,0.0,24,10.9,0.0,0.0
001907107,61.0,D, ,N,N,N,N,N,N,N,N,1,SOUTHSIDE EL,4.0,F,41.0,1,ANDERSON,001907,PALESTINE ISD,03,02,02 - 03,E,,,N,N,Y, , ,7,REGION 07: KILGORE,,Z,,,D,69.0,D,69.0,37.0,64.0,,,,,D,64.0,225,50.3,75.0,14.4,521.0,447,0.0,0.0,379,84.8,78,17.4,0.0,0.0,81,18.1,0.0,0.0
001907110,61.0,D, ,N,N,N,N,N,N,N,N,1,STORY INT,2.0,F,35.0,1,ANDERSON,001907,PALESTINE ISD,06,04,04 - 06,E,,,N,N,N, , ,7,REGION 07: KILGORE,50.0,F,56.0,,C,72.0,C,72.0,39.0,67.0,,,,,D,67.0,673,100.0,92.0,13.3,691.0,673,0.0,0.0,542,80.5,149,22.1,0.0,0.0,118,17.5,0.0,0.0
001908002,79.0,C, ,N,N,N,N,N,N,N,N,.,WESTWOOD H S,51.0,C,72.0,1,ANDERSON,001908,WESTWOOD ISD,12,09,09 - 12,S,,,N,N,N, , ,7,REGION 07: KILGORE,76.0,B,82.0,,B,81.0,B,82.0,42.0,71.0,85.0,87.0,98.9,90.0,B,81.0,438,100.0,72.0,16.4,440.0,438,,0.0,303,69.2,43,9.8,0.0,0.0,61,13.9,,0.0
001908041,80.0,B, ,N,N,N,N,N,N,N,N,.,WESTWOOD J H,47.0,C,75.0,1,ANDERSON,001908,WESTWOOD ISD,08,07,07 - 08,M,,,N,N,N, , ,7,REGION 07: KILGORE,68.0,B,80.0,,B,82.0,B,82.0,42.0,74.0,,,,,C,74.0,205,100.0,28.0,12.4,226.0,205,,0.0,158,77.1,19,9.3,,0.0,34,16.6,,0.0
001908101,52.0,F, ,N,N,N,N,N,N,N,N,1,WESTWOOD EL,0.0,F,30.0,1,ANDERSON,001908,WESTWOOD ISD,06,03,03 - 06,E,,,N,N,Y, , ,7,REGION 07: KILGORE,51.0,F,57.0,,D,62.0,D,62.0,36.0,62.0,,,,,D,62.0,408,100.0,83.0,19.2,432.0,408,,0.0,302,74.0,29,7.1,,0.0,88,21.6,,0.0
001908102,52.0,F, ,N,N,N,N,N,N,N,N,.,WESTWOOD PRI,,P,,1,ANDERSON,001908,WESTWOOD ISD,02,EE,EE - 02,E,,,Y,N,N,001908101,WESTWOOD EL,7,REGION 07: KILGORE,,P,,,P,,P,,,,,,,,P,,0,0.0,33.0,16.5,200.0,363,,0.0,290,79.9,15,4.1,,0.0,40,11.0,,0.0
