COUNTY,REGION,GRDSPAN,PAIRCAMP,CAMPUS,DISTRICT,CAMPNAME,DISTNAME,GRDTYPE,CFLALTED,CNTYNAME,CFLCHART,PAIRNAME
001,07,'09 - 12, ,001902001,001902,CAYUGA H S,CAYUGA ISD,S,N,ANDERSON,N, 
001,07,'06 - 08, ,001902041,001902,CAYUGA MIDDLE,CAYUGA ISD,M,N,ANDERSON,N, 
001,07,'PK - 05, ,001902103,001902,CAYUGA EL,CAYUGA ISD,E,N,ANDERSON,N, 
001,07,'09 - 12, ,001903001,001903,ELKHART H S,ELKHART ISD,S,N,ANDERSON,N, 
001,07,'06 - 08, ,001903041,001903,ELKHART MIDDLE,ELKHART ISD,M,N,ANDERSON,N, 
001,07,'PK - 02,'001903102,001903101,001903,ELKHART EL,ELKHART ISD,E,N,ANDERSON,N,ELKHART INT
001,07,'03 - 05, ,001903102,001903,ELKHART INT,ELKHART ISD,E,N,ANDERSON,N, 
001,07,'09 - 12, ,001904001,001904,FRANKSTON H S,FRANKSTON ISD,S,N,ANDERSON,N, 
001,07,'06 - 08, ,001904041,001904,FRANKSTON MIDDLE,FRANKSTON ISD,M,N,ANDERSON,N, 
001,07,'EE - 05, ,001904102,001904,FRANKSTON EL,FRANKSTON ISD,E,N,ANDERSON,N, 
001,07,'07 - 12, ,001906002,001906,NECHES H S,NECHES ISD,S,N,ANDERSON,N, 
001,07,'PK - 06, ,001906102,001906,NECHES EL,NECHES ISD,E,N,ANDERSON,N, 
001,07,'09 - 12, ,001907001,001907,PALESTINE H S,PALESTINE ISD,S,N,ANDERSON,N, 
001,07,'07 - 08, ,001907041,001907,PALESTINE J H,PALESTINE ISD,M,N,ANDERSON,N, 
001,07,'KG - 01,'001907107,001907101,001907,NORTHSIDE PRI,PALESTINE ISD,E,N,ANDERSON,N,SOUTHSIDE EL
001,07,'PK - PK,'001907107,001907102,001907,WASHINGTON EARLY CHILDHOOD CENTER,PALESTINE ISD,E,N,ANDERSON,N,SOUTHSIDE EL
001,07,'02 - 03, ,001907107,001907,SOUTHSIDE EL,PALESTINE ISD,E,N,ANDERSON,N, 
001,07,'04 - 06, ,001907110,001907,STORY INT,PALESTINE ISD,E,N,ANDERSON,N, 
001,07,'09 - 12, ,001908002,001908,WESTWOOD H S,WESTWOOD ISD,S,N,ANDERSON,N, 
001,07,'07 - 08, ,001908041,001908,WESTWOOD J H,WESTWOOD ISD,M,N,ANDERSON,N, 
001,07,'03 - 06, ,001908101,001908,WESTWOOD EL,WESTWOOD ISD,E,N,ANDERSON,N, 
001,07,'EE - 02,'001908101,001908102,001908,WESTWOOD PRI,WESTWOOD ISD,E,N,ANDERSON,N,WESTWOOD EL
001,07,'09 - 12, ,001909001,001909,SLOCUM H S,SLOCUM ISD,S,N,ANDERSON,N, 
001,07,'PK - 08, ,001909101,001909,SLOCUM PK - 8,SLOCUM ISD,E,N,ANDERSON,N, 
002,18,'09 - 12, ,002901001,002901,ANDREWS H S,ANDREWS ISD,S,N,ANDREWS,N, 
002,18,'09 - 12, ,002901002,002901,ANDREWS EDUCATION CENTER,ANDREWS ISD,S,Y,ANDREWS,N, 
002,18,'06 - 08, ,002901041,002901,ANDREWS MIDDLE,ANDREWS ISD,M,N,ANDREWS,N, 
002,18,'02 - 03, ,002901101,002901,DEVONIAN EL,ANDREWS ISD,E,N,ANDREWS,N, 
